Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Interface","Number of Ports"
https://www.molex.com/pdm_docs/sd/1120130003_sd.pdf,-,1120130003-ND,1120130003,Molex,NIC:PFB-DP:104:1CHL:DRL:HE13 CON,0,0,"1916.37000","0","1","112013","Last Time Buy","Profibus","DLL, OPC DA","1"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-5071.pdf,-,1120050040-ND,1120050040,Molex,NIC;DEVICENET;104;1CHL;DN4;ROHS,0,0,"1970.10000","0","1","112005","Active","DeviceNet","DLL, OPC DA","1"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-2831.pdf,-,1120797004-ND,1120797004,Molex,"CC-LINK IE SLAVE, PCU NIC, FULL",0,0,"1970.10000","0","1","112079","Active","Ethernet Card","PCI","2"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987651-2831.pdf,-,1120797006-ND,1120797006,Molex,"CC-LINK IE SLAVE, PCU NIC, HALF",0,0,"1970.10000","0","1","112079","Active","Ethernet, RJ45","PCI","2"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-5071.pdf,-,1121130007-ND,1121130007,Molex,NIC;DEVICENET;PCI;1CHL;(FULL BRA,0,0,"2059.65000","0","1","112113","Active","DeviceNet","DLL, OPC DA","1"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-5071.pdf,-,1121130001-ND,1121130001,Molex,NIC;DEVICENET;PCI;1CHL;(1/2 BRAC,0,0,"2059.65000","0","1","112113","Active","DeviceNet","DLL, OPC DA","1"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-5071.pdf,-,1121130011-ND,1121130011,Molex,NIC;DN;PCIE;1CHL,0,0,"2059.65000","0","1","112113","Active","DeviceNet","DLL, OPC DA","1"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-5071.pdf,-,1121130012-ND,1121130012,Molex,NIC;DN;PCIE;1CHL;HALFHEIGHT,0,0,"2059.65000","0","1","112113","Active","DeviceNet","DLL, OPC DA","1"
-,-,1120110036-ND,1120110036,Molex,NIC;PROFIBUS;PCI;2CHL;UNV;BULK;C,0,0,"2204.12520","0","25","112011","Active","Profibus","CommDTM, DLL, OPC DA","2"
-,-,LP16-LW-OPT-1-ND,LP16-LW-OPT-1,Broadcom Limited,LP16GFCLWSFP+OPTTCVR1PC,0,0,"2216.95000","0","2","-","Active","-","-","-"
-,-,LPE32002-AP-ND,LPE32002-AP,Broadcom Limited,FG LPE32002-AP GEN6 32GFC FC PCI,0,0,"2403.39600","0","5","-","Active","-","-","-"
https://www.molex.com/pdm_docs/sd/1120110021_sd.pdf,-,WM21770-ND,1120110022,Molex,NIC;PROFIBUS;PCI;2CHL;PB3;UNV,1,0,"2475.00000","0","1","112011","Obsolete","Profibus","CommDTM, DLL, OPC DA","2"
https://www.molex.com/pdm_docs/sd/1120110021_sd.pdf,-,1120110029-ND,1120110029,Molex,NIC;PROFIBUS;PCIE;2CHL;PB3;EXPRE,0,0,"2564.10000","0","1","112011","Active","Profibus","CommDTM, DLL, OPC DA","2"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-5071.pdf,-,1120050048-ND,1120050048,Molex,NIC;DEVICENET;104;2CHL;DN4;ROHS,0,0,"2574.00000","0","1","112005","Active","DeviceNet","DLL, OPC DA","2"
-,-,LPE31004-AP-ND,LPE31004-AP,Broadcom Limited,FG LPE31004-AP GEN6 16GFC FC PCI,0,0,"2605.80000","0","5","-","Active","-","-","-"
-,-,LPE31004-M6-ND,LPE31004-M6,Broadcom Limited,LIGHTPULSE 4P 16GB FC ADAPTER IN,0,0,"2605.80000","0","5","-","Active","16GFC","PCI","4"
-,-,1120110035-ND,1120110035,Molex,NIC;PROFIBUS;PCI;2CHL;UNV;ROHS;C,0,0,"2772.00000","0","1","112011","Active","Profibus","CommDTM, DLL, OPC DA","2"
-,-,LP16-LW-OPT-2-ND,LP16-LW-OPT-2,Broadcom Limited,LP16GFCLWSFP+OPTTCVR2PC,0,0,"3194.83000","0","1","-","Active","-","-","-"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-9901.pdf,-,1120210023-ND,1120210023,Molex,NIC:DATAHWY:PCI:ROHS,0,0,"3600.00000","0","1","112021","Active","DH+","DLL","1"
-,-,LP32-LW-OPT-1-ND,LP32-LW-OPT-1,Broadcom Limited,LP32GFCLWSFP+OPTTCVR1PC,0,0,"3840.83000","0","1","-","Active","-","-","-"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-5071.pdf,-,1121130009-ND,1121130009,Molex,NIC;DEVICENET;PCI;UNIV;1CHL;MULT,0,0,"4543.65000","0","1","112113","Active","DeviceNet","DLL","-"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-5071.pdf,-,1121130010-ND,1121130010,Molex,NIC;DN;PCI;UNIV;1CHL;MULTI-SLAVE,0,0,"4543.65000","0","1","112113","Active","DeviceNet","DLL","1"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-5071.pdf,-,1121130013-ND,1121130013,Molex,NIC;DN;PCIE;UNIV;1CHL;MSLAVE,0,0,"4543.65000","0","1","112113","Active","DeviceNet","DLL, OPC DA","1"
