Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Touchscreen","Interface","Dot Pixels","Diagonal Screen Size"
http://downloadt.advantech.com/ProductFile/PIS/IDS-3206/Product%20-%20Datasheet/IDS-3206_DS(03.18.16)20160324163502.pdf,-,IDS-3206G-80VGA1E-ND,IDS-3206G-80VGA1E,Advantech Corp,6.5"" VGA PANEL MOUNT MONITOR 80,0,0,"327.18000","0","1","-","Active","4 Wire Resistive","VGA","640 x 480 (VGA)","6.5"" (165.10mm)"
-,-,96LEDK-K104XGK3NA1-ND,96LEDK-K104XGK3NA1,Advantech Corp,"10.4 XGA,LVDS, 1300 NITS, 170/17",1,0,"339.15000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Advantech%20PDFs/96LEDK-A240FH30NF1_Web.pdf,-,96LEDK-A240FH30NF1-ND,96LEDK-A240FH30NF1,Advantech Corp,"24 FHD, D-LVDS, 250NITS, 178/178",0,0,"368.41000","0","1","-","Active","Non-Touch","LVDS","1920 x 1080","24.00"" (609.60mm)"
-,-,IDS3115P40XGA1E-ES-ND,IDS3115P40XGA1E-ES,Advantech Corp,OPEN FRAME MONITOR WITH PCAP TOU,1,0,"526.68000","0","1","*","Active","-","-","-","-"
http://advdownload.advantech.com/productfile/PIS/AIM-37/Product%20-%20Datasheet/AIM-37_DS(02.10.17)20170310102321.pdf,-,AIM-37AT-S0GR1-ND,AIM-37AT-S0GR1,Advantech Corp,"10.1"" TABLET 2G RAM, ANDROID OS",0,0,"829.92000","0","1","*","Active","-","-","-","-"
http://advdownload.advantech.com/productfile/PIS/AIM-37/Product%20-%20Datasheet/AIM-37_DS(02.10.17)20170310102321.pdf,-,AIM-37AT-S0GR0-ND,AIM-37AT-S0GR0,Advantech Corp,"10.1"" TABLET 2G RAM, WIN10 IOT O",0,0,"883.12000","0","1","*","Active","-","-","-","-"
http://advdownload.advantech.com/productfile/PIS/AIM-37/Product%20-%20Datasheet/AIM-37_DS(02.10.17)20170310102321.pdf,-,AIM-37AT-M0ST0-ND,AIM-37AT-M0ST0,Advantech Corp,10.1"" TABLET 2G RAM WIN10 IOT OS,0,0,"1197.00000","0","1","*","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/947_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_947.jpg,1528-1275-ND,947,Adafruit Industries LLC,DISPLAY TFT NTSC/PAL TV 7"",0,0,"74.95000","0","1","-","Active","Non-Touch","NTSC, PAL","-","7.00"" (177.80mm)"
https://cdn-learn.adafruit.com/downloads/pdf/hdmi-uberguide.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1033.jpg,1528-2099-ND,1033,Adafruit Industries LLC,MONITOR TFT LCD 1280X800 7"",0,0,"159.95000","0","1","-","Active","Non-Touch","HDMI, NTSC, PAL, VGA","1280 x 800","7.00"" (177.80mm)"
https://cdn-learn.adafruit.com/downloads/pdf/hdmi-uberguide.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1667.jpg,1528-2111-ND,1667,Adafruit Industries LLC,MONITOR TFT LCD 1280X800 7"",0,0,"169.95000","0","1","-","Active","Non-Touch","HDMI, NTSC, PAL, VGA","1280 x 800","7.00"" (177.80mm)"
