Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Card Type","Style"
http://www.keyelco.com/product-pdf.cfm?p=2496,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9201-1.jpg,36-9201-1-ND,9201-1,Keystone Electronics,BRACKET COMPUTER A/V PCI,0,218,"2.42000","0","100","-","Active","PCI","SCSI 1 - SCSI-68"
http://www.keyelco.com/product-pdf.cfm?p=2489,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9200-13.jpg,36-9200-13-ND,9200-13,Keystone Electronics,BRACKET COMPUTER D-SUB EISA/ISA,0,390,"2.42000","0","100","-","Active","EISA, ISA","D-Sub - DB-15, DB-25"
http://www.keyelco.com/product-pdf.cfm?p=2477,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9200-11.jpg,36-9200-11-ND,9200-11,Keystone Electronics,BRACKET COMPUTER EISA/ISA 15POS,0,0,"2.42000","0","100","-","Active","EISA, ISA","D-Sub - DB-15"
http://www.keyelco.com/product-pdf.cfm?p=2488,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9200-12.jpg,36-9200-12-ND,9200-12,Keystone Electronics,BRACKET COMPUTER EISA/ISA D-SUB,0,411,"2.42000","0","100","-","Active","EISA, ISA","D-Sub - DB-15 (2-Ports)"
http://www.keyelco.com/product-pdf.cfm?p=2478,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9200-14.jpg,36-9200-14-ND,9200-14,Keystone Electronics,BRACKET COMPUTER EISA/ISA 50POS,0,823,"2.42000","0","100","-","Active","EISA, ISA","D-Sub - DB-50"
http://www.keyelco.com/product-pdf.cfm?p=2479,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9200-16.jpg,36-9200-16-ND,9200-16,Keystone Electronics,BRACKET COMPUTER EISA/ISA 9POS,0,144,"2.42000","0","100","-","Active","EISA, ISA","D-Sub - DB-9"
http://www.keyelco.com/product-pdf.cfm?p=2497,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9202-1.jpg,36-9202-1-ND,9202-1,Keystone Electronics,BRACKET COMPUTER MODEM EISA/ISA,0,103,"2.73000","0","100","-","Active","EISA, ISA","Fax, Modem"
http://www.keyelco.com/product-pdf.cfm?p=2498,//media.digikey.com/photos/Keystone%20Elect%20Photos/9203-1.JPG,36-9203-1-ND,9203-1,Keystone Electronics,BRACKET COMPUTER MODEM PCI/ISDN,0,563,"2.73000","0","100","-","Active","PCI","SCSI 2, 3, and 4 - SCSI-68"
http://www.keyelco.com/product-pdf.cfm?p=2499,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9203-2.jpg,36-9203-2-ND,9203-2,Keystone Electronics,BRACKET COMPUTER NETWORK PCI,0,232,"2.73000","0","100","-","Active","PCI","Network"
http://www.keyelco.com/product-pdf.cfm?p=2500,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9204-1.jpg,36-9204-1-ND,9204-1,Keystone Electronics,BRACKET COMPUTER SOUND EISA/ISA,0,700,"2.73000","0","100","-","Active","EISA, ISA","Sound Card"
http://www.keyelco.com/product-pdf.cfm?p=2469,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9204.jpg,36-9204-ND,9204,Keystone Electronics,BRACKET COMPUTER PCI,0,256,"2.73000","0","100","-","Active","PCI","Blank"
http://www.keyelco.com/product-pdf.cfm?p=2470,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9205.jpg,36-9205-ND,9205,Keystone Electronics,COMPUTER BRACKET STD BLANK,0,249,"2.73000","0","100","-","Active","EISA, ISA","Blank"
http://www.keyelco.com/product-pdf.cfm?p=2472,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9207.jpg,36-9207-ND,9207,Keystone Electronics,COMPUTER BRACKET STD BLANK,0,0,"2.73000","0","100","-","Active","EISA, ISA","Blank"
http://www.keyelco.com/product-pdf.cfm?p=2473,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9208.jpg,36-9208-ND,9208,Keystone Electronics,COMPUTER BRACKET STD BLANK,0,545,"2.73000","0","100","-","Active","EISA, ISA","Blank"
http://www.keyelco.com/product-pdf.cfm?p=2485,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9207-1.jpg,36-9207-1-ND,9207-1,Keystone Electronics,BRACKET COMPUTER EISA/ISA 9POS,0,0,"2.73000","0","100","-","Active","EISA, ISA","D-Sub - DB-9"
-,-,36-9220-ND,9220,Keystone Electronics,BRACKET COMPUTER SECURITY,0,348,"5.25000","0","100","-","Active","-","Blank"
http://www.keyelco.com/product-pdf.cfm?p=2471,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_9206.jpg,36-9206-ND,9206,Keystone Electronics,COMPUTER BRACKET STD BLANK,0,0,"Obsolete","0","1","-","Obsolete","EISA, ISA","Blank"
