Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Applications","Diagonal Screen Size","Viewing Area"
-,-,UCTDE002-ND,UCTDE002,3M,ULTRA CLEAR SCREEN PROTECTOR,0,0,"10.57120","0","25","-","Active","-","-","-","-"
-,-,UCTDE001-ND,UCTDE001,3M,PRIVACY FILTER,0,0,"12.63240","0","25","-","Active","-","-","-","-"
-,-,NV828748-ND,NV828748,3M,ULTRA CLEAR SCREEN PROTECTOR FOR,0,0,"14.26000","0","1","-","Active","-","-","-","-"
-,-,UCPAP001-ND,UCPAP001,3M,ULTRA CLEAR SCREEN PROTECTOR FOR,0,0,"14.26000","0","1","-","Active","-","-","-","-"
-,-,AGPAP001-ND,AGPAP001,3M,ANTI-GLARE SCREEN PROTECTOR FOR,0,0,"14.26000","0","1","-","Active","-","-","-","-"
-,-,NVAG828762-ND,NVAG828762,3M,ANTI-GLARE SCREEN PROTECTOR FOR,0,0,"14.87400","0","5","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/PFCB11~.pdf,-,PFCB11-ND,PFCB11,3M,PRIVACY FILTER CHROMEBOOK 11.6W9,0,0,"17.48000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","11.6"" (11.60"", 295mm)","144.00mm W x 257.00mm H"
-,-,AFTDE001-ND,AFTDE001,3M,ANTI-GLARE FILTER,0,0,"17.88750","0","200","-","Active","-","-","-","-"
-,-,UCPAP002-ND,UCPAP002,3M,ULTRA CLEAR SCREEN PROTECTOR FOR,0,0,"17.90000","0","1","-","Active","-","-","-","-"
-,-,UCPMM001-ND,UCPMM001,3M,ULTRA CLEAR SCREEN PROTECTOR,0,0,"17.90000","0","1","-","Active","-","-","-","-"
-,-,AGPAP002-ND,AGPAP002,3M,ANTI-GLARE SCREEN PROTECTOR FOR,0,0,"17.90200","0","5","-","Active","-","-","-","-"
-,-,AGTDE002-ND,AGTDE002,3M,ANTI-GLARE FILTER,0,0,"18.11040","0","25","-","Active","-","-","-","-"
-,-,AGTDETB11-ND,AGTDETB11,3M,3M AGTDETB11 NATURAL VIEW ANTI-G,0,0,"19.02600","0","50","-","Active","-","-","-","-"
-,-,AGTDE003-ND,AGTDE003,3M,ANTI-GLARE FILTER,0,0,"19.70560","0","25","-","Active","-","-","-","-"
-,-,MPF828717-ND,MPF828717,3M,PRIVACY SCREEN PROTECTOR,0,0,"20.13000","0","1","-","Active","-","-","-","-"
-,-,MPPGG002-ND,MPPGG002,3M,5.2"" PRIVACY SCREEN PROTECTOR,0,0,"21.28600","0","5","-","Active","-","-","-","-"
-,-,MPPGG003-ND,MPPGG003,3M,PRIVACY SCREEN PROTECTOR,0,0,"21.28600","0","5","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/MPF831298~.pdf,-,MPF831298-ND,MPF831298,3M,SCREEN PRTCTR SAMSUNG GALAXY S5,0,0,"21.43000","0","1","-","Active","Privacy Filter","-","-","-"
-,-,MPPSG001-ND,MPPSG001,3M,PRIVACY SCREEN PROTECTOR,0,0,"21.43000","0","1","-","Active","-","-","-","-"
-,-,AFTAP002-ND,AFTAP002,3M,ANTI-GLARE FILTER,0,0,"22.42400","0","5","-","Active","-","-","-","-"
-,-,MPPGG001-ND,MPPGG001,3M,5.7"" PRIVACY SCREEN PROTECTOR,0,0,"22.93600","0","5","-","Active","-","-","-","-"
-,-,MPPGG004-ND,MPPGG004,3M,PRIVACY SCREEN PROTECTOR,0,0,"22.93600","0","5","-","Active","-","-","-","-"
-,-,PFTAP003-ND,PFTAP003,3M,PRIVACY FILTER,0,0,"23.93000","0","1","-","Active","-","-","-","-"
-,-,NVAG830864-ND,NVAG830864,3M,ANTI-GLARE SCREEN PROTECTOR FOR,0,0,"24.46000","0","1","-","Active","-","-","-","-"
-,-,PFTMS001-ND,PFTMS001,3M,PRIVACY FILTER,0,0,"24.58000","0","1","-","Active","-","-","-","-"
-,-,PFTGG001-ND,PFTGG001,3M,PRIVACY FILTER,0,0,"24.58400","0","5","-","Active","-","-","-","-"
-,-,PFTAP001-ND,PFTAP001,3M,PRIVACY FILTER,0,0,"24.59000","0","1","-","Active","-","-","-","-"
-,-,PFTAP002-ND,PFTAP002,3M,PRIVACY FILTER,0,0,"24.59000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/ePrivacy_Filter.pdf,-,PF10.1W-ND,PF10.1W,3M,PRIVACY FILTER LAPTOP 10.1"",0,0,"24.73000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","10.1"" (10.06"", 256mm)","220.66mm W x 128.59mm H"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/ePrivacy_Filter.pdf,-,PF11.6W9-ND,PF11.6W9,3M,PRIVACY FILTER LAPTOP 11.6"",0,0,"24.73000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","11.6"" (11.59"", 294mm)","257.00mm W x 145.00mm H"
-,-,PF116W9E-ND,PF116W9E,3M,11.6"" PRIVACY FILTER,0,0,"24.73000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/MPPAP001~.pdf,-,MPPAP001-ND,MPPAP001,3M,SCREEN PRTCTR APPLE IPHONE 6,0,0,"25.16200","0","5","-","Active","Privacy Filter","-","-","-"
-,-,MPPAP010-ND,MPPAP010,3M,PRIVACY SCREEN PROTECTOR,0,0,"28.46000","0","1","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/MPPAP002~.pdf,-,MPPAP002-ND,MPPAP002,3M,SCRN PRTCTR APPLE IPHONE 6PLUS,0,0,"28.46200","0","5","-","Active","Privacy Filter","-","-","-"
-,-,PFNLE008-ND,PFNLE008,3M,LAPTOP PRIVACY FILTER,0,0,"29.00000","0","25","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/GPF10.1W9~.pdf,-,GPF10.1W9-ND,GPF10.1W9,3M,GOLD PRIVACY FILTER LAPTOP 10.1"",0,0,"29.68000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","10.1"" (10.10"", 257mm)","223.84mm W x 125.41mm H"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/GPF11.6W9~.pdf,-,GPF11.6W9-ND,GPF11.6W9,3M,GOLD PRIVACY FILTER LAPTOP 11.6"",0,0,"29.68000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","11.6"" (11.60"", 295mm)","257.18mm W x 144.46mm H"
-,-,AG125W9B-ND,AG125W9B,3M,AG12.5W9 ANTI-GLARE FILTER FOR W,0,0,"29.70000","0","1","-","Active","-","-","-","-"
-,-,AG140W9B-ND,AG140W9B,3M,AG14.0W9 ANTI-GLARE FILTER FOR W,0,0,"33.00000","0","1","-","Active","-","-","-","-"
-,-,PFTDE001-ND,PFTDE001,3M,PRIVACY FILTER,0,0,"33.33560","0","25","-","Active","-","-","-","-"
-,-,AFTMS001-ND,AFTMS001,3M,EASY-ON ANTI-GLARE FILTER FOR MI,0,0,"34.63000","0","1","-","Active","-","-","-","-"
-,-,PFTDE002-ND,PFTDE002,3M,PRIVACY FILTER,0,0,"35.52520","0","25","-","Active","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/PFMA11~.pdf,-,PFMA11-ND,PFMA11,3M,PRIVACY FILTER MACBOOK 11"",0,0,"36.30000","0","1","-","Active","Privacy Filter, Widescreen","LCD Monitor","11.6"" (11.60"", 295mm)","258.00mm W x 145.00mm H"
-,-,AG156W9B-ND,AG156W9B,3M,AG15.6W9 ANTI-GLARE FILTER FOR W,0,0,"36.30000","0","1","-","Active","-","-","-","-"
-,-,PFTDE003-ND,PFTDE003,3M,PRIVACY FILTER,0,0,"36.38600","0","25","-","Active","-","-","-","-"
