Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Number of Keys","Interface","Features","Color","Size / Dimension"
https://www.cherry.de/PDF/US_TouchBoard_G80-11900.pdf,//media.digikey.com/photos/Cherry%20Switch%20Photos/G80-11900LTMUS-2.jpg,CH889-ND,G80-11900LTMUS-2,Cherry Americas LLC,KEYBOARD COMPACT 104KEY PS2 BLK,11,0,"184.50000","0","1","G80-11900","Active","Keyboard","104","PS/2","Touchpad","Black","16.300"" L x 7.600"" W x 1.450"" H (414.00mm x 193.00mm x 36.80mm)"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1396359116.pdf,//media.digikey.com/Photos/Storm%20Interface%20Photos/2212-352323.jpg,MGR1632-ND,2212-352323,Storm Interface,KEYBOARD 63KEY VANDAL RESIST,16,0,"455.07000","0","1","2212","Active","Keyboard","63","USB","Trackball, Vandal Resistant, Sealed, IP65","Silver with Black Keys","15.120"" L x 5.590"" W x 1.570"" H (384.00mm x 142.00mm x 40.00mm)"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0228_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_DFR0228.jpg,1738-1239-ND,DFR0228,DFRobot,RC 2.4G WIRELESS AIR MOUSE &AMP;,20,0,"25.65000","0","1","-","Active","Keyboard and Mouse (Wireless)","-","USB (Wireless)","-","Black","6.300"" L x 2.300"" W x 0.700"" H (160.00mm x 58.40mm x 17.70mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/857_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_857.jpg,1528-1164-ND,857,Adafruit Industries LLC,MINI KEYBOARD MCU-COMP PS/2 USB,63,0,"29.95000","0","1","-","Active","Keyboard, Mini","83","PS/2, USB","-","Black","8.660"" L x 4.650"" W x 0.630"" H (220.00mm x 118.00mm x 16.00mm)"
-,//media.digikey.com/Photos/Cherry%20Switch%20Photos/G80-3930LYDEU-2.jpg,1644-1000-ND,G80-3930LYDEU-2,Cherry Americas LLC,KEYBOARD 104+4 KEY US RD BACKLIT,4,0,"165.00000","0","1","MX BOARD 6.0","Active","Keyboard","108","USB","-","Black","17.870"" L x 5.790"" W x 1.100"" H (454.00mm x 147.00mm x 28.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/1737_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_1737.jpg,1528-1201-ND,1737,Adafruit Industries LLC,KEYBOARD MINI WIRELESS BATT BK,22,0,"17.50000","0","1","-","Active","Keyboard, Mini (Wireless)","-","USB","-","Black","11.180"" L x 5.000"" W x 0.830"" H (284.00mm x 127.00mm x 21.00mm)"
//media.digikey.com/PDF/Data%20Sheets/Cherry%20PDFs/G80-3000.pdf,//media.digikey.com/Photos/Cherry%20Switch%20Photos/G803000LSCEU2.jpg,CH979-ND,G80-3000LSCEU-2,Cherry Americas LLC,KEYBOARD 104KEY 18.5"" USB&PS/2,12,0,"111.00000","0","1","G80-3000","Active","Keyboard","104","USB","-","Black","18.500"" L x 7.680"" W x 1.730"" H (470.00mm x 195.00mm x 44.00mm)"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1502987110.pdf,//media.digikey.com/Photos/Storm%20Interface%20Photos/MFG_2210metal.jpg,MGR1701-ND,2210-352023,Storm Interface,VANDAL RESISTANT USB KEYBOARD WI,4,0,"318.41000","0","1","2210","Active","Keyboard","61","USB","Vandal Resistant, Sealed, IP65","Silver","11.400"" L x 4.700"" W x 1.500"" H (289.50mm x 118.50mm x 38.50mm)"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1503329943.pdf,//media.digikey.com/Photos/Storm%20Interface%20Photos/MFG_2230-55202.jpg,MGR1700-ND,2230-552023,Storm Interface,VANDAL RESISTANT USB KEYBOARD WI,3,0,"327.52000","0","1","2230","Active","Keyboard","92","USB","Vandal Resistant, Sealed, IP65","Black with White Keys","-"
-,//media.digikey.com/Photos/Storm%20Interface%20Photos/2220-552023.jpg,MGR1704-ND,2220-352023,Storm Interface,VANDAL RESISTANT USB KEYBOARD WI,5,0,"346.57000","0","1","2220","Active","Keyboard","75","USB","Vandal Resistant, Sealed, IP65","Silver","11.400"" L x 5.400"" W x 1.300"" H (289.50mm x 137.50mm x 32.80mm)"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1502987110.pdf,//media.digikey.com/Photos/Storm%20Interface%20Photos/MFG_2210-55222.jpg,MGR1699-ND,2210-552223,Storm Interface,VANDAL RESISTANT USB KEYBOARD WI,3,0,"386.10000","0","1","2210","Active","Keyboard","63","USB","Trackball, Vandal Resistant, Sealed, IP65","Black with White Keys","14.200"" L x 4.700"" W x 1.500"" H (360.00mm x 118.50mm x 38.50mm)"
https://www.storm-interface.com/fileuploader/download/download/?d=0&file=custom%2Fupload%2FFile-1502987110.pdf,//media.digikey.com/Photos/Storm%20Interface%20Photos/MFG_2210-55222.jpg,MGR1702-ND,2210-352323,Storm Interface,VANDAL RESISTANT USB KEYBOARD WI,10,0,"438.81000","0","1","2210","Active","Keyboard","61","USB","Trackball, Vandal Resistant, Sealed, IP65","Silver","11.400"" L x 4.700"" W x 1.500"" H (289.50mm x 118.50mm x 38.50mm)"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/3600_Web.pdf,//media.digikey.com/Photos/Adafruit%20Industries%20LLC/MFG_3600.JPG,1528-2421-ND,3600,Adafruit Industries LLC,10"" BLUETOOTH KEYBOARD-BLACK,8,0,"17.50000","0","1","-","Active","Keyboard (Wireless)","78","USB","Bluetooth, USB Charging Cable","Black","9.700"" L x 5.800"" W x 0.300"" H (246.40mm x 147.30mm x 7.60mm)"
https://www.raspberrypi.org/app/uploads/2019/04/Product-Brief-Raspberry-Pi-Keyboard-and-Mouse.pdf,-,1690-RPI-KYB(UK)RED-ND,RPI-KYB (UK) RED,Raspberry Pi,RASPBERRY PI KEYBOARD (UK) RED,35,0,"20.00000","0","1","-","Active","Keyboard","79","USB","USB Hub, 3 Port","Red","11.213"" L x 4.788"" W x 0.801"" H (284.80mm x 121.61mm x 20.34mm)"
https://www.raspberrypi.org/app/uploads/2019/04/Product-Brief-Raspberry-Pi-Keyboard-and-Mouse.pdf,-,1690-RPI-KYB(FR)RED-ND,RPI-KYB (FR) RED,Raspberry Pi,RASPBERRY PI KEYBOARD (FR) RED,35,0,"20.00000","0","1","-","Active","Keyboard","79","USB","USB Hub, 3 Port","Red","11.213"" L x 4.788"" W x 0.801"" H (284.80mm x 121.61mm x 20.34mm)"
//media.digikey.com/pdf/Data%20Sheets/Cherry%20PDFs/G80-3930LYB.pdf,//media.digikey.com/Photos/Cherry%20Switch%20Photos/MFG_G80-3930LYBEU-2.JPG,CH997-ND,G80-3930LYBEU-2,Cherry Americas LLC,KEYBOARD 104+4 KEY US RD BACKLIT,13,0,"217.50000","0","1","MX BOARD 6.0","Obsolete","Keyboard","108","PS/2, USB","-","Black, Silver","17.870"" L x 5.790"" W x 1.100"" H (454.00mm x 147.00mm x 28.00mm)"
//media.digikey.com/pdf/Data%20Sheets/DFRobot%20PDFs/DFR0330_Web.pdf,//media.digikey.com/Photos/DFRobot/MFG_DFR0330.jpg,1738-1372-ND,DFR0330,DFRobot,WIRELESS KEYBOARD WITH TOUCHPAD,0,0,"20.09000","0","1","-","Active","Keyboard (Wireless)","92","USB","Touchpad","Black, White","5.900"" L x 3.940"" W x 0.790"" H (149.90mm x 100.10mm x 20.10mm)"
