Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","Specifications","For Use With/Related Products"
https://b2b.harting.com/files/download/PRD/PDF_TS/20800240002_100126536DRW003A.pdf,//media.digikey.com/Photos/Harting/20800240002.jpg,1195-3591-ND,20800240002,HARTING,MOUNTING BRACKET KIT FLAT PANEL,0,0,"25.20000","0","1","*","Active","-","-","-"
-,-,MR1220M-ND,MR1220M,Tripp Lite,"MONITOR RISER FOR DESK, 12 X 20",0,0,"25.96000","0","1","-","Active","-","12"" x 12"" x 20"", Adjustable, Black, Metal","Laptops, Printers, Televisions"
-,-,35100009-ND,35100009,Altech Corporation,CLEANING UNIT FOR CLEANING PLOTT,0,4,"25.99000","0","1","-","Active","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/2891012.pdf,//media.digikey.com/Photos/Phoenix%20Photos/MFG_2891012.jpg,2891012-ND,2891012,Phoenix Contact,MOUNTING PLATE FOR SFNT SWITCH,0,165,"26.00000","0","1","-","Active","Mounting Plate","-","SFNT Switches"
//media.digikey.com/pdf/Data%20Sheets/Panduit%20PDFs/GHS.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_PSL-GHSBINDE1.jpg,PSL-GHSBINDE1-ND,PSL-GHSBINDE1,Panduit Corp,BINDER ENGLISH 1.50 ETHYLENE,0,0,"26.23000","0","1","-","Active","Binder","-","-"
-,-,559STB-ND,559 STB,3M,"POST-IT EASEL PAD 559 STB, 25",0,0,"26.37500","0","2","Post-it®","Active","Easle Pad","-","-"
https://assets.tripplite.com/product-pdfs/en/sec6k.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_SEC6K.jpg,SEC6K-ND,SEC6K,Tripp Lite,"KEYED LAPTOP SECURITY LOCK, 6 FT",0,0,"26.91000","0","1","-","Active","Lock","-","Notebook"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/MI3016001SER.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/TT822OUTSM5.JPG,1436-1684-ND,TT822OUTSM5,HellermannTyton,"LONG GREEN RIBBON, 110MMX91M",0,0,"26.91264","0","72","-","Active","Thermal Transfer Ribbon","Length 15.0m","Thermal Transfer Printer"
https://assets.tripplite.com/product-pdfs/en/mr1612d1.pdf,-,MR1612D1-ND,MR1612D1,Tripp Lite,UNIVERSAL LCD MONITOR/PRINTER RI,0,0,"27.33000","0","1","-","Active","Monitor Riser","-","-"
-,-,MR1812M-ND,MR1812M,Tripp Lite,"MONITOR RISER FOR DESK, 18 X 11",0,0,"27.33000","0","1","-","Active","Monitor Riser","18"" x 11"", Adjustable, Black, Metal","Laptops, Printers, Televisions"
-,-,34000032-ND,34000032,Altech Corporation,PRIMER PLATES 25PCS PER PACK,0,0,"27.52000","0","1","-","Active","-","-","-"
-,-,R330-24VAD-ND,R330-24VAD,3M,POST-IT POP-UP NOTES R330-24VAD,0,0,"27.69875","0","8","-","Active","-","-","-"
-,-,R330-18AUCP-ND,R330-18AUCP,3M,POST-IT POP-UP NOTES R330-18AUCP,0,0,"27.74125","0","8","-","Active","-","-","-"
https://www.microsemi.com/document-portal/doc_view/135874-adaptec-6-gbps-sas-hd-cables-flyer,-,2279600-R-ND,2279600-R,Microsemi Corporation,ADAPTEC I-RA-HDMSAS-4SAS-SB-.8M,0,0,"27.75000","0","5","-","Active","Cable","800mm","7, 7H, 7He, 7Q Series"
https://www.microsemi.com/document-portal/doc_view/135874-adaptec-6-gbps-sas-hd-cables-flyer,-,2279700-R-ND,2279700-R,Microsemi Corporation,ADAPTEC I-HDMSAS-MSAS-1M,0,0,"27.75000","0","5","-","Active","Cable","1 Meter","7, 7H, 7He, 7Q Series"
https://www.microsemi.com/document-portal/doc_view/135874-adaptec-6-gbps-sas-hd-cables-flyer,-,2279800-R-ND,2279800-R,Microsemi Corporation,ADAPTEC I-HDMSAS-4SATA-SB.8M,0,0,"27.75000","0","5","-","Active","Cable","800mm","7, 7H, 7He, 7Q Series"
https://www.microsemi.com/document-portal/doc_view/135874-adaptec-6-gbps-sas-hd-cables-flyer,-,2279900-R-ND,2279900-R,Microsemi Corporation,ADAPTEC I-RA-HDMSAS-4RASATA-SB-.,0,0,"27.75000","0","5","-","Active","Cable","800mm","7, 7H, 7He, 7Q Series"
https://www.microsemi.com/document-portal/doc_view/135874-adaptec-6-gbps-sas-hd-cables-flyer,-,2280000-R-ND,2280000-R,Microsemi Corporation,ADAPTEC I-RA-HDMSAS-4SATA-SB-.8M,0,0,"27.75000","0","5","-","Active","Cable","800mm","7, 7H, 7He, 7Q Series"
https://www.microsemi.com/document-portal/doc_view/135874-adaptec-6-gbps-sas-hd-cables-flyer,-,2280100-R-ND,2280100-R,Microsemi Corporation,ADAPTEC I-HDMSAS-4SAS-SB-.8M,0,0,"27.75000","0","5","-","Active","Cable","800mm","7, 7H, 7He, 7Q Series"
https://www.microsemi.com/document-portal/doc_view/135874-adaptec-6-gbps-sas-hd-cables-flyer,-,2280200-R-ND,2280200-R,Microsemi Corporation,ADAPTEC I-RA-HDMSAS-MSAS-.8M,0,0,"27.75000","0","5","-","Active","Cable","800mm","7, 7H, 7He, 7Q Series"
https://www.microsemi.com/document-portal/doc_view/135874-adaptec-6-gbps-sas-hd-cables-flyer,-,2281200-R-ND,2281200-R,Microsemi Corporation,ADAPTEC I-HDMSAS-MSAS-.5M,0,0,"27.75000","0","5","-","Active","Cable","500mm","ASA-71605H, 7805H, 71605, 71605E, 71605Q, 71685, 72405, 7805, 7805Q, 78165, 81605ZQ, 8805, 8885, 8885Q"
https://www.microsemi.com/document-portal/doc_view/135874-adaptec-6-gbps-sas-hd-cables-flyer,-,2281300-R-ND,2281300-R,Microsemi Corporation,ADAPTEC I-RA-HDMSAS-MSAS-.5M,0,0,"27.75000","0","5","-","Active","Cable","500mm","ASA-71605H, 7805H, 71605, 71605E, 71605Q, 71685, 72405, 7805, 7805Q, 78165, 81605ZQ, 8805, 8885, 8885Q"
https://storage.microsemi.com/nr/pdfs/12G-sas-HD-cables.pdf,-,2282100-R-ND,2282100-R,Microsemi Corporation,ADAPTEC I-HDMSAS-HDMSAS-1M,0,0,"27.75000","0","5","-","Active","Cable","1 Meter","ASA-71605H, 7805H, 71605, 71605E, 71605Q, 71685, 72405, 7805, 7805Q, 78165, 81605ZQ, 8805, 8885, 8885Q"
https://storage.microsemi.com/nr/pdfs/12G-sas-HD-cables.pdf,-,2282200-R-ND,2282200-R,Microsemi Corporation,ADAPTEC I-HDMSAS-HDMSAS-.5M,0,0,"27.75000","0","5","-","Active","Cable","500mm","ASA-71605H, 7805H, 71605, 71605E, 71605Q, 71685, 72405, 7805, 7805Q, 78165, 81605ZQ, 8805, 8885, 8885Q"
https://storage.microsemi.com/nr/pdfs/12G-sas-HD-cables.pdf,-,2282500-R-ND,2282500-R,Microsemi Corporation,ADAPTEC I-RA-HDMSAS-HDMSAS-.5M,0,0,"27.75000","0","5","-","Active","Cable","500mm","ASA-71605H, 7805H, 71605, 71605E, 71605Q, 71685, 72405, 7805, 7805Q, 78165, 81605ZQ, 8805, 8885, 8885Q"
https://storage.microsemi.com/nr/pdfs/12G-sas-HD-cables.pdf,-,2282800-R-ND,2282800-R,Microsemi Corporation,ADAPTEC I-RA-HDMSAS-HDMSAS-1M,0,0,"27.75000","0","5","-","Active","Cable","1 Meter","ASA-71605H, 7805H, 71605, 71605E, 71605Q, 71685, 72405, 7805, 7805Q, 78165, 81605ZQ, 8805, 8885, 8885Q"
https://assets.tripplite.com/product-pdfs/en/nc2003bp.pdf,-,NC2003BP-ND,NC2003BP,Tripp Lite,LAPTOP COOLING PAD FOR NOTEBOOKS,0,0,"28.33000","0","1","-","Active","Cooler Pad","-","Notebook"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/556-00234.pdf,-,556-00234-ND,556-00234,HellermannTyton,REPLCMNT PLATEN ROLLER TT230SM,0,0,"28.37000","0","1","-","Active","Platen Roller","-","TT230SM Printer"
-,-,34910000-ND,34910000,Altech Corporation,SET OF STICKY PADS (8PCS) FOR RC,0,0,"28.51000","0","1","-","Active","-","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/MI3016001SER.pdf,-,TT822OUTSM7-ND,TT822OUTSM7,HellermannTyton,LONG PURPLE RIBBON 110MMX91M,0,0,"28.52736","0","72","-","Active","Thermal Transfer Ribbon","Length 15.0m","Thermal Transfer Printer"
-,-,34910006-ND,34910006,Altech Corporation,SET OF STICKY PADS FOR WIELAND 9,0,0,"29.20000","0","1","-","Active","-","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/MI3016001SER.pdf,-,TT822OUTSM3-ND,TT822OUTSM3,HellermannTyton,LONG ORANGE RIBBON 110MMX91M,0,0,"29.54611","0","36","-","Active","Thermal Transfer Ribbon","Length 15.0m","Thermal Transfer Printer"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/MI3016001SER.pdf,-,TT822OUTSM4-ND,TT822OUTSM4,HellermannTyton,LONG YELLOW RIBBON 110MMX91M,0,0,"29.54611","0","36","-","Active","Thermal Transfer Ribbon","Length 15.0m","Thermal Transfer Printer"
https://assets.tripplite.com/product-pdfs/en/mr2208g.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_MR2208G.jpg,MR2208G-ND,MR2208G,Tripp Lite,UNIVERSAL MONITOR RISER STAND GL,0,0,"30.06000","0","1","-","Active","Monitor Riser","-","-"
-,-,LS8-PCKIT-ND,LS8-PCKIT,Panduit Corp,PC INTERFACE KIT WITH USB CABLE,0,0,"30.10000","0","1","PanTher™","Active","Interface Kit","-","LS8E Hand Held Printer"
https://gp1.wpc.edgecastcdn.net/00AC62/drawings/MI3016012CST.pdf,-,556-00165-ND,556-00165,HellermannTyton,RIBBON 2.0"" X 984',0,0,"30.68000","0","1","-","Active","Thermal Transfer Ribbon","Length 300.0m","Thermal Transfer Printer"
-,-,0804653-ND,0804653,Phoenix Contact,TRM-ADAPTER-SCREW,0,4,"30.84000","0","1","-","Active","Adapter Screw","-","THERMOMARKX1.2 Cutter, THERMOMARKX1.2 Cutter/P"
-,-,2284300-R-ND,2284300-R,Microsemi Corporation,"ACC-7XX5,8XX5 W/BRKT FAN KIT",0,0,"33.00000","0","5","-","Active","Fan Kit","-","70165H, 70165He, 71605H, 71605He, 7805H, 8405, 8805, 8885, 8885Q"
-,-,558-BBS-ND,558-BBS,3M,POST-IT STICKY CORK BOARD 558,0,0,"33.26000","0","1","Post-it®","Active","Cork Board","-","-"
https://cl-pdfv10.ae-admin.com/hellermanntyton/files/556-00147.pdf,-,TT822OUTSM2-ND,TT822OUTSM2,HellermannTyton,LONG RED RIBBON 110MMX91M,0,0,"33.62000","0","1","-","Active","Thermal Transfer Ribbon","Length 15.0m","Thermal Transfer Printer"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/MI3016001SER.pdf,-,TT822OUTSM6-ND,TT822OUTSM6,HellermannTyton,LONG BLUE RIBBON 110MMX91M,0,0,"33.62000","0","1","-","Active","Thermal Transfer Ribbon","Length 15.0m","Thermal Transfer Printer"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/MI3016001SER.pdf,-,TT822OUTSM8-ND,TT822OUTSM8,HellermannTyton,LONG SILVER RIBBON 110MMX91M,0,0,"33.62000","0","1","-","Active","Thermal Transfer Ribbon","Length 15.0m","Thermal Transfer Printer"
