Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Convert From (Adapter End)","Convert To (Adapter End)","Interface","Features","Utilized IC / Part"
-,-,1165-1441-ND,BB-USO9ML2-A,"B&B SmartWorx, Inc.",ADAPTER USB TO RS232 W/DB9 MALE,31,527,"135.96000","0","1","-","Active","USB to Serial","USB - A 2.0 Male","D-Sub 09 Pos (DB9) Male","RS-232","ESD Protecting, LED Indicator","-"
https://www.digi.com/pdf/prd_usb_edgeport.pdf,//media.digikey.com/Photos/Digi%20Int%27l%20Photos/301-1003-10.JPG,602-1522-ND,301-1003-10,Digi International,SERIAL DEVICE SERVER 2-PORT,55,0,"138.00000","0","1","Edgeport®","Active","USB to Serial","USB - A 2.0 Male","D-Sub 09 Pos (DB9) Male (2)","RS-232","-","-"
https://www.ixxat.com/docs/librariesprovider8/default-document-library/products/can-pc-interfaces/usb-to-can-v2-manual-english.pdf,//media.digikey.com/Photos/HMS-Industrial-Networks/1.01.0281.11001.jpg,1976-1038-ND,1.01.0281.11001,HMS Networks,USB-CAN V2 INTERFACE,33,0,"302.50000","0","1","-","Active","USB to CAN","USB - A 2.0 Male","D-Sub 09 Pos (DB9) Male","-","LED Indicator","-"
https://www.digi.com/pdf/prd_usb_edgeport.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/301-1002-08.jpg,602-1516-ND,301-1000-04,Digi International,SERIAL DEVICE SERVER 4-PORT,31,0,"303.00000","0","1","Edgeport®","Active","USB to Serial","USB - A 2.0 Female","D-Sub 09 Pos (DB9) Male (4)","RS-232","LED Indicator","-"
https://www.digi.com/pdf/prd_usb_edgeport.pdf,//media.digikey.com/Photos/Digi%20Int%27l%20Photos/301-1000-94.JPG,602-1518-ND,301-1000-94,Digi International,SERIAL DEVICE SERVER 4-PORT,44,0,"379.00000","0","1","Edgeport®","Active","USB to Serial","USB - A 2.0 Female","D-Sub 09 Pos (DB9) Male (4)","RS-232, RS-422, RS-485","LED Indicator","-"
https://www.digi.com/pdf/prd_usb_edgeport.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/301-1002-08.jpg,602-1521-ND,301-1002-08,Digi International,SERIAL DEVICE SERVER 8-PORT,52,0,"455.00000","0","1","Edgeport®","Active","USB to Serial","USB - A 2.0 Female","D-Sub 09 Pos (DB9) Male (8)","RS-232","LED Indicator","-"
https://www.digi.com/pdf/prd_usb_edgeport.pdf,//media.digikey.com/photos/Digi%20Int'l%20Photos/301-1002-98.jpg,602-1740-ND,301-1002-98,Digi International,SERIAL DEVICE SERVER 8-PORT,699,0,"690.00000","0","1","Edgeport®","Active","USB to Serial","USB - B 2.0 Female","D-Sub 09 Pos (DB9) Male (8)","RS-232, RS-422, RS-485","-","-"
https://assets.tripplite.com/product-pdfs/en/p44089ff.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P440-89FF.jpg,TL1887-ND,P440-89FF,Tripp Lite,DB9 TO RJ45 MODULAR SERIAL ADAPT,297,0,"3.84000","0","1","-","Active","Serial to Ethernet","D-Sub 09 Pos (DB9) Female","RJ45 Female","RS-232, RS-422, RS-485","-","-"
https://assets.tripplite.com/product-pdfs/en/p44089fm.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_P440-89FM.jpg,TL1871-ND,P440-89FM,Tripp Lite,DB9 TO RJ45 MODULAR SERIAL ADAPT,264,0,"3.84000","0","1","-","Active","Serial to Ethernet","D-Sub 09 Pos (DB9) Male","RJ45 Female","RS-232, RS-422, RS-485","-","-"
https://assets.tripplite.com/product-pdfs/en/b090a9f.pdf,//media.digikey.com/Photos/Tripplite%20Photos/MFG_B090-A9%20Series.jpg,TL1209-ND,B090-A9F,Tripp Lite,DB9F RJ45 MODULAR SERIAL ADAPTER,220,0,"9.39000","0","1","-","Active","Serial to Ethernet","D-Sub 09 Pos (DB9) Female","RJ45 Female","-","-","-"
