Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Disconnect Type","Number of Positions","Number of Levels","Terminal - Width","Termination Style","Current - IEC","Voltage - IEC","Current - UL","Voltage - UL","Wire Gauge or Range - AWG","Wire Gauge or Range - mm²","Features","Color","Fuse Type"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3209549.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3209549.jpg,277-2098-ND,3209549,Phoenix Contact,CONN TERM BLK FEED THRU 12-26AWG,2802,90000,"2.00000","0","1","CLIPLINE PT","Active","Feed Through","-","3","1","5.2mm","Push In, Spring","24A","800V","20A","600V","12-26 AWG","0.14-4mm²","-","Gray","-"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/3044102.pdf,//media.digikey.com/photos/Phoenix%20Photos/3044102.JPG,277-2027-ND,3044102,Phoenix Contact,CONN TERM BLK FEED THRU 10-26AWG,5245,240950,"2.06000","0","1","CLIPLINE UT","Active","Feed Through","-","2","1","6.2mm","Screw","32A","1000V","30A","600V","10-26 AWG","0.14-6mm²","-","Gray","-"
https://www.phoenixcontact.com/pxc-oc-itemdetail-pdf-web/eshop?lineItemType=LineItem&UID=3211757,//media.digikey.com/Photos/Phoenix%20Photos/3211757.JPG,277-3629-ND,3211757,Phoenix Contact,CONN TERM BLK FEED THRU 10-24AWG,1480,0,"2.06000","0","1","CLIPLINE PT","Active","Feed Through","-","2","1","6.2mm","Push In, Spring","32A","800V","30A","600V","10-24 AWG","0.2-6mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3208197.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3208197.JPG,277-11100-ND,3208197,Phoenix Contact,CONN TERM BLK FEED THRU 14-26AWG,3882,11950,"2.16000","0","1","CLIPLINE PT","Active","Feed Through","-","4","1","3.5mm","Push In, Spring","17.5A","500V","15A","300V","14-26 AWG","0.14-1.5mm²","-","Gray","-"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/3044542.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3044542.JPG,277-3310-ND,3044542,Phoenix Contact,CONN TERM BLK FEED THRU 12-26AWG,3071,2500,"2.48000","0","1","CLIPLINE UT","Active","Feed Through","-","4","1","5.2mm","Screw","24A","500V","20A","150V","12-26 AWG","0.14-4mm²","-","Gray","-"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/3044571.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3044571.JPG,277-3258-ND,3044571,Phoenix Contact,CONN TERM BLK FEED THRU 10-26AWG,2242,53200,"2.59000","0","1","CLIPLINE UT","Active","Feed Through","-","4","1","6.2mm","Screw","32A","500V","30A","150V","10-26 AWG","0.14-6mm²","-","Gray","-"
//media.digikey.com/PDF/Data%20Sheets/Phoenix%20Contact%20PDFs/3044584.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3044584.JPG,277-3529-ND,3044584,Phoenix Contact,CONN TERM BLK FEED THRU 10-26AWG,1971,700,"2.59000","0","1","CLIPLINE UT","Active","Feed Through","-","4","1","6.2mm","Screw","32A","500V","30A","150V","10-26 AWG","0.14-6mm²","-","Blue","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3003347.pdf,//media.digikey.com/photos/Phoenix%20Photos/3003347.jpg,277-1499-ND,3003347,Phoenix Contact,CONN TERM BLK FEED THRU 12-30AWG,2041,18200,"2.78000","0","1","CLIPLINE UK","Active","Feed Through","-","2","1","5.2mm","Screw","24A","800V","20A","300V","12-30 AWG","0.2-4mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3004362.pdf,//media.digikey.com/photos/Phoenix%20Photos/3004362.jpg,277-1501-ND,3004362,Phoenix Contact,CONN TERM BLK FEED THRU 10-30AWG,3705,118900,"2.80000","0","1","CLIPLINE UK","Active","Feed Through","-","2","1","6.2mm","Screw","32A","800V","30A","600V","10-30 AWG","0.2-6mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3209578.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3209578.jpg,277-2096-ND,3209578,Phoenix Contact,CONN TERM BLK FEED THRU 12-26AWG,11242,108250,"2.84000","0","1","CLIPLINE PT","Active","Feed Through","-","4","1","5.2mm","Push In, Spring","24A","800V","20A","600V","12-26 AWG","0.14-4mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3209581.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3209581.JPG,277-3577-ND,3209581,Phoenix Contact,CONN TERM BLK FEED THRU 12-26AWG,1282,0,"2.84000","0","1","CLIPLINE PT","Active","Feed Through","-","4","1","5.2mm","Push In, Spring","24A","800V","20A","600V","12-26 AWG","0.14-4mm²","-","Blue","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3031157.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3031157.jpg,277-3346-ND,3031157,Phoenix Contact,CONN TERM BLK FEED THRU 14-26AWG,2060,2650,"2.90000","0","1","CLIPLINE STTB","Active","Feed Through","-","4","2","4.2mm","Push In, Spring","17.5A","500V","15A","300V","14-26 AWG","0.08-1.5mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3208511.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3208511.JPG,277-9809-ND,3208511,Phoenix Contact,CONN TERM BLK FEED THRU 14-26AWG,1940,4450,"3.03000","0","1","CLIPLINE PTTB","Active","Feed Through","-","4","2","3.5mm","Push In, Spring","16A","500V","5A","600V","14-26 AWG","0.14-1.5mm²","-","Gray","-"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/3031306.pdf,//media.digikey.com/Photos/Phoenix%20Photos/3031306.jpg,277-3238-ND,3031306,Phoenix Contact,CONN TERM BLK FEED THRU 12-28AWG,2043,87550,"3.12000","0","1","CLIPLINE ST","Active","Feed Through","-","4","1","5.2mm","Push In, Spring","24A","800V","20A","600V","12-28 AWG","0.08-4mm²","-","Gray","-"
