Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Function","Type","Inductance","Tolerance","DC Resistance (DCR)","Q @ Freq","Current Rating (Amps)","Current - Saturation","Frequency - Self Resonant","Operating Temperature","Size / Dimension"
https://abracon.com/Magnetics/wireless/AWCCA-26R26H08-C01-B.pdf,//media.digikey.com/Photos/Abracon%20Corporation%20Photos/MFG_AWCCA-26R26H08-C01-B.jpg,535-13308-ND,AWCCA-26R26H08-C01-B,Abracon LLC,RX 1 COIL 1 LAYER 10UH,586,0,"4.80000","0","1","AWCCA","Active","Receiver","1 Coil, 1 Layer","10µH","±10%","320mOhm","18.5 @ 100kHz","-","-","-","-25°C ~ 85°C","1.024"" Dia x 0.032"" W (26.00mm x 0.80mm)"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/WR151580-48F2-G_Spec.pdf,//media.digikey.com/photos/TDK%20Photos/MFG_WR151580-48F2-G.jpg,445-175310-ND,WR151580-48F2-G,TDK Corporation,RX 1 COIL 4 LYR 27.1UH,298,0,"5.08000","0","1","WR","Active","Receiver","1 Coil, 4 Layer","27.1µH","-","500mOhm","-","-","-","-","-","0.591"" Dia x 0.104"" H (15.00mm x 2.63mm)"
https://product.tdk.com/info/en/catalog/datasheets/wlc_rx_wr301025-19m8-g_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_WR301025-19M8-G.jpg,445-173095-ND,WR301025-19M8-G,TDK Corporation,RX 1 COIL 2 LYR 12.8UH,193,0,"5.28000","0","1","WR","Active","Receiver","1 Coil, 2 Layer","12.8µH","-","1.27Ohm Max","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/WT202080-28F2-G_Spec.pdf,//media.digikey.com/photos/TDK%20Photos/MFG_WT202080-28F2-G.jpg,445-175311-ND,WT202080-28F2-G,TDK Corporation,TX 1 COIL 4 LYR 20.9UH,179,0,"5.31000","0","1","WT","Active","Transmitter","1 Coil, 4 Layer","20.9µH","-","300mOhm","-","-","-","-","-","0.787"" Dia x 0.108"" H (20.00mm x 2.74mm)"
https://product.tdk.com/info/en/catalog/datasheets/wlc_rx_wr221230-36m8-g_en.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_WR221230.jpg,445-173094-ND,WR221230-36M8-G,TDK Corporation,RX 1 COIL 2 LYR 27.9UH,402,0,"5.37000","0","1","WR","Active","Receiver","1 Coil, 2 Layer","27.9µH","-","1.21Ohm Max","-","-","-","-","-","-"
https://abracon.com/Magnetics/wireless/AWCCA-30N30H20-C01-B.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/MFG_AWCCA-30N30H20-C01-B.jpg,535-13610-ND,AWCCA-30N30H20-C01-B,Abracon LLC,"RECEIVER COIL, 1 COIL, 6.3UH",119,0,"5.45000","0","1","AWCCA","Active","Receiver, Transmitter","1 Coil, 1 Layer","6.3µH","±10%","140mOhm","26 @ 100kHz","-","-","-","-25°C ~ 85°C","1.18"" Dia x 0.02"" H (30.0mm x 0.5mm)"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/WR111180-49F5-G_Spec.pdf,//media.digikey.com/photos/TDK%20Photos/MFG_WR111180-49F5-G.jpg,445-175306-ND,WR111180-49F5-G,TDK Corporation,RX 1 COIL 3 LYR 31.8UH,268,0,"5.52000","0","1","WR","Active","Receiver","1 Coil, 3 Layer","31.8µH","±5%","1.34Ohm","-","-","-","-","-","0.433"" Dia x 0.063"" H (11.00mm x 1.60mm)"
https://product.tdk.com/info/en/catalog/datasheets/wlc_rx_wr303050-15f5-g_en.pdf,//media.digikey.com/Photos/TDK%20Photos/WR303050-15F5-G.jpg,445-16092-ND,WR303050-15F5-G,TDK Corporation,RX 1 COIL 2 LYR 12.3UH,913,0,"5.55000","0","1","WR","Active","Receiver","1 Coil, 2 Layer","12.3µH","-","410mOhm","-","-","-","-","-","1.18"" L x 1.16"" W x 0.03"" H (30.0mm x 29.6mm x 1.0mm)"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/WR111180-36F5-B1_Spec.pdf,//media.digikey.com/photos/TDK%20Photos/MFG_WR111180-36F5-B1.jpg,445-175292-ND,WR111180-36F5-B1,TDK Corporation,RX 1 COIL 2 LYR 16.6UH,905,0,"6.01000","0","1","WR","Active","Receiver","1 Coil, 2 Layer","16.6µH","-","1Ohm","-","-","-","-","-","0.433"" Dia x 0.055"" H (11.00mm x 1.40mm)"
https://katalog.we-online.de/pbs/datasheet/760308103204.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_760308103204.jpg,732-5258-ND,760308103204,Wurth Electronics Inc.,RX 1 COIL 1 LAYER 16.7UH 1A,250,0,"6.05000","0","1","WE-WPCC","Active","Receiver","1 Coil, 1 Layer","16.7µH","±10%","430mOhm","32 @ 125kHz","1A","4A","11MHz","-20°C ~ 105°C","1.52"" L x 1.20"" W x 0.03"" H (38.5mm x 30.5mm x 0.83mm)"
https://product.tdk.com/info/en/catalog/datasheets/wlc_rx_wr202010-18m8-id_en.pdf,//media.digikey.com/Photos/TDK%20Photos/WR202010-18M8-ID.JPG,445-174579-ND,WR202010-18M8-ID,TDK Corporation,RX 1 COIL 2 LYR 11UH,1040,0,"6.16000","0","1","WR","Active","Receiver","1 Coil, 2 Layer","11µH","±5%","350mOhm","-","-","-","-","-","0.787"" Dia x 0.033"" H (20.00mm x 0.84mm)"
http://assets.lairdtech.com/home/brandworld/files/MCP-DS-WPC%20A11%200414.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/RWC5050AK060-500.jpg,240-2783-ND,RWC5050AK060-500,Laird-Signal Integrity Products,TX 1 COIL 1 LAYER 6.5UH,365,0,"6.29000","0","1","RWC","Active","Transmitter","1 Coil, 1 Layer","6.5µH","±10%","50mOhm","70 @ 100kHz","-","-","-","-40°C ~ 125°C","-"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/WT242490-30F2-G_Spec.pdf,//media.digikey.com/photos/TDK%20Photos/MFG_WT242490-30F2-G.jpg,445-175308-ND,WT242490-30F2-G,TDK Corporation,TX 1 COIL 2 LYR 12.9UH,213,0,"6.59000","0","1","WT","Active","Transmitter","1 Coil, 2 Layer","12.9µH","±10%","165mOhm","-","-","-","-","-","0.965"" Dia x 0.094"" H (24.50mm x 2.38mm)"
https://www.molex.com/pdm_docs/sd/1461798011_sd.pdf,//media.digikey.com/Photos/Molex/MFG_1461798011.jpg,WM15004-ND,1461798011,Molex,RX 1 COIL 1 LAYER 2.6UH,314,0,"6.99000","0","1","NuCurrent, PowerLife, 146179","Active","Receiver","1 Coil, 1 Layer","2.6µH","±2%","245mOhm","90 @ 6.78MHz","-","-","-","-","1.043"" Dia x 0.019"" H (26.50mm x 0.48mm)"
