Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Material - Core","Inductance","Tolerance","Current Rating (Amps)","Current - Saturation","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Ratings","Operating Temperature","Inductance Frequency - Test","Features","Mounting Type","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)"
https://katalog.we-online.de/pbs/datasheet/744029004.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/WE-TPC%202813%20Series.jpg,732-1089-1-ND,744029004,Wurth Electronics Inc.,FIXED IND 4.7UH 1A 200 MOHM SMD,13830,0,"1.43000","0","1","Cut Tape (CT)","WE-TPC","Active","Wirewound","Ferrite","4.7µH","±30%","1A","800mA","Shielded","200mOhm Max","-","65MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.059"" (1.50mm)"
https://katalog.we-online.de/pbs/datasheet/744029004.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/WE-TPC%202813%20Series.jpg,732-1089-6-ND,744029004,Wurth Electronics Inc.,FIXED IND 4.7UH 1A 200 MOHM SMD,13830,0,"Digi-Reel","0","1","Digi-Reel®","WE-TPC","Active","Wirewound","Ferrite","4.7µH","±30%","1A","800mA","Shielded","200mOhm Max","-","65MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.059"" (1.50mm)"
https://katalog.we-online.de/pbs/datasheet/744029002.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/WE-TPC%202813%20Series.jpg,732-1087-2-ND,744029002,Wurth Electronics Inc.,FIXED IND 2.2UH 1.5A 105 MOHM,4800,0,"0.79000","0","1200","Tape & Reel (TR)","WE-TPC","Active","Wirewound","Ferrite","2.2µH","±30%","1.5A","1.15A","Shielded","105mOhm Max","-","90MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.059"" (1.50mm)"
https://katalog.we-online.de/pbs/datasheet/744029002.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/WE-TPC%202813%20Series.jpg,732-1087-1-ND,744029002,Wurth Electronics Inc.,FIXED IND 2.2UH 1.5A 105 MOHM,5862,0,"1.43000","0","1","Cut Tape (CT)","WE-TPC","Active","Wirewound","Ferrite","2.2µH","±30%","1.5A","1.15A","Shielded","105mOhm Max","-","90MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.059"" (1.50mm)"
https://katalog.we-online.de/pbs/datasheet/744029002.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/WE-TPC%202813%20Series.jpg,732-1087-6-ND,744029002,Wurth Electronics Inc.,FIXED IND 2.2UH 1.5A 105 MOHM,5862,0,"Digi-Reel","0","1","Digi-Reel®","WE-TPC","Active","Wirewound","Ferrite","2.2µH","±30%","1.5A","1.15A","Shielded","105mOhm Max","-","90MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","Nonstandard","2828","0.110"" L x 0.110"" W (2.80mm x 2.80mm)","0.059"" (1.50mm)"
https://katalog.we-online.de/pbs/datasheet/74438335047.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/WE-MAPI-1212(3030)1.5mm.jpg,732-4866-2-ND,74438335047,Wurth Electronics Inc.,FIXED IND 4.7UH 1.5A 162 MOHM,3000,0,"0.81300","0","1000","Tape & Reel (TR)","WE-MAPI","Active","Molded","Metal Composite","4.7µH","±20%","1.5A","2.8A","Shielded","162mOhm Max","-","30MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","1212 (3030 Metric)","1212 (3030 Metric)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)","0.059"" (1.50mm)"
https://katalog.we-online.de/pbs/datasheet/74438335047.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/WE-MAPI-1212(3030)1.5mm.jpg,732-4866-1-ND,74438335047,Wurth Electronics Inc.,FIXED IND 4.7UH 1.5A 162 MOHM,3071,0,"1.13000","0","1","Cut Tape (CT)","WE-MAPI","Active","Molded","Metal Composite","4.7µH","±20%","1.5A","2.8A","Shielded","162mOhm Max","-","30MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","1212 (3030 Metric)","1212 (3030 Metric)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)","0.059"" (1.50mm)"
https://katalog.we-online.de/pbs/datasheet/74438335047.pdf,//media.digikey.com/Renders/Wurth%20Electronics%20Renders/WE-MAPI-1212(3030)1.5mm.jpg,732-4866-6-ND,74438335047,Wurth Electronics Inc.,FIXED IND 4.7UH 1.5A 162 MOHM,3071,0,"Digi-Reel","0","1","Digi-Reel®","WE-MAPI","Active","Molded","Metal Composite","4.7µH","±20%","1.5A","2.8A","Shielded","162mOhm Max","-","30MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","1212 (3030 Metric)","1212 (3030 Metric)","0.118"" L x 0.118"" W (3.00mm x 3.00mm)","0.059"" (1.50mm)"
https://katalog.we-online.de/pbs/datasheet/744043100.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/WE-TPC-4828.jpg,732-1103-2-ND,744043100,Wurth Electronics Inc.,FIXED IND 10UH 1.19A 110 MOHM,4500,0,"0.82000","0","500","Tape & Reel (TR)","WE-TPC","Active","Wirewound","Ferrite","10µH","±30%","1.19A","1A","Shielded","110mOhm Max","-","40MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","1919 (4848 Metric)","-","0.189"" L x 0.189"" W (4.80mm x 4.80mm)","0.118"" (3.00mm)"
https://katalog.we-online.de/pbs/datasheet/744043100.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/WE-TPC-4828.jpg,732-1103-1-ND,744043100,Wurth Electronics Inc.,FIXED IND 10UH 1.19A 110 MOHM,4821,0,"1.43000","0","1","Cut Tape (CT)","WE-TPC","Active","Wirewound","Ferrite","10µH","±30%","1.19A","1A","Shielded","110mOhm Max","-","40MHz","-","-40°C ~ 125°C","100kHz","-","Surface Mount","1919 (4848 Metric)","-","0.189"" L x 0.189"" W (4.80mm x 4.80mm)","0.118"" (3.00mm)"
