Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Fuse Type","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Response Time","Applications","Features","Class","Approvals","Operating Temperature","Breaking Capacity @ Rated Voltage","Mounting Type","Package / Case","Size / Dimension"
//media.digikey.com/pdf/Data%20Sheets/Littelfuse%20PDFs/304_Series_Prelim.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_0304.jpg,F8239TR-ND,0304.750HR,Littelfuse Inc.,FUSE BRD MNT 750MA 277VAC/DC SMD,200,0,"10.67220","0","100","Tape & Reel (TR)","PICO® 304","Active","Board Mount","750mA","277V","277V","-","Hazardous Locations","Intrinsically Safe","-","cURus, EX","-40°C ~ 56°C","1.5kA","Surface Mount","2-SMD, J-Lead","0.538"" L x 0.237"" W x 0.244"" H (13.67mm x 6.03mm x 6.19mm)"
//media.digikey.com/pdf/Data%20Sheets/Littelfuse%20PDFs/304_Series_Prelim.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_0304.jpg,F8239CT-ND,0304.750HR,Littelfuse Inc.,FUSE BRD MNT 750MA 277VAC/DC SMD,250,0,"19.08000","0","1","Cut Tape (CT)","PICO® 304","Active","Board Mount","750mA","277V","277V","-","Hazardous Locations","Intrinsically Safe","-","cURus, EX","-40°C ~ 56°C","1.5kA","Surface Mount","2-SMD, J-Lead","0.538"" L x 0.237"" W x 0.244"" H (13.67mm x 6.03mm x 6.19mm)"
//media.digikey.com/pdf/Data%20Sheets/Littelfuse%20PDFs/304_Series_Prelim.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_0304.jpg,F8239DKR-ND,0304.750HR,Littelfuse Inc.,FUSE BRD MNT 750MA 277VAC/DC SMD,250,0,"Digi-Reel","0","1","Digi-Reel®","PICO® 304","Active","Board Mount","750mA","277V","277V","-","Hazardous Locations","Intrinsically Safe","-","cURus, EX","-40°C ~ 56°C","1.5kA","Surface Mount","2-SMD, J-Lead","0.538"" L x 0.237"" W x 0.244"" H (13.67mm x 6.03mm x 6.19mm)"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-a/Bus_Ele_DS_2031_GMF_GRF_HLR.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/BK%5EGMF-2-8%5E10.JPG,283-5010-ND,BK/GRF-10,Eaton - Electronics Division,FUSE CARTRIDGE 10A 300VAC,999,0,"11.12000","0","1","Bulk","GRF","Active","Cartridge","10A","300V","-","Slow Blow","Electrical, Industrial","-","-","CSA, UR","-","10kA","Holder","Cartridge, Non-Standard","-"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-a/Bus_Ele_DS_2030_GMQ_HLQ.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/BK%5EGMQ-3-2%5E10.JPG,283-5007-ND,BK/GMQ-3-2/10,Eaton - Electronics Division,FUSE CARTRIDGE 3.2A 300VAC,1000,0,"11.51000","0","1","Bulk","GMQ","Active","Cartridge","3.2A","300V","-","Slow Blow","Electrical, Industrial","-","-","CE, CSA, UL","-","10kA","Holder","Cartridge, Non-Standard","-"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-a/Bus_Ele_DS_2031_GMF_GRF_HLR.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/BK%5EGMF-2-8%5E10.JPG,283-4993-ND,BK/GMF-1-6/10,Eaton - Electronics Division,FUSE CARTRIDGE 1.6A 300VAC,1000,0,"12.74000","0","1","Bulk","GMF","Active","Cartridge","1.6A","300V","-","Slow Blow","Electrical, Industrial","-","-","CE, CSA, UL","-","10kA","Holder","Cartridge, Non-Standard","-"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-a/Bus_Ele_DS_2031_GMF_GRF_HLR.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/BK%5EGMF-2-8%5E10.JPG,283-4994-ND,BK/GMF-1,Eaton - Electronics Division,FUSE CARTRIDGE 1A 300VAC,1000,0,"12.74000","0","1","Bulk","GMF","Active","Cartridge","1A","300V","-","Slow Blow","Electrical, Industrial","-","-","CE, CSA, UL","-","10kA","Holder","Cartridge, Non-Standard","-"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-a/Bus_Ele_DS_2031_GMF_GRF_HLR.pdf,//media.digikey.com/Photos/Eaton-Electronics/BK%5EGMF-2.jpg,283-4997-ND,BK/GMF-2,Eaton - Electronics Division,FUSE CARTRIDGE 2A 300VAC,1000,300,"12.74000","0","1","Bulk","GMF","Active","Cartridge","2A","300V","-","Slow Blow","Electrical, Industrial","-","-","CE, CSA, UL","-","10kA","Holder","Cartridge, Non-Standard","-"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-a/Bus_Ele_DS_2030_GMQ_HLQ.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/BK%5EGMF-1-14.jpg,283-5008-ND,BK/GMQ-3,Eaton - Electronics Division,FUSE CARTRIDGE 3A 300VAC,1000,0,"12.74000","0","1","Bulk","GMQ","Active","Cartridge","3A","300V","-","Slow Blow","Electrical, Industrial","-","-","CE, CSA, UL","-","10kA","Holder","Cartridge, Non-Standard","-"
http://www.cooperindustries.com/content/dam/public/bussmann/Electrical/Resources/product-datasheets-a/Bus_Ele_DS_2031_GMF_GRF_HLR.pdf,//media.digikey.com/Photos/Eaton-Electronics/BKGMF-1%5E2.jpg,283-4990-ND,BK/GMF-1/2,Eaton - Electronics Division,FUSE CARTRIDGE 500MA 300VAC,1000,0,"13.52000","0","1","Bulk","GMF","Active","Cartridge","500mA","300V","-","Slow Blow","Electrical, Industrial","-","-","CE, CSA, UL","-","10kA","Holder","Cartridge, Non-Standard","-"
