Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Specifications"
https://www.sensata.com/sites/default/files/media/documents/2018-04-26/ourproducts_pgfm_series_datasheet.pdf,//media.digikey.com/Photos/Sensata-Airpax/PGFM-211-B-A1-188.JPG,723-1351-ND,PGFM-211-B-A1-188,Sensata-Airpax,GROUND FAULT PROTECTION MODULE,145,0,"133.14000","0","1","LineGard® PGFM","Active","Sensing Module","240V"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/DIN_Rail_Mounted_Service_Outlets.pdf,//media.digikey.com/photos/Phoenix%20Photos/5602192.JPG,277-5396-ND,5602192,Phoenix Contact,DIN RAIL DUAL OUTLET 20A 120VAC,10,27,"117.42000","0","1","-","Active","Permanent Splice","120V"
https://www.molex.com/pdm_docs/sd/1301530100_sd.pdf,//media.digikey.com/Photos/Molex/1301530100.jpg,WM21836-ND,1301530100,Molex,PLUG MANUAL 5-15A GFCI 120VAC,5,0,"105.52000","0","1","-","Active","Plug, Field Wireable","120V"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW2006129.PDF,//media.digikey.com/photos/Molex/1301530110.JPG,WM24789-ND,1301530110,Molex,GFCI MANUAL 20A 2' FLYING LEADS,2,0,"181.70000","0","1","-","Active","In-Line Splice with 2' Leads","120V"
-,-,WM21687-ND,1301530181,Molex,30A/240V GFCIAUTO2FT FLYINGLEADS,2,0,"441.88000","0","1","*","Active","-","-"
https://html5.dcatalog.com/?docid=93bcf829-206c-44f0-8fd9-a83f0168ce20#page=77,-,D7524.13.05-ND,D7524.13.05,General Cable/Carol Brand,PLUG-IT GFCI - CLAMSHELL,0,0,"59.53667","0","6","Plug-It®","Active","Plug with Receptacle","125V"
https://www.sensata.com/sites/default/files/media/documents/2018-04-26/ourproducts_pgfm_series_datasheet.pdf,-,PGFM-111-B-A1-138A-ND,PGFM-111-B-A1-138A,Sensata-Airpax,GROUND FAULT PROTECTION MODULE,0,0,"83.64000","0","3","LineGard® PGFM","Active","Sensing Module","120V"
https://www.sensata.com/sites/default/files/media/documents/2018-04-26/ourproducts_pgfm_series_datasheet.pdf,-,PGFM-211-B-A1-ND,PGFM-211-B-A1,Sensata-Airpax,GROUND FAULT PROTECTION MODULE,0,0,"83.64000","0","3","LineGard® PGFM","Active","Sensing Module","240V"
https://www.sensata.com/sites/default/files/media/documents/2018-04-26/ourproducts_pgfm_series_datasheet.pdf,-,PGFM-211-B-A1-138A-ND,PGFM-211-B-A1-138A,Sensata-Airpax,GROUND FAULT PROTECTION MODULE,0,0,"83.64000","0","3","LineGard® PGFM","Active","Sensing Module","240V"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=133,-,1301530019-ND,1301530019,Molex,PLUG/CONNECT 15A GFCI INLINE 18"",0,0,"114.41000","0","1","Safe-T-Chek","Active","In-Line Splice with 18"" Leads","120V"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=133,-,1301530144-ND,1301530144,Molex,PLUG/CONNECTOR IN-LINE GFCI 15A,0,0,"114.72000","0","1","Safe-T-Chek","Active","Permanent Splice","120V"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301530099_POWER_DISTRIBUTION.pdf,-,1301530099-ND,1301530099,Molex,15A GFCI PLGAUTO FIELD ATTCHBL,0,0,"117.31000","0","1","Super-Safeway 130153","Active","Plug, Field Wireable","125V"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=133,-,1301530208-ND,1301530208,Molex,PLUG/RCPT GFCI 5-20 20A/120VAC,0,0,"121.16000","0","1","Safe-T-Chek","Active","In-Line Splice","120/240V"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=133,-,1301530028-ND,1301530028,Molex,PLUG/TRI-CORD GFCI 15A INLINE 2',0,0,"123.69000","0","1","Safe-T-Chek","Active","In-Line Splice with 2' Leads","120V"
https://www.sensata.com/sites/default/files/media/documents/2018-04-26/ourproducts_pgfm_series_datasheet.pdf,-,PGFM-211-B-A2-188-ND,PGFM-211-B-A2-188,Sensata-Airpax,GROUND FAULT PROTECTION MODULE,0,0,"124.30333","0","3","PGFM","Active","Sensing Module","120/240V"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=133,-,1301530036-ND,1301530036,Molex,PLUG/CONNECTOR GFCI 15A 5-15 6',0,0,"129.88000","0","1","Safe-T-Chek","Active","In-Line Splice with 6' Leads","120V"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=133,-,1301530090-ND,1301530090,Molex,PLUG IN-LINE GFCI 15A 5-15 9"",0,0,"129.88000","0","1","Safe-T-Chek","Active","Plug with 9"" Leads","120V"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW2006129.PDF,-,1301530030-ND,1301530030,Molex,15A GFCI MANUAL 2' 3X5-15,0,0,"130.80000","0","1","-","Active","In-Line Splice with 2' Leads","120V"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301530091_POWER_DISTRIBUTION.pdf,-,1301530091-ND,1301530091,Molex,15A GFCI PLUGAUTO2'MLD 5-15,0,0,"130.97000","0","1","Super-Safeway 130153","Active","Plug with 2' Leads","125V"
https://www.sensata.com/sites/default/files/media/documents/2018-04-26/ourproducts_pgfm_series_datasheet.pdf,-,PGFM-111-B-A1-188A-ND,PGFM-111-B-A1-188A,Sensata-Airpax,GROUND FAULT PROTECTION MODULE,0,0,"131.85333","0","3","LineGard® PGFM","Active","Sensing Module","120V"
https://www.sensata.com/sites/default/files/media/documents/2018-04-26/ourproducts_pgfm_series_datasheet.pdf,-,PGFM-211-B-A1-188A-ND,PGFM-211-B-A1-188A,Sensata-Airpax,GROUND FAULT PROTECTION MODULE,0,0,"131.85333","0","3","LineGard® PGFM","Active","Sensing Module","240V"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301530094_POWER_DISTRIBUTION.pdf,-,1301530094-ND,1301530094,Molex,15A GFCI PLUGMANU2'3X 5-15,0,0,"135.90000","0","1","Super-Safeway 130153","Active","Plug with 2' Leads","125V"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=133,-,1301530039-ND,1301530039,Molex,PLUG/TRI-CORD GFCI 15A 5-15 6',0,0,"140.40000","0","1","Safe-T-Chek","Active","In-Line Splice with 6' Leads","120V"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301530093_POWER_DISTRIBUTION.pdf,-,1301530093-ND,1301530093,Molex,15A GFCI PLUGAUTO2'3X 5-15,0,0,"142.70000","0","1","Super-Safeway 130153","Active","Plug with 2' Leads","125V"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301530029_POWER_DISTRIBUTION.pdf,-,1301530029-ND,1301530029,Molex,15A GFCI AUTO2'MLD TTAP 3X5-15,0,0,"145.44000","0","1","Super-Safeway 130153","Active","In-Line Splice with 2' Leads","120V"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301530038_POWER_DISTRIBUTION.pdf,-,1301530038-ND,1301530038,Molex,15A GFCI MANUAL6'MLD 5-15,0,0,"145.48000","0","1","Super-Safeway 130153","Active","In-Line Splice with 6' Leads","125V"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301530037_POWER_DISTRIBUTION.pdf,-,1301530037-ND,1301530037,Molex,15A GFCI AUTO6'MLD 5-15,0,0,"152.73000","0","1","Super-Safeway 130153","Active","In-Line Splice with 6' Leads","125V"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301530041_POWER_DISTRIBUTION.pdf,-,1301530041-ND,1301530041,Molex,15A GFCI PLGMANUAL6'MLD 3X5-15,0,0,"157.23000","0","1","Super-Safeway 130153","Active","In-Line Splice with 8' Leads","125V"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301530051_POWER_DISTRIBUTION.pdf,-,1301530051-ND,1301530051,Molex,SUPER-SAFEWAY IN-LINE GFCI,0,0,"183.93000","0","1","Super-Safeway 130153","Active","In-Line Splice with 6' Leads","120V"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=133,-,1301530111-ND,1301530111,Molex,PLUG/CONN IN-LINE GFCI 20A 18"",0,0,"184.61000","0","1","Safe-T-Chek","Active","In-Line Splice with 18"" Leads","120V"
http://rhu004.sma-promail.com/SQLImages/kelmscott/Molex/PDF_Images/DW2006129.PDF,-,1301530114-ND,1301530114,Molex,20A GFCI AUTO MLD L5-20 2',0,0,"200.64000","0","1","-","Active","In-Line Splice with 2' Leads","120V"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301530098_POWER_DISTRIBUTION.pdf,-,1301530098-ND,1301530098,Molex,15A GFCI PLUGMANU25'3X5-15,0,0,"208.76000","0","1","Super-Safeway 130153","Active","In-Line Splice with 25' Leads","125V"
-,-,1301530005-ND,1301530005,Molex,1447 W/8FT 14-3-SJT 25W47 GFCI,0,0,"211.82000","0","1","Super-Safeway 130153","Active","-","-"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301530025_POWER_DISTRIBUTION.pdf,-,1301530025-ND,1301530025,Molex,15A.TRI-CORD GFCI W/MOLD P/3-C,0,0,"213.12000","0","1","Super-Safeway 130153","Active","In-Line Splice with 25' Leads","120V"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301530096_POWER_DISTRIBUTION.pdf,-,1301530096-ND,1301530096,Molex,15A GFCI PLUGMANUAL25'MLD 5-15,0,0,"213.50000","0","1","Super-Safeway 130153","Active","Plug with 25' Leads","125V"
-,-,1301530054-ND,1301530054,Molex,15A IN-LINE GFCI W/PLUG CONN,0,0,"213.55000","0","1","Super-Safeway 130153","Active","In-Line Splice","-"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1301530044_POWER_DISTRIBUTION.pdf,-,1301530044-ND,1301530044,Molex,15A GFCIMANU2FT14/1547 5-15,0,0,"217.35000","0","1","Super-Safeway 130153","Active","In-Line Splice with 2' Leads","125V"
