Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Breaker Type","Current Rating (Amps)","Voltage Rating - AC","Voltage Rating - DC","Number of Poles","Actuator Type","Illumination","Illumination Voltage (Nominal)","Mounting Type","Approvals"
http://www.qualtekusa.com/images/Circuit%20Breakers/PDF%20Files/qlb20311b3n3ba.pdf,//media.digikey.com/photos/Qualtek%20Photos/QLB-203-11B3N-3BA.JPG,Q507-ND,QLB-203-11B3N-3BA,Qualtek,CIR BRKR THRM 20A 250VAC 32VDC,2647,0,"2.48000","0","1","QLB","Active","Thermal","20A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
http://www.qualtekusa.com/images/Circuit%20Breakers/PDF%20Files/qmb20311c3n3ba.pdf,//media.digikey.com/photos/Qualtek%20Photos/QMB-203-11C3N-3BA.JPG,Q525-ND,QMB-203-11C3N-3BA,Qualtek,CIR BRKR THRM 20A 250VAC 32VDC,1256,0,"2.51000","0","1","QMB","Active","Thermal","20A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W57&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/W57-XB7A4A10-15.JPG,PB658-ND,W57-XB7A4A10-8,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 8A 250VAC,1168,0,"2.64000","0","1","W57","Active","Thermal","8A","250V","-","1","Push to Reset","-","-","Panel Mount","-"
http://www.qualtekusa.com/images/Circuit%20Breakers/PDF%20Files/qlb05311b3n3ba.pdf,//media.digikey.com/photos/Qualtek%20Photos/QLB-053-11B3N-3BA.JPG,Q499-ND,QLB-053-11B3N-3BA,Qualtek,CIR BRKR THRM 5A 250VAC 32VDC,2460,1500,"2.74000","0","1","QLB","Active","Thermal","5A","250V","32V","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W57&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/W57-XB7A4A10-15.JPG,PB534-ND,W57-XB7A4A10-15,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 15A 250VAC,3533,0,"2.91000","0","1","W57","Active","Thermal","15A","250V","-","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W57&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/W57-XB7A4A10-15.JPG,PB535-ND,W57-XB7A4A10-20,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 20A 250VAC,1233,0,"2.95000","0","1","W57","Active","Thermal","20A","250V","-","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W57&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/W57-XB1A7A10-20.JPG,PB1071-ND,W57-XB1A7A10-20,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 20A 250VAC,4273,0,"3.24000","0","1","W57","Active","Thermal","20A","250V","-","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W57&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/W57-XB1A7A10-10.jpg,PB1069-ND,W57-XB1A7A10-10,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 10A 250VAC,378,0,"3.24000","0","1","W57","Active","Thermal","10A","250V","-","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W54&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/W54-XB1A4A10-5.jpg,PB1043-ND,W54-XB1A4A10-5,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 5A 250VAC,1259,0,"3.38000","0","1","W54","Active","Thermal","5A","250V","-","1","Push to Reset","-","-","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1308242_W54&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/W54-XB1A4A10-15.JPG,PB1045-ND,W54-XB1A4A10-15,TE Connectivity Potter & Brumfield Relays,CIR BRKR THRM 15A 250VAC,696,0,"3.38000","0","1","W54","Active","Thermal","15A","250V","-","1","Push to Reset","-","-","Panel Mount","-"
