Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Voltage - Clamping","Technology","Number of Circuits","Applications","Mounting Type","Package / Case","Supplier Device Package"
http://www.linear.com/docs/40854,//media.digikey.com/renders/Linear%20Tech%20Renders/12-DFN_05-08-1695%20rev%20D.jpg,LT4363HDE-2#TRPBFTR-ND,LT4363HDE-2#TRPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV 12-DFN,0,0,"3.95200","0","2500","Tape & Reel (TR)","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","12-WFDFN Exposed Pad","12-DFN (4x3)"
http://www.linear.com/docs/40854,//media.digikey.com/renders/Linear%20Tech%20Renders/12-DFN_05-08-1695%20rev%20D.jpg,LT4363HDE-2#TRPBFCT-ND,LT4363HDE-2#TRPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV 12-DFN,931,0,"7.98000","0","1","Cut Tape (CT)","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","12-WFDFN Exposed Pad","12-DFN (4x3)"
http://www.linear.com/docs/40854,//media.digikey.com/renders/Linear%20Tech%20Renders/12-DFN_05-08-1695%20rev%20D.jpg,LT4363HDE-2#TRPBFDKR-ND,LT4363HDE-2#TRPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV 12-DFN,931,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","12-WFDFN Exposed Pad","12-DFN (4x3)"
http://www.linear.com/docs/40796,//media.digikey.com/renders/Linear%20Tech%20Renders/TSOT-23-8_05-08-1637.jpg,LTC4366HTS8-1#TRMPBFTR-ND,LTC4366HTS8-1#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV TSOT-23-8,0,0,"4.38100","0","500","Tape & Reel (TR)","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","SOT-23-8 Thin, TSOT-23-8","TSOT-23-8"
http://www.linear.com/docs/40796,//media.digikey.com/renders/Linear%20Tech%20Renders/TSOT-23-8_05-08-1637.jpg,LTC4366HTS8-1#TRMPBFCT-ND,LTC4366HTS8-1#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV TSOT-23-8,325,0,"8.85000","0","1","Cut Tape (CT)","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","SOT-23-8 Thin, TSOT-23-8","TSOT-23-8"
http://www.linear.com/docs/40796,//media.digikey.com/renders/Linear%20Tech%20Renders/TSOT-23-8_05-08-1637.jpg,LTC4366HTS8-1#TRMPBFDKR-ND,LTC4366HTS8-1#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV TSOT-23-8,325,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","SOT-23-8 Thin, TSOT-23-8","TSOT-23-8"
http://www.linear.com/docs/40796,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1702;DDB;8.jpg,LTC4366HDDB-1#TRMPBFTR-ND,LTC4366HDDB-1#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV 8-DFN,0,0,"4.38100","0","500","Tape & Reel (TR)","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","8-WFDFN Exposed Pad","8-DFN (3x2)"
http://www.linear.com/docs/40796,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1702;DDB;8.jpg,LTC4366HDDB-1#TRMPBFCT-ND,LTC4366HDDB-1#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV 8-DFN,224,0,"8.85000","0","1","Cut Tape (CT)","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","8-WFDFN Exposed Pad","8-DFN (3x2)"
http://www.linear.com/docs/40796,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1702;DDB;8.jpg,LTC4366HDDB-1#TRMPBFDKR-ND,LTC4366HDDB-1#TRMPBF,Linear Technology/Analog Devices,IC SURGE STOPPER HV 8-DFN,224,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","8-WFDFN Exposed Pad","8-DFN (3x2)"
http://www.linear.com/docs/41815,//media.digikey.com/Renders/Linear%20Tech%20Renders/16-MSOP%2005-08-1669.jpg,LTC4364HMS-1#TRPBFTR-ND,LTC4364HMS-1#TRPBF,Linear Technology/Analog Devices,SURGE STOPPER W/DIODE 16MSOP,0,0,"5.72000","0","2500","Tape & Reel (TR)","-","Active","Adjustable","External Switch","1","Automotive","Surface Mount","16-TFSOP (0.118"", 3.00mm Width)","16-MSOP"
