Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","R @ 25°C","Tolerance","Current - Steady State Max","R @ Current","Diameter","Lead Spacing","Approvals"
//media.digikey.com/PDF/Data%20Sheets/Ametherm%20PDFs/AS355R025.pdf,//media.digikey.com/Photos/Ametherm%20Photos/MFG_AS35%20Series.jpg,570-1114-ND,AS35 5R025,Ametherm,ICL 5 OHM 25% 25A 36MM,580,0,"13.65000","0","1","Bulk","AS","Active","5 Ohms","±25%","25A","25 mOhms","1.417"" (36.00mm)","0.748"" (19.00mm)","-"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S153.pdf,//media.digikey.com/Photos/Epcos%20Photos/B57153SxxxM.jpg,495-75203-3-ND,B57153S479M54,EPCOS (TDK),ICL 4.7 OHM 20% 3A 8.5MM,3000,0,"0.16958","0","1000","Tape & Box (TB)","S153","Active","4.7 Ohms","±20%","3A","-","0.335"" (8.50mm)","0.197"" (5.00mm)","UL"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S153.pdf,//media.digikey.com/Photos/Epcos%20Photos/B57153SxxxM.jpg,495-75203-1-ND,B57153S479M54,EPCOS (TDK),ICL 4.7 OHM 20% 3A 8.5MM,3557,0,"0.34000","0","1","Cut Tape (CT)","-","Active","4.7 Ohms","±20%","3A","-","0.335"" (8.50mm)","0.197"" (5.00mm)","UL"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S153.pdf,//media.digikey.com/Photos/Epcos%20Photos/B57153SxxxM.jpg,495-76252-2-ND,B57153S0150M051,EPCOS (TDK),ICL 15 OHM 20% 1.8A 8.5MM,7500,0,"0.27313","0","1500","Tape & Reel (TR)","S153","Active","15 Ohms","±20%","1.8A","-","0.335"" (8.50mm)","0.197"" (5.00mm)","UL"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S153.pdf,//media.digikey.com/Photos/Epcos%20Photos/B57153SxxxM.jpg,495-76252-1-ND,B57153S0150M051,EPCOS (TDK),ICL 15 OHM 20% 1.8A 8.5MM,8806,0,"0.69000","0","1","Cut Tape (CT)","-","Active","15 Ohms","±20%","1.8A","-","0.335"" (8.50mm)","0.197"" (5.00mm)","UL"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S153.pdf,//media.digikey.com/Photos/Epcos%20Photos/B57153SxxxM.jpg,495-76103-2-ND,B57153S0330M051,EPCOS (TDK),ICL 33 OHM 20% 1.3A 8.5MM,13500,0,"0.27313","0","1500","Tape & Reel (TR)","S153","Active","33 Ohms","±20%","1.3A","-","0.335"" (8.50mm)","0.197"" (5.00mm)","UL"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S153.pdf,//media.digikey.com/Photos/Epcos%20Photos/B57153SxxxM.jpg,495-76103-1-ND,B57153S0330M051,EPCOS (TDK),ICL 33 OHM 20% 1.3A 8.5MM,14671,0,"0.69000","0","1","Cut Tape (CT)","-","Active","33 Ohms","±20%","1.3A","-","0.335"" (8.50mm)","0.197"" (5.00mm)","UL"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S153.pdf,//media.digikey.com/Photos/Epcos%20Photos/B57153SxxxM.jpg,495-76253-2-ND,B57153S0479M051,EPCOS (TDK),ICL 4.7 OHM 20% 3A 8.5MM,0,0,"0.27313","0","1500","Tape & Reel (TR)","S153","Active","4.7 Ohms","±20%","3A","-","0.335"" (8.50mm)","0.197"" (5.00mm)","UL"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S153.pdf,//media.digikey.com/Photos/Epcos%20Photos/B57153SxxxM.jpg,495-76253-1-ND,B57153S0479M051,EPCOS (TDK),ICL 4.7 OHM 20% 3A 8.5MM,2102,0,"0.69000","0","1","Cut Tape (CT)","-","Active","4.7 Ohms","±20%","3A","-","0.335"" (8.50mm)","0.197"" (5.00mm)","UL"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S153.pdf,//media.digikey.com/Photos/Epcos%20Photos/B57153SxxxM.jpg,495-7096-2-ND,B57153S0100M051,EPCOS (TDK),ICL 10 OHM 20% 2A 8.5MM,1500,0,"0.27313","0","1500","Reel","S153","Active","10 Ohms","±20%","2A","340 mOhms","0.335"" (8.50mm)","0.197"" (5.00mm)","UL"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S153.pdf,//media.digikey.com/Photos/Epcos%20Photos/B57153SxxxM.jpg,495-7096-1-ND,B57153S0100M051,EPCOS (TDK),ICL 10 OHM 20% 2A 8.5MM,2714,0,"0.69000","0","1","Cut Tape (CT)","S153","Active","10 Ohms","±20%","2A","340 mOhms","0.335"" (8.50mm)","0.197"" (5.00mm)","UL"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S237.pdf,//media.digikey.com/photos/Epcos%20Photos/B57237%20Series.jpg,495-76635-3-ND,B57237S229M54,EPCOS (TDK),ICL 2.2 OHM 20% 7A 15MM,5250,0,"0.33469","0","750","Tape & Box (TB)","S237","Active","2.2 Ohms","±20%","7A","-","0.591"" (15.00mm)","0.295"" (7.50mm)","UL"
https://www.tdk-electronics.tdk.com/inf/50/db/icl_16/S237.pdf,//media.digikey.com/photos/Epcos%20Photos/B57237%20Series.jpg,495-76635-1-ND,B57237S229M54,EPCOS (TDK),ICL 2.2 OHM 20% 7A 15MM,5378,0,"0.73000","0","1","Cut Tape (CT)","-","Active","2.2 Ohms","±20%","7A","-","0.591"" (15.00mm)","0.295"" (7.50mm)","UL"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-060D5.JPG,317-1146-ND,MF72-060D5,Cantherm,ICL 60 OHM 20% 300MA 7MM,8312,0,"0.37000","0","1","Bulk","MF72","Active","60 Ohms","±20%","300mA","1.878 Ohms","0.276"" (7.00mm)","0.098"" (2.50mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-005D5.JPG,317-1144-ND,MF72-005D5,Cantherm,ICL 5 OHM 20% 1A 7MM,7392,0,"0.38000","0","1","Bulk","MF72","Active","5 Ohms","±20%","1A","353 mOhms","0.276"" (7.00mm)","0.098"" (2.50mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-010D7.JPG,317-1150-ND,MF72-010D7,Cantherm,ICL 10 OHM 20% 1A 9MM,6711,0,"0.38000","0","1","Bulk","MF72","Active","10 Ohms","±20%","1A","616 mOhms","0.354"" (9.00mm)","0.197"" (5.00mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-200D7.JPG,317-1155-ND,MF72-200D7,Cantherm,ICL 200 OHM 20% 200MA 9MM,4385,0,"0.38000","0","1","Bulk","MF72","Active","200 Ohms","±20%","200mA","11.65 Ohms","0.354"" (9.00mm)","0.197"" (5.00mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-022D7.JPG,317-1153-ND,MF72-022D7,Cantherm,ICL 22 OHM 20% 600MA 9MM,3757,0,"0.38000","0","1","Bulk","MF72","Active","22 Ohms","±20%","600mA","1.108 Ohms","0.354"" (9.00mm)","0.197"" (5.00mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-033D7.JPG,317-1154-ND,MF72-033D7,Cantherm,ICL 33 OHM 20% 500MA 9MM,1577,0,"0.38000","0","1","Bulk","MF72","Active","33 Ohms","±20%","500mA","1.485 Ohms","0.354"" (9.00mm)","0.197"" (5.00mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-008D7.JPG,317-1149-ND,MF72-008D7,Cantherm,ICL 8 OHM 20% 1A 9MM,2763,0,"0.38000","0","1","Bulk","MF72","Active","8 Ohms","±20%","1A","539 mOhms","0.354"" (9.00mm)","0.197"" (5.00mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-012D7.JPG,317-1151-ND,MF72-012D7,Cantherm,ICL 12 OHM 20% 1A 9MM,1776,0,"0.38000","0","1","Bulk","MF72","Active","12 Ohms","±20%","1A","816 mOhms","0.354"" (9.00mm)","0.197"" (5.00mm)","-"
https://www.cantherm.com/wp-content/uploads/2018/08/MF72_AUG_2018.pdf,//media.digikey.com/photos/Cantherm%20Photos/MF72-005D7.JPG,317-1148-ND,MF72-005D7,Cantherm,ICL 5 OHM 20% 2A 9MM,1314,0,"0.38000","0","1","Bulk","MF72","Active","5 Ohms","±20%","2A","283 mOhms","0.354"" (9.00mm)","0.197"" (5.00mm)","-"
