Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Voltage - DC Spark Over (Nom)","Impulse Discharge Current (8/20µs)","Tolerance","Number of Poles","Fail Short","Mounting Type","Package / Case"
https://www.littelfuse.com/~/media/electronics/datasheets/gas_discharge_tubes/littelfuse_gdt_sg_datasheet.pdf.pdf,//media.digikey.com/Renders/Littelfuse%20Renders/1812%20Series.jpg,F4127TR-ND,SG150,Littelfuse Inc.,GDT 150V 2KA SURFACE MOUNT,4000,0,"0.55688","0","2000","Tape & Reel (TR)","SG","Active","150V","2000A (2kA)","-","2","No","Surface Mount","1812 (4532 Metric)"
https://www.littelfuse.com/~/media/electronics/datasheets/gas_discharge_tubes/littelfuse_gdt_sg_datasheet.pdf.pdf,//media.digikey.com/Renders/Littelfuse%20Renders/1812%20Series.jpg,F4127CT-ND,SG150,Littelfuse Inc.,GDT 150V 2KA SURFACE MOUNT,5158,0,"1.43000","0","1","Cut Tape (CT)","SG","Active","150V","2000A (2kA)","-","2","No","Surface Mount","1812 (4532 Metric)"
https://www.littelfuse.com/~/media/electronics/datasheets/gas_discharge_tubes/littelfuse_gdt_sg_datasheet.pdf.pdf,//media.digikey.com/Renders/Littelfuse%20Renders/1812%20Series.jpg,F4127DKR-ND,SG150,Littelfuse Inc.,GDT 150V 2KA SURFACE MOUNT,5158,0,"Digi-Reel","0","1","Digi-Reel®","SG","Active","150V","2000A (2kA)","-","2","No","Surface Mount","1812 (4532 Metric)"
https://www.bourns.com/docs/Product-Datasheets/2031-xxT.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_2031T-Series.jpg,2031-23T-SM-RPLFTR-ND,2031-23T-SM-RPLF,Bourns Inc.,GDT 185V 1KA SURFACE MOUNT,4500,0,"0.60200","0","1500","Tape & Reel (TR)","2031-xxT-SM","Active","185V","1000A (1kA)","-","2","No","Surface Mount","2-SMD Cylinder Square End"
https://www.bourns.com/docs/Product-Datasheets/2031-xxT.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_2031T-Series.jpg,2031-23T-SM-RPLFCT-ND,2031-23T-SM-RPLF,Bourns Inc.,GDT 185V 1KA SURFACE MOUNT,4749,0,"1.51000","0","1","Cut Tape (CT)","2031-xxT-SM","Active","185V","1000A (1kA)","-","2","No","Surface Mount","2-SMD Cylinder Square End"
https://www.bourns.com/docs/Product-Datasheets/2031-xxT.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_2031T-Series.jpg,2031-23T-SM-RPLFDKR-ND,2031-23T-SM-RPLF,Bourns Inc.,GDT 185V 1KA SURFACE MOUNT,4749,0,"Digi-Reel","0","1","Digi-Reel®","2031-xxT-SM","Active","185V","1000A (1kA)","-","2","No","Surface Mount","2-SMD Cylinder Square End"
https://www.bourns.com/docs/Product-Datasheets/2031-xxT.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_2031T-Series.jpg,2031-15T-SM-RPLFTR-ND,2031-15T-SM-RPLF,Bourns Inc.,GDT 60V 1KA SURFACE MOUNT,1500,0,"0.60200","0","1500","Tape & Reel (TR)","2031-xxT-SM","Active","60V","1000A (1kA)","-","2","No","Surface Mount","2-SMD Cylinder Square End"
https://www.bourns.com/docs/Product-Datasheets/2031-xxT.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_2031T-Series.jpg,2031-15T-SM-RPLFCT-ND,2031-15T-SM-RPLF,Bourns Inc.,GDT 60V 1KA SURFACE MOUNT,4135,0,"1.51000","0","1","Cut Tape (CT)","2031-xxT-SM","Active","60V","1000A (1kA)","-","2","No","Surface Mount","2-SMD Cylinder Square End"
https://www.bourns.com/docs/Product-Datasheets/2031-xxT.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_2031T-Series.jpg,2031-15T-SM-RPLFDKR-ND,2031-15T-SM-RPLF,Bourns Inc.,GDT 60V 1KA SURFACE MOUNT,4135,0,"Digi-Reel","0","1","Digi-Reel®","2031-xxT-SM","Active","60V","1000A (1kA)","-","2","No","Surface Mount","2-SMD Cylinder Square End"
https://www.bourns.com/docs/Product-Datasheets/2027-xx-SM.pdf,//media.digikey.com/Photos/Bourns%20Photos/2027-15-SM-RPLF.JPG,2027-07-SM-RPLFTR-ND,2027-07-SM-RPLF,Bourns Inc.,GDT 75V 20% 10KA SURFACE MOUNT,10500,0,"0.64350","0","500","Tape & Reel (TR)","2027-SM","Active","75V","10000A (10kA)","±20%","2","No","Surface Mount","2-SMD Cylinder Square End"
https://www.bourns.com/docs/Product-Datasheets/2027-xx-SM.pdf,//media.digikey.com/Photos/Bourns%20Photos/2027-15-SM-RPLF.JPG,2027-07-SM-RPLFCT-ND,2027-07-SM-RPLF,Bourns Inc.,GDT 75V 15% 10KA SURFACE MOUNT,11018,0,"1.37000","0","1","Cut Tape (CT)","2027-SM","Active","75V","10000A (10kA)","±20%","2","No","Surface Mount","2-SMD Cylinder Square End"
https://www.bourns.com/docs/Product-Datasheets/2027-xx-SM.pdf,//media.digikey.com/Photos/Bourns%20Photos/2027-15-SM-RPLF.JPG,2027-07-SM-RPLFDKR-ND,2027-07-SM-RPLF,Bourns Inc.,GDT 75V 15% 10KA SURFACE MOUNT,11018,0,"Digi-Reel","0","1","Digi-Reel®","2027-SM","Active","75V","10000A (10kA)","±20%","2","No","Surface Mount","2-SMD Cylinder Square End"
//media.digikey.com/pdf/Data%20Sheets/Lumex%20PDFs/GT-SMD181215012-TR[1].pdf,//media.digikey.com/photos/Lumex%20Photos/GT-SMD1812%20SERIES.jpg,67-2000-2-ND,GT-SMD181215012-TR,Lumex Opto/Components Inc.,GDT 150V 20% 1KA SURFACE MOUNT,19496,0,"0.73980","0","2000","Tape & Reel (TR)","-","Active","150V","1000A (1kA)","±20%","2","No","Surface Mount","1812 (4532 Metric)"
//media.digikey.com/pdf/Data%20Sheets/Lumex%20PDFs/GT-SMD181215012-TR[1].pdf,//media.digikey.com/photos/Lumex%20Photos/GT-SMD1812%20SERIES.jpg,67-2000-1-ND,GT-SMD181215012-TR,Lumex Opto/Components Inc.,GDT 150V 20% 1KA SURFACE MOUNT,21342,0,"1.90000","0","1","Cut Tape (CT)","-","Active","150V","1000A (1kA)","±20%","2","No","Surface Mount","1812 (4532 Metric)"
//media.digikey.com/pdf/Data%20Sheets/Lumex%20PDFs/GT-SMD181215012-TR[1].pdf,//media.digikey.com/photos/Lumex%20Photos/GT-SMD1812%20SERIES.jpg,67-2000-6-ND,GT-SMD181215012-TR,Lumex Opto/Components Inc.,GDT 150V 20% 1KA SURFACE MOUNT,21342,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","150V","1000A (1kA)","±20%","2","No","Surface Mount","1812 (4532 Metric)"
//media.digikey.com/pdf/Data%20Sheets/Epcos%20PDFs/M50-C90XSMD.pdf,//media.digikey.com/Photos/Epcos%20Photos/M50-C90XSMD.jpg,495-4268-2-ND,B88069X1640T902,EPCOS (TDK),GDT 90V 20% 5KA SURFACE MOUNT,13500,0,"0.92400","0","900","Tape & Reel (TR)","M50","Active","90V","5000A (5kA)","±20%","2","No","Surface Mount","2-SMD Cylinder Square End"
//media.digikey.com/pdf/Data%20Sheets/Epcos%20PDFs/M50-C90XSMD.pdf,//media.digikey.com/Photos/Epcos%20Photos/M50-C90XSMD.jpg,495-4268-1-ND,B88069X1640T902,EPCOS (TDK),GDT 90V 20% 5KA SURFACE MOUNT,15140,0,"2.00000","0","1","Cut Tape (CT)","M50","Active","90V","5000A (5kA)","±20%","2","No","Surface Mount","2-SMD Cylinder Square End"
//media.digikey.com/pdf/Data%20Sheets/Epcos%20PDFs/M50-C90XSMD.pdf,//media.digikey.com/Photos/Epcos%20Photos/M50-C90XSMD.jpg,495-4268-6-ND,B88069X1640T902,EPCOS (TDK),GDT 90V 20% 5KA SURFACE MOUNT,15140,0,"Digi-Reel","0","1","Digi-Reel®","M50","Active","90V","5000A (5kA)","±20%","2","No","Surface Mount","2-SMD Cylinder Square End"
https://www.bourns.com/docs/Product-Datasheets/2036-xx-SM.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_2036-xx-SM-H-Series.jpg,2036-09-SM-RPLFTR-ND,2036-09-SM-RPLF,Bourns Inc.,GDT 90V 20% 10KA SURFACE MOUNT,38000,0,"0.92625","0","1000","Tape & Reel (TR)","Mini-TRIGARD™ 2036-SM","Active","90V","10000A (10kA)","±20%","3","No","Surface Mount","3-SMD Cylinder Square End"
https://www.bourns.com/docs/Product-Datasheets/2036-xx-SM.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_2036-xx-SM-H-Series.jpg,2036-09-SM-RPLFCT-ND,2036-09-SM-RPLF,Bourns Inc.,GDT 90V 20% 10KA SURFACE MOUNT,38446,0,"2.25000","0","1","Cut Tape (CT)","2035-SM","Active","90V","10000A (10kA)","±20%","3","No","Surface Mount","3-SMD Cylinder Square End"
https://www.bourns.com/docs/Product-Datasheets/2036-xx-SM.pdf,//media.digikey.com/Photos/Bourns%20Photos/MFG_2036-xx-SM-H-Series.jpg,2036-09-SM-RPLFDKR-ND,2036-09-SM-RPLF,Bourns Inc.,GDT 90V 20% 10KA SURFACE MOUNT,38446,0,"Digi-Reel","0","1","Digi-Reel®","Mini-TRIGARD™ 2036-SM","Active","90V","10000A (10kA)","±20%","3","No","Surface Mount","3-SMD Cylinder Square End"
https://www.bourns.com/docs/Product-Datasheets/2036-xx-SM.pdf,//media.digikey.com/photos/Bourns%20Photos/2036-35-SM-RPLF.JPG,2036-07-SM-RPLFTR-ND,2036-07-SM-RPLF,Bourns Inc.,GDT 75V 20% 10KA SURFACE MOUNT,24000,0,"0.92625","0","1000","Tape & Reel (TR)","Mini-TRIGARD™ 2036-SM","Active","75V","10000A (10kA)","±20%","3","No","Surface Mount","3-SMD Cylinder Square End"
