Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Voltage - Max","Current - Max","Current - Hold (Ih) (Max)","Current - Trip (It)","Time to Trip","Resistance - Initial (Ri) (Min)","Resistance - Post Trip (R1) (Max)","Resistance - 25°C (Typ)","Operating Temperature","Ratings","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCJ%20Nov2016.pdf,//media.digikey.com/Renders/Bel%20Fuse%20Renders/0ZCK-Series-1206.jpg,507-1797-1-ND,0ZCJ0020FF2E,Bel Fuse Inc.,PTC RESET FUSE 30V 200MA 1206,259933,0,"0.13000","0","1","Cut Tape (CT)","0ZCJ","Active","Polymeric","30V","10A","200mA","400mA","100ms","600 mOhms","2.5 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1206 (3216 Metric), Concave","0.128"" L x 0.065"" W (3.25mm x 1.65mm)","-","0.030"" (0.75mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCJ%20Nov2016.pdf,//media.digikey.com/Renders/Bel%20Fuse%20Renders/0ZCK-Series-1206.jpg,507-1797-6-ND,0ZCJ0020FF2E,Bel Fuse Inc.,PTC RESET FUSE 30V 200MA 1206,259933,0,"Digi-Reel","0","1","Digi-Reel®","0ZCJ","Active","Polymeric","30V","10A","200mA","400mA","100ms","600 mOhms","2.5 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1206 (3216 Metric), Concave","0.128"" L x 0.065"" W (3.25mm x 1.65mm)","-","0.030"" (0.75mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCJ%20Nov2016.pdf,//media.digikey.com/Renders/Bel%20Fuse%20Renders/0ZCK-Series-1206.jpg,507-1794-2-ND,0ZCJ0010FF2E,Bel Fuse Inc.,PTC RESET FUSE 60V 100MA 1206,225000,0,"0.05632","0","3000","Tape & Reel (TR)","0ZCJ","Active","Polymeric","60V","10A","100mA","250mA","1s","1.6 Ohms","15 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1206 (3216 Metric), Concave","0.128"" L x 0.065"" W (3.25mm x 1.65mm)","-","0.033"" (0.85mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCJ%20Nov2016.pdf,//media.digikey.com/Renders/Bel%20Fuse%20Renders/0ZCK-Series-1206.jpg,507-1794-1-ND,0ZCJ0010FF2E,Bel Fuse Inc.,PTC RESET FUSE 60V 100MA 1206,226723,0,"0.13000","0","1","Cut Tape (CT)","0ZCJ","Active","Polymeric","60V","10A","100mA","250mA","1s","1.6 Ohms","15 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1206 (3216 Metric), Concave","0.128"" L x 0.065"" W (3.25mm x 1.65mm)","-","0.033"" (0.85mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCJ%20Nov2016.pdf,//media.digikey.com/Renders/Bel%20Fuse%20Renders/0ZCK-Series-1206.jpg,507-1794-6-ND,0ZCJ0010FF2E,Bel Fuse Inc.,PTC RESET FUSE 60V 100MA 1206,226723,0,"Digi-Reel","0","1","Digi-Reel®","0ZCJ","Active","Polymeric","60V","10A","100mA","250mA","1s","1.6 Ohms","15 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1206 (3216 Metric), Concave","0.128"" L x 0.065"" W (3.25mm x 1.65mm)","-","0.033"" (0.85mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCJ%20Nov2016.pdf,//media.digikey.com/Renders/Bel%20Fuse%20Renders/0ZCK-Series-1206.jpg,507-1799-2-ND,0ZCJ0025AF2E,Bel Fuse Inc.,PTC RESET FUSE 24V 250MA 1206,147000,0,"0.05632","0","3000","Tape & Reel (TR)","0ZCJ","Active","Polymeric","24V","40A","250mA","500mA","80ms","550 mOhms","2.3 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1206 (3216 Metric), Concave","0.128"" L x 0.065"" W (3.25mm x 1.65mm)","-","0.030"" (0.75mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCJ%20Nov2016.pdf,//media.digikey.com/Renders/Bel%20Fuse%20Renders/0ZCK-Series-1206.jpg,507-1799-1-ND,0ZCJ0025AF2E,Bel Fuse Inc.,PTC RESET FUSE 24V 250MA 1206,147793,0,"0.13000","0","1","Cut Tape (CT)","0ZCJ","Active","Polymeric","24V","40A","250mA","500mA","80ms","550 mOhms","2.3 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1206 (3216 Metric), Concave","0.128"" L x 0.065"" W (3.25mm x 1.65mm)","-","0.030"" (0.75mm)","-"
https://www.belfuse.com/resources/CircuitProtection/datasheets/0ZCJ%20Nov2016.pdf,//media.digikey.com/Renders/Bel%20Fuse%20Renders/0ZCK-Series-1206.jpg,507-1799-6-ND,0ZCJ0025AF2E,Bel Fuse Inc.,PTC RESET FUSE 24V 250MA 1206,147803,0,"Digi-Reel","0","1","Digi-Reel®","0ZCJ","Active","Polymeric","24V","40A","250mA","500mA","80ms","550 mOhms","2.3 Ohms","-","-40°C ~ 85°C","-","Surface Mount","1206 (3216 Metric), Concave","0.128"" L x 0.065"" W (3.25mm x 1.65mm)","-","0.030"" (0.75mm)","-"
https://belfuse.com/resources/CircuitProtection/datasheets/0ZCH%20Nov2016.pdf,//media.digikey.com/Photos/Bel%20Photos/OZCH-1210-CONCAVE%20SERIES.jpg,507-1786-2-ND,0ZCH0050FF2G,Bel Fuse Inc.,PTC RESET FUSE 16V 500MA 1210,136000,0,"0.05632","0","4000","Tape & Reel (TR)","0ZCH","Active","Polymeric","16V","100A","500mA","1A","100ms","250 mOhms","900 mOhms","-","-40°C ~ 85°C","-","Surface Mount","1210 (3225 Metric), Concave","0.127"" L x 0.102"" W (3.22mm x 2.58mm)","-","0.030"" (0.75mm)","-"
https://belfuse.com/resources/CircuitProtection/datasheets/0ZCH%20Nov2016.pdf,//media.digikey.com/Photos/Bel%20Photos/OZCH-1210-CONCAVE%20SERIES.jpg,507-1786-1-ND,0ZCH0050FF2G,Bel Fuse Inc.,PTC RESET FUSE 16V 500MA 1210,137301,0,"0.13000","0","1","Cut Tape (CT)","0ZCH","Active","Polymeric","16V","100A","500mA","1A","100ms","250 mOhms","900 mOhms","-","-40°C ~ 85°C","-","Surface Mount","1210 (3225 Metric), Concave","0.127"" L x 0.102"" W (3.22mm x 2.58mm)","-","0.030"" (0.75mm)","-"
