Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Voltage - Clamping","Voltage","Technology","Number of Circuits","Applications","Mounting Type","Package / Case","Supplier Device Package"
https://www.bourns.com/docs/Product-Datasheets/LSPxxxxAJR.pdf,//media.digikey.com/Renders/Bourns%20Renders/118;DO214ACSMA;;2.jpg,LSP0900AJR-STR-ND,LSP0900AJR-S,Bourns Inc.,LED SHUNT PROTECTOR 9V SMD,10000,0,"0.26055","0","5000","Tape & Reel (TR)","-","Active","-","9V","LED Shunt","1","LED Protection","Surface Mount","DO-214AC, SMA","DO-214AC (SMA)"
https://www.bourns.com/docs/Product-Datasheets/LSPxxxxAJR.pdf,//media.digikey.com/Renders/Bourns%20Renders/118;DO214ACSMA;;2.jpg,LSP0900AJR-SCT-ND,LSP0900AJR-S,Bourns Inc.,LED SHUNT PROTECTOR 9V SMD,10801,0,"0.80000","0","1","Cut Tape (CT)","-","Active","-","9V","LED Shunt","1","LED Protection","Surface Mount","DO-214AC, SMA","DO-214AC (SMA)"
https://www.bourns.com/docs/Product-Datasheets/LSPxxxxAJR.pdf,//media.digikey.com/Renders/Bourns%20Renders/118;DO214ACSMA;;2.jpg,LSP0900AJR-SDKR-ND,LSP0900AJR-S,Bourns Inc.,LED SHUNT PROTECTOR 9V SMD,10801,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","-","9V","LED Shunt","1","LED Protection","Surface Mount","DO-214AC, SMA","DO-214AC (SMA)"
https://www.littelfuse.com/data/en/data_sheets/littelfuse_pled6.pdf,"//media.digikey.com/Renders/Littelfuse%20Renders/DO-214AA,%20SMB;%202%20leads.jpg",F3279TR-ND,PLED13S,Littelfuse Inc.,LED PROTECTOR 13V BI-DIR DO-214,107500,0,"0.26825","0","2500","Tape & Reel (TR)","PLED®","Active","26V","13V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","DO-214AA"
https://www.littelfuse.com/data/en/data_sheets/littelfuse_pled6.pdf,"//media.digikey.com/Renders/Littelfuse%20Renders/DO-214AA,%20SMB;%202%20leads.jpg",F3279CT-ND,PLED13S,Littelfuse Inc.,LED PROTECTOR 13V BI-DIR DO-214,109860,0,"0.76000","0","1","Cut Tape (CT)","PLED®","Active","26V","13V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","DO-214AA"
https://www.littelfuse.com/data/en/data_sheets/littelfuse_pled6.pdf,"//media.digikey.com/Renders/Littelfuse%20Renders/DO-214AA,%20SMB;%202%20leads.jpg",F3279DKR-ND,PLED13S,Littelfuse Inc.,LED PROTECTOR 13V BI-DIR DO-214,109860,0,"Digi-Reel","0","1","Digi-Reel®","PLED®","Active","26V","13V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","DO-214AA"
https://www.littelfuse.com/data/en/data_sheets/littelfuse_pled6.pdf,"//media.digikey.com/Renders/Littelfuse%20Renders/DO-214AA,%20SMB;%202%20leads.jpg",F3278TR-ND,PLED9S,Littelfuse Inc.,LED PROTECTOR 9V BI-DIR DO-214,2500,0,"0.26825","0","2500","Tape & Reel (TR)","PLED®","Active","18V","9V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","DO-214AA"
https://www.littelfuse.com/data/en/data_sheets/littelfuse_pled6.pdf,"//media.digikey.com/Renders/Littelfuse%20Renders/DO-214AA,%20SMB;%202%20leads.jpg",F3278CT-ND,PLED9S,Littelfuse Inc.,LED PROTECTOR 9V BI-DIR DO-214,2720,0,"0.76000","0","1","Cut Tape (CT)","PLED®","Active","18V","9V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","DO-214AA"
https://www.littelfuse.com/data/en/data_sheets/littelfuse_pled6.pdf,"//media.digikey.com/Renders/Littelfuse%20Renders/DO-214AA,%20SMB;%202%20leads.jpg",F3278DKR-ND,PLED9S,Littelfuse Inc.,LED PROTECTOR 9V BI-DIR DO-214,2720,0,"Digi-Reel","0","1","Digi-Reel®","PLED®","Active","18V","9V","LED Shunt","1","LED Protection","Surface Mount","DO-214AA, SMB","DO-214AA"
https://www.littelfuse.com/data/en/data_sheets/littelfuse_pled6.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_PLED18Q12.jpg,F3577TR-ND,PLED18Q12,Littelfuse Inc.,LED PROTECTOR 18V BI-DIR 3X3 QFN,15000,0,"0.27000","0","5000","Tape & Reel (TR)","PLED®","Active","33V","18V","LED Shunt","1","LED Protection","Surface Mount","2-TDFN","2-QFN (3x3)"
https://www.littelfuse.com/data/en/data_sheets/littelfuse_pled6.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_PLED18Q12.jpg,F3577CT-ND,PLED18Q12,Littelfuse Inc.,LED PROTECTOR 18V BI-DIR 3X3 QFN,18299,0,"0.82000","0","1","Cut Tape (CT)","PLED®","Active","33V","18V","LED Shunt","1","LED Protection","Surface Mount","2-TDFN","2-QFN (3x3)"
https://www.littelfuse.com/data/en/data_sheets/littelfuse_pled6.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_PLED18Q12.jpg,F3577DKR-ND,PLED18Q12,Littelfuse Inc.,LED PROTECTOR 18V BI-DIR 3X3 QFN,18299,0,"Digi-Reel","0","1","Digi-Reel®","PLED®","Active","33V","18V","LED Shunt","1","LED Protection","Surface Mount","2-TDFN","2-QFN (3x3)"
https://www.littelfuse.com/data/en/data_sheets/littelfuse_pled6.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_PLED18Q12.jpg,F4110TR-ND,PLED13Q12,Littelfuse Inc.,LED PROTECTOR 13V BI-DIR QFN 3X3,5000,0,"0.27000","0","5000","Tape & Reel (TR)","PLED®","Active","26V","13V","LED Shunt","1","LED Protection","Surface Mount","2-TDFN","2-QFN (3x3)"
https://www.littelfuse.com/data/en/data_sheets/littelfuse_pled6.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_PLED18Q12.jpg,F4110CT-ND,PLED13Q12,Littelfuse Inc.,LED PROTECTOR 13V BI-DIR QFN 3X3,6318,0,"0.82000","0","1","Cut Tape (CT)","PLED®","Active","26V","13V","LED Shunt","1","LED Protection","Surface Mount","2-TDFN","2-QFN (3x3)"
https://www.littelfuse.com/data/en/data_sheets/littelfuse_pled6.pdf,//media.digikey.com/Photos/Littelfuse%20Photos/MFG_PLED18Q12.jpg,F4110DKR-ND,PLED13Q12,Littelfuse Inc.,LED PROTECTOR 13V BI-DIR QFN 3X3,6318,0,"Digi-Reel","0","1","Digi-Reel®","PLED®","Active","26V","13V","LED Shunt","1","LED Protection","Surface Mount","2-TDFN","2-QFN (3x3)"
