Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Voltage - Clamping","Voltage","Technology","Number of Circuits","Applications","Mounting Type","Package / Case","Supplier Device Package"
http://www.onsemi.com/pub/Collateral/HBL5006-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/SOD-923_514AB.jpg,SZHBL5006P2T5GOSTR-ND,SZHBL5006P2T5G,ON Semiconductor,IC SHUNT LED ELECTRONIC SOD923-2,0,216000,"0.08228","0","8000","Tape & Reel (TR)","Automotive, AEC-Q101","Active","11.2V","7V","LED Shunt","1","LED Protection","Surface Mount","SOD-923","SOD-923"
http://www.onsemi.com/pub/Collateral/HBL5006-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/SOD-923_514AB.jpg,SZHBL5006P2T5GOSCT-ND,SZHBL5006P2T5G,ON Semiconductor,IC SHUNT LED ELECTRONIC SOD923-2,2565,216000,"0.40000","0","1","Cut Tape (CT)","Automotive, AEC-Q101","Active","11.2V","7V","LED Shunt","1","LED Protection","Surface Mount","SOD-923","SOD-923"
http://www.onsemi.com/pub/Collateral/HBL5006-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/SOD-923_514AB.jpg,SZHBL5006P2T5GOSDKR-ND,SZHBL5006P2T5G,ON Semiconductor,IC SHUNT LED ELECTRONIC SOD923-2,2565,216000,"Digi-Reel","0","1","Digi-Reel®","Automotive, AEC-Q101","Active","11.2V","7V","LED Shunt","1","LED Protection","Surface Mount","SOD-923","SOD-923"
http://www.onsemi.com/pub/Collateral/HBL5006-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,HBL5006HT1GOSTR-ND,HBL5006HT1G,ON Semiconductor,IC LED ELECTRONIC SHUNT SOD323,0,450000,"0.14685","0","3000","Tape & Reel (TR)","-","Active","11.2V","7V","LED Shunt","1","LED Protection","Surface Mount","SC-76, SOD-323","SOD-323"
http://www.onsemi.com/pub/Collateral/HBL5006-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,HBL5006HT1GOSCT-ND,HBL5006HT1G,ON Semiconductor,IC LED ELECTRONIC SHUNT SOD323,2301,450000,"0.40000","0","1","Cut Tape (CT)","-","Active","11.2V","7V","LED Shunt","1","LED Protection","Surface Mount","SC-76, SOD-323","SOD-323"
http://www.onsemi.com/pub/Collateral/HBL5006-D.PDF,//media.digikey.com/Renders/On%20Semi%20Renders/SOD-323_477.jpg,HBL5006HT1GOSDKR-ND,HBL5006HT1G,ON Semiconductor,IC LED ELECTRONIC SHUNT SOD323,2301,450000,"Digi-Reel","0","1","Digi-Reel®","-","Active","11.2V","7V","LED Shunt","1","LED Protection","Surface Mount","SC-76, SOD-323","SOD-323"
https://www.littelfuse.com/~/media/electronics/datasheets/led_protectors/littelfuse_led_protector_pledxn_datasheet.pdf.pdf,//media.digikey.com/Renders/Littelfuse%20Renders/18;SOD123F;;2.jpg,F9965TR-ND,PLED6N,Littelfuse Inc.,LED PROTECTOR LED SHUNT SMD,0,0,"0.18600","0","3000","Tape & Reel (TR)","PLED®","Active","-","-","LED Shunt","1","LED Protection","Surface Mount","SOD-123F","SOD-123FL"
https://www.littelfuse.com/~/media/electronics/datasheets/led_protectors/littelfuse_led_protector_pledxn_datasheet.pdf.pdf,//media.digikey.com/Renders/Littelfuse%20Renders/18;SOD123F;;2.jpg,F9965CT-ND,PLED6N,Littelfuse Inc.,LED PROTECTOR LED SHUNT SMD,2985,0,"0.59000","0","1","Cut Tape (CT)","PLED®","Active","-","-","LED Shunt","1","LED Protection","Surface Mount","SOD-123F","SOD-123FL"
https://www.littelfuse.com/~/media/electronics/datasheets/led_protectors/littelfuse_led_protector_pledxn_datasheet.pdf.pdf,//media.digikey.com/Renders/Littelfuse%20Renders/18;SOD123F;;2.jpg,F9965DKR-ND,PLED6N,Littelfuse Inc.,LED PROTECTOR LED SHUNT SMD,2985,0,"Digi-Reel","0","1","Digi-Reel®","PLED®","Active","-","-","LED Shunt","1","LED Protection","Surface Mount","SOD-123F","SOD-123FL"
http://www.st.com/content/ccc/resource/technical/document/datasheet/ba/93/c0/83/c5/8f/4c/8c/DM00051031.pdf/files/DM00051031.pdf/jcr:content/translations/en.DM00051031.pdf,//media.digikey.com/Renders/STMicro%20Renders/SOT23-5.jpg,497-13095-2-ND,LBP01-0803SC5,STMicroelectronics,IC BYPASS SWITCH LED UNI SOT23-5,0,0,"0.27550","0","3000","Tape & Reel (TR)","LBP","Active","-","15V","LED Shunt","1","LED Protection","Surface Mount","SC-74A, SOT-753","SOT-23-5"
http://www.st.com/content/ccc/resource/technical/document/datasheet/ba/93/c0/83/c5/8f/4c/8c/DM00051031.pdf/files/DM00051031.pdf/jcr:content/translations/en.DM00051031.pdf,//media.digikey.com/Renders/STMicro%20Renders/SOT23-5.jpg,497-13095-1-ND,LBP01-0803SC5,STMicroelectronics,IC BYPASS SWITCH LED UNI SOT23-5,2445,0,"0.73000","0","1","Cut Tape (CT)","LBP","Active","-","15V","LED Shunt","1","LED Protection","Surface Mount","SC-74A, SOT-753","SOT-23-5"
