Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Gender","Number of Positions or Pins (Grid)","Pitch","Height","Contact Finish","Contact Finish Thickness","Color","Material Flammability Rating","Dielectric Material","Voltage Rating","Current Rating (Amps)"
https://www.hirose.com/product/document?clcode=CL0621-0753-9-71&productname=A3D-8DA-2DSE(71)&series=A3&documenttype=Catalog&lang=en&documentid=D49521_en,//media.digikey.com/Photos/Hirose%20Elect%20Photos/A3-SP(B).JPG,H125733-ND,A3-SP(B),Hirose Electric Co Ltd,CONN JUMPER F 2 POS 2MM ST,1754,0,"0.45000","0","1","Bulk","A3","Active","Closed Top","Female Sockets","2 (1 x 2)","-","-","Gold","-","Black","-","-","-","-"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/69145.pdf,//media.digikey.com/Photos/Amphenol%20Photos/69145-204LF.jpg,609-6065-ND,69145-204LF,Amphenol ICC (FCI),CONN SHUNT .100"" 4POS GOLD,3950,0,"0.57000","0","1","Bulk","Mini-Jump™","Active","Open Top","Female Sockets","4 (2 x 2)","0.100"" (2.54mm)","0.200"" (5.08mm)","Gold or Gold, GXT™","30.0µin (0.76µm)","Black","UL94 V-0","Polyester","-","3A"
http://datasheets.avx.com/AVX-BTB-10-9296.pdf,//media.digikey.com/Photos/AVX%20Photos/MFG_9296-BTB-Jumper-FULL.jpg,1253-1787-ND,109296002260906,AVX Corporation,2 POS JUMPER 26MM,2990,0,"0.69000","0","1","Bulk","9296","Active","Insulated","Male Pins","4 (2 x 2)","0.157"" (4.00mm)","-","Tin-Lead","-","-","UL94 V-0","Polyamide (PA66), Nylon 6/6, Glass Filled","300V","9A"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/69145.pdf,-,609-5642-ND,69145-210LF,Amphenol ICC (FCI),CONN SHUNT .100"" 10POS GOLD,5919,0,"0.92000","0","1","Bulk","Mini-Jump™","Active","Open Top","Female Sockets","10 (2 x 5)","0.100"" (2.54mm)","0.200"" (5.08mm)","Gold or Gold, GXT™","30.0µin (0.76µm)","Black","UL94 V-0","Polyester","-","3A"
https://cdn.harwin.com/pdfs/D3087.pdf,//media.digikey.com/Photos/Harwin/D3087-97.JPG,952-3068-ND,D3087-97,Harwin Inc.,INSULATED PLUG BLUE,1176,0,"1.02000","0","1","Bulk","D308","Active","Closed Top, Grip","Male Pins","2 (1 x 2)","","0.500"" (12.70mm)","Gold","3.94µin (0.10µm)","Blue","UL94 V-0","Polybutylene Terephthalate (PBT)","-","10A"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/65771.pdf,-,609-5611-ND,65771-005LF,Amphenol ICC (FCI),MINI JUMP 2POS 200CC,9193,0,"1.13000","0","1","Bulk","Mini-Jump™","Active","Closed Top","Female Sockets","2 (1 x 2)","0.200"" (5.08mm)","0.376"" (9.55mm)","Gold or Gold, GXT™","30.0µin (0.76µm)","White","UL94 V-0","Polybutylene Terephthalate (PBT)","-","2.5A"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/69145.pdf,-,609-5643-ND,69145-216LF,Amphenol ICC (FCI),CONN SHUNT .100"" 16POS GOLD,7986,0,"1.16000","0","1","Bulk","Mini-Jump™","Active","Open Top","Female Sockets","16 (2 x 8)","0.100"" (2.54mm)","0.200"" (5.08mm)","Gold or Gold, GXT™","30.0µin (0.76µm)","Black","UL94 V-0","Polyester","-","3A"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/69145.pdf,-,609-5641-ND,69145-208LF,Amphenol ICC (FCI),CONN SHUNT .100"" 8POS GOLD,9940,0,"1.18000","0","1","Bulk","Mini-Jump™","Active","Open Top","Female Sockets","8 (2 x 4)","0.100"" (2.54mm)","0.200"" (5.08mm)","Gold or Gold, GXT™","30.0µin (0.76µm)","Black","UL94 V-0","Polyester","-","3A"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/65771.pdf,//media.digikey.com/Photos/Amphenol%20Photos/65771-001.jpg,609-6369-ND,65771-001,Amphenol ICC (FCI),MINI JUMP 2POS 200CC 40A,10000,0,"1.37000","0","1","Bulk","Mini-Jump™","Active","Closed Top","Female Sockets","2 (1 x 2)","0.200"" (5.08mm)","0.376"" (9.55mm)","Gold or Gold, GXT™","40.0µin (1.02µm)","White","UL94 V-0","Polybutylene Terephthalate (PBT)","-","2.5A"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/69144.pdf,-,609-6381-ND,69144-204LF,Amphenol ICC (FCI),JUMPER LOW PRO SR BUSS,8945,0,"1.45000","0","1","Bulk","Mini-Jump™","Active","Open Top","Female Sockets","4 (1 x 4)","0.100"" (2.54mm)","0.200"" (5.08mm)","Gold or Gold, GXT™","30.0µin (0.76µm)","Black","UL94 V-0","Polyester","-","3A"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/65771.pdf,-,609-6117-ND,65771-001LF,Amphenol ICC (FCI),MINI JUMP 2POS 200CC,7250,0,"1.63000","0","1","Bulk","Mini-Jump™","Active","Closed Top","Female Sockets","2 (1 x 2)","0.200"" (5.08mm)","0.376"" (9.55mm)","Gold or Gold, GXT™","40.0µin (1.02µm)","White","UL94 V-0","Polybutylene Terephthalate (PBT)","-","2.5A"
https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/69145.pdf,-,609-5644-ND,69145-220LF,Amphenol ICC (FCI),CONN SHUNT .100"" 20POS GOLD,1794,0,"2.18000","0","1","Bulk","Mini-Jump™","Active","Open Top","Female Sockets","20 (2 x 10)","0.100"" (2.54mm)","0.200"" (5.08mm)","Gold or Gold, GXT™","30.0µin (0.76µm)","Black","UL94 V-0","Polyester","-","3A"
http://suddendocs.samtec.com/prints/mnt-1xx-xx-x-mkt.pdf,-,SAM12728-ND,MNT-112-BK-G,Samtec Inc.,.100 C.L. SHUNT STRIP,1642,0,"3.58000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=382811&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/2-382811-1.JPG,A26229-ND,382811-5,TE Connectivity AMP Connectors,CONN SHUNT 2POS OPEN 2.54MM,10441,0,"0.26000","0","1","Strip","AMPMODU","Active","Open Top","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.250"" (6.35mm)","Tin-Lead","100.0µin (2.54µm)","Black","UL94 V-0","Polyester, Glass Filled","-","-"
https://katalog.we-online.de/em/datasheet/60900213621.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/60900213621.jpg,732-13620-ND,60900213621,Wurth Electronics Inc.,WR-PHD_2.54MM_JUMPER_BLUE W/ TES,1994,0,"0.30000","0","1","Bulk","WR-PHD","Active","Open Top","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.235"" (5.97mm)","Gold","-","Blue","UL94 V-0","Polybutylene Terephthalate (PBT)","250VAC","3A"
https://katalog.we-online.de/em/datasheet/60800213421.pdf,-,732-13626-ND,60800213421,Wurth Electronics Inc.,WR-PHD_2.00MM_JUMPER_BLACK W/ TE,1894,0,"0.30000","0","1","Bulk","WR-PHD","Active","Open Top","Female Sockets","2 (1 x 2)","0.079"" (2.00mm)","0.138"" (3.50mm)","Gold","-","Black","UL94 V-0","Polybutylene Terephthalate (PBT)","200VAC","1A"
https://katalog.we-online.de/em/datasheet/60900213521.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/60900213521.JPG,732-13619-ND,60900213521,Wurth Electronics Inc.,WR-PHD_2.54MM_JUMPER_RED W/ TEST,1478,0,"0.30000","0","1","Bulk","WR-PHD","Active","Open Top","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.235"" (5.97mm)","Gold","-","Red","UL94 V-0","Polybutylene Terephthalate (PBT)","250VAC","3A"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=390088&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/390088-5.jpg,A113609-ND,390088-5,TE Connectivity AMP Connectors,YELLOW HSG WITH 30AU CONTACT,1080,0,"0.38700","0","10","Strip","AMPMODU","Active","Open Top","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.247"" (6.27mm)","Gold","30.0µin (0.76µm)","Yellow","UL94 V-0","Polyester, Glass Filled","250VAC","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=390088&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/390088-3.JPG,A113608-ND,390088-3,TE Connectivity AMP Connectors,BLUE HSG WITH 30AU CONTACT,1150,0,"0.41000","0","10","Strip","AMPMODU","Active","Open Top","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.247"" (6.27mm)","Gold","30.0µin (0.76µm)","Blue","UL94 V-0","Polyester, Glass Filled","250VAC","-"
https://katalog.we-online.de/em/datasheet/6091xx13421.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/60910213421.jpg,732-13621-ND,60910213421,Wurth Electronics Inc.,WR-PHD_2.54MM_JUMPER_BLACK W/ TE,1986,0,"0.44000","0","1","Bulk","WR-PHD","Active","Open Top","Female Sockets","4 (2 x 2)","0.100"" (2.54mm)","0.235"" (5.97mm)","Gold","-","Black","UL94 V-0","Polybutylene Terephthalate (PBT)","250VAC","3A"
https://katalog.we-online.de/em/datasheet/6091xx13421.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/60910413421.jpg,732-13623-ND,60910413421,Wurth Electronics Inc.,WR-PHD_2.54MM_JUMPER_BLACK W/ TE,1600,0,"0.44000","0","1","Bulk","WR-PHD","Active","Open Top","Female Sockets","8 (2 x 4)","0.100"" (2.54mm)","0.235"" (5.97mm)","Gold","-","Black","UL94 V-0","Polybutylene Terephthalate (PBT)","250VAC","3A"
https://katalog.we-online.de/em/datasheet/6091xx13421.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/60910313421.jpg,732-13622-ND,60910313421,Wurth Electronics Inc.,WR-PHD_2.54MM_JUMPER_BLACK W/ TE,1500,0,"0.44000","0","1","Bulk","WR-PHD","Active","Open Top","Female Sockets","6 (2 x 3)","0.100"" (2.54mm)","0.235"" (5.97mm)","Gold","-","Black","UL94 V-0","Polybutylene Terephthalate (PBT)","250VAC","3A"
https://katalog.we-online.de/em/datasheet/6091xx13421.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/60910613421.jpg,732-13624-ND,60910613421,Wurth Electronics Inc.,WR-PHD_2.54MM_JUMPER_BLACK W/ TE,2000,0,"0.59000","0","1","Bulk","WR-PHD","Active","Open Top","Female Sockets","12 (2 x 6)","0.100"" (2.54mm)","0.235"" (5.97mm)","Gold","-","Black","UL94 V-0","Polybutylene Terephthalate (PBT)","250VAC","3A"
https://katalog.we-online.de/em/datasheet/622002115121.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/622002115121.jpg,732-13627-ND,622002115121,Wurth Electronics Inc.,WR-PHD_1.27MM_JUMPER_BLACK W/ PU,1950,0,"0.62000","0","1","Bulk","WR-PHD","Active","Closed Top, Grip","Female Sockets","2 (1 x 2)","0.050"" (1.27mm)","0.217"" (5.50mm)","Gold","-","Black","UL94 V-2","Polyamide (PA66), Nylon 6/6","250VAC","1A"
https://katalog.we-online.de/em/datasheet/62200213421.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/62200213421.jpg,732-13628-ND,62200213421,Wurth Electronics Inc.,WR-PHD_1.27MM_JUMPER_BLACK_GOLD,1710,0,"0.62000","0","1","Bulk","WR-PHD","Active","Closed Top","Female Sockets","2 (1 x 2)","0.050"" (1.27mm)","0.118"" (3.00mm)","Gold","-","Black","UL94 V-2","Polyamide (PA66), Nylon 6/6","250VAC","1A"
https://katalog.we-online.de/em/datasheet/6091xx13421.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/60910813421.jpg,732-13625-ND,60910813421,Wurth Electronics Inc.,WR-PHD_2.54MM_JUMPER_BLACK W/ TE,1965,0,"0.74000","0","1","Bulk","WR-PHD","Active","Open Top","Female Sockets","16 (2 x 8)","0.100"" (2.54mm)","0.235"" (5.97mm)","Gold","-","Black","UL94 V-0","Polybutylene Terephthalate (PBT)","250VAC","3A"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=531230&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/407873637.JPG,A26234-ND,531230-1,TE Connectivity AMP Connectors,SHUNT .200 C/L LP 2 POS SN,1467,0,"0.74000","0","1","Strip","-","Active","Open Top","Female Sockets","2 (1 x 2)","0.200"" (5.08mm)","0.250"" (6.35mm)","Tin-Lead","100.0µin (2.54µm)","Black","UL94 V-0","Polyester, Glass Filled","-","3A"
https://drawings-pdf.s3.amazonaws.com/11506.pdf,//media.digikey.com/Photos/Sullins%20Photos/NPN02SXNN-RC.JPG,S9644-ND,NPN02SXNN-RC,Sullins Connector Solutions,CONN JUMPER SHORTING 2MM GOLD,656,0,"0.13000","0","1","Bulk","-","Active","Open Top, Grip","Female Sockets","2 (1 x 2)","0.079"" (2.00mm)","0.429"" (10.90mm)","Gold","Flash","-","UL94 V-2","Polyamide (PA66), Nylon 6/6","-","3A per Contact"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=881545&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/881545-5.JPG,A106204-ND,881545-5,TE Connectivity AMP Connectors,AMP SHUNT ASS'Y,800,0,"0.31000","0","1","Bulk","AMPMODU","Active","Open Top, Grip","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.429"" (10.90mm)","Gold","15.0µin (0.38µm)","Natural","UL94 V-0","Thermoplastic, Glass Filled","-","3A"
https://cdn.harwin.com/pdfs/M7680-M7683.pdf,//media.digikey.com/Photos/Harwin/MFG_M7683-46.jpg,952-3368-ND,M7683-46,Harwin Inc.,14MM JUMPER SKT W/HNDL BLUE,293,0,"0.31000","0","1","Bulk","M76","Active","Closed Top, Grip","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.551"" (14.00mm)","Tin","118.1µin (3.00µm)","Blue","UL94 V-0","Polyester","250V","3A"
-,//media.digikey.com/Photos/Hirose%20Elect%20Photos/HIF3GA-2.54SP.jpg,H122693-ND,HIF3GA-2.54SP,Hirose Electric Co Ltd,CONN HSG,396,0,"0.96000","0","1","Bulk","-","Active","Closed Top","Female Sockets","2 (1 x 2)","0.100"" (2.54mm)","0.264"" (6.70mm)","-","-","Black","-","-","-","-"
https://cdn.harwin.com/pdfs/D3087.pdf,//media.digikey.com/Photos/Harwin/D3087-99.JPG,952-1866-ND,D3087-99,Harwin Inc.,1MM INSULATED SHORTING PLUG,982,0,"1.02000","0","1","Bulk","D308","Active","Closed Top, Grip","Male Pins","2 (1 x 2)","","0.500"" (12.70mm)","Gold","3.94µin (0.10µm)","Red","UL94 V-0","Polybutylene Terephthalate (PBT)","-","10A"
