Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Style","Connector Type","Number of Positions","Shape","Barrel Depth","Voltage","Mounting Type","Features"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=859527&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/859527-1.jpg,A144711-ND,859527-1,"TE Connectivity Aerospace, Defense and Marine",CONN LGH RCPT 6POS CIRC PNL MNT,18,0,"155.36000","0","1","Bulk","-","Active","LGH","Receptacle","6","Circular","-","27kVDC","Panel Mount","Flange"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=868092&DocType=Customer+Drawing&DocLang=English,-,A129139-ND,868092-1,TE Connectivity AMP Connectors,CONN LGH RCPT 1POS CYL STR,15,0,"172.20000","0","1","Bulk","-","Active","LGH 1","Receptacle","1","Cylindrical","0.88"" (22.35mm)","-","Free Hanging (In-Line)","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=861647&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/861647-2.jpg,A125984-ND,861647-2,"TE Connectivity Aerospace, Defense and Marine",CONN LGH RCPT 7POS CIRC PNL MNT,7,0,"223.67000","0","1","Bulk","-","Active","LGH","Receptacle","7","Circular","-","27kVDC","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=866182&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/866182-1.JPG,A122252-ND,866182-1,"TE Connectivity Aerospace, Defense and Marine",CONN LGH RCPT 7POS CIRC PNL MNT,1,0,"766.19000","0","1","Bulk","-","Active","LGH","Receptacle","7","Circular","-","15kVDC","Panel Mount","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=861403&DocType=Customer+Drawing&DocLang=English,-,861403-7-ND,861403-7,"TE Connectivity Aerospace, Defense and Marine",CONN CAP LGH-1/2 AND 1/2I,0,0,"2.62450","0","1000","Bulk","-","Active","LGH 1/2, 1/2L","Accessory - Cap","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=861403&DocType=Customer+Drawing&DocLang=English,-,861403-4-ND,861403-4,"TE Connectivity Aerospace, Defense and Marine",CONN CAP LGH-1/2 & 1/2L,0,0,"3.14500","0","542","Bulk","-","Active","LGH 1/2, 1/2L","Accessory - Cap","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=846976&DocType=Customer+Drawing&DocLang=English,-,846976-1-ND,846976-1,TE Connectivity AMP Connectors,CONN LGH CAP CIRC,0,0,"4.82240","0","1300","Bulk","-","Active","LGH 1/2, 1/2L","Accessory - Cap","-","Circular","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=867779&DocType=Customer+Drawing&DocLang=English,-,867779-1-ND,867779-1,"TE Connectivity Aerospace, Defense and Marine",CONN LGH SOCKET 2POS RECT STR,0,0,"7.43470","0","1000","Bulk","-","Active","LGH","Socket","2","Rectangular","-","-","Free Hanging (In-Line)","Flange"
-,-,860099-1-ND,860099-1,TE Connectivity AMP Connectors,CONN LGH HARDWARE,0,0,"8.21700","0","250","Bulk","-","Active","-","Accessory - Hardware","-","-","-","-","-","-"
-,-,446979-1-ND,446979-1,"TE Connectivity Aerospace, Defense and Marine",4-40 CAPTIVATED SCREW,0,0,"9.02800","0","205","-","-","Active","-","-","-","-","-","-","-","-"
