Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Connector Style","Connector Type","Number of Positions","Number of Rows","Mounting Type","Termination","Flange Feature","Type","Features","Contact Finish","Contact Finish Thickness"
https://www.hirose.com/product/document?clcode=CL0572-2768-1-71&productname=FX2-100P-0.635SH(71)&series=FX2&documenttype=Catalog&lang=en&documentid=D49368_en,//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2CA-40S-1.27DSA.jpg,H10612-ND,FX2CA-40S-1.27DSA(71),Hirose Electric Co Ltd,CONN RECEPT VERT 40POS 1.27MM,159,0,"3.88000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2-20P-0.635SH(71),//media.digikey.com/Photos/Hirose%20Elect%20Photos/FX2-20S%20SERIES.JPG,H10646-ND,FX2-20P-0.635SH(71),Hirose Electric Co Ltd,CONN PLUG 20POS R/A SOLDER,985,0,"3.90000","0","1","FX2","Active","Center Strip Contacts","Plug","20","2","Surface Mount, Right Angle","Solder","-","-","-","Gold","7.87µin (0.200µm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1734037&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Amp%20Photos/1734037-4.jpg,A33466-ND,1734037-4,TE Connectivity AMP Connectors,CONN BTB RCPT 40POS R/A SOLDER,1389,0,"3.94000","0","1","CHAMP .050 I","Active","Outer Shroud Contacts","Receptacle","40","2","Through Hole, Right Angle","Solder","-","Board to Board","Board Lock","Gold","Flash"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=DX10G1M-14SE(50),//media.digikey.com/photos/Hirose%20Elect%20Photos/DX10G1M-14SE.jpg,H11335-ND,DX10G1M-14SE(50),Hirose Electric Co Ltd,CONN MINI HD RCPT 14P R/A SOLDER,152,0,"3.95000","0","1","DXM","Active","Outer Shroud Contacts","Receptacle","14","2","Panel Mount, Through Hole, Right Angle","Solder","Housing/Shell (M2.6)","Miniature High Density (HD)","Board Lock","Gold","-"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2-40S-1.27DS(71),//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2-40S-1.27DS.jpg,H10639-ND,FX2-40S-1.27DS(71),Hirose Electric Co Ltd,CONN BTB RCPT 40POS R/A SOLDER,3116,0,"4.10000","0","1","FX2","Active","Outer Shroud Contacts","Receptacle","40","2","Through Hole, Right Angle","Solder","-","Board to Board","-","Gold","7.87µin (0.200µm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1734100&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1734100-5.JPG,A101947-ND,1734100-5,TE Connectivity AMP Connectors,CONN BTB PLUG 50POS VERT SOLDER,1845,0,"4.10000","0","1","CHAMP .050 I","Active","Center Strip Contacts","Plug","50","2","Through Hole","Solder","-","Board to Board","Board Lock","Gold","Flash"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2C-52P-1.27DSA(71),//media.digikey.com/photos/Hirose%20Elect%20Photos/fx2c-52p-1.27dsa(71).JPG,H10541-ND,FX2C-52P-1.27DSA(71),Hirose Electric Co Ltd,CONN HEADER VERT 52POS 1.27MM,299,0,"4.38000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.hirose.com/product/document?clcode=CL0572-2768-1-71&productname=FX2-100P-0.635SH(71)&series=FX2&documenttype=Catalog&lang=en&documentid=D49368_en,//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2BA-52PA-1.27DSA(71).JPG,H10511-ND,FX2BA-52PA-1.27DSA(71),Hirose Electric Co Ltd,CONN HEADER VERT 52POS 1.27MM,928,0,"4.43000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2B-52PA-1.27DSA(71),//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2B-52PA-1.27DSA.jpg,H10503-ND,FX2B-52PA-1.27DSA(71),Hirose Electric Co Ltd,CONN HEADER VERT 52POS 1.27MM,626,0,"4.43000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2-40P-1.27SV(71),//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2-40P-1.27SV.jpg,H10522-ND,FX2-40P-1.27SV(71),Hirose Electric Co Ltd,CONN PLUG 40POS SMD SOLDER,120,0,"4.50000","0","1","FX2","Active","Center Strip Contacts","Plug","40","2","Surface Mount","Solder","-","-","-","Gold","7.87µin (0.200µm)"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=DH60-37P,//media.digikey.com/Photos/Hirose%20Elect%20Photos/DH60-37P.JPG,H11936-ND,DH60-37P,Hirose Electric Co Ltd,CONN SCSI RCPT 37POS R/A SOLDER,107,0,"4.58000","0","1","DH","Active","Outer Shroud Contacts","Receptacle","37","2","Surface Mount, Right Angle","Solder","Housing/Shell (M2.6)","SCSI","Board Guide, Shielded","Gold","-"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2B-60PA-1.27DSA(71),//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2B-60PA-1.27DSA.jpg,H10504-ND,FX2B-60PA-1.27DSA(71),Hirose Electric Co Ltd,CONN HEADER VERT 60POS 1.27MM,131,0,"4.60000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2B-52PA-1.27DS(71),//media.digikey.com/photos/Hirose%20Elect%20Photos/HIROSE%20ELECTRIC%20CO%20LTD-FX2B-52PA-1.27DS(71).jpg,H10495-ND,FX2B-52PA-1.27DS(71),Hirose Electric Co Ltd,CONN HEADER R/A 52POS 1.27MM,475,0,"4.65000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1734099&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Amp%20Photos/1734099-7.JPG,A33464-ND,1734099-7,TE Connectivity AMP Connectors,CONN BTB PLUG 68POS R/A SOLDER,2571,0,"4.70000","0","1","CHAMP .050 I","Active","Center Strip Contacts","Plug","68","2","Through Hole, Right Angle","Solder","-","Board to Board","Board Lock","Gold","Flash"
https://www.hirose.com/product/document?clcode=CL0572-2768-1-71&productname=FX2-100P-0.635SH(71)&series=FX2&documenttype=Catalog&lang=en&documentid=D49368_en,//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2C-60P-1.27DSA(71).JPG,H10542-ND,FX2C-60P-1.27DSA(71),Hirose Electric Co Ltd,CONN HEADER VERT 60POS 1.27MM,139,0,"4.73000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.hirose.com/product/document?clcode=CL0572-2768-1-71&productname=FX2-100P-0.635SH(71)&series=FX2&documenttype=Catalog&lang=en&documentid=D49368_en,//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2CA-60S-1.27DSA.jpg,H10614-ND,FX2CA-60S-1.27DSA(71),Hirose Electric Co Ltd,CONN RECEPT VERT 60POS 1.27MM,116,0,"5.00000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.hirose.com/product/document?clcode=CL0572-2768-1-71&productname=FX2-100P-0.635SH(71)&series=FX2&documenttype=Catalog&lang=en&documentid=D49368_en,//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2C-68P-1.27DSA(71).JPG,H10543-ND,FX2C-68P-1.27DSA(71),Hirose Electric Co Ltd,CONN HEADER VERT 68POS 1.27MM,206,0,"5.05000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2-52S-1.27SV(71),//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2-52S-1.27SV.jpg,H10532-ND,FX2-52S-1.27SV(71),Hirose Electric Co Ltd,CONN RCPT 52POS SMD SOLDER,110,0,"5.08000","0","1","FX2","Active","Outer Shroud Contacts","Receptacle","52","2","Surface Mount","Solder","-","-","-","Gold","7.87µin (0.200µm)"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2C2-52S-1.27DSA(71),//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2C2-52S-1.27DSA(71).JPG,H10604-ND,FX2C2-52S-1.27DSA(71),Hirose Electric Co Ltd,CONN RECEPT VERT 52POS 1.27MM,117,0,"5.13000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.hirose.com/product/download/?distributor=digikey&type=2d&lang=en&num=FX2BA-80PA-1.27DSA(71),//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2BA-80PA-1.27DSA(71).JPG,H10514-ND,FX2BA-80PA-1.27DSA(71),Hirose Electric Co Ltd,CONN HEADER VERT 80POS 1.27MM,255,0,"5.20000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
https://www.hirose.com/product/document?clcode=CL0572-2768-1-71&productname=FX2-100P-0.635SH(71)&series=FX2&documenttype=Catalog&lang=en&documentid=D49368_en,//media.digikey.com/photos/Hirose%20Elect%20Photos/FX2C-68S-1.27DSA(71).JPG,H10597-ND,FX2C-68S-1.27DSA(71),Hirose Electric Co Ltd,CONN RECEPT VERT 68POS 1.27MM,498,0,"5.33000","0","1","*","Active","-","-","-","-","-","-","-","-","-","-","-"
