Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Connector Style","Connector Type","Number of Positions","Number of Rows","Shell Size, Connector Layout","Contact Type","Mounting Type","Flange Feature","Termination","Features","Shell Material, Finish","Contact Finish","Contact Finish Thickness","Ingress Protection","Material Flammability Rating","Current Rating (Amps)","Operating Temperature"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_4888_CO.pdf,//media.digikey.com/Photos/Assmann%20Photos/ADF15A-KG-TAXB3-R.jpg,AE10931-ND,A-DF 15 A/KG-T4S,Assmann WSW Components,CONN D-SUB RCPT 15POS R/A SOLDER,1476,0,"1.10000","0","1","Tray","-","Active","D-Sub","Receptacle, Female Sockets","15","2","2 (DA, A)","Signal","Through Hole, Right Angle","Housing/Shell (4-40)","Solder","Board Lock","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","3A","-55°C ~ 105°C"
http://www.amphenolinfocom.eu/NavData/Catalogs/SD%20Straight-pcb.pdf,//media.digikey.com/Photos/Amphenol%20Photos/L77SDA15SOL2.JPG,L77SDA15SOL2-ND,L77SDA15SOL2,Amphenol ICC (Commercial Products),CONN D-SUB RCPT 15POS VERT SLDR,1216,0,"1.12000","0","1","Tray","SD","Active","D-Sub","Receptacle, Female Sockets","15","2","2 (DA, A)","Signal","Through Hole","Housing/Shell (Unthreaded)","Solder","-","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-55°C ~ 155°C"
https://www.amphenolcanada.com/ProductSearch/drawings/AC/G17Sxx0x110EU.pdf,//media.digikey.com/photos/Amphenol%20Photos/G17S2500110EU.jpg,G17S2500110EU-ND,G17S2500110EU,Amphenol ICC (Commercial Products),CONN D-SUB RCPT 25P SLDR CUP,1041,0,"1.12000","0","1","Tray","G17S","Active","D-Sub","Receptacle, Female Sockets","25","2","3 (DB, B)","Signal","Free Hanging (In-Line)","Housing/Shell (Unthreaded)","Solder Cup","-","Steel, Tin Plated","-","Flash","-","UL94 V-0","5A","-"
http://www.amphenol-icc.com/media/wysiwyg/files/drawing/10130913.pdf,//media.digikey.com/Photos/Amphenol%20Photos/LD09P13A4GV00LF.JPG,609-5182-ND,LD09P13A4GV00LF,Amphenol ICC (FCI),CONN D-SUB PLUG 9POS R/A SOLDER,1509,0,"1.14000","0","1","Tray","LD","Active","D-Sub","Plug, Male Pins","9","2","1 (DE, E)","Signal","Board Edge, Through Hole, Right Angle","Mating Side, Female Screwlock (4-40)","Solder","Board Lock, Grounding Indents","Nickel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-55°C ~ 105°C"
http://www.assmann-wsw.com/fileadmin/datasheets/ASS_4885_CO.pdf,//media.digikey.com/Photos/Assmann%20Photos/A-DF25PP-TL-B-R.JPG,AE10940-ND,A-DF 25 PP/Z,Assmann WSW Components,CONN D-SUB RCPT 25POS VERT SLDR,3036,0,"1.16000","0","1","Tray","-","Active","D-Sub","Receptacle, Female Sockets","25","2","3 (DB, B)","Signal","Through Hole","Housing/Shell (Unthreaded)","Solder","-","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","3A","-20°C ~ 105°C"
http://www.amphenol-icc.com/media/wysiwyg/files/drawing/10130913.pdf,//media.digikey.com/Photos/Amphenol%20Photos/LD09S13A4GV00LF.JPG,609-5188-ND,LD09S13A4GV00LF,Amphenol ICC (FCI),CONN D-SUB RCPT 9POS R/A SOLDER,1563,0,"1.19000","0","1","Tray","LD","Active","D-Sub","Receptacle, Female Sockets","9","2","1 (DE, E)","Signal","Board Edge, Through Hole, Right Angle","Mating Side, Female Screwlock (4-40)","Solder","Board Lock","Nickel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-55°C ~ 105°C"
https://www.norcomp.net/rohspdfs/Connectors/17Y/171/171-YYY-10YLYY1.pdf,//media.digikey.com/photos/Norcomp%20Photos/171-015-102l001.JPG,215MER-ND,171-015-102L001,NorComp Inc.,CONN D-SUB PLUG 15POS PNL MNT,2627,0,"1.22000","0","1","Tray","171","Active","D-Sub","Plug, Male Pins","15","2","2 (DA, A)","Signal","Panel Mount","Housing/Shell (Unthreaded)","Solder Cup","Grounding Indents","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-50°C ~ 100°C"
http://www.amphenol-icc.com/media/wysiwyg/files/drawing/10130912.pdf,//media.digikey.com/Photos/Amphenol%20Photos/LD09P24A4GX00LF.JPG,609-5185-ND,LD09P24A4GX00LF,Amphenol ICC (FCI),CONN D-SUB PLUG 9POS VERT SOLDER,2033,0,"1.27000","0","1","Tray","LD","Active","D-Sub","Plug, Male Pins","9","2","1 (DE, E)","Signal","Through Hole","Housing/Shell (4-40)","Solder","Board Lock, Grounding Indents","Nickel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-55°C ~ 105°C"
http://www.amphenol-icc.com/media/wysiwyg/files/drawing/10130912.pdf,//media.digikey.com/Photos/Amphenol%20Photos/LD09S24A4GX00LF-%28front%29.jpg,609-5191-ND,LD09S24A4GX00LF,Amphenol ICC (FCI),CONN D-SUB RCPT 9POS VERT SOLDER,1974,0,"1.27000","0","1","Tray","LD","Active","D-Sub","Receptacle, Female Sockets","9","2","1 (DE, E)","Signal","Through Hole","Housing/Shell (4-40)","Solder","Board Lock","Nickel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-55°C ~ 105°C"
https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/cmio/sd_hd_stamepd_formed_solder_cup_dsub.pdf,//media.digikey.com/Photos/Amphenol%20Photos/L77SDBH25S.JPG,L77SDBH25S-ND,L77SDBH25S,Amphenol ICC (Commercial Products),CONN D-SUB RCPT 25P SLDR CUP,1563,0,"1.28000","0","1","Tray","SD","Active","D-Sub","Receptacle, Female Sockets","25","2","3 (DB, B)","Signal","Free Hanging (In-Line)","Cable Side (4-40)","Solder Cup","-","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-55°C ~ 155°C"
https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/cmio/sd_hd_stamepd_formed_solder_cup_dsub.pdf,//media.digikey.com/Photos/Amphenol%20Photos/L717SDBH25P.JPG,L717SDBH25P-ND,L717SDBH25P,Amphenol ICC (Commercial Products),CONN D-SUB PLUG 25P SLDR CUP,1114,0,"1.28000","0","1","Tray","SD","Active","D-Sub","Plug, Male Pins","25","2","3 (DB, B)","Signal","Free Hanging (In-Line)","Cable Side (4-40)","Solder Cup","Grounding Indents","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","5A","-55°C ~ 155°C"
https://www.amphenol-icc.com/media/wysiwyg/files/drawing/c-cd-0012.pdf,//media.digikey.com/photos/FCI%20Photos/ICD15S13E6GV00LFjpg.jpg,609-5180-ND,ICD15S13E4GV00LF,Amphenol ICC (FCI),CONN DSUB HD RCPT 15POS R/A SLDR,1280,0,"1.30000","0","1","Tray","ICD","Active","D-Sub, High Density","Receptacle, Female Sockets","15","3","1 (DE, E) High Density","Signal","Through Hole, Right Angle","Mating Side, Female Screwlock (4-40)","Solder","Board Lock, Mounting Bracket","Steel, Tin Plated","Gold","Flash","-","UL94 V-0","3A","-55°C ~ 125°C"
