Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Number of Outputs","Voltage - Input (Min)","Voltage - Input (Max)","Voltage - Output 1","Voltage - Output 2","Voltage - Output 3","Voltage - Output 4","Current - Output (Max)","Power (Watts)","Voltage - Isolation","Applications","Features","Operating Temperature","Efficiency","Mounting Type","Package / Case","Size / Dimension","Supplier Device Package","Control Features"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmz21701,//media.digikey.com/Photos/Texas%20Instr%20Photos/LMZ2170xSILT.jpg,296-38545-2-ND,LMZ21701SILT,Texas Instruments,DC DC CONVERTER 0.9-6V 6W,51500,10000,"3.27636","0","250","Tape & Reel (TR)","SIMPLE SWITCHER® Nano","Active","Non-Isolated PoL Module","1","3V","17V","0.9 ~ 6V","-","-","-","1A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 125°C","95%","Surface Mount","8-SMD Module","0.14"" L x 0.14"" W x 0.07"" H (3.5mm x 3.5mm x 1.8mm)","-","Enable, Active High"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmz21701,//media.digikey.com/Photos/Texas%20Instr%20Photos/LMZ2170xSILT.jpg,296-38545-1-ND,LMZ21701SILT,Texas Instruments,DC DC CONVERTER 0.9-6V 6W,51956,10001,"4.83000","0","1","Cut Tape (CT)","SIMPLE SWITCHER® Nano","Active","Non-Isolated PoL Module","1","3V","17V","0.9 ~ 6V","-","-","-","1A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 125°C","95%","Surface Mount","8-SMD Module","0.14"" L x 0.14"" W x 0.07"" H (3.5mm x 3.5mm x 1.8mm)","-","Enable, Active High"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmz21701,//media.digikey.com/Photos/Texas%20Instr%20Photos/LMZ2170xSILT.jpg,296-38545-6-ND,LMZ21701SILT,Texas Instruments,DC DC CONVERTER 0.9-6V 6W,51956,10001,"Digi-Reel","0","1","Digi-Reel®","SIMPLE SWITCHER® Nano","Active","Non-Isolated PoL Module","1","3V","17V","0.9 ~ 6V","-","-","-","1A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 125°C","95%","Surface Mount","8-SMD Module","0.14"" L x 0.14"" W x 0.07"" H (3.5mm x 3.5mm x 1.8mm)","-","Enable, Active High"
https://www.xppower.com/Portals/0/pdfs/SF_ISE.pdf,//media.digikey.com/Photos/XP%20Power/MFG_ISE-Series.jpg,1470-2945-2-ND,ISE0505A-TR,XP Power,DC DC CONVERTER 5V 1W,6000,0,"3.31500","0","500","Tape & Reel (TR)","ISE (1W)","Active","Isolated Module","1","4.5V","5.5V","5V","-","-","-","200mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C","80%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.44"" W x 0.29"" H (12.7mm x 11.2mm x 7.3mm)","-","-"
https://www.xppower.com/Portals/0/pdfs/SF_ISE.pdf,//media.digikey.com/Photos/XP%20Power/MFG_ISE-Series.jpg,1470-2945-1-ND,ISE0505A-TR,XP Power,DC DC CONVERTER 5V 1W,6130,0,"4.25000","0","1","Cut Tape (CT)","ISE (1W)","Active","Isolated Module","1","4.5V","5.5V","5V","-","-","-","200mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C","80%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.44"" W x 0.29"" H (12.7mm x 11.2mm x 7.3mm)","-","-"
https://www.xppower.com/Portals/0/pdfs/SF_ISE.pdf,//media.digikey.com/Photos/XP%20Power/MFG_ISE-Series.jpg,1470-2945-6-ND,ISE0505A-TR,XP Power,DC DC CONVERTER 5V 1W,6130,0,"Digi-Reel","0","1","Digi-Reel®","ISE (1W)","Active","Isolated Module","1","4.5V","5.5V","5V","-","-","-","200mA","1W","1.5kV","ITE (Commercial)","SCP","-40°C ~ 105°C","80%","Surface Mount","8-SMD Module, 5 Leads","0.50"" L x 0.44"" W x 0.29"" H (12.7mm x 11.2mm x 7.3mm)","-","-"
https://www.recom-power.com/pdf/Econoline/RKE.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RKE-Series.jpg,945-2123-ND,RKE-0505S/H,Recom Power,DC DC CONVERTER 5V 1W,27872,1000,"3.41000","0","1","Tube","ECONOLINE RKE (E-Series) (1W)","Active","Isolated Module","1","4.5V","5.5V","5V","-","-","-","200mA","1W","4kV","ITE (Commercial)","-","-40°C ~ 85°C","75%","Through Hole","7-SIP Module, 4 Leads","0.77"" L x 0.28"" W x 0.40"" H (19.7mm x 7.1mm x 10.2mm)","-","-"
https://www.xppower.com/Portals/0/pdfs/SF_TR05.pdf,//media.digikey.com/Photos/XP%20Power/MFG_TR.jpg,1470-2257-5-ND,TR05S3V3,XP Power,DC DC CONVERTER 3.3V 2W,2711,0,"3.45000","0","1","Tube","TR","Active","Linear Regulator Replacement","1","4.5V","28V","3.3V","-","-","-","500mA","2W","-","ITE (Commercial)","SCP","-40°C ~ 85°C","89%","Through Hole","3-SIP Module","0.46"" L x 0.30"" W x 0.40"" H (11.7mm x 7.5mm x 10.2mm)","-","-"
https://power.murata.com/data/power/ncl/kdc_cre1.pdf,//media.digikey.com/Photos/Murata%20Photos/NME_4-SIP-Module.jpg,811-3193-ND,CRE1S0305S3C,Murata Power Solutions Inc.,DC DC CONVERTER 5V 1W,2135,0,"3.45000","0","1","Tube","CRE1 (1W)","Active","Isolated Module","1","2.97V","3.63V","5V","-","-","-","200mA","1W","3kV","ITE (Commercial)","-","-40°C ~ 85°C","75%","Through Hole","4-SIP Module","0.45"" L x 0.24"" W x 0.30"" H (11.5mm x 6.1mm x 7.5mm)","-","-"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftpsm82480,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;-4223492;-MOP;-24.jpg,296-49473-2-ND,TPSM82480MOPR,Texas Instruments,DC DC CONVERTER 0.6-5.5V,3000,9000,"3.54640","0","3000","Tape & Reel (TR)","TPS","Active","Non-Isolated PoL Module","1","2.4V","5.5V","0.6 ~ 5.5V","-","-","-","6A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 125°C","-","Surface Mount","24-SMD Module","0.31"" L x 0.14"" W x 0.06"" H (7.9mm x 3.6mm x 1.6mm)","24-QFM (7.9x3.6)","-"
