Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Number of Outputs","Voltage - Input (Min)","Voltage - Input (Max)","Voltage - Output 1","Voltage - Output 2","Voltage - Output 3","Voltage - Output 4","Current - Output (Max)","Power (Watts)","Voltage - Isolation","Applications","Features","Operating Temperature","Efficiency","Mounting Type","Package / Case","Size / Dimension","Supplier Device Package","Control Features"
https://www.torexsemi.com/file/xcl208/XCL208-XCL209.pdf,//media.digikey.com/Renders/Torex/XCL209F%20Series.jpg,893-1172-2-ND,XCL209F083DR,Torex Semiconductor Ltd,DC DC CONVERTER 0.9-6V,6000,0,"0.96320","0","3000","Tape & Reel (TR)","XCL209","Active","Non-Isolated PoL Module","1","1.8V","6V","0.9 ~ 6V","-","-","-","400mA","-","-","ITE (Commercial)","SCP, UVLO","-40°C ~ 85°C","90%","Surface Mount","2520 (5650 Metric)","0.10"" L x 0.08"" W x 0.04"" H (2.5mm x 2.0mm x 1.0mm)","-","-"
https://www.torexsemi.com/file/xcl208/XCL208-XCL209.pdf,//media.digikey.com/Renders/Torex/XCL209F%20Series.jpg,893-1172-1-ND,XCL209F083DR,Torex Semiconductor Ltd,DC DC CONVERTER 0.9-6V,6732,0,"1.24000","0","1","Cut Tape (CT)","XCL209","Active","Non-Isolated PoL Module","1","1.8V","6V","0.9 ~ 6V","-","-","-","400mA","-","-","ITE (Commercial)","SCP, UVLO","-40°C ~ 85°C","90%","Surface Mount","2520 (5650 Metric)","0.10"" L x 0.08"" W x 0.04"" H (2.5mm x 2.0mm x 1.0mm)","-","-"
https://www.torexsemi.com/file/xcl208/XCL208-XCL209.pdf,//media.digikey.com/Renders/Torex/XCL209F%20Series.jpg,893-1172-6-ND,XCL209F083DR,Torex Semiconductor Ltd,DC DC CONVERTER 0.9-6V,6732,0,"Digi-Reel","0","1","Digi-Reel®","XCL209","Active","Non-Isolated PoL Module","1","1.8V","6V","0.9 ~ 6V","-","-","-","400mA","-","-","ITE (Commercial)","SCP, UVLO","-40°C ~ 85°C","90%","Surface Mount","2520 (5650 Metric)","0.10"" L x 0.08"" W x 0.04"" H (2.5mm x 2.0mm x 1.0mm)","-","-"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps826711,//media.digikey.com/Renders/Texas%20Instr%20Renders/TPS8267xSIPxx.jpg,296-30586-2-ND,TPS826711SIPR,Texas Instruments,DC DC CONVERTER 1.8V 1W,15000,9000,"1.11645","0","3000","Tape & Reel (TR)","MicroSip™","Active","Non-Isolated PoL Module","1","2.3V","4.8V","1.8V","-","-","-","600mA","-","-","ITE (Commercial)","Remote On/Off, OCP, OTP, UVLO","-40°C ~ 85°C","90%","Surface Mount","8-BGA Module","0.12"" L x 0.09"" W x 0.04"" H (3.0mm x 2.4mm x 1.0mm)","8-uSIP","Enable, Active High"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps826711,//media.digikey.com/Renders/Texas%20Instr%20Renders/TPS8267xSIPxx.jpg,296-30586-1-ND,TPS826711SIPR,Texas Instruments,DC DC CONVERTER 1.8V 1W,22112,10001,"2.51000","0","1","Cut Tape (CT)","MicroSip™","Active","Non-Isolated PoL Module","1","2.3V","4.8V","1.8V","-","-","-","600mA","-","-","ITE (Commercial)","Remote On/Off, OCP, OTP, UVLO","-40°C ~ 85°C","90%","Surface Mount","8-BGA Module","0.12"" L x 0.09"" W x 0.04"" H (3.0mm x 2.4mm x 1.0mm)","8-uSIP","Enable, Active High"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps826711,//media.digikey.com/Renders/Texas%20Instr%20Renders/TPS8267xSIPxx.jpg,296-30586-6-ND,TPS826711SIPR,Texas Instruments,DC DC CONVERTER 1.8V 1W,22112,10001,"Digi-Reel","0","1","Digi-Reel®","MicroSip™","Active","Non-Isolated PoL Module","1","2.3V","4.8V","1.8V","-","-","-","600mA","-","-","ITE (Commercial)","Remote On/Off, OCP, OTP, UVLO","-40°C ~ 85°C","90%","Surface Mount","8-BGA Module","0.12"" L x 0.09"" W x 0.04"" H (3.0mm x 2.4mm x 1.0mm)","8-uSIP","Enable, Active High"
https://www.semtech.com/uploads/documents/sc202a.pdf,//media.digikey.com/Photos/Semtech%20Photos/SC202AMLTRT.JPG,SC202AMLTR-ND,SC202AMLTRT,Semtech Corporation,DC DC CONVERTER 0.8-3.3V,45000,0,"1.12000","0","3000","Tape & Reel (TR)","SC202","Active","Non-Isolated PoL Module","1","2.9V","5.5V","0.8 ~ 3.3V","-","-","-","500mA","-","-","ITE (Commercial)","OCP, OTP, OVP, SCP, UVLO","-40°C ~ 85°C","-","Surface Mount","13-PowerVFQFN Module","0.12"" L x 0.10"" W x 0.04"" H (3.0mm x 2.5mm x 1.0mm)","13-MLPQ (2.5x3)","-"
https://www.semtech.com/uploads/documents/sc202a.pdf,//media.digikey.com/Photos/Semtech%20Photos/SC202AMLTRT.JPG,SC202AMLCT-ND,SC202AMLTRT,Semtech Corporation,DC DC CONVERTER 0.8-3.3V,49071,0,"1.44000","0","1","Cut Tape (CT)","SC202","Active","Non-Isolated PoL Module","1","2.9V","5.5V","0.8 ~ 3.3V","-","-","-","500mA","-","-","ITE (Commercial)","OCP, OTP, OVP, SCP, UVLO","-40°C ~ 85°C","-","Surface Mount","13-PowerVFQFN Module","0.12"" L x 0.10"" W x 0.04"" H (3.0mm x 2.5mm x 1.0mm)","13-MLPQ (2.5x3)","-"
https://www.semtech.com/uploads/documents/sc202a.pdf,//media.digikey.com/Photos/Semtech%20Photos/SC202AMLTRT.JPG,SC202AMLDKR-ND,SC202AMLTRT,Semtech Corporation,DC DC CONVERTER 0.8-3.3V,49071,0,"Digi-Reel","0","1","Digi-Reel®","SC202","Active","Non-Isolated PoL Module","1","2.9V","5.5V","0.8 ~ 3.3V","-","-","-","500mA","-","-","ITE (Commercial)","OCP, OTP, OVP, SCP, UVLO","-40°C ~ 85°C","-","Surface Mount","13-PowerVFQFN Module","0.12"" L x 0.10"" W x 0.04"" H (3.0mm x 2.5mm x 1.0mm)","13-MLPQ (2.5x3)","-"
https://www.torexsemi.com/file/xcl213/XCL213-XCL214.pdf,//media.digikey.com/Photos/Torex%20Semiconductor/XCL214BxxxDR.JPG,893-1213-2-ND,XCL214B123DR,Torex Semiconductor Ltd,DC DC CONVERTER 1.2V 2W,3000,0,"1.26630","0","3000","Tape & Reel (TR)","XCL214","Active","Non-Isolated PoL Module","1","2.7V","5.5V","1.2V","-","-","-","1.5A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 85°C","92%","Surface Mount","9-PowerTFQFN","0.13"" L x 0.10"" W x 0.04"" H (3.2mm x 2.5mm x 1.0mm)","USP-9B01","-"
https://www.torexsemi.com/file/xcl213/XCL213-XCL214.pdf,//media.digikey.com/Photos/Torex%20Semiconductor/XCL214BxxxDR.JPG,893-1213-1-ND,XCL214B123DR,Torex Semiconductor Ltd,DC DC CONVERTER 1.2V 2W,3386,0,"3.00000","0","1","Cut Tape (CT)","XCL214","Active","Non-Isolated PoL Module","1","2.7V","5.5V","1.2V","-","-","-","1.5A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 85°C","92%","Surface Mount","9-PowerTFQFN","0.13"" L x 0.10"" W x 0.04"" H (3.2mm x 2.5mm x 1.0mm)","USP-9B01","-"
https://www.torexsemi.com/file/xcl213/XCL213-XCL214.pdf,//media.digikey.com/Photos/Torex%20Semiconductor/XCL214BxxxDR.JPG,893-1213-6-ND,XCL214B123DR,Torex Semiconductor Ltd,DC DC CONVERTER 1.2V 2W,3386,0,"Digi-Reel","0","1","Digi-Reel®","XCL214","Active","Non-Isolated PoL Module","1","2.7V","5.5V","1.2V","-","-","-","1.5A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 85°C","92%","Surface Mount","9-PowerTFQFN","0.13"" L x 0.10"" W x 0.04"" H (3.2mm x 2.5mm x 1.0mm)","USP-9B01","-"
https://www.torexsemi.com/file/xcl213/XCL213-XCL214.pdf,//media.digikey.com/Photos/Torex%20Semiconductor/XCL214BxxxDR.JPG,893-1215-2-ND,XCL214B183DR,Torex Semiconductor Ltd,DC DC CONVERTER 1.8V 3W,3000,0,"1.26630","0","3000","Tape & Reel (TR)","XCL214","Active","Non-Isolated PoL Module","1","2.7V","5.5V","1.8V","-","-","-","1.5A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 85°C","92%","Surface Mount","9-PowerTFQFN","0.13"" L x 0.10"" W x 0.04"" H (3.2mm x 2.5mm x 1.0mm)","USP-9B01","-"
https://www.torexsemi.com/file/xcl213/XCL213-XCL214.pdf,//media.digikey.com/Photos/Torex%20Semiconductor/XCL214BxxxDR.JPG,893-1215-1-ND,XCL214B183DR,Torex Semiconductor Ltd,DC DC CONVERTER 1.8V 3W,4352,0,"3.00000","0","1","Cut Tape (CT)","XCL214","Active","Non-Isolated PoL Module","1","2.7V","5.5V","1.8V","-","-","-","1.5A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 85°C","92%","Surface Mount","9-PowerTFQFN","0.13"" L x 0.10"" W x 0.04"" H (3.2mm x 2.5mm x 1.0mm)","USP-9B01","-"
https://www.torexsemi.com/file/xcl213/XCL213-XCL214.pdf,//media.digikey.com/Photos/Torex%20Semiconductor/XCL214BxxxDR.JPG,893-1215-6-ND,XCL214B183DR,Torex Semiconductor Ltd,DC DC CONVERTER 1.8V 3W,4352,0,"Digi-Reel","0","1","Digi-Reel®","XCL214","Active","Non-Isolated PoL Module","1","2.7V","5.5V","1.8V","-","-","-","1.5A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 85°C","92%","Surface Mount","9-PowerTFQFN","0.13"" L x 0.10"" W x 0.04"" H (3.2mm x 2.5mm x 1.0mm)","USP-9B01","-"
https://www.recom-power.com/pdf/Econoline/RFM.pdf,//media.digikey.com/Photos/Recom%20Power%20Inc/MFG_RFM_SERIES.jpg,945-3159-ND,RFM-0505S,Recom Power,DC DC CONVERTER 5V 1W,9800,966,"1.40000","0","1","Tube","RFM (1W)","Active","Isolated Module","1","-","5V","5V","-","-","-","200mA","1W","1kV","ITE (Commercial)","-","-40°C ~ 85°C","79 ~ 84%","Through Hole","4-SIP Module","0.45"" L x 0.24"" W x 0.39"" H (11.5mm x 6.0mm x 10.0mm)","-","-"
https://media.monolithicpower.com/document/MPM3805_r1.11.pdf,//media.digikey.com/Photos/Monolithic%20Power%20Systems%20Inc/12-QFN.jpg,1589-1260-2-ND,MPM3805GQB-P,Monolithic Power Systems Inc.,DC DC CONVERTER 2.5-6V 0.6A,13500,0,"1.47000","0","500","Tape & Reel (TR)","-","Active","Non-Isolated PoL Module","1","2.5V","6V","2.5 ~ 6V","-","-","-","600mA","-","-","ITE (Commercial)","OCP, OTP, UVLO","-40°C ~ 125°C","-","Surface Mount","12-PowerVFQFN Module","0.12"" L x 0.10"" W x 0.04"" H (3.0mm x 2.5mm x 0.9mm)","12-QFN (3x2.5)","Enable, Active High"
https://media.monolithicpower.com/document/MPM3805_r1.11.pdf,//media.digikey.com/Photos/Monolithic%20Power%20Systems%20Inc/12-QFN.jpg,1589-1260-1-ND,MPM3805GQB-P,Monolithic Power Systems Inc.,DC DC CONVERTER 2.5-6V 0.6A,13878,0,"2.68000","0","1","Cut Tape (CT)","-","Active","Non-Isolated PoL Module","1","2.5V","6V","2.5 ~ 6V","-","-","-","600mA","-","-","ITE (Commercial)","OCP, OTP, UVLO","-40°C ~ 125°C","-","Surface Mount","12-PowerVFQFN Module","0.12"" L x 0.10"" W x 0.04"" H (3.0mm x 2.5mm x 0.9mm)","12-QFN (3x2.5)","Enable, Active High"
https://media.monolithicpower.com/document/MPM3805_r1.11.pdf,//media.digikey.com/Photos/Monolithic%20Power%20Systems%20Inc/12-QFN.jpg,1589-1260-6-ND,MPM3805GQB-P,Monolithic Power Systems Inc.,DC DC CONVERTER 2.5-6V 0.6A,13878,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Non-Isolated PoL Module","1","2.5V","6V","2.5 ~ 6V","-","-","-","600mA","-","-","ITE (Commercial)","OCP, OTP, UVLO","-40°C ~ 125°C","-","Surface Mount","12-PowerVFQFN Module","0.12"" L x 0.10"" W x 0.04"" H (3.0mm x 2.5mm x 0.9mm)","12-QFN (3x2.5)","Enable, Active High"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps82084,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;%204221448;%20SIL;%208.jpg,296-46279-2-ND,TPS82084SILR,Texas Instruments,DC DC CONVERTER 0.8-6V 2A,36000,0,"1.52152","0","3000","Tape & Reel (TR)","MicroSip™","Active","Non-Isolated PoL Module","1","2.5V","6V","0.8 ~ 6V","-","-","-","2A","-","-","ITE (Commercial)","SCP, OTP, UVLO","-40°C ~ 125°C","-","Surface Mount","8-LDFN Exposed Pad, Module","0.12"" L x 0.11"" W x 0.05"" H (3.0mm x 2.8mm x 1.3mm)","8-uSIP (3x2.8)","-"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps82084,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;%204221448;%20SIL;%208.jpg,296-46279-1-ND,TPS82084SILR,Texas Instruments,DC DC CONVERTER 0.8-6V 2A,36048,0,"3.12000","0","1","Cut Tape (CT)","MicroSip™","Active","Non-Isolated PoL Module","1","2.5V","6V","0.8 ~ 6V","-","-","-","2A","-","-","ITE (Commercial)","SCP, OTP, UVLO","-40°C ~ 125°C","-","Surface Mount","8-LDFN Exposed Pad, Module","0.12"" L x 0.11"" W x 0.05"" H (3.0mm x 2.8mm x 1.3mm)","8-uSIP (3x2.8)","-"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps82084,//media.digikey.com/Renders/Texas%20Instr%20Renders/296;%204221448;%20SIL;%208.jpg,296-46279-6-ND,TPS82084SILR,Texas Instruments,DC DC CONVERTER 0.8-6V 2A,36048,0,"Digi-Reel","0","1","Digi-Reel®","MicroSip™","Active","Non-Isolated PoL Module","1","2.5V","6V","0.8 ~ 6V","-","-","-","2A","-","-","ITE (Commercial)","SCP, OTP, UVLO","-40°C ~ 125°C","-","Surface Mount","8-LDFN Exposed Pad, Module","0.12"" L x 0.11"" W x 0.05"" H (3.0mm x 2.8mm x 1.3mm)","8-uSIP (3x2.8)","-"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmz10500,//media.digikey.com/Photos/National%20Semi%20Photos/LMZ10500SEE%5ENOPB%20(LINK%20TO%20LMZ10501SEE%5ENOPB).JPG,296-39558-2-ND,LMZ10500SILR,Texas Instruments,DC DC CONVERTER 0.6-3.6V 2W,6000,0,"1.60160","0","3000","Tape & Reel (TR)","SIMPLE SWITCHER®","Active","Non-Isolated PoL Module","1","2.7V","5.5V","0.6 ~ 3.6V","-","-","-","650mA","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 125°C","95%","Surface Mount","8-LDFN Exposed Pad, Module","0.12"" L x 0.10"" W x 0.06"" H (3.0mm x 2.6mm x 1.5mm)","8-uSIP","Enable, Active High"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmz10500,//media.digikey.com/Photos/National%20Semi%20Photos/LMZ10500SEE%5ENOPB%20(LINK%20TO%20LMZ10501SEE%5ENOPB).JPG,296-39558-1-ND,LMZ10500SILR,Texas Instruments,DC DC CONVERTER 0.6-3.6V 2W,7603,0,"2.06000","0","1","Cut Tape (CT)","SIMPLE SWITCHER®","Active","Non-Isolated PoL Module","1","2.7V","5.5V","0.6 ~ 3.6V","-","-","-","650mA","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 125°C","95%","Surface Mount","8-LDFN Exposed Pad, Module","0.12"" L x 0.10"" W x 0.06"" H (3.0mm x 2.6mm x 1.5mm)","8-uSIP","Enable, Active High"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmz10500,//media.digikey.com/Photos/National%20Semi%20Photos/LMZ10500SEE%5ENOPB%20(LINK%20TO%20LMZ10501SEE%5ENOPB).JPG,296-39558-6-ND,LMZ10500SILR,Texas Instruments,DC DC CONVERTER 0.6-3.6V 2W,7603,0,"Digi-Reel","0","1","Digi-Reel®","SIMPLE SWITCHER®","Active","Non-Isolated PoL Module","1","2.7V","5.5V","0.6 ~ 3.6V","-","-","-","650mA","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 125°C","95%","Surface Mount","8-LDFN Exposed Pad, Module","0.12"" L x 0.10"" W x 0.06"" H (3.0mm x 2.6mm x 1.5mm)","8-uSIP","Enable, Active High"
https://media.monolithicpower.com/document/MPM3810_r1.1.pdf,//media.digikey.com/Photos/Monolithic%20Power%20Systems%20Inc/12-QFN.jpg,1589-1265-2-ND,MPM3810GQB-P,Monolithic Power Systems Inc.,DC DC CONVERTER 2.5-6V 1.2A,14500,0,"1.61000","0","500","Tape & Reel (TR)","-","Active","Non-Isolated PoL Module","1","2.5V","6V","2.5 ~ 6V","-","-","-","1.2A","-","-","ITE (Commercial)","OCP, OTP, UVLO","-40°C ~ 125°C","-","Surface Mount","12-PowerVFQFN Module","0.12"" L x 0.10"" W x 0.04"" H (3.0mm x 2.5mm x 0.9mm)","12-QFN (3x2.5)","-"
https://media.monolithicpower.com/document/MPM3810_r1.1.pdf,//media.digikey.com/Photos/Monolithic%20Power%20Systems%20Inc/12-QFN.jpg,1589-1265-1-ND,MPM3810GQB-P,Monolithic Power Systems Inc.,DC DC CONVERTER 2.5-6V 1.2A,15465,0,"2.94000","0","1","Cut Tape (CT)","-","Active","Non-Isolated PoL Module","1","2.5V","6V","2.5 ~ 6V","-","-","-","1.2A","-","-","ITE (Commercial)","OCP, OTP, UVLO","-40°C ~ 125°C","-","Surface Mount","12-PowerVFQFN Module","0.12"" L x 0.10"" W x 0.04"" H (3.0mm x 2.5mm x 0.9mm)","12-QFN (3x2.5)","-"
https://media.monolithicpower.com/document/MPM3810_r1.1.pdf,//media.digikey.com/Photos/Monolithic%20Power%20Systems%20Inc/12-QFN.jpg,1589-1265-6-ND,MPM3810GQB-P,Monolithic Power Systems Inc.,DC DC CONVERTER 2.5-6V 1.2A,15465,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Non-Isolated PoL Module","1","2.5V","6V","2.5 ~ 6V","-","-","-","1.2A","-","-","ITE (Commercial)","OCP, OTP, UVLO","-40°C ~ 125°C","-","Surface Mount","12-PowerVFQFN Module","0.12"" L x 0.10"" W x 0.04"" H (3.0mm x 2.5mm x 0.9mm)","12-QFN (3x2.5)","-"
//media.digikey.com/pdf/Data%20Sheets/Torex/XCL211_212_Series.pdf,//media.digikey.com/Renders/Torex/XCL212B082DR.jpg,893-1211-2-ND,XCL212B082DR,Torex Semiconductor Ltd,DC DC CONVERTER 0.9V 2.5A,1000,0,"1.66320","0","1000","Tape & Reel (TR)","XCL212","Active","Non-Isolated PoL Module","1","2.7V","6V","0.9 ~ 6V","-","-","-","2A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 85°C","94%","Surface Mount","11-SMD Module","0.12"" L x 0.19"" W x 0.05"" H (3.1mm x 4.7mm x 1.3mm)","USP-11B01","-"
//media.digikey.com/pdf/Data%20Sheets/Torex/XCL211_212_Series.pdf,//media.digikey.com/Renders/Torex/XCL212B082DR.jpg,893-1211-1-ND,XCL212B082DR,Torex Semiconductor Ltd,DC DC CONVERTER 0.9V 2.5A,1716,0,"3.43000","0","1","Cut Tape (CT)","XCL212","Active","Non-Isolated PoL Module","1","2.7V","6V","0.9 ~ 6V","-","-","-","2A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 85°C","94%","Surface Mount","11-SMD Module","0.12"" L x 0.19"" W x 0.05"" H (3.1mm x 4.7mm x 1.3mm)","USP-11B01","-"
//media.digikey.com/pdf/Data%20Sheets/Torex/XCL211_212_Series.pdf,//media.digikey.com/Renders/Torex/XCL212B082DR.jpg,893-1211-6-ND,XCL212B082DR,Torex Semiconductor Ltd,DC DC CONVERTER 0.9V 2.5A,1716,0,"Digi-Reel","0","1","Digi-Reel®","XCL212","Active","Non-Isolated PoL Module","1","2.7V","6V","0.9 ~ 6V","-","-","-","2A","-","-","ITE (Commercial)","OCP, OTP, SCP, UVLO","-40°C ~ 85°C","94%","Surface Mount","11-SMD Module","0.12"" L x 0.19"" W x 0.05"" H (3.1mm x 4.7mm x 1.3mm)","USP-11B01","-"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps82140,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_TPS82140SILT.jpg,296-48215-2-ND,TPS82140SILR,Texas Instruments,DC DC CONVERTER 0.9-6V,21000,0,"1.69708","0","3000","Tape & Reel (TR)","MicroSip™","Active","Non-Isolated PoL Module","1","3V","17V","0.9 ~ 6V","-","-","-","2A","-","-","ITE (Commercial)","OTP","-40°C ~ 125°C (With Derating)","-","Surface Mount","8-LDFN Exposed Pad, Module","0.12"" L x 0.11"" W x 0.06"" H (3.0mm x 2.8mm x 1.5mm)","8-uSIP","Enable, Active High"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps82140,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_TPS82140SILT.jpg,296-48215-1-ND,TPS82140SILR,Texas Instruments,DC DC CONVERTER 0.9-6V,22095,0,"3.48000","0","1","Cut Tape (CT)","MicroSip™","Active","Non-Isolated PoL Module","1","3V","17V","0.9 ~ 6V","-","-","-","2A","-","-","ITE (Commercial)","OTP","-40°C ~ 125°C (With Derating)","-","Surface Mount","8-LDFN Exposed Pad, Module","0.12"" L x 0.11"" W x 0.06"" H (3.0mm x 2.8mm x 1.5mm)","8-uSIP","Enable, Active High"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftps82140,//media.digikey.com/Photos/Texas%20Instr%20Photos/MFG_TPS82140SILT.jpg,296-48215-6-ND,TPS82140SILR,Texas Instruments,DC DC CONVERTER 0.9-6V,22095,0,"Digi-Reel","0","1","Digi-Reel®","MicroSip™","Active","Non-Isolated PoL Module","1","3V","17V","0.9 ~ 6V","-","-","-","2A","-","-","ITE (Commercial)","OTP","-40°C ~ 125°C (With Derating)","-","Surface Mount","8-LDFN Exposed Pad, Module","0.12"" L x 0.11"" W x 0.06"" H (3.0mm x 2.8mm x 1.5mm)","8-uSIP","Enable, Active High"
https://www.monolithicpower.com/pub/media/document/MPM3606A_r1.0.pdf,//media.digikey.com/Renders/Monolithic%20Power%20Systems/1589;-20QFN-1.65-5x3;-;-20.jpg,1589-1247-2-ND,MPM3606AGQV-P,Monolithic Power Systems Inc.,DC DC CONVERTER 0.8-18.48V,2500,0,"1.70980","0","500","Tape & Reel (TR)","-","Active","Non-Isolated PoL Module","1","4.5V","21V","0.8 ~ 18.48V","-","-","-","600mA","-","-","ITE (Commercial)","OCP, OTP, UVLO","-40°C ~ 125°C","-","Surface Mount","20-PowerLFQFN Module","0.20"" L x 0.12"" W x 0.06"" H (5.0mm x 3.0mm x 1.6mm)","20-QFN (5x3)","Enable, Active High"
https://www.monolithicpower.com/pub/media/document/MPM3606A_r1.0.pdf,//media.digikey.com/Renders/Monolithic%20Power%20Systems/1589;-20QFN-1.65-5x3;-;-20.jpg,1589-1247-1-ND,MPM3606AGQV-P,Monolithic Power Systems Inc.,DC DC CONVERTER 0.8-18.48V,2531,0,"2.97000","0","1","Cut Tape (CT)","-","Active","Non-Isolated PoL Module","1","4.5V","21V","0.8 ~ 18.48V","-","-","-","600mA","-","-","ITE (Commercial)","OCP, OTP, UVLO","-40°C ~ 125°C","-","Surface Mount","20-PowerLFQFN Module","0.20"" L x 0.12"" W x 0.06"" H (5.0mm x 3.0mm x 1.6mm)","20-QFN (5x3)","Enable, Active High"
https://www.monolithicpower.com/pub/media/document/MPM3606A_r1.0.pdf,//media.digikey.com/Renders/Monolithic%20Power%20Systems/1589;-20QFN-1.65-5x3;-;-20.jpg,1589-1247-6-ND,MPM3606AGQV-P,Monolithic Power Systems Inc.,DC DC CONVERTER 0.8-18.48V,2531,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Non-Isolated PoL Module","1","4.5V","21V","0.8 ~ 18.48V","-","-","-","600mA","-","-","ITE (Commercial)","OCP, OTP, UVLO","-40°C ~ 125°C","-","Surface Mount","20-PowerLFQFN Module","0.20"" L x 0.12"" W x 0.06"" H (5.0mm x 3.0mm x 1.6mm)","20-QFN (5x3)","Enable, Active High"
https://www.monolithicpower.com/pub/media/document/MPM3610_r1.01.pdf,//media.digikey.com/Renders/Monolithic%20Power%20Systems/1589;-20QFN-1.65-5x3;-;-20.jpg,1589-1250-2-ND,MPM3610GQV-P,Monolithic Power Systems Inc.,DC DC CONVERTER 0.8-18.48V,4500,0,"1.75960","0","500","Tape & Reel (TR)","-","Active","Non-Isolated PoL Module","1","4.5V","21V","0.8 ~ 18.48V","-","-","-","1.2A","-","-","ITE (Commercial)","OCP, OTP, UVLO","-40°C ~ 125°C","-","Surface Mount","20-PowerLFQFN Module","0.20"" L x 0.12"" W x 0.06"" H (5.0mm x 3.0mm x 1.6mm)","20-QFN (5x3)","Enable, Active High"
https://www.monolithicpower.com/pub/media/document/MPM3610_r1.01.pdf,//media.digikey.com/Renders/Monolithic%20Power%20Systems/1589;-20QFN-1.65-5x3;-;-20.jpg,1589-1250-1-ND,MPM3610GQV-P,Monolithic Power Systems Inc.,DC DC CONVERTER 0.8-18.48V,5346,0,"3.06000","0","1","Cut Tape (CT)","-","Active","Non-Isolated PoL Module","1","4.5V","21V","0.8 ~ 18.48V","-","-","-","1.2A","-","-","ITE (Commercial)","OCP, OTP, UVLO","-40°C ~ 125°C","-","Surface Mount","20-PowerLFQFN Module","0.20"" L x 0.12"" W x 0.06"" H (5.0mm x 3.0mm x 1.6mm)","20-QFN (5x3)","Enable, Active High"
https://www.monolithicpower.com/pub/media/document/MPM3610_r1.01.pdf,//media.digikey.com/Renders/Monolithic%20Power%20Systems/1589;-20QFN-1.65-5x3;-;-20.jpg,1589-1250-6-ND,MPM3610GQV-P,Monolithic Power Systems Inc.,DC DC CONVERTER 0.8-18.48V,5346,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Non-Isolated PoL Module","1","4.5V","21V","0.8 ~ 18.48V","-","-","-","1.2A","-","-","ITE (Commercial)","OCP, OTP, UVLO","-40°C ~ 125°C","-","Surface Mount","20-PowerLFQFN Module","0.20"" L x 0.12"" W x 0.06"" H (5.0mm x 3.0mm x 1.6mm)","20-QFN (5x3)","Enable, Active High"
