Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Terminal Type","Number of Positions","Pitch","Number of Rows","Row Spacing","Board Size","Material - Board","Features","Material Flammability Rating"
http://www.keyelco.com/product-pdf.cfm?p=3669,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_153xy.jpg,36-15324-ND,15324,Keystone Electronics,TURRET BOARD 52POS 0.375"" SINGLE,0,0,"31.68010","0","100","-","Active","Turret Board","Turret, Single End, Double Turret","52","0.375"" (9.53mm)","2","2.000"" (50.80mm)","10.500"" L x 2.500"" W x 0.093"" H (266.70mm x 63.50mm x 2.36mm)","Glass Epoxy","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3674,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_153xy.jpg,36-15329-ND,15329,Keystone Electronics,TURRET BOARD 52POS 0.375"" SINGLE,0,0,"31.68010","0","100","-","Active","Turret Board","Turret, Single End, Double Turret","52","0.375"" (9.53mm)","2","2.500"" (63.50mm)","10.500"" L x 3.000"" W x 0.093"" H (266.70mm x 76.20mm x 2.36mm)","Glass Epoxy","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=5234,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_MS27249%20SERIES.jpg,36-MS27249-3B2-ND,MS272493B2,Keystone Electronics,TURRET BOARD 20POS 0.375"" SINGLE,0,0,"31.71000","0","100","-","Active","Turret Board, Scored","Turret, Single End, Double Turret","20","0.375"" (9.53mm)","2","1.500"" (38.10mm)","5.250"" L x 2.000"" W x 0.125"" H (133.35mm x 50.80mm x 3.18mm)","Glass Epoxy","-","-"
http://www.keyelco.com/product-pdf.cfm?p=3654,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_153xy.jpg,36-15310-ND,15310,Keystone Electronics,TURRET BOARD 66POS 0.375"" SINGLE,0,0,"32.06000","0","100","-","Active","Turret Board","Turret, Single End, Double Turret","66","0.375"" (9.53mm)","2","0.750"" (19.05mm)","13.125"" L x 1.188"" W x 0.093"" H (333.38mm x 30.20mm x 2.36mm)","Glass Epoxy","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3536,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_152xy%20SERIES.jpg,36-15293-ND,15293,Keystone Electronics,TURRET BOARD 50POS 0.375"" SINGLE,0,0,"32.20020","0","100","-","Active","Turret Board, Scored","Turret, Single End, Double Turret, Hollow","50","0.375"" (9.53mm)","2","1.500"" (38.10mm)","13.125"" L x 2.000"" W x 0.093"" H (333.38mm x 50.80mm x 2.36mm)","Glass Epoxy","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3536,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_152xy%20SERIES.jpg,36-15294-ND,15294,Keystone Electronics,TURRET BOARD 50POS 0.375"" SINGLE,0,0,"33.01010","0","100","-","Active","Turret Board, Scored","Turret, Single End, Double Turret, Hollow","50","0.375"" (9.53mm)","2","2.000"" (50.80mm)","13.125"" L x 2.500"" W x 0.093"" H (333.38mm x 63.50mm x 2.36mm)","Glass Epoxy","Standard Strip","-"
http://keyelco.com/userAssets/file/M65p144b.pdf,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_MS272491%20SERIES.jpg,36-MS27249-1B5-ND,MS272491B5,Keystone Electronics,TURRET BOARD 25POS 0.375"" SINGLE,0,0,"33.06010","0","100","-","Active","Turret Board, Scored","Turret, Single End, Double Turret","25","0.375"" (9.53mm)","1","-","13.125"" L x 0.500"" W x 0.125"" H (333.38mm x 12.70mm x 3.18mm)","Glass Epoxy","-","-"
http://www.keyelco.com/product-pdf.cfm?p=3536,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_152xy%20SERIES.jpg,36-15295-ND,15295,Keystone Electronics,TURRET BOARD 50POS 0.375"" SINGLE,0,0,"33.74000","0","100","-","Active","Turret Board, Scored","Turret, Single End, Double Turret, Hollow","50","0.375"" (9.53mm)","2","2.500"" (63.50mm)","13.125"" L x 3.000"" W x 0.093"" H (333.38mm x 76.20mm x 2.36mm)","Glass Epoxy","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=3659,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_153xy.jpg,36-15315-ND,15315,Keystone Electronics,TURRET BOARD 66POS 0.375"" SINGLE,0,0,"34.28010","0","100","-","Active","Turret Board","Turret, Single End, Double Turret","66","0.375"" (9.53mm)","2","1.000"" (25.40mm)","13.125"" L x 1.500"" W x 0.093"" H (333.38mm x 38.10mm x 2.36mm)","Glass Epoxy","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=5244,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_MS27249%20SERIES.jpg,36-MS27249-4B2-ND,MS272494B2,Keystone Electronics,TURRET BOARD 20POS 0.375"" SINGLE,0,0,"34.49010","0","100","-","Active","Turret Board, Scored","Turret, Single End, Double Turret","20","0.375"" (9.53mm)","2","2.000"" (50.80mm)","5.250"" L x 2.500"" W x 0.125"" H (133.35mm x 63.50mm x 3.18mm)","Glass Epoxy","-","-"
http://www.keyelco.com/product-pdf.cfm?p=5230,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_MS27249%20SERIES.jpg,36-MS27249-2E3-ND,MS272492E3,Keystone Electronics,TURRET BOARD 30POS 0.375"" SINGLE,0,0,"34.51000","0","100","-","Active","Turret Board, Scored","Turret, Single End, Double Turret","30","0.375"" (9.53mm)","2","1.000"" (25.40mm)","7.785"" L x 1.500"" W x 0.093"" H (200.03mm x 38.10mm x 2.36mm)","Glass Epoxy","-","-"
http://www.keyelco.com/product-pdf.cfm?p=3664,//media.digikey.com/photos/Keystone%20Elect%20Photos/15320.JPG,36-15320-ND,15320,Keystone Electronics,TURRET BOARD 66POS 0.375"" SINGLE,0,0,"34.79000","0","100","-","Active","Turret Board","Turret, Single End, Double Turret","66","0.375"" (9.53mm)","2","1.500"" (38.10mm)","13.125"" L x 2.000"" W x 0.093"" H (333.38mm x 50.80mm x 2.36mm)","Glass Epoxy","Standard Strip","-"
http://www.keyelco.com/product-pdf.cfm?p=5240,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_MS27249%20SERIES.jpg,36-MS27249-3E3-ND,MS272493E3,Keystone Electronics,TURRET BOARD 30POS 0.375"" SINGLE,0,0,"36.40000","0","100","-","Active","Turret Board, Scored","Turret, Single End, Double Turret","30","0.375"" (9.53mm)","2","1.500"" (38.10mm)","7.875"" L x 2.000"" W x 0.125"" H (200.03mm x 50.80mm x 3.18mm)","Glass Epoxy","-","-"
http://www.keyelco.com/product-pdf.cfm?p=3669,//media.digikey.com/Photos/Keystone%20Elect%20Photos/MFG_153xy.jpg,36-15325-ND,15325,Keystone Electronics,TURRET BOARD 66POS 0.375"" SINGLE,0,0,"37.91020","0","100","-","Active","Turret Board","Turret, Single End, Double Turret","66","0.375"" (9.53mm)","2","2.000"" (50.80mm)","13.125"" L x 2.500"" W x 0.093"" H (333.38mm x 63.50mm x 2.36mm)","Glass Epoxy","Standard Strip","-"
