Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Contact Size","Module Capacity","Size / Dimension"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJM022400_C.pdf,-,SJM022401-ND,SJM022401,Amphenol PCD,CONN SCKT BLOCK SZ22 0.672"" L,0,0,"15.01520","0","25","SJM","Active","Socket Block","22","20","0.672"" L x 0.510"" W x 0.920"" H (17.07mm x 12.95mm x 23.37mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJG020100_C.pdf,-,SJG020101-ND,SJG020101,Amphenol PCD,CONN GRND BLOCK SZ20 0.740"" L,0,0,"15.04120","0","25","SJG","Active","Ground Block","20","12","0.740"" L x 0.580"" W x 1.345"" H (18.80mm x 14.73mm x 34.16mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CTL-xx&DocType=Customer+Drawing&DocLang=English,-,CTL-22-513[V001]-ND,CTL-22-513 [V001],TE Connectivity Deutsch Connectors,JUNCTION ASSY,0,0,"15.06701","0","87","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CTL-xx&DocType=Customer+Drawing&DocLang=English,-,CTL-22-513[V003]-ND,CTL-22-513 [V003],TE Connectivity Deutsch Connectors,JUNCTION ASSY,0,0,"15.06701","0","87","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CTL-xx&DocType=Customer+Drawing&DocLang=English,-,CTL-22-513[V0A1]-ND,CTL-22-513 [V0A1],TE Connectivity Deutsch Connectors,JUNCTION ASSY,0,0,"15.06701","0","87","*","Active","-","-","-","-"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJS322701_C.pdf,-,SJS322701-ND,SJS322701,Amphenol PCD,CONN WIRE SPLICE SZ22 1.322"" L,0,0,"15.10600","0","25","SJS","Active","Wire Splice","22","-","1.322"" L (33.58mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/TJS322700_C.pdf,-,TJS322700-ND,TJS322700,Amphenol PCD,CONN WIRE SPLICE SZ22 1.552"" L,0,0,"15.24920","0","25","TJS","Active","Wire Splice","22","2","1.552"" L (39.42mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJG022100_C.pdf,-,SJG022101-ND,SJG022101,Amphenol PCD,CONN GRND BLOCK SZ22 0.740"" L,0,0,"15.28800","0","25","SJG","Active","Ground Block","22","20","0.740"" L x 0.580"" W x 1.345"" H (18.80mm x 14.73mm x 34.16mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/TJS320601_C.pdf,-,TJS320601-ND,TJS320601,Amphenol PCD,CONN WIRE SPLICE SZ20 1.552"" L,0,0,"15.31400","0","25","TJS","Active","Wire Splice","20","4","1.552"" L (39.42mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/TJS320602_C.pdf,-,TJS320602-ND,TJS320602,Amphenol PCD,CONN WIRE SPLICE SZ20 1.552"" L,0,0,"15.31400","0","25","TJS","Active","Wire Splice","20","4","1.552"" L (39.42mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/TJS322601_C.pdf,-,TJS322601-ND,TJS322601,Amphenol PCD,CONN WIRE SPLICE SZ22 1.552"" L,0,0,"15.31400","0","25","TJS","Active","Wire Splice","22","4","1.552"" L (39.42mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/TJS322602_C.pdf,-,TJS322602-ND,TJS322602,Amphenol PCD,CONN WIRE SPLICE SZ22 1.552"" L,0,0,"15.31400","0","25","TJS","Active","Wire Splice","22","4","1.552"" L (39.42mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJS320701_C.pdf,-,SJS320701-ND,SJS320701,Amphenol PCD,CONN WIRE SPLICE SZ20 1.428"" L,0,0,"15.39200","0","25","SJS","Active","Wire Splice","20","-","1.428"" L (36.88mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CTL-xx&DocType=Customer+Drawing&DocLang=English,-,CTL-22-513-ND,CTL-22-513,TE Connectivity Deutsch Connectors,JUNCTION ASSY,0,0,"15.52202","0","84","*","Active","-","-","-","-"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/TJM116602_C.pdf,-,TJM116602-ND,TJM116602,Amphenol PCD,CONN FEEDBACK MOD SZ16 0.850"" L,0,0,"15.56120","0","25","TJM","Active","Feedback Module Block","16","8","0.850"" L x 0.390"" W x 1.032"" H (21.59mm x 9.91mm x 26.21mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJM022500_C.pdf,-,SJM022501-ND,SJM022501,Amphenol PCD,CONN SCKT BLOCK SZ22 0.672"" L,0,0,"15.60000","0","25","SJM","Active","Socket Block","22","20","0.672"" L x 0.510"" W x 0.760"" H (17.07mm x 12.95mm x 19.30mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJM022700_C.pdf,-,SJM022701-ND,SJM022701,Amphenol PCD,CONN SCKT BLOCK SZ22 0.672"" L,0,0,"15.60000","0","25","SJM","Active","Socket Block","22","20","0.672"" L x 0.510"" W x 0.920"" H (17.07mm x 12.95mm x 23.37mm)"
http://www.amphenolpcd.com/sites/default/files/product-docs/modules/SJM022600_C.pdf,-,SJM022601-ND,SJM022601,Amphenol PCD,CONN SCKT BLOCK SZ22 0.672"" L,0,0,"15.70400","0","25","SJM","Active","Socket Block","22","20","0.672"" L x 0.510"" W x 0.920"" H (17.07mm x 12.95mm x 23.37mm)"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=CTL-xx&DocType=Customer+Drawing&DocLang=English,-,CTL-20-513[V001]-ND,CTL-20-513 [V001],TE Connectivity Deutsch Connectors,JUNCTION ASSY,0,0,"15.82096","0","83","*","Active","-","-","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=DCR-1x-xx&DocType=Customer+Drawing&DocLang=English,-,DCR-1A-02[V003]-ND,DCR-1A-02 [V003],TE Connectivity Deutsch Connectors,COMPOSIT RAIL,0,0,"15.85500","0","98","*","Active","-","-","-","-"
