Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Size","Cable Diameter","Legend","Color","Material"
//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/0820426.pdf,//media.digikey.com/Photos/Phoenix%20Photos/0820426.JPG,277-5510-ND,0820426,Phoenix Contact,UNICARD SHEETS 12 SECTIONS,659,480,"9.71000","0","1","12 per Pkg","CLIPLINE UniCard","Active","Wire Marker, Cable Tie","0.94"" W x 0.39"" L (24.0mm x 10.0mm)","0.157"" (4.00mm)","Blank","White","Polyamide (PA), Nylon"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=TTDS-026&DocType=DS&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/EC0783-000.JPG,A105365-ND,EC0783-000,TE Connectivity Raychem Cable Protection,MARKER ZTYPE STRT 0 LEGEND BLK,1019,0,"0.10000","0","1","1000 per Box","Z","Active","Wire Marker, Push On","0.18"" L (4.5mm)","0.134"" ~ 0.224"" (3.40mm ~ 5.70mm)","0","Black","Poly-Vinyl Chloride (PVC)"
"//media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/PATG,PATO,PAB-KTL.pdf",//media.digikey.com/Photos/Phoenix%20Photos/1013805.jpg,277-12264-ND,1013805,Phoenix Contact,CONDUCT MARKER CARRIER CLOSED,2758,0,"0.28000","0","1","1000 per Pkg","CLIPLINE PATG","Active","Wire Marker Carrier, Slip-On","0.39"" W x 0.16"" L (10.0mm x 4.0mm)","0.059"" ~ 0.098"" (1.50mm ~ 2.50mm)","Blank","Transparent","Poly-Vinyl Chloride (PVC)"
//media.digikey.com/pdf/Data%20Sheets/Tyco%20Electronics%20Raychem%20PDFs/Wire_and_Harness_ID_Products_0407[1].pdf,//media.digikey.com/Photos/TE%20Connectivity/HLX125WE4NEL60S.jpg,HLX125WE4NEL60S-ND,HLX125WE4NEL60S,TE Connectivity Raychem Cable Protection,CBL MARKR NEL 12.5MM X 80MM WH,1970,0,"0.96000","0","1","200 per Pkg","HLX-NEL","Active","Wire Marker, Cable Tie","0.49"" W x 3.15"" L (12.5mm x 80.0mm)","-","Blank","White","Polyolefin (PO), Irradiated, Halogen Free"
-,//media.digikey.com/Photos/Phoenix%20Photos/0828570.JPG,277-7508-ND,0828570,Phoenix Contact,MARKING COLLAR 12 X 4 WHITE,109,1248,"4.73000","0","1","55 per Sheet","UCT-WMS","Active","Wire Marker, Slip-On","0.17"" W x 0.47"" L (4.3mm x 12.0mm)","0.059"" ~ 0.126"" (1.50mm ~ 3.20mm)","Blank","White","Polycarbonate"
https://www.panduit.com/content/dam/panduit/en/products/assets/c/c0/c07/c075/c075x025yjt/media/C10263.pdf,-,298-18153-ND,C075X025YJT,Panduit Corp,WIRE MARKER ADH,70000,0,"0.00844","0","10000","-","*","Active","-","-","-","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C10262.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/C060X020YJT.JPG,298-12175-ND,C060X020YJT,Panduit Corp,WIRE MARKER ADH,30000,0,"0.00844","0","10000","-","*","Active","-","-","-","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C080X020__T.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/C080X020YJT.JPG,298-12176-ND,C080X020YJT,Panduit Corp,WIRE MARKER ADH,50000,0,"0.00989","0","10000","-","*","Active","-","-","-","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C10262.pdf,-,298-19619-ND,C060X020CBT,Panduit Corp,WIRE MARKER ADH,20000,0,"0.02411","0","10000","-","*","Active","-","-","-","-","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/c/c0/c07/c075/c075x025yjt/media/C10263.pdf,-,298-19620-ND,C075X025CBT,Panduit Corp,WIRE MARKER ADH,50000,0,"0.02850","0","10000","-","*","Active","-","-","-","-","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/c/c2/c25/c252/c252x030fjc/media/C10413.pdf,-,298-18150-ND,C061X030FJJ,Panduit Corp,WIRE MARKER ADH,25000,0,"0.05582","0","5000","-","*","Active","-","-","-","-","-","-"
https://www.panduit.com/content/dam/panduit/en/products/assets/c/c0/c06/c061/c061x030ypt/media/C10446.pdf,-,298-18151-ND,C061X030YPT,Panduit Corp,WIRE MARKER ADH,10000,0,"0.06388","0","2500","-","*","Active","-","-","-","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C090X025__T.pdf,-,298-19623-ND,C090X025YJT,Panduit Corp,WIRE MARKER ADH,60000,0,"0.10000","0","1","-","*","Active","-","-","-","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C-IDNWSLC-2Y--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/NWSLC-2Y.JPG,298-18524-ND,NWSLC-2Y,Panduit Corp,WIRE MARKER SLEEVE YELLOW,8875,0,"0.12000","0","1","100 per Pkg","PanTher™, LabelCore™","Active","Wire Marker, Slip-On","0.28"" W x 1.25"" L (7.1mm x 31.8mm)","0.079"" (2.00mm)","Blank","Yellow","Poly-Vinyl Chloride (PVC)"
http://www.panduit.com/heiler/PartDrawings/C-IDNWSLC-2Y--ENG.pdf,-,298-18525-ND,NWSLC-3Y,Panduit Corp,WIRE MARKER SLEEVE ORANGE,7485,0,"0.12000","0","1","100 per Pkg","PanTher™, LabelCore™","Active","Wire Marker, Slip-On","0.30"" W x 1.25"" L (7.6mm x 31.8mm)","0.118"" (3.00mm)","Blank","Orange","Poly-Vinyl Chloride (PVC)"
http://www.panduit.com/heiler/PartDrawings/C-IDNWSLC-2Y--ENG.pdf,-,298-18523-ND,NWSLC-2Y-AQ,Panduit Corp,WIRE MARKER SLEEVE AQUA,4900,0,"0.12000","0","1","100 per Pkg","PanTher™, LabelCore™","Active","Wire Marker, Slip-On","0.28"" W x 1.25"" L (7.1mm x 31.8mm)","0.079"" (2.00mm)","Blank","Aqua","Poly-Vinyl Chloride (PVC)"
http://www.essentracomponents.com.sg/images-line/pdfs/WIT-MK.pdf,//media.digikey.com/Renders/Essentra%20Components/MFG_WIT-MK-1.jpg,RPC5379-ND,WIT-MK-1,Essentra Components,TIE MARKER TAG NAT 1.29X.50"",5000,0,"0.17116","0","1000","1000 per Pkg","Wrap-It","Active","Wire Marker, Cable Tie","-","-","Blank","Natural","Nylon"
http://www.panduit.com/heiler/PartDrawings/C-IDNWSLC-2Y--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/NWSLC2-2Y-AQ.JPG,298-18526-ND,NWSLC2-2Y-AQ,Panduit Corp,WIRE MARKER SLEEVE AQUA,4400,0,"0.24000","0","1","100 per Pkg","PanTher™, LabelCore™","Active","Wire Marker, Slip-On","0.28"" W x 2.25"" L (7.1mm x 57.2mm)","0.079"" (2.00mm)","Blank","Aqua","Poly-Vinyl Chloride (PVC)"
http://www.panduit.com/heiler/PartDrawings/C-IDNWSLC-2Y--ENG.pdf,-,298-18528-ND,NWSLC2-3Y,Panduit Corp,WIRE MARKER SLEEVE ORANGE,3900,0,"0.24000","0","1","100 per Pkg","PanTher™, LabelCore™","Active","Wire Marker, Slip-On","0.30"" W x 2.25"" L (7.6mm x 57.2mm)","0.118"" (3.00mm)","Blank","Orange","Poly-Vinyl Chloride (PVC)"
http://www.panduit.com/heiler/PartDrawings/C-IDNWSLC-2Y--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/NWSLC2-2Y.JPG,298-18527-ND,NWSLC2-2Y,Panduit Corp,WIRE MARKER SLEEVE YELLOW,2500,0,"0.24000","0","1","100 per Pkg","PanTher™, LabelCore™","Active","Wire Marker, Slip-On","0.28"" W x 2.25"" L (7.1mm x 57.2mm)","0.079"" (2.00mm)","Blank","Yellow","Poly-Vinyl Chloride (PVC)"
http://www.panduit.com/heiler/PartDrawings/C-IDNWSLC-2Y--ENG.pdf,-,298-18529-ND,NWSLC2-7Y,Panduit Corp,WIRE MARKER SLEEVE WHITE,4700,0,"0.37000","0","1","100 per Pkg","PanTher™, LabelCore™","Active","Wire Marker, Slip-On","0.39"" W x 2.25"" L (9.9mm x 57.2mm)","0.118"" (3.00mm)","Blank","White","Poly-Vinyl Chloride (PVC)"
https://www.panduit.com/content/dam/panduit/en/products/assets/m/mt/mt1/mt17/mt172w38m/media/C-IDMT172W38-C--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_MT172W38-M.jpg,298-16828-ND,MT172W38-M,Panduit Corp,"MARKER TAG, ONE HOLE, 304 STAINL",1999,0,"0.61000","0","1","Bulk","Pan-Steel®","Active","Wire Marker, Cable Tie","0.38"" W x 1.72"" L (9.7mm x 43.7mm)","-","Blank","Silver","Stainless Steel 304"
https://www.panduit.com/content/dam/panduit/en/products/assets/m/mm/mmp/mmp1/mmp172w38m/media/C-IDMMP172W38-C--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_MMP172W38-M.jpg,298-16824-ND,MMP172W38-M,Panduit Corp,"MINI MARKER PLATE, FOUR HOLES, 3",1948,0,"0.61000","0","1","Bulk","Pan-Steel®","Active","Wire Marker, Cable Tie","0.38"" W x 1.72"" L (9.7mm x 43.7mm)","-","Blank","Silver","Stainless Steel 304"
http://www.panduit.com/heiler/PartDrawings/C-WAMP150-GB0239GM--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_MP200-M.jpg,298-14965-ND,MP200-M,Panduit Corp,MARKER PLATE,4993,0,"0.70000","0","1","-","*","Active","-","-","-","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C-WAMP150-GB0239GM--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_MP175-M.jpg,298-14963-ND,MP175-M,Panduit Corp,MARKER PLATE,11978,0,"0.71000","0","1","-","*","Active","-","-","-","-","-","-"
