Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Specifications","Features"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/EFA04-34-001.jpg,RPC1173-ND,EFA04-34-001,Essentra Components,"CORNER GUIDE,BLK,30MM RAD,5MM",124,0,"7.13000","0","1","EFA04","Active","Corner Guide","30.0mm Radius, 5.0mm Height","-"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/EFA04-60-001.jpg,RPC1177-ND,EFA04-60-001,Essentra Components,"STRAIGHT GUIDE,BLACK",126,0,"7.53000","0","1","EFA04","Active","Straight Guide","40.0mm Length, 4.5mm Height","-"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/EFA04-60-P01.jpg,RPC1178-ND,EFA04-60-P01,Essentra Components,"STRAIGHT GUIDE & PAD,BLACK",192,0,"7.73000","0","1","EFA04","Active","Straight Guide","40.0mm Length, 4.5mm Height","Self-Adhesive Pads Included"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/EFA04-34-P01.jpg,RPC1175-ND,EFA04-34-P01,Essentra Components,"CORNER GUIDE & PADS,BLACK,30MM R",117,0,"7.73000","0","1","EFA04","Active","Corner Guide","30.0mm Radius, 5.0mm Height","Self-Adhesive Pads Included"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/EFA04-34-004.jpg,RPC1952-ND,EFA04-34-004,Essentra Components,"CORNER GDE,BLACK,30MM RAD,12MM S",278,0,"9.19000","0","1","EFA04","Active","Corner Guide","30.0mm Radius, 12.0mm Height","-"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/EFA04-71-P01.jpg,RPC1180-ND,EFA04-71-P01,Essentra Components,"SPLICE CLIP & PADS,BLACK,2.9MM",346,0,"9.26000","0","1","EFA04","Active","Coupler Clip","6-Way, 2.9mm Dia Couplers or Components","Self-Adhesive Pads Included"
"//media.digikey.com/pdf/Data%20Sheets/Industrial%20Fiber%20Optics%20Inc/IF-C-S2,3,4.pdf",//media.digikey.com/photos/Industrial%20Fiberoptics%20Photos/IF-C-S4.jpg,FB139-ND,IF-C-S4,Industrial Fiberoptics,CONNECTOR SPLICE FIBER OPTIC,102,0,"9.91000","0","1","-","Active","Splice","2.2mm Dia Cables, 39.5mm Length","-"
http://www.essentracomponents.com.sg/images-line/pdfs/MOFNSP-2.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_MOFNSP-2-01.JPG,RPC4369-ND,MOFNSP-2-01,Essentra Components,"FIBER SADDLE,SELF MNT,NATURAL",2412,0,"0.58000","0","1","MOFNSP","Active","Fiber Wire Saddle, Side Entry","2.5mm x 7.1mm Wire Opening","Push Rivet Mount"
http://www.essentracomponents.com.sg/images-line/pdfs/MOFNSA-2.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_MOFNSA-2-19.jpg,RPC4368-ND,MOFNSA-2-19,Essentra Components,"FIBER WIRE SDL,ARROW MNT,NATURAL",1329,0,"0.68000","0","1","MOFNSA","Active","Fiber Wire Saddle, Side Entry","2.5mm x 7.1mm Wire Opening","Flame Retardant, Winged Arrowhead"
http://www.essentracomponents.com.sg/images-line/pdfs/OFHB2-4A1-RT-19.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_OFHB2-4A1-RT-19.jpg,RPC4569-ND,OFHB2-4A1-RT-19,Essentra Components,FIBER HOLDER ADH MNT NAT 4X2MM,1719,0,"1.13000","0","1","-","Active","Fiber Clip","4 Pos, 2.0mm Dia Cables","Adhesive Mount"
http://www.essentracomponents.com.sg/images-line/pdfs/OFB-BH-6.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_OFB-BH-6-19.jpg,RPC4563-ND,OFB-BH-6-19,Essentra Components,FIBER BRACKET NAT 2MM FIB,1985,0,"1.18000","0","1","-","Active","Bracket","2.2mm Dia Cables, 14.0mm Length","-"
http://www.essentracomponents.com.sg/images-line/pdfs/OFFGSP-F.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_OFFGSP-F-19-BK.jpg,RPC4568-ND,OFFGSP-F-19-BK,Essentra Components,FIBER GUIDE SPT POST BLK,3776,0,"1.19000","0","1","-","Active","Fiber Guide Support","9.00mm Length","Flame Retardant"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_EFA70-07-001.jpg,RPC3928-ND,EFA70-07-001,Essentra Components,STRAIN RELIEF BOOT BLACK,2703,0,"2.20000","0","1","EFA70","Active","900 Micron Fiber Strain Relief Boot","19.9mm Length","-"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_EFA04-02-ASS.JPG,RPC3909-ND,EFA04-02-ASS,Essentra Components,"FIBER CLIP & PAD,BLACK,3 WAY",1047,0,"3.93000","0","1","EFA04","Active","Fiber Clip","3-Way, 3.0mm Dia Cables or Components","Self-Adhesive Pads Included"
http://www.essentracomponents.com.sg/images-line/pdfs/OFRB-1BK.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_OFRB-xBK.jpg,RPC4584-ND,OFRB-2BK,Essentra Components,OPTICAL FIBER RACK BRACKET BLACK,3300,0,"4.32000","0","1","-","Active","Bracket","42.7mm L x 30.32mm W x 56.5mm H","-"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_EFA04-71-003.JPG,RPC3922-ND,EFA04-71-003,Essentra Components,"SPLICE CLIP,BLACK,3.9MM",194,0,"6.00000","0","1","EFA04","Active","Coupler Clip","4-Way, 3.9mm Dia Couplers or Components","-"
http://www.essentracomponents.com.sg/images-line/pdfs/OFSH-4.pdf,//media.digikey.com/Renders/Essentra%20Components/MFG_OFSH-4-1-01LA.jpg,RPC4590-ND,OFSH-4-1-01LA,Essentra Components,OPT FIBER SPLICE HOLDER NAT,244,0,"7.19000","0","1","-","Active","Splice","2.7mm ~ 4.2mm Dia Cables, 32.0mm Length","Stackable"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_39346.jpg,RPC3921-ND,EFA04-64-ASS,Essentra Components,"ISOLATOR CLIP & PAD,YELLOW,",176,0,"7.93000","0","1","EFA04","Active","Isolator Clip","4.5mm Clip, Yellow","Rivet or Screw Mount, Self-Adhesive Pads Included"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_EFA04-34-003.jpg,RPC2258-ND,EFA04-34-003,Essentra Components,"CORNER GUIDE,BLK,40MM RAD,4.8MM",101,0,"7.99000","0","1","EFA04","Active","Corner Guide","40.0mm Radius, 4.8mm Height","-"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_EFA04-34-R02.jpg,RPC2259-ND,EFA04-34-R02,Essentra Components,"CORNER GUIDE & RIVET,BLACK,35MM",140,0,"8.19000","0","1","EFA04","Active","Corner Guide","35.0mm Radius, 4.8mm Height","Rivet Included"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_EFA04-06-001.JPG,RPC3912-ND,EFA04-06-ASS,Essentra Components,"FIBER CLIP & PADS,BLACK,8/4/4,3M",358,0,"8.46000","0","1","EFA04","Active","Fiber Clip","16-Way, 3.0mm Dia Cables or Components","Break-Away, Self-Adhesive Pads Included"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_39405.jpg,RPC3913-ND,EFA04-08-ASS,Essentra Components,"FIBER CLIP,BLUE,8/4/4,2MM",300,0,"8.46000","0","1","EFA04","Active","Fiber Clip","16-Way, 2.0mm Dia Cables or Components","Break-Away, Self-Adhesive Pads Included"
http://www.essentracomponents.com.sg/images-line/pdfs/OFSMB-4-05GFBK.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_OFSMB-4-05GFBK.jpg,RPC4595-ND,OFSMB-4-05GFBK,Essentra Components,OPT FIBER SLOTTED MULTI BRACKET,174,0,"8.58000","0","1","-","Active","Bracket","5.0mm Dia Cables, 40.0mm Length","Flame Retardant"
http://www.essentracomponents.com.sg/images-line/pdfs/OFFG-165M-19-BK.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_OFFG-165M-19-BK.jpg,RPC4567-ND,OFFG-165M-19-BK,Essentra Components,FIBER GUIDE FLEX BLACK 6.5"" LG,1396,0,"9.87000","0","1","-","Active","Fiber Guide","168.0mm L x 9.0mm W x 5.8mm H","Flame Retardant"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/EFA04-34-P10.jpg,RPC3919-ND,EFA04-34-P04,Essentra Components,"CORNER GUIDE & PADS,BLACK,30MM R",213,0,"9.99000","0","1","EFA04","Active","Corner Guide","30.0mm Radius, 12.0mm Height","Self-Adhesive Pads Included"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/EFA04-34-P10.jpg,RPC3920-ND,EFA04-34-P10,Essentra Components,"CORNER GUIDE & PADS,BLACK,30MM R",169,0,"9.99000","0","1","EFA04","Active","Corner Guide","30.0mm Radius, 8.0mm Height","Self-Adhesive Pads Included"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/EFA04-04-ASS.jpg,RPC3910-ND,EFA04-04-ASS,Essentra Components,"FIBER REEL,BLACK,25MM RAD,4MM SP",425,0,"10.66000","0","1","EFA04","Active","Fiber Reel","25.0mm Reel Radius, Holds 2.5m 900 Micron Fiber","Break-Away, Screw Mount, Self-Adhesive Pads Included"
http://www.essentracomponents.com.sg/images-line/pdfs/OFSH-4.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_OFSH-4-1-19LA.jpg,RPC4591-ND,OFSH-4-1-19LA,Essentra Components,FIBER SPLICE HOLDR W/ADH PAD NAT,199,0,"11.28000","0","1","-","Active","Splice Holder","2.7mm ~ 4.2mm Dia Cables, 32.0mm Length","Flame Retardant, Screw Mount, Self-Adhesive Pads Included, Stackable"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_EFA04-04-001.jpg,RPC3914-ND,EFA04-10-001,Essentra Components,"FIBER REEL,BLK,30MM RAD,3.9MM SP",221,0,"11.53000","0","1","EFA04","Active","Fiber Reel","30.0mm Reel Radius, Holds 3.0m 900 Micron Fiber","Break-Away, Screw Mount"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/EFA04-10-ASS.JPG,RPC3915-ND,EFA04-10-ASS,Essentra Components,"FIBER REEL,BLK,30MM RAD,3.9MM SP",234,0,"13.66000","0","1","EFA04","Active","Fiber Reel","30.0mm Reel Radius, Holds 3.0m 900 Micron Fiber","Break-Away, Screw Mount, Self-Adhesive Pads Included"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_EFA04-25-001.jpg,RPC3065-ND,EFA04-25-001,Essentra Components,"FIBER ARRAY TRAY,BLACK",141,0,"13.72000","0","1","EFA04","Active","Array Tray","132.0mm L x 82.0mm W x 6.6mm H","Holds Fiber or Isolator Clips"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_EFA52-02-ASS.jpg,RPC3926-ND,EFA52-02-ASS,Essentra Components,STRAIN RELIEF BOOT BLACK SIMPLEX,225,0,"13.92000","0","1","*","Active","-","-","-"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_39700.jpg,RPC3916-ND,EFA04-21-ASS,Essentra Components,"FIBER REEL & PADS,BLACK,25MM RAD",200,0,"14.92000","0","1","EFA04","Active","Fiber Reel","25.0mm Reel Radius, Holds 4.5m 900 Micron Fiber","Break-Away, Screw Mount, Self-Adhesive Pads Included"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_39700.jpg,RPC3917-ND,EFA04-23-001,Essentra Components,"FIBER RL,BLACK,40MM RAD,6.35MM S",690,0,"14.99000","0","1","EFA04","Active","Fiber Reel","40.0mm Reel Radius, Holds 7.0m 900 Micron Fiber","Screw Mount"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_EFA04-04-001.jpg,RPC3924-ND,EFA04-76-001,Essentra Components,"FIBER REEL,BLACK,8MM SPC",195,0,"17.26000","0","1","EFA04","Active","Fiber Reel","35.0mm Reel Radius, Holds 15.0m 900 Micron Fiber","Break-Away, Screw Mount"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_39700.jpg,RPC3925-ND,EFA04-76-ASS,Essentra Components,"FIVER REEL & PADS,BLACK,8MM SPC",200,0,"18.32000","0","1","EFA04","Active","Fiber Reel","35.0mm Reel Radius, Holds 15.0m 900 Micron Fiber","Break-Away, Screw Mount, Self-Adhesive Pads Included"
http://www.essentracomponents.com.sg/images-line/pdfs/OFST-1-P.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_OFST-1-P.jpg,RPC4598-ND,OFST-1-P,Essentra Components,FIBER SPLIC TRAY PLAIN BLACK,170,0,"35.00000","0","1","-","Active","Splice Tray","170.0mm L x 103.5mm W x 10.0mm H","Stackable"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/EFA04-53-ASS.jpg,RPC1176-ND,EFA04-53-ASS,Essentra Components,"FIBER REEL MOUNT PILLAR,BLACK",44,0,"15.32000","0","1","EFA04","Active","Fiber Reel Mounting Pillar","32.0mm Pillar","Snap Rivet Mount, Spring Retaining Clip Included"
http://www.essentracomponents.com.sg/images-line/pdfs/OFBLT.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_OFBLT-3.1-05-PP.jpg,RPC1246-ND,OFBLT-3.1-05-PP,Essentra Components,OPT FIBER BEND-LIM TUBE 1=100MTR,7,0,"460.18000","0","1","-","Active","Tubing, Bend Limited","3.1mm Inner Dia, 100m Length","-"
http://www.essentracomponents.com.sg/images-line/pdfs/OFSP.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_OFSP-10-45.jpg,RPC2029-ND,OFSP-10-45,Essentra Components,OPT FIBER SPLICE PROTECTOR 1.77"",340,0,"1.47000","0","1","-","Active","Splice","1.5mm Inner Dia, 45.0mm Length","Heat Shrinkable"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/EFA04-71-P02.jpg,RPC1181-ND,EFA04-71-P02,Essentra Components,"SPLICE CLIP & PADS,BLACK,3.4MM",100,0,"8.05000","0","1","EFA04","Active","Coupler Clip","6-Way, 3.4mm Dia Couplers or Components","Self-Adhesive Pads Included"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/1258144.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/EFA04-34-006.jpg,RPC1174-ND,EFA04-34-006,Essentra Components,"CORNER GDE,BLACK,40MM RAD,12MM S",43,0,"10.73000","0","1","EFA04","Active","Corner Guide","40.0mm Radius, 12.0mm Height","-"
http://www.essentracomponents.com.sg/images-line/pdfs/OFBLT-C1-5-01.pdf,//media.digikey.com/Renders/Essentra%20Components/MFG_OFBLT-C1-5-01.jpg,RPC4566-ND,OFBLT-C1-5-01,Essentra Components,OFBLT CLAMP NATURAL 5MM HOLD,890,0,"1.02000","0","1","-","Active","Clip, Bend Limited Tubing","Hinged Top Lock","-"
http://www.essentracomponents.com.sg/images-line/pdfs/OFSH-T-12.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_1153166.jpg,RPC4592-ND,OFSH-T-12-01BLK,Essentra Components,FIBER SPLICE HOLDR SCREW MNT BLK,935,0,"1.04000","0","1","-","Active","Splice Holder","35.6mm L x 26.0mm W x 5.8mm H","-"
http://www.essentracomponents.com.sg/images-line/pdfs/OFSH-T-12.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_1153166.jpg,RPC4593-ND,OFSH-T-12-19BLK,Essentra Components,FIBER SPLICE HOLDR SCREW MNT BLK,1000,0,"1.06000","0","1","-","Active","Splice Holder","35.6mm L x 26.0mm W x 5.8mm H","-"
http://www.essentracomponents.com.sg/images-line/pdfs/OFBLT-C1-5-01.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/MFG_OFBLT-C1-5-19.jpg,RPC3138-ND,OFBLT-C1-5-19,Essentra Components,OFBLT CLAMP NATURAL 5MM HOLD,800,0,"1.06000","0","1","-","Active","Clip, Bend Limited Tubing","Hinged Top Lock","-"
