Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Type Attributes","Diameter - Inside, Non-Expanded","Diameter - Inside, Expanded","Diameter - Outside, Non-Expanded","Material","Color","Length","Wall Thickness","Operating Temperature","Heat Protection","Abrasion Protection","Liquid Protection","Environment Protection","Features","Material Flammability Rating","Width"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6q.pdf,//media.digikey.com/Photos/Techflex/MFG_F6Q0.50BK.jpg,1030-1497-ND,F6Q0.50BK75,Techflex,SELF WRAP 1/2"" X 75' BLACK,7,0,"88.80000","0","1","F6® Quiet","Active","Self Wrap","Split Flexible Tube","0.500"" (12.70mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Black","75.00' (22.86m)","0.040"" (1.02mm)","-30°C ~ 125°C","-","Abrasion and Cut Resistant","-","-","Clean Cut, Noise Reduction","UL94 V-0","-"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Wire-Management/Sleeving/GRP1101_4?device=pdf,-,G1101/4GY005-ND,G1101/4 GY005,Alpha Wire,SLEEVING 1/8"" X 100' GREEN/YLW,6,0,"89.48000","0","1","FIT® GRP-110","Active","Sleeve","Expandable","0.125"" (3.18mm)","0.375"" (9.52mm)","-","Polyester, Halogen Free","Green, Yellow","100' (30.48m)","0.025"" (0.64mm)","-75°C ~ 125°C","-","Abrasion and Cut Resistant","-","Corrosion Resistant","Fungus Resistant","-","-"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Wire-Management/Sleeving/GRP1101_4?device=pdf,-,G1101/4NA005-ND,G1101/4 NA005,Alpha Wire,SLEEVING 1/8"" X 100' NATURAL,6,0,"89.48000","0","1","FIT® GRP-110","Active","Sleeve","Expandable","0.125"" (3.18mm)","0.375"" (9.52mm)","-","Polyester, Halogen Free","Natural","100' (30.48m)","0.025"" (0.64mm)","-75°C ~ 125°C","-","Abrasion and Cut Resistant","-","Corrosion Resistant","Fungus Resistant","-","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6w.pdf,//media.digikey.com/Photos/Techflex/F6W0.63BK75.JPG,1030-1524-ND,F6W0.63BK125,Techflex,SELF WRAP 5/8"" X 125' BLACK,11,0,"91.20000","0","1","F6® Woven Wrap","Active","Self Wrap","Split Flexible Tube","-","-","0.625"" (15.88mm)","Polyethylene Terephthalate (PET), Halogen Free","Black","125' (38.10m)","0.027"" (0.69mm)","-70°C ~ 125°C","-","Abrasion Resistant","-","-","Clean Cut","UL94 V-0","-"
http://www.panduit.com/heiler/PartDrawings/C-HST12N-GB0239BN--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/TXXX-CX-NATURAL.jpg,298-14109-ND,T12N-C,Panduit Corp,SPIRAL WRAP 1/8"" X 100' NATURAL,5,0,"91.98000","0","1","T","Active","Spiral Wrap","Harness","-","0.500"" (12.70mm)","0.125"" (3.18mm)","Polyamide (PA6), Nylon 6","Natural","100' (30.48m)","0.015"" (0.38mm)","-40°C ~ 65°C","-","Abrasion Resistant","-","-","-","UL94 HB","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/pet.pdf,//media.digikey.com/Photos/Techflex/MFG_PTN0_38BL.jpg,1030-1383-ND,PTN0.38BL,Techflex,SLEEVING 3/8"" X 500' BLUE,22,0,"92.93000","0","1","Flexo® PET","Active","Sleeve","Expandable","0.375"" (9.53mm)","0.500"" (12.70mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Blue","500' (152.40m)","0.025"" (0.64mm)","-70°C ~ 125°C","Heat Resistant","Abrasion and Cut Resistant","Gasoline Resistant","UV Resistant","Chemical Resistant, Clean Cut, Solvent Resistant","UL94 V-0","-"
http://www.panduit.com/heiler/PartDrawings/C-HSCLT100F-C20--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_CLT_4.jpg,298-13567-ND,CLT75F-C4,Panduit Corp,SLIT WRAP 0.767"" X 100' YELLOW,9,0,"95.36000","0","1","CLT","Active","Slit Wrap","Slit Harness","0.767"" (19.48mm)","-","0.941"" (23.90mm)","Polyethylene (PE)","Yellow","100' (30.48m)","0.007"" ~ 0.020"" (0.18mm ~ 0.51mm)","-40°C ~ 50°C","-","Abrasion Resistant","-","-","Crush Resistant, Impact Resistant","-","-"
http://www.panduit.com/heiler/PartDrawings/C-HSCLT100F-C20--ENG.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_CLT_3.jpg,298-13566-ND,CLT75F-C3,Panduit Corp,SLIT WRAP 0.767"" X 100' ORANGE,3,0,"95.36000","0","1","CLT","Active","Slit Wrap","Slit Harness","0.767"" (19.48mm)","-","0.941"" (23.90mm)","Polyethylene (PE)","Orange","100' (30.48m)","0.007"" ~ 0.020"" (0.18mm ~ 0.51mm)","-40°C ~ 50°C","-","Abrasion Resistant","-","-","Crush Resistant, Impact Resistant","-","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6n.pdf,//media.digikey.com/Photos/Techflex/MFG_F6N0.75CW.jpg,1030-1480-ND,F6N0.75CW100,Techflex,SELF WRAP 3/4"" X 100' CLEAR/WHT,5,0,"96.08000","0","1","F6®","Active","Self Wrap","Split Flexible Tube","0.750"" (19.05mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Clear, White","100' (30.48m)","0.025"" (0.64mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant","-","-","Chemical Resistant, Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6w.pdf,//media.digikey.com/Photos/Techflex/F6W0.50BK75.jpg,1030-1521-ND,F6W0.50BK150,Techflex,SELF WRAP 1/2"" X 150' BLACK,4,0,"96.48000","0","1","F6® Woven Wrap","Active","Self Wrap","Split Flexible Tube","-","-","0.500"" (12.70mm)","Polyethylene Terephthalate (PET), Halogen Free","Black","150' (45.72m)","0.027"" (0.69mm)","-70°C ~ 125°C","-","Abrasion Resistant","-","-","Clean Cut","UL94 V-0","-"
