Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Type Attributes","Diameter - Inside, Non-Expanded","Diameter - Inside, Expanded","Diameter - Outside, Non-Expanded","Material","Color","Length","Wall Thickness","Operating Temperature","Heat Protection","Abrasion Protection","Liquid Protection","Environment Protection","Features","Material Flammability Rating","Width"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccp.pdf,//media.digikey.com/Photos/Techflex/MFG_CCP0_13BK.jpg,1030-1037-ND,CCP0.13BK100,Techflex,SLEEVING 1/8"" X 100' BLACK,173,0,"27.13000","0","1","Clean Cut®","Active","Sleeve","Expandable","0.125"" (3.18mm)","0.250"" (6.35mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","100' (30.48m)","0.024"" (0.61mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccp.pdf,//media.digikey.com/Photos/Techflex/MFG_CCP0_25BK.jpg,1030-1039-ND,CCP0.25BK100,Techflex,SLEEVING 1/4"" X 100' BLACK,217,0,"31.01000","0","1","Clean Cut®","Active","Sleeve","Expandable","0.250"" (6.35mm)","0.438"" (11.13mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","100' (30.48m)","0.024"" (0.61mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccp.pdf,//media.digikey.com/Photos/Techflex/MFG_CCP1_00BK.jpg,1030-1047-ND,CCP1.00BK50,Techflex,SLEEVING 1"" X 50' BLACK,106,0,"35.86000","0","1","Clean Cut®","Active","Sleeve","Expandable","1.000"" (25.40mm)","1.188"" (30.18mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","50.00' (15.24m)","0.024"" (0.61mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/pet.pdf,//media.digikey.com/Photos/Techflex/MFG_PTN0_xxBK.jpg,1030-1003-ND,PTN0.25BK200,Techflex,SLEEVING 1/4"" X 200' BLACK,120,0,"41.95000","0","1","Flexo® PET","Active","Sleeve","Expandable","0.250"" (6.35mm)","0.438"" (11.13mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","200' (60.96m)","0.025"" (0.64mm)","-70°C ~ 125°C","Heat Resistant","Abrasion and Cut Resistant","Gasoline Resistant","UV Resistant","Chemical Resistant, Clean Cut, Solvent Resistant","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccp.pdf,//media.digikey.com/Photos/Techflex/MFG_CCP0_38BK.jpg,1030-1041-ND,CCP0.38BK100,Techflex,SLEEVING 3/8"" X 100' BLACK,240,0,"42.64000","0","1","Clean Cut®","Active","Sleeve","Expandable","0.375"" (9.53mm)","0.625"" (15.88mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","100' (30.48m)","0.024"" (0.61mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccp.pdf,//media.digikey.com/Photos/Techflex/MFG_CCP0_50BK.jpg,1030-1043-ND,CCP0.50BK100,Techflex,SLEEVING 1/2"" X 100' BLACK,262,0,"46.51000","0","1","Clean Cut®","Active","Sleeve","Expandable","0.500"" (12.70mm)","0.750"" (19.05mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","100' (30.48m)","0.024"" (0.61mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut","UL94 V-0","-"
http://www.panduit.com/heiler/PartDrawings/C-HSCLT100F-C20--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/CLT-Series-black.jpg,298-1141-ND,CLT25F-C20,Panduit Corp,SLIT WRAP 0.284"" X 100' BLACK,580,0,"47.38000","0","1","CLT","Active","Slit Wrap","Slit Harness","0.284"" (7.21mm)","-","0.398"" (10.11mm)","Polyethylene (PE)","Black","100' (30.48m)","0.007"" ~ 0.020"" (0.18mm ~ 0.51mm)","-40°C ~ 50°C","-","Abrasion Resistant","-","-","Crush Resistant, Impact Resistant","-","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/frn.pdf,//media.digikey.com/Photos/Techflex/MFG_FRN0_50TB.jpg,1030-1025-ND,FRN0.50TB100,Techflex,SLEEVING 1/2"" X 100' BLACK/WHITE,354,0,"51.84000","0","1","Flexo® FR","Active","Sleeve","Expandable","0.500"" (12.70mm)","0.750"" (19.05mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black, White","100' (30.48m)","0.025"" (0.64mm)","-70°C ~ 125°C","Flame Retardant","Abrasion and Cut Resistant","Gasoline Resistant","-","Chemical Resistant, Clean Cut","UL VW-1","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/frn.pdf,//media.digikey.com/Photos/Techflex/MFG_FRN0_13TB.jpg,1030-1019-ND,FRN0.13TB225,Techflex,SLEEVING 1/8"" X 225' BLACK/WHITE,114,0,"51.84000","0","1","Flexo® FR","Active","Sleeve","Expandable","0.125"" (3.18mm)","0.250"" (6.35mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black, White","225' (68.58m)","0.025"" (0.64mm)","-70°C ~ 125°C","Flame Retardant","Abrasion and Cut Resistant","Gasoline Resistant","-","Chemical Resistant, Clean Cut","UL VW-1","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccf.pdf,//media.digikey.com/Photos/Techflex/MFG_CCF0_25TB.jpg,1030-1055-ND,CCF0.25TB100,Techflex,SLEEVING 1/4"" X 100' BLACK/WHITE,137,0,"52.33000","0","1","Clean Cut® FR","Active","Sleeve","Expandable","0.250"" (6.35mm)","0.438"" (11.13mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black, White","100' (30.48m)","0.024"" (0.61mm)","-70°C ~ 125°C","Flame Retardant","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut, Self Extinguishing","UL VW-1","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/pet.pdf,//media.digikey.com/Photos/Techflex/MFG_PTN0_xxBK.jpg,1030-1004-ND,PTN0.38BK,Techflex,SLEEVING 3/8"" X 500' BLACK,132,0,"84.48000","0","1","Flexo® PET","Active","Sleeve","Expandable","0.375"" (9.53mm)","0.500"" (12.70mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","500' (152.40m)","0.025"" (0.64mm)","-70°C ~ 125°C","Heat Resistant","Abrasion and Cut Resistant","Gasoline Resistant","UV Resistant","Chemical Resistant, Clean Cut, Solvent Resistant","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6n.pdf,//media.digikey.com/Photos/Techflex/MFG_F6N0_13BK.jpg,1030-1074-ND,F6N0.13BK,Techflex,SELF WRAP 1/8"" X 400' BLACK,135,0,"87.55000","0","1","F6®","Active","Self Wrap","Split Flexible Tube","0.125"" (3.18mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Black","400' (121.92m)","0.024"" (0.61mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant","-","-","Chemical Resistant, Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6n.pdf,//media.digikey.com/Photos/Techflex/MFG_F6N0_50BK.jpg,1030-1080-ND,F6N0.50BK,Techflex,SELF WRAP 1/2"" X 150' BLACK,587,0,"94.46000","0","1","F6®","Active","Self Wrap","Split Flexible Tube","0.500"" (12.70mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Black","150' (45.72m)","0.025"" (0.64mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant","-","-","Chemical Resistant, Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccp.pdf,//media.digikey.com/Photos/Techflex/MFG_CCP0_75BK.jpg,1030-1044-ND,CCP0.75BK,Techflex,SLEEVING 3/4"" X 250' BLACK,126,0,"97.92000","0","1","Clean Cut®","Active","Sleeve","Expandable","0.750"" (19.05mm)","1.000"" (25.40mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","250' (76.20m)","0.024"" (0.61mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/pet.pdf,//media.digikey.com/Photos/Techflex/MFG_PTN0_xxBK.jpg,1030-1002-ND,PTN0.25BK,Techflex,SLEEVING 1/4"" X 1000' BLACK,152,0,"98.30000","0","1","Flexo® PET","Active","Sleeve","Expandable","0.250"" (6.35mm)","0.438"" (11.13mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","1000' (304.80m)","0.025"" (0.64mm)","-70°C ~ 125°C","Heat Resistant","Abrasion and Cut Resistant","Gasoline Resistant","UV Resistant","Chemical Resistant, Clean Cut, Solvent Resistant","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccp.pdf,//media.digikey.com/Photos/Techflex/MFG_CCP1_00BK.jpg,1030-1046-ND,CCP1.00BK,Techflex,SLEEVING 1"" X 250' BLACK,158,0,"110.17000","0","1","Clean Cut®","Active","Sleeve","Expandable","1.000"" (25.40mm)","1.188"" (30.18mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","250' (76.20m)","0.024"" (0.61mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6n.pdf,//media.digikey.com/Photos/Techflex/MFG_F6N1_00BK.jpg,1030-1084-ND,F6N1.00BK,Techflex,SELF WRAP 1"" X 100' BLACK,66,0,"111.36000","0","1","F6®","Active","Self Wrap","Split Flexible Tube","1.000"" (25.40mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Black","100' (30.48m)","0.038"" (0.96mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant","-","-","Chemical Resistant, Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/pet.pdf,//media.digikey.com/Photos/Techflex/MFG_PTN0_xxBK.jpg,1030-1006-ND,PTN0.50BK,Techflex,SLEEVING 1/2"" X 500' BLACK,83,0,"115.20000","0","1","Flexo® PET","Active","Sleeve","Expandable","0.500"" (12.70mm)","0.750"" (19.05mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","500' (152.40m)","0.025"" (0.64mm)","-70°C ~ 125°C","Heat Resistant","Abrasion and Cut Resistant","Gasoline Resistant","UV Resistant","Chemical Resistant, Clean Cut, Solvent Resistant","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/pet.pdf,//media.digikey.com/Photos/Techflex/MFG_PTN0_xxBK.jpg,1030-1010-ND,PTN1.25BK,Techflex,SLEEVING 1-1/4"" X 250' BLACK,75,0,"115.20000","0","1","Flexo® PET","Active","Sleeve","Expandable","1.250"" (31.75mm)","1.750"" (44.45mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","250' (76.20m)","0.025"" (0.64mm)","-70°C ~ 125°C","Heat Resistant","Abrasion and Cut Resistant","Gasoline Resistant","UV Resistant","Chemical Resistant, Clean Cut, Solvent Resistant","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6w.pdf,//media.digikey.com/Photos/Techflex/MFG_F6W0.19BK.jpg,1030-1219-ND,F6W0.19BK200,Techflex,SELF WRAP 0.187"" X 200' BLACK,53,0,"115.20000","0","1","F6® Woven Wrap","Active","Self Wrap","Split Flexible Tube","-","-","0.188"" (4.78mm)","Polyethylene Terephthalate (PET), Halogen Free","Black","200' (60.96m)","0.027"" (0.69mm)","-70°C ~ 125°C","-","Abrasion Resistant","-","-","Clean Cut","UL94 V-0","-"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Wire-Management/Sleeving/GRP110NF14?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/G110NF14%20BK005.jpg,AG110NF14B-100-ND,G110NF14 BK005,Alpha Wire,SLEEVING 0.156"" X 100' BLACK,90,28,"124.27000","0","1","FIT® GRP-110NF","Active","Sleeve","Expandable","0.156"" (3.96mm)","0.438"" (11.13mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","100' (30.48m)","0.024"" (0.61mm)","-75°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","Corrosion Resistant","Clean Cut, Fungus Resistant","-","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6f.pdf,//media.digikey.com/Photos/Techflex/MFG_F6F0-50TB.jpg,1030-1357-ND,F6F0.50TB,Techflex,SELF WRAP 1/2"" X 150' BLACK/WHT,41,0,"132.19000","0","1","F6® FR","Active","Self Wrap","Split Flexible Tube","0.500"" (12.70mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Black, White","150' (45.72m)","0.025"" (0.64mm)","-70°C ~ 125°C","Flame Retardant","Abrasion and Cut Resistant","-","-","Chemical Resistant, Clean Cut, Self Extinguishing, Solvent Resistant","UL VW-1","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6n.pdf,//media.digikey.com/Photos/Techflex/MFG_F6N1_25BK.jpg,1030-1086-ND,F6N1.25BK,Techflex,SELF WRAP 1-1/4"" X 75' BLACK,82,0,"135.94000","0","1","F6®","Active","Self Wrap","Split Flexible Tube","1.250"" (31.75mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Black","75.00' (22.86m)","0.038"" (0.96mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant","-","-","Chemical Resistant, Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccp.pdf,//media.digikey.com/Photos/Techflex/MFG_CCP0_38BK.jpg,1030-1040-ND,CCP0.38BK,Techflex,SLEEVING 3/8"" X 500' BLACK,70,0,"138.72000","0","1","Clean Cut®","Active","Sleeve","Expandable","0.375"" (9.53mm)","0.625"" (15.88mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","500' (152.40m)","0.024"" (0.61mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccp.pdf,//media.digikey.com/Photos/Techflex/MFG_CCP0_13BK.jpg,1030-1036-ND,CCP0.13BK,Techflex,SLEEVING 1/8"" X 1000' BLACK,39,0,"146.88000","0","1","Clean Cut®","Active","Sleeve","Expandable","0.125"" (3.18mm)","0.250"" (6.35mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","1000' (304.80m)","0.024"" (0.61mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccp.pdf,//media.digikey.com/Photos/Techflex/MFG_CCP0_50BK.jpg,1030-1042-ND,CCP0.50BK,Techflex,SLEEVING 1/2"" X 500' BLACK,67,0,"155.52000","0","1","Clean Cut®","Active","Sleeve","Expandable","0.500"" (12.70mm)","0.750"" (19.05mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","500' (152.40m)","0.024"" (0.61mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/frn.pdf,//media.digikey.com/Photos/Techflex/MFG_FRN0_50TB.jpg,1030-1024-ND,FRN0.50TB,Techflex,SLEEVING 1/2"" X 500' BLACK/WHITE,69,0,"159.84000","0","1","Flexo® FR","Active","Sleeve","Expandable","0.500"" (12.70mm)","0.750"" (19.05mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black, White","500' (152.40m)","0.025"" (0.64mm)","-70°C ~ 125°C","Flame Retardant","Abrasion and Cut Resistant","Gasoline Resistant","-","Chemical Resistant, Clean Cut","UL VW-1","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6n.pdf,//media.digikey.com/Photos/Techflex/MFG_F6N1_50BK.jpg,1030-1088-ND,F6N1.50BK,Techflex,SELF WRAP 1.5"" X 75' BLACK,50,0,"164.74000","0","1","F6®","Active","Self Wrap","Split Flexible Tube","1.500"" (38.10mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Black","75.00' (22.86m)","0.038"" (0.96mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant","-","-","Chemical Resistant, Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccp.pdf,//media.digikey.com/Photos/Techflex/MFG_CCP0_25BK.jpg,1030-1038-ND,CCP0.25BK,Techflex,SLEEVING 1/4"" X 1000' BLACK,30,0,"179.52000","0","1","Clean Cut®","Active","Sleeve","Expandable","0.250"" (6.35mm)","0.438"" (11.13mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","1000' (304.80m)","0.024"" (0.61mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut","UL94 V-0","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/fwn.pdf,//media.digikey.com/Photos/Techflex/MFG_FWN2_00BK.jpg,1030-1072-ND,FWN2.00BK,Techflex,SELF WRAP 2"" X 100' BLACK,34,0,"201.60000","0","1","Flexo® Wrap","Active","Self Wrap","Split Flexible Tube","2.000"" (50.80mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Black","100' (30.48m)","0.025"" (0.64mm)","-70°C ~ 125°C","-","Abrasion and Cut Resistant","-","-","Clean Cut, Hook and Loop Closure Strip","UL94 V-0","-"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Wire-Management/Sleeving/GRP110NF12?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/G110NF12%20BK005.jpg,AG110NF12B-100-ND,G110NF12 BK005,Alpha Wire,SLEEVING 1/4"" X 100' BLACK,26,0,"209.68000","0","1","FIT® GRP-110NF","Active","Sleeve","Expandable","0.250"" (6.35mm)","0.750"" (19.05mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","100' (30.48m)","0.024"" (0.61mm)","-75°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","Corrosion Resistant","Clean Cut, Fungus Resistant","-","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/ccf.pdf,//media.digikey.com/Photos/Techflex/MFG_CCF0_25TB.jpg,1030-1054-ND,CCF0.25TB,Techflex,SLEEVING 1/4"" X 1000' BLACK/WHT,63,0,"314.16000","0","1","Clean Cut® FR","Active","Sleeve","Expandable","0.250"" (6.35mm)","0.438"" (11.13mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black, White","1000' (304.80m)","0.024"" (0.61mm)","-70°C ~ 125°C","Flame Retardant","Abrasion and Cut Resistant, Fray Resistant","-","-","Clean Cut, Self Extinguishing","UL VW-1","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/t6f.pdf,//media.digikey.com/Photos/Techflex/MFG_ThermashieldT6.jpg,1030-1155-ND,T6F0.38SV,Techflex,SELF WRAP 3/8"" X 4' SILVER,453,0,"10.07000","0","1","ThermaShield® T6™","Active","Self Wrap","Split Flexible Tube","0.375"" (9.53mm)","-","-","Fiberglass, Aluminized, Halogen Free","Silver","4.00' (1.22m)","0.042"" (1.07mm)","-60°C ~ 255°C","Heat Resistant","Abrasion and Cut Resistant","Gasoline Resistant","-","Adhesive Closure Strip, Chemical Resistant, Clean Cut","Non Flammable","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/frn.pdf,//media.digikey.com/Photos/Techflex/MFG_FRN0_25TB.jpg,1030-1021-ND,FRN0.25TB200,Techflex,SLEEVING 1/4"" X 200' BLACK/WHITE,307,0,"51.84000","0","1","Flexo® FR","Active","Sleeve","Expandable","0.250"" (6.35mm)","0.438"" (11.13mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black, White","200' (60.96m)","0.025"" (0.64mm)","-70°C ~ 125°C","Flame Retardant","Abrasion and Cut Resistant","Gasoline Resistant","-","Chemical Resistant, Clean Cut","UL VW-1","-"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Wire-Management/Spiral%20Wrap/SW43?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/SW43-BK008.jpg,ASW43-100-ND,SW43 BK005,Alpha Wire,SPIRAL WRAP 0.376"" X 100' BLACK,130,31,"94.77000","0","1","FIT® SW","Active","Spiral Wrap","Harness","0.376"" (9.55mm)","-","0.500"" (12.70mm)","Polyethylene (PE)","Black","100' (30.48m)","0.062"" (1.57mm)","-66°C ~ 88°C","-","-","Moisture Resistant","UV Resistant","-","-","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6w.pdf,//media.digikey.com/Photos/Techflex/F6W1.00BKxx.JPG,1030-1230-ND,F6W1.00BK,Techflex,SELF WRAP 1"" X 100' BLACK,83,0,"101.76000","0","1","F6® Woven Wrap","Active","Self Wrap","Split Flexible Tube","-","-","1.000"" (25.40mm)","Polyethylene Terephthalate (PET), Halogen Free","Black","100' (30.48m)","0.027"" (0.69mm)","-70°C ~ 125°C","-","Abrasion Resistant","-","-","Clean Cut","UL94 V-0","-"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Wire-Management/Sleeving/GRP1201_4?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/G1x01%5E4-BK00x.jpg,G1201/4BK005-ND,G1201/4 BK005,Alpha Wire,SLEEVING 1/8"" X 100' BLACK/WHITE,64,0,"135.63000","0","1","FIT® GRP-120","Active","Sleeve","Expandable","0.125"" (3.18mm)","0.375"" (9.52mm)","-","Polyester, Halogen Free","Black, White","100' (30.48m)","0.025"" (0.64mm)","-75°C ~ 125°C","Flame Retardant","Abrasion and Cut Resistant","-","Corrosion Resistant","Fungus Resistant","UL VW-1","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/dwn.pdf,//media.digikey.com/Photos/Techflex/MFG_DWN%20Dura%20Wrap%20Series.jpg,1030-1386-ND,DWN4.50BK25,Techflex,SELF WRAP 4.5"" X 25' BLACK,28,0,"170.10000","0","1","Dura Wrap™","Active","Self Wrap","Split Flexible Tube","4.500"" (114.30mm)","-","-","Polyamide (PA), Nylon, Halogen Free","Black","25.00' (7.62m)","0.026"" (0.66mm)","-51.1°C ~ 93.3°C","-","Abrasion Resistant","Gasoline Resistant, Fluid Resistant, Salt Water Resistant","Environment Resistant, UV Resistant","Chemical Resistant, Clean Cut, Hook and Loop Closure Strip","-","-"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Wire-Management/Sleeving/GRP110NF18?device=pdf,//media.digikey.com/photos/Alpha%20Wire%20Photos/G110NF18%20BK005.jpg,AG110NF18BK-500-ND,G110NF18 BK002,Alpha Wire,SLEEVING 1/8"" X 500' BLACK,35,7,"260.41000","0","1","FIT® GRP-110NF","Active","Sleeve","Expandable","0.125"" (3.18mm)","0.250"" (6.35mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","500' (152.40m)","0.024"" (0.61mm)","-75°C ~ 125°C","-","Abrasion and Cut Resistant, Fray Resistant","-","Corrosion Resistant","Clean Cut, Fungus Resistant","-","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=500005&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Photos/500005-1.jpg,A002-DS-ND,500005-1,TE Connectivity Raychem Cable Protection,SPIRAL WRAP 1/2"" WHITE FEET,128,0,"8.66000","0","1","Spirap","Active","Spiral Wrap","Harness","-","4.000"" (101.60mm)","0.500"" (12.70mm)","Polyethylene (PE)","White","Digi-Spool™, Continuous Spool","0.062"" (1.57mm)","-","Flame Retardant","-","-","-","-","-","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/pet.pdf,//media.digikey.com/Photos/Techflex/MFG_PTN0_xxBK.jpg,1030-1013-ND,PTN1.50BK40,Techflex,SLEEVING 1.5"" X 40' BLACK,145,0,"41.95000","0","1","Flexo® PET","Active","Sleeve","Expandable","1.500"" (38.10mm)","2.125"" (53.97mm)","-","Polyethylene Terephthalate (PET), Halogen Free","Black","40.00' (12.19m)","0.025"" (0.64mm)","-70°C ~ 125°C","Heat Resistant","Abrasion and Cut Resistant","Gasoline Resistant","UV Resistant","Chemical Resistant, Clean Cut, Solvent Resistant","UL94 V-0","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=500015&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/500015-1.JPG,500015-1-ND,500015-1,TE Connectivity Raychem Cable Protection,SPIRAL WRAP 1/4"" X 50' NATURAL,57,0,"86.89000","0","1","Spirap","Active","Spiral Wrap","Harness","-","2.000"" (50.80mm)","0.250"" (6.35mm)","Nylon","Natural","50.00' (15.24m)","0.023"" (0.58mm)","-","-","-","-","-","-","-","-"
http://www.essentracomponents.com.sg/images-line/pdfs/SHR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_11646.jpg,RPC1864-ND,SHR-20-6V0B,Essentra Components,SLIT WRAP 0.787"" X 30M BLACK,27,0,"186.20000","0","1","SHR","Active","Slit Wrap","Slit Harness","0.787"" (20.00mm)","0.906"" (23.00mm)","-","Polyamide (PA6), Nylon 6","Black","98.43' (30.00m)","0.035"" (0.89mm)","-","Flame Retardant","Abrasion Resistant","-","-","-","UL94 V-0","-"
http://www.panduit.com/heiler/CatalogCutSheets/CRS6-X%20Product%20Page.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_TRC18FR-X20Y.jpg,298-16370-ND,TRC18FR-X20Y,Panduit Corp,SLIT WRAP 1/2"" X 1.5' BLACK,123,0,"5.29000","0","1","-","Active","Slit Wrap","Slit Harness","0.500"" (12.70mm)","0.625"" (15.88mm)","-","Polyethylene (PE)","Black","1.50' (457.20mm)","-","-","Flame Retardant","Abrasion Resistant","-","-","-","UL94 V-0","-"
http://www.panduit.com/heiler/PartDrawings/C-HSCLT100F-C20--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/CLT-Series-black.jpg,298-13537-ND,CLT125F-L20,Panduit Corp,SLIT WRAP 1.278"" X 50' BLACK,122,0,"66.01000","0","1","CLT","Active","Slit Wrap","Slit Harness","1.278"" (32.46mm)","-","1.536"" (39.01mm)","Polyethylene (PE)","Black","50.00' (15.24m)","0.008"" ~ 0.030"" (0.20mm ~ 0.76mm)","-40°C ~ 50°C","-","Abrasion Resistant","-","-","Crush Resistant, Impact Resistant","-","-"
http://cdn.techflex.com/assets/pdfs/specification-sheets/f6q.pdf,//media.digikey.com/Photos/Techflex/MFG_F6Q0.25BK.jpg,1030-1494-ND,F6Q0.25BK100,Techflex,SELF WRAP 1/4"" X 100' BLACK,245,0,"77.05000","0","1","F6® Quiet","Active","Self Wrap","Split Flexible Tube","0.250"" (6.35mm)","-","-","Polyethylene Terephthalate (PET), Halogen Free","Black","100' (30.48m)","0.040"" (1.02mm)","-30°C ~ 125°C","-","Abrasion and Cut Resistant","-","-","Clean Cut, Noise Reduction","UL94 V-0","-"
