Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Bushing, Grommet Type","For Use With/Related Products","Panel Thickness","Panel Cutout Dimensions","Diameter - Inside","Features","Material","Color","Material Flammability Rating"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/22MP15021.jpg,RPC7249-ND,22MP04376,Essentra Components,"SNAP IN BUSHING, BLACK, HS NYLON",5000,0,"0.27000","0","1","MicroPlastics","Active","Bushing","Cable, Wires","0.125"" (3.18mm)","Circular - 0.437"" (11.10mm)","0.243"" (6.17mm)","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSB.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/PGSB-2.JPG,RPC4665-ND,PGSB-9,Essentra Components,BUSHING 0.343"" NYLON BLACK,4599,0,"0.27000","0","1","PGSB","Active","Bushing","Cable, Wires","0.062"" (1.57mm)","Circular - 0.468"" (11.89mm)","0.343"" (8.71mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/22MP08710.jpg,RPC7244-ND,22MP05006,Essentra Components,"SNAP IN BUSHING, BLACK, HS NYLON",39410,0,"0.28000","0","1","MicroPlastics","Active","Bushing","Cable, Wires","0.125"" (3.18mm)","Circular - 0.500"" (12.70mm)","0.375"" (9.52mm)","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/22MP08710.jpg,RPC7246-ND,22MP05005,Essentra Components,"SNAP IN BUSHING, BLACK, HS NYLON",20693,0,"0.28000","0","1","MicroPlastics","Active","Bushing","Cable, Wires","0.125"" (3.18mm)","Circular - 0.500"" (12.70mm)","0.312"" (7.92mm)","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
-,//media.digikey.com/Photos/Essentra%20Components%20Photos/22MP08710.jpg,RPC6923-ND,22MP05004,Essentra Components,SNAP FIT BUSHING: .250 IN (6.4 M,7978,0,"0.28000","0","1","MicroPlastics","Active","Bushing","Cable, Wires","0.125"" (3.18mm)","Circular - 0.500"" (12.70mm)","0.250"" (6.35mm)","-","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
//media.digikey.com/pdf/Data%20Sheets/Davies%20Molding%20PDFs/5101_Drawing.pdf,//media.digikey.com/Photos/Davies-Molding-LLC/5101.jpg,1722-1291-ND,5101,"Davies Molding, LLC",RUBBER GROMMET BLACK FOR CUT-OUT,2584,0,"0.28000","0","1","5101","Active","Grommet","Cable, Wires","0.063"" (1.60mm)","Circular - 0.250"" (6.35mm)","0.125"" (3.18mm)","-","Rubber","Black","-"
http://www.essentracomponents.com.sg/images-line/pdfs/GR.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/GR3001A.JPG,RPC4024-ND,GR3047A,Essentra Components,GROMMET 0.219"" RUBBER BLACK,14689,0,"0.29000","0","1","GR","Active","Grommet","Cable, Wires","0.063"" (1.60mm)","Circular - 0.313"" (7.95mm)","0.219"" (5.56mm)","-","Styrene-Butadiene Rubber (SBR), 60 Durometer","Black","-"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSA.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_41014.jpg,RPC4627-ND,PGSA-2024A,Essentra Components,BUSHING SPLIT 0.768"" NYLON BLACK,7733,0,"0.29000","0","1","PGSA","Active","Bushing, Split","Cable, Wires","0.039"" ~ 0.063"" (0.99mm ~ 1.60mm)","Circular - 0.945"" (24.00mm)","0.768"" (19.50mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSB.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/PGSB-2.JPG,RPC4635-ND,PGSB-14,Essentra Components,BUSHING 0.312"" NYLON BLACK,3993,0,"0.29000","0","1","PGSB","Active","Bushing","Cable, Wires","0.031"" ~ 0.125"" (0.79mm ~ 3.18mm)","Circular - 0.562"" (14.27mm)","0.312"" (7.92mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
http://www.essentracomponents.com.sg/images-line/pdfs/PGSB.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/PGSB-2.JPG,RPC4664-ND,PGSB-8,Essentra Components,BUSHING 0.250"" NYLON BLACK,3923,0,"0.29000","0","1","PGSB","Active","Bushing","Cable, Wires","0.031"" ~ 0.125"" (0.79mm ~ 3.18mm)","Circular - 0.437"" (11.10mm)","0.250"" (6.35mm)","Snap-Mount","Polyamide (PA66), Nylon 6/6","Black","UL94 V-2"
