Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Type Attributes","Opening Size","Mounting Type","Material","Color","Length","Width","Height","Panel Hole Size","Material Thickness","Material Flammability Rating","Adhesive","Features"
http://www.essentracomponents.com.sg/images-line/pdfs/FCCE-9-01.pdf,//media.digikey.com/Renders/Essentra%20Components/MFG_FCCE-9-01.jpg,RPC1954-ND,FCCE-9-01,Essentra Components,CBL CLAMP FLAT NATURAL PUSH IN,240990,0,"0.60000","0","1","Bulk","-","Active","Clamp, Flat","Mini","0.270"" (6.86mm)","Push In","Polyamide (PA66), Nylon 6/6","Natural","0.390"" (9.91mm)","0.280"" (7.11mm)","0.140"" (3.56mm)","0.157"" (4.00mm), Square","-","UL94 V-2","-","-"
http://www.panduit.com/heiler/PartDrawings/C-WALWC38A--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/LWC38-A-C.JPG,298-10255-ND,LWC38-A-C,Panduit Corp,CBL CLIP WIRE SADDLE NATURAL ADH,11814,0,"0.76000","0","1","Bulk","-","Active","Clip, Wire Saddle on Base","Locking, Round","0.380"" (9.65mm)","Adhesive","Polyamide (PA66), Nylon 6/6","Natural","1.000"" (25.40mm)","1.000"" (25.40mm)","0.560"" (14.22mm)","-","-","-","Rubber Based","-"
http://www.essentracomponents.com.sg/images-line/pdfs/MWSSEB.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MWSSEB-1-01A-RT.jpg,RPC1110-ND,MWSSEB-1-01A-RT,Essentra Components,CBL CLIP WIRE SADDLE NATURAL ADH,23173,0,"0.82000","0","1","Bulk","-","Active","Clip, Wire Saddle on Base","Micro, Side Entry","0.320"" L x 0.100"" H (8.13mm x 2.54mm)","Adhesive","Polyamide (PA66), Nylon 6/6","Natural","0.500"" (12.70mm)","0.375"" (9.53mm)","0.250"" (6.35mm)","-","-","UL94 V-2","Acrylic Based (RMS-15)","-"
http://www.essentracomponents.com/wcsstore7.00.00.883/ExtendedSitesCatalogAssetStore/images/Web%20Feed%20Documents/std.lang.all/26774.pdf,//media.digikey.com/photos/Richco%20Photos/AKKL-3140A-RT.jpg,RP309-ND,AKKL-3140A-RT,Essentra Components,CBL CLIP C-TYPE NATURAL ADHESIVE,5466,0,"0.97000","0","1","Bulk","KWIK KLIP","Active","Clip, C-Type","Locking, Round","0.312"" ~ 0.406"" (7.92mm ~ 10.31mm)","Adhesive","Polyamide (PA66), Nylon 6/6","Natural","1.000"" (25.40mm)","0.750"" (19.05mm)","0.866"" (22.00mm)","-","-","UL94 V-2","Acrylic Based (RMS-15)","-"
http://www.essentracomponents.com.sg/images-line/pdfs/MWSB1.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_MWSB-1-19A-RT.JPG,RPC1576-ND,MWSB-1-19A-RT,Essentra Components,CBL CLIP WIRE SADDLE NATURAL ADH,61828,0,"1.02000","0","1","Bulk","-","Active","Clip, Wire Saddle on Base","Micro","0.170"" L x 0.120"" H (4.32mm x 3.05mm)","Adhesive","Polyamide (PA66), Nylon 6/6","Natural","0.270"" (6.86mm)","0.375"" (9.53mm)","0.281"" (7.14mm)","-","-","UL94 V-0","Acrylic Based (RMS-15)","Flame Retardant"
http://www.essentracomponents.com.sg/images-line/pdfs/MWSLT.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MWSLT1-1-19.JPG,RPC2021-ND,MWSLT1-1-19,Essentra Components,CBL CLIP WIRE SADDLE NAT PUSH IN,34834,0,"1.04000","0","1","Bulk","-","Active","Clip, Wire Saddle","Hinged, Micro, Top Lock","0.190"" L x 0.100"" H (4.83mm x 2.54mm)","Push In","Polyamide (PA66), Nylon 6/6","Natural","0.340"" (8.64mm)","0.080"" (2.03mm)","0.190"" (4.83mm)","0.067"" (1.70mm)","-","UL94 V-0","-","Flame Retardant"
http://www.essentracomponents.com.sg/images-line/pdfs/WCK-180.pdf,//media.digikey.com/photos/Richco%20Photos/WCK-180-01A-RT.jpg,RP617-ND,WCK-180-01A-RT,Essentra Components,CBL CLIP C-TYPE NATURAL ADHESIVE,18736,0,"1.05000","0","1","Bulk","-","Active","Clip, C-Type","-","0.180"" L x 0.160"" H (4.57mm x 4.06mm)","Adhesive","Polyamide (PA66), Nylon 6/6","Natural","0.630"" (16.00mm)","0.620"" (15.75mm)","0.280"" (7.11mm)","-","-","UL94 V-2","Acrylic Based (RMS-15)","-"
http://www.essentracomponents.com.sg/images-line/pdfs/TFCM.pdf,//media.digikey.com/photos/Essentra%20Components%20Photos/TFCM-25.JPG,RPC2134-ND,TFCM-25,Essentra Components,CBL CLIP FLAT NATURAL ADHESIVE,8124,0,"1.17000","0","1","Bulk","-","Active","Clip, Flat","Hinged, Top Lock","1.150"" (29.21mm)","Adhesive","Polyamide (PA66), Nylon 6/6","Natural","1.570"" (39.88mm)","0.390"" (9.91mm)","-","-","-","UL94 V-2","Acrylic Based (RMS-92A)","-"
http://www.essentracomponents.com.sg/images-line/pdfs/WCK-720.pdf,//media.digikey.com/photos/Richco%20Photos/WCK-720-01A-RT.jpg,RP619-ND,WCK-720-01A-RT,Essentra Components,CBL CLIP C-TYPE NATURAL ADHESIVE,7871,0,"1.31000","0","1","Bulk","-","Active","Clip, C-Type","-","0.720"" L x 0.540"" H (18.29mm x 13.72mm)","Adhesive","Polyamide (PA66), Nylon 6/6","Natural","1.000"" (25.40mm)","1.000"" (25.40mm)","0.700"" (17.78mm)","-","-","UL94 V-2","Acrylic Based (RMS-15)","-"
http://www.essentracomponents.com.sg/images-line/pdfs/MWCK-460.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MWCK-460-01A4.JPG,RPC1840-ND,MWCK-460-01A4,Essentra Components,CBL CLIP C-TYPE NATURAL ADHESIVE,89753,0,"1.49000","0","1","Bulk","-","Active","Clip, C-Type","-","0.450"" L x 0.280"" H (11.43mm x 7.11mm)","Adhesive","Polyamide (PA66), Nylon 6/6","Natural","0.750"" (19.05mm)","0.750"" (19.05mm)","0.460"" (11.68mm)","-","-","UL94 V-2","Rubber Based (RMS-01)","-"
http://www.panduit.com/heiler/PartDrawings/C-WAER1-25-GB0239JU--ENG.pdf,"//media.digikey.com/photos/Panduit%20Corp%20Photos/MFG_ER(.5,1.25)-E4-X.jpg",298-14439-ND,ER1.25-E4-X,Panduit Corp,CBL CLIP WIRE SADDLE FASTENER,224,0,"18.22000","0","1","Bulk","Quick-Build™","Active","Clip, Wire Saddle","Elastic Retainer","1.250"" (31.75mm)","Fastener","Polyamide (PA66), Nylon 6/6","Black","2.900"" (73.66mm)","0.950"" (24.13mm)","2.000"" (50.80mm)","-","-","-","-","-"
http://www.panduit.com/heiler/PartDrawings/WEH-E8_R15.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/WEH-E8-C.JPG,298-10451-ND,WEH-E8-C,Panduit Corp,CBL CLIP U-TYPE FASTENER 100PC,107,0,"60.20000","0","1","Bulk","Quick-Build™","Active","Clip, U-Type","-","-","Fastener","Polyacetal (POM)","Black","0.770"" (19.56mm)","0.370"" (9.40mm)","1.220"" (30.99mm)","-","-","-","-","-"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/XCP-HMAN007SER.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/211-60001.JPG,1436-1307-ND,211-60001,HellermannTyton,CBL CLAMP P-TYPE BLACK FASTENER,26600,0,"0.07890","0","100","Bulk","HP","Active","Clamp, P-Type","-","0.197"" (5.00mm)","Fastener","Polyamide (PA66), Nylon 6/6","Black","-","0.394"" (10.00mm)","-","-","0.039"" (1.00mm)","UL94 V-2","-","Heat Stabilized"
https://cdn.harwin.com/pdfs/S8091R.pdf,//media.digikey.com/Photos/Harwin/S8091-46R.JPG,952-1738-2-ND,S8091-46R,Harwin Inc.,CBL CLIP C-TYPE SILVER SOLDER,9000,0,"0.09570","0","3000","Tape & Reel (TR)","EZ BoardWare","Active","Clip, C-Type","Elongated, Split","0.098"" L x 0.028"" H (2.50mm x 0.70mm)","Solder","Phosphor Bronze, Tin Plated","Silver","0.197"" (5.00mm)","0.157"" (4.00mm)","0.053"" (1.35mm)","-","0.008"" (0.20mm)","-","-","Corrosion Resistant"
https://cdn.harwin.com/pdfs/S8091R.pdf,//media.digikey.com/Photos/Harwin/S8091-46R.JPG,952-1738-1-ND,S8091-46R,Harwin Inc.,CBL CLIP C-TYPE SILVER SOLDER,10830,0,"0.26000","0","1","Cut Tape (CT)","EZ BoardWare","Active","Clip, C-Type","Elongated, Split","0.098"" L x 0.028"" H (2.50mm x 0.70mm)","Solder","Phosphor Bronze, Tin Plated","Silver","0.197"" (5.00mm)","0.157"" (4.00mm)","0.053"" (1.35mm)","-","0.008"" (0.20mm)","-","-","Corrosion Resistant"
