Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Shrinkage Ratio","Length","Diameter - Inner, Recovered","Diameter - Inner, Supplied","Wall Thickness - Nonrecovered","Color"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=HFT5000&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/HFT5000-100%5E50-0-SP.JPG,HFT5000-100/50-0-SP-100-ND,HFT5000-100/50-0-SP,TE Connectivity Raychem Cable Protection,HEATSHRNK FABRIC BLK 1=100M,0,0,"1022.43000","0","1","HFT5000","Active","2 to 1","328.1' (100.0m)","1.97"" (50.0mm)","3.94"" (100.0mm)","-","Black"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=HFT5000&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/HFT5000-70%5E35-0-SP.JPG,HFT7035-150-ND,HFT5000-70/35-0-SP,TE Connectivity Raychem Cable Protection,HEATSHRK FABRIC 70/35MM 150M BLK,0,0,"1116.23000","0","1","HFT5000","Active","2 to 1","492.1' (150.0m)","1.38"" (35.1mm)","2.76"" (70.1mm)","-","Black"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=HFT5000&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/HFT5000-40%5E20-0-SP.JPG,HFT4020-300-ND,HFT5000-40/20-0-SP,TE Connectivity Raychem Cable Protection,HEATSHRK FABRIC 40/20MM 300M BLK,0,0,"1218.97000","0","1","HFT5000","Active","2 to 1","984.3' (300.0m)","0.79"" (20.1mm)","1.57"" (39.9mm)","-","Black"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=HFT5000&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/HFT5000-40%5E20-0-SP.JPG,HFT3015-400-ND,HFT5000-30/15-0-SP,TE Connectivity Raychem Cable Protection,HEATSHRK FABRIC 30/15MM 400M BLK,0,0,"1342.15000","0","1","HFT5000","Active","2 to 1","1312.3' (400.0m)","0.59"" (15.0mm)","1.18"" (30.0mm)","-","Black"
//media.digikey.com/pdf/Data%20Sheets/Alpha%20Wire%20PDFs/FIT%20Fab%201-10.pdf,-,A23610B-100-ND,FITFAB-10 BK005,Alpha Wire,HEATSHRINK FABRIC 2.36""X100',0,0,"Obsolete","0","1","FIT®","Obsolete","3 to 1","100.0' (30.5m)","0.79"" (20.1mm)","2.36"" (59.9mm)","0.040"" (1.02mm)","Black"
//media.digikey.com/pdf/Data%20Sheets/Alpha%20Wire%20PDFs/FIT%20Fab%201-10.pdf,-,A0718B-200-ND,FITFAB-8 BK004,Alpha Wire,HEATSHRINK FABRIC .71""X200',0,0,"Obsolete","0","1","FIT®","Obsolete","3 to 1","200.0' (61.0m)","0.24"" (6.1mm)","0.71"" (18.0mm)","0.040"" (1.02mm)","Black"
//media.digikey.com/pdf/Data%20Sheets/Alpha%20Wire%20PDFs/FIT%20Fab%201-10.pdf,-,A1189B-200-ND,FITFAB-9 BK004,Alpha Wire,HEATSHRINK FABRIC 1.18""X200',0,0,"Obsolete","0","1","FIT®","Obsolete","3 to 1","200.0' (61.0m)","0.39"" (9.9mm)","1.18"" (30.0mm)","0.040"" (1.02mm)","Black"
//media.digikey.com/pdf/Data%20Sheets/Alpha%20Wire%20PDFs/FIT%20Fab%201-10.pdf,-,A0718B-50-ND,FITFAB-8 BK007,Alpha Wire,HEATSHRINK FABRIC .71"" X 50',0,0,"Obsolete","0","1","FIT®","Obsolete","3 to 1","50.00' (15.24m)","0.24"" (6.1mm)","0.71"" (18.0mm)","0.040"" (1.02mm)","Black"
//media.digikey.com/pdf/Data%20Sheets/Alpha%20Wire%20PDFs/FIT%20Fab%201-10.pdf,-,A1189B-50-ND,FITFAB-9 BK007,Alpha Wire,HEATSHRINK FABRIC 1.18"" X 50',0,0,"Obsolete","0","1","FIT®","Obsolete","3 to 1","50.00' (15.24m)","0.39"" (9.9mm)","1.18"" (30.0mm)","0.040"" (1.02mm)","Black"
//media.digikey.com/pdf/Data%20Sheets/Alpha%20Wire%20PDFs/FIT%20Fab%201-10.pdf,-,A11810B-25-ND,FITFAB-10 BK008,Alpha Wire,HEATSHRINK FABRIC 2.36"" X 25',0,0,"Obsolete","0","1","FIT®","Obsolete","3 to 1","25.00' (7.62m)","0.79"" (20.1mm)","2.36"" (59.9mm)","0.040"" (1.02mm)","Black"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=HFT5000&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/HFT5000-60%5E30-0-SP.JPG,HFT6030-200-ND,HFT5000-60/30-0-SP,TE Connectivity Raychem Cable Protection,HEATSHRK FABRIC 60/30MM 200M BLK,0,0,"Active","0","1","HFT5000","Active","2 to 1","656.2' (200.0m)","1.18"" (30.0mm)","2.36"" (59.9mm)","-","Black"
http://cdn.techflex.com/assets/pdfs/specification-sheets/h2f.pdf,//media.digikey.com/Photos/Techflex/MFG_H2F1.jpg,H2F1.38BK-ND,H2F1.38BK,Techflex,2:1 FAB HEATSHRINK BLK 35MM 100',0,0,"Obsolete","0","1","Shrinkflex","Obsolete","2 to 1","100.0' (30.5m)","0.69"" (17.5mm)","1.38"" (35.1mm)","-","Black"
http://cdn.techflex.com/assets/pdfs/specification-sheets/h2f.pdf,//media.digikey.com/Photos/Techflex/MFG_H2F0.98BK.jpg,H2F0.98BK25-ND,H2F0.98BK25,Techflex,2:1 FAB HEATSHRINK BLK 25MM 25',0,0,"Obsolete","0","1","Shrinkflex","Obsolete","2 to 1","25.00' (7.62m)","0.49"" (12.4mm)","0.98"" (24.9mm)","-","Black"
http://cdn.techflex.com/assets/pdfs/specification-sheets/h2f.pdf,//media.digikey.com/Photos/Techflex/MFG_H2F1.jpg,H2F1.38BK25-ND,H2F1.38BK25,Techflex,2:1 FAB HEATSHRINK BLK 35MM 25',0,0,"Obsolete","0","1","Shrinkflex","Obsolete","2 to 1","25.00' (7.62m)","0.69"" (17.5mm)","1.38"" (35.1mm)","-","Black"
http://cdn.techflex.com/assets/pdfs/specification-sheets/h2f.pdf,//media.digikey.com/Photos/Techflex/MFG_H2F0.98BK.jpg,H2F0.98BK-ND,H2F0.98BK,Techflex,2:1 FAB HEATSHRINK BLK 25MM 100',0,0,"Obsolete","0","1","Shrinkflex","Obsolete","2 to 1","100.0' (30.5m)","0.49"" (12.4mm)","0.98"" (24.9mm)","-","Black"
http://cdn.techflex.com/assets/pdfs/specification-sheets/h2f.pdf,//media.digikey.com/Photos/Techflex/MFG_H2F1.jpg,H2F3.15BK-ND,H2F3.15BK,Techflex,2:1 FAB HEATSHRINK BLK 80MM 100',0,0,"Obsolete","0","1","Shrinkflex","Obsolete","2 to 1","100.0' (30.5m)","1.57"" (39.9mm)","3.15"" (80.0mm)","-","Black"
http://cdn.techflex.com/assets/pdfs/specification-sheets/h2f.pdf,//media.digikey.com/Photos/Techflex/MFG_H2F1.jpg,H2F3.15BK25-ND,H2F3.15BK25,Techflex,2:1 FAB HEATSHRINK BLK 80MM 25',0,0,"Obsolete","0","1","Shrinkflex","Obsolete","2 to 1","25.00' (7.62m)","1.57"" (39.9mm)","3.15"" (80.0mm)","-","Black"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=HFT5000&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/HFT5000-40%5E20-0-SP.JPG,HFT4020-01-ND,HFT5000-40/20-0-SP,TE Connectivity Raychem Cable Protection,HEATSHRK FABRIC BLK 1=1M,0,0,"Discontinued at Digi-Key","0","1","HFT5000","Discontinued at Digi-Key","2 to 1","3.28' (1.00m)","0.79"" (20.1mm)","1.57"" (39.9mm)","-","Black"
