Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Label Type","Label Size","Color","Material","For Use With/Related Products"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=MCD160002&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/TE%20Connectivity/TMS-SCE-1K-3%5E16-2.0-9.JPG,TMS-SCE-3/4-2.0-9CT-ND,TMS-SCE-3/4-2.0-9,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABLE WHITE,3598,0,"3.37000","0","1","Cut Tape (CT)","TMS-SCE","Active","Heat Shrinkable","0.75"" x 1.97"" (19.0mm x 50.0mm)","White","Polyolefin (PO), Flame Retardant, Irradiated","T200, T208M, T212M, T312M, T312Mi, T408M, T612M-DS, T6112DS, TE3112 and TE3124 Thermal Transfer Printers"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=RW-2512&DocType=SS&DocLang=EN,//media.digikey.com/Photos/TE%20Connectivity/HT-SCE-3%5E32-2.jpg,HT-SCE-3/32-2.0-9-ND,HT-SCE-3/32-2.0-9,TE Connectivity Raychem Cable Protection,LABEL HEAT SHRINKABLE WHITE,5872,0,"3.66000","0","1","250 per Pkg","HT-SCE","Active","Heat Shrinkable","0.09"" x 1.97"" (2.4mm x 50.0mm)","White","Fluoropolymer, Flame Retardant, Fluid Resistant","T312M Thermal Transfer Printer"
http://wpc.ac62.edgecastcdn.net/00AC62/drawings/LA3002116DTL.pdf,//media.digikey.com/Photos/HellermannTyton%20Photos/TAG9T3-100B.jpg,1436-1681-ND,TAG9T3-100B,HellermannTyton,LABEL SELF LAMINATNG 1X2.25"" WHT,34,0,"340.94000","0","1","5000 per Roll","-","Active","Self Laminating","1.00"" x 2.25"" (25.4mm x 57.2mm)","White","Vinyl","Thermal Transfer Printer"
http://www.panduit.com/heiler/PartDrawings/C10200.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/S050X075YAJ.jpg,298-10675-ND,S050X075YAJ,Panduit Corp,LABEL SELF LAMINATNG WHT 169/SHT,104295,0,"0.04662","0","5000","169 per Sheet; 30 Sheets per Pkg","-","Active","Self Laminating","0.50"" x 0.75"" (12.7mm x 19.1mm)","White","Polyester","Laser and Ink Jet Printers"
//media.digikey.com/pdf/Data%20Sheets/Panduit%20PDFs/LJSL_PLL.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/LJSL1-Y3-5.JPG,298-10373-ND,LJSL1-Y3-5,Panduit Corp,WHITE SL POLYESTER LASER LABELS,65000,0,"0.06421","0","5000","-","-","Active","-","-","-","-","-"
http://www.panduit.com/heiler/PartDrawings/C10202.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/S050X150YAJ.jpg,298-10676-ND,S050X150YAJ,Panduit Corp,LABEL SELF LAMINATING WHT 78/SHT,45000,0,"0.06829","0","5000","78 per Sheet; 65 sheets per Pkg","-","Active","Self Laminating","0.50"" x 1.50"" (12.7mm x 38.1mm)","White","Polyester","Laser and Ink Jet Printers"
http://www.panduit.com/heiler/PartDrawings/C10203.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/S100X075YAJ.jpg,298-10677-ND,S100X075YAJ,Panduit Corp,LABEL SELF LAMINATING WHT 91/SHT,24186,0,"0.07226","0","2500","91 per Sheet; 28 Sheets per Pkg","-","Active","Self Laminating","1.00"" x 0.75"" (25.4mm x 19.1mm)","White","Polyester","Laser and Ink Jet Printers"
http://www.panduit.com/heiler/PartDrawings/C10204.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/S100X125YAJ.jpg,298-10678-ND,S100X125YAJ,Panduit Corp,LABEL SELF LAMINATING WHT 56/SHT,63588,0,"0.11468","0","2500","56 per Sheet; 45 Sheets per Pkg","-","Active","Self Laminating","1.00"" x 1.25"" (25.4mm x 31.8mm)","White","Polyester","Laser and Ink Jet Printers"
//media.digikey.com/pdf/Data%20Sheets/Panduit%20PDFs/LJSL_PLL.pdf,//media.digikey.com/photos/Panduit%20Corp%20Photos/LJSL4-Y3-2.5.JPG,298-1162-ND,LJSL4-Y3-2.5,Panduit Corp,LABEL SELF LAMINATING 1""X1"" WHT,25340,0,"0.16174","0","2500","70 per Sheet","PAN-CODE™","Active","Self Laminating","1"" x 1"" x 0.34"" (25.4mm x 25.4mm x 8.6mm)","White","Polyester","Laser Printers and 12-10 AWG THHN Cable"
http://www.panduit.com/heiler/PartDrawings/C10209.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/S200X225YAJ.jpg,298-10092-ND,S200X225YAJ,Panduit Corp,LABEL SELF LAMINATING WHT 16/SHT,8464,0,"0.28940","0","1000","16 per Sheet; 63 Sheets per Pkg","-","Active","Self Laminating","2.00"" x 2.25"" (50.8mm x 57.2mm)","White","Polyester","Laser and Ink Jet Printers"
