Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Cable Diameter","Thread Size","Conduit Hub Size","Panel Hole Size","Material","Includes","Color","Ingress Protection"
http://www.altechcorp.com/PDFS/Splits/ltsr4.pdf,//media.digikey.com/Photos/Altech-Corporation/5308-903.jpg,1920-1071-ND,5308 903,Altech Corporation,CABLE FDTHRU 14-24.9MM 1NPT POLY,335,2980,"5.00000","0","1","-","Active","Cable Feedthrough","0.55"" ~ 0.98"" (14.0mm ~ 24.9mm)","1"" NPT","-","1.311"" (33.3mm)","Polyamide","-","Gray","IP68 - Dust Tight, Waterproof"
-,-,2081-96572.1-ND,96572.1,Pflitsch,M20X1.5 BLUE GLOBE BLACK,150,0,"5.03000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
https://www.bulgin.com/products/pub/media/bulgin/data/Enclosures_datasheet.pdf,//media.digikey.com/photos/Bulgin%20Photos/BE123460.JPG,708-2383-ND,BE123460,Bulgin,CABLE GLAND 3.5-8MM M20,208,0,"5.09000","0","1","BE","Active","Cable Gland","0.14"" ~ 0.31"" (3.5mm ~ 8.0mm)","M20","-","-","-","Gasket","Gray","IP67 - Dust Tight, Waterproof"
http://www.alphawire.com/~/media/ProductSpecs/Cable%20Glands/PMS_NPT.pdf,"//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_PMSxx,PPSxx.jpg",PNS3/4BK080-ND,PNS3/4 BK080,Alpha Wire,CABLE GLAND 13-18MM 3/4NPT,454,0,"5.23000","0","1","FIT®","Active","Cable Gland","0.51"" ~ 0.71"" (13.0mm ~ 18.0mm)","3/4"" NPT","-","1.051"" (26.7mm)","Polyamide","Gasket, Nut, Strain Relief","Black","IP66/68 - Dust Tight, Water Resistant, Waterproof"
http://www.alphawire.com/~/media/ProductSpecs/Cable%20Glands/PMS_NPT.pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_Flex-Spiral-Gland.JPG,PNS3/4SL080-ND,PNS3/4 SL080,Alpha Wire,CABLE GLAND 13-18MM 3/4NPT,112,0,"5.23000","0","1","FIT®","Active","Cable Gland","0.51"" ~ 0.71"" (13.0mm ~ 18.0mm)","3/4"" NPT","-","1.051"" (26.7mm)","Polyamide","Gasket, Nut, Strain Relief","Gray","IP66/68 - Dust Tight, Water Resistant, Waterproof"
http://www.altechcorp.com/PDFS/Splits/ltsr4.pdf,//media.digikey.com/Photos/Altech-Corporation/5308-923.jpg,1920-1078-ND,5308 923,Altech Corporation,CABLE FDTHRU 14-24.9MM 1NPT POLY,385,1520,"5.25000","0","1","-","Active","Cable Feedthrough","0.55"" ~ 0.98"" (14.0mm ~ 24.9mm)","1"" NPT","-","1.311"" (33.3mm)","Polyamide","-","Black","IP68 - Dust Tight, Waterproof"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/Rockstar%20-%20Heavy%20Duty%20Connectors.pdf#page=304,-,281-8575-ND,1909700000,Weidmüller,CABLE GLAND 10-14MM M20 PLASTIC,120,107,"5.26000","0","1","VG","Active","Cable Gland","0.39"" ~ 0.55"" (10.0mm ~ 14.0mm)","M20x1.5","-","-","Plastic","-","Gray","IP67 - Dust Tight, Waterproof"
//media.digikey.com/pdf/Data%20Sheets/Davies%20Molding%20PDFs/Cable_Glands.pdf,//media.digikey.com/Photos/Davies-Molding-LLC/GC1000-G.JPG,1722-1322-ND,GC1000-G,"Davies Molding, LLC",CABLE GLAND 22-32MM M50 NYLON,181,0,"5.27000","0","1","GC1000","Active","Cable Gland","0.87"" ~ 1.26"" (22.0mm ~ 32.0mm)","M50x1.5","-","2.008"" (51.0mm)","Nylon","Locknut, O-Ring, Seal","Black","IP67 - Dust Tight, Waterproof"
-,-,2081-96573.1-ND,96573.1,Pflitsch,M25X1.5 BLUE GLOBE BLACK,150,0,"5.28000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/Rockstar%20-%20Heavy%20Duty%20Connectors.pdf#page=304,//media.digikey.com/Photos/Weidmuller/1909710000.jpg,281-5966-ND,1909710000,Weidmüller,CABLE GLAND 13-18MM M25 PLASTIC,121,175,"5.53000","0","1","VG","Active","Cable Gland","0.51"" ~ 0.71"" (13.0mm ~ 18.0mm)","M25x1.5","-","-","Plastic","-","Gray","IP67 - Dust Tight, Waterproof"
http://www.alphawire.com/~/media/22F283356FF044B49324E0F8F378BFE1.pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_Flex-Spiral-Gland.JPG,PMS25SL080-ND,PMS25 SL080,Alpha Wire,CABLE GLAND 13-18MM M25 POLY,138,0,"5.68000","0","1","FIT®","Active","Cable Gland","0.51"" ~ 0.71"" (13.0mm ~ 18.0mm)","M25x1.5","-","0.984"" (25.0mm)","Polyamide","Gasket, Nut, Strain Relief","Gray","IP66/68 - Dust Tight, Water Resistant, Waterproof"
//media.digikey.com/pdf/Data%20Sheets/Weidmuller%20PDFs/Enclosure%20Cable%20Glands.pdf,-,281-4750-ND,1772310000,Weidmüller,CABLE GLAND 13-18MM M25 PLASTIC,122,50,"5.74000","0","1","VG","Active","Cable Gland","0.51"" ~ 0.71"" (13.0mm ~ 18.0mm)","M25x1.5","-","-","Plastic","-","Gray","IP68 - Dust Tight, Waterproof"
//media.digikey.com/pdf/Data%20Sheets/Davies%20Molding%20PDFs/GC2000_Series.pdf,-,1722-1467-ND,GC2000-G,"Davies Molding, LLC",BLACK PG-29 CBL GLAND 14-25MM CB,500,0,"5.82000","0","1","GC2000","Active","Cable Gland","0.75"" ~ 0.98"" (19.0mm ~ 25.0mm)","PG29","-","1.465"" (37.2mm)","Polyamide (PA), Nylon","Locknut, O-Ring, Seal","Black","IP67 - Dust Tight, Waterproof"
//media.digikey.com/pdf/Data%20Sheets/Davies%20Molding%20PDFs/GC1001_Series.pdf,-,1722-1478-ND,GC1001-G,"Davies Molding, LLC",LIGHT GREY M50X1.5 CBL GLAND 22-,525,0,"5.85000","0","1","GC1001","Active","Cable Gland","0.98"" ~ 1.26"" (25.0mm ~ 32.0mm)","M50x1.5","-","2.008"" (51.0mm)","Polyamide (PA), Nylon","Locknut, O-Ring, Seal","Light Gray","IP67 - Dust Tight, Waterproof"
http://www.altechcorp.com/PDFS/Splits/ltsr19.pdf,//media.digikey.com/Photos/Altech-Corporation/4220620.jpg,1920-1012-ND,4220620,Altech Corporation,CABLE GLAND 7-13MM M20 BRASS,127,150,"5.95000","0","1","-","Active","Cable Gland","0.28"" ~ 0.51"" (7.0mm ~ 13.0mm)","M20x1.5","-","0.787"" (20.0mm)","Brass, Nickel Plated","Sealing Ring","Silver","IP68 - Dust Tight, Waterproof"
http://www.alphawire.com/~/media/ProductSpecs/Cable%20Glands/Metal%20Glands/CMPGV1.pdf,"//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_FIT-Series_Brass,NickelPlated.jpg",MPG11NC080-ND,MPG11 NC080,Alpha Wire,CABLE GLAND 5-10MM PG11 BRASS,104,38,"6.08000","0","1","FIT®","Active","Cable Gland","0.20"" ~ 0.39"" (5.0mm ~ 10.0mm)","PG11","-","0.732"" (18.6mm)","Brass, Nickel Plated","O-Ring, Seal","Silver","IP66/68 - Dust Tight, Water Resistant, Waterproof"
http://www.alphawire.com/~/media/ProductSpecs/Cable%20Glands/PPC.pdf,"//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_PPCxx,PMCxx,PNCxx.jpg",PPC29BK080-ND,PPC29 BK080,Alpha Wire,CABLE GLAND 18-25MM PG29 POLY,123,21,"6.15000","0","1","FIT®","Active","Cable Gland","0.71"" ~ 0.98"" (18.0mm ~ 25.0mm)","PG29","-","1.457"" (37.0mm)","Polyamide","Lock Nuts","Black","IP66/68 - Dust Tight, Water Resistant, Waterproof"
http://www.alphawire.com/~/media/ProductSpecs/Cable%20Glands/PMC.pdf,"//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_PPCxx,PMCxx,PNCxx.jpg",PMC32BK080-ND,PMC32 BK080,Alpha Wire,CABLE GLAND 15-21MM M32 POLY,487,0,"6.17000","0","1","FIT®","Active","Cable Gland","0.59"" ~ 0.83"" (15.0mm ~ 21.0mm)","M32x1.5","-","1.260"" (32.0mm)","Polyamide","Lock Nuts","Black","IP66/68 - Dust Tight, Water Resistant, Waterproof"
http://www.alphawire.com/~/media/ProductSpecs/Cable%20Glands/Metal%20Glands/CMES.pdf,"//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_FIT-Series_Brass,NickelPlated.jpg",MES16NC080-ND,MES16 NC080,Alpha Wire,CABLE GLAND 5-10MM M16 BRASS,792,77,"6.54000","0","1","FIT®","Active","Cable Gland","0.20"" ~ 0.39"" (5.0mm ~ 10.0mm)","M16x1.5","-","0.630"" (16.0mm)","Brass, Nickel Plated","O-Ring, Seal","Silver","IP66/68 - Dust Tight, Water Resistant, Waterproof"
http://www.essentracomponents.com.sg/images-line/pdfs/CG-NPT.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_37284.jpg,RPC3026-ND,CG-NPT-1-1-BK,Essentra Components,CABLE GLAND 12-20MM 1NPT NYLON,134,0,"6.91000","0","1","CG-NPT","Active","Cable Gland","0.47"" ~ 0.79"" (12.0mm ~ 20.0mm)","1"" NPT","-","1.350"" (34.3mm)","Nylon","O-Ring, Sealing Gland, Sealing Nut","Black","IP68 - Dust Tight, Waterproof"
http://www.alphawire.com/~/media/2D7C08696560488FB7C728536FD7CEA4.pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_Standard-Cable.JPG,PNC1SL080-ND,PNC1 SL080,Alpha Wire,CABLE GLAND 18-25MM 1NPT POLY,192,17,"7.06000","0","1","FIT®","Active","Cable Gland","0.71"" ~ 0.98"" (18.0mm ~ 25.0mm)","1"" NPT","-","1.315"" (33.4mm)","Polyamide","Lock Nuts","Gray","IP66/68 - Dust Tight, Water Resistant, Waterproof"
http://www.alphawire.com/~/media/ProductSpecs/Cable%20Glands/PNC.pdf,"//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_PPCxx,PMCxx,PNCxx.jpg",PNC1BK080-ND,PNC1 BK080,Alpha Wire,CABLE GLAND 18-25MM 1NPT POLY,137,0,"7.06000","0","1","FIT®","Active","Cable Gland","0.71"" ~ 0.98"" (18.0mm ~ 25.0mm)","1"" NPT","-","1.315"" (33.4mm)","Polyamide","Lock Nuts","Black","IP66/68 - Dust Tight, Water Resistant, Waterproof"
//media.digikey.com/pdf/Data%20Sheets/Davies%20Molding%20PDFs/GC2000_Series.pdf,-,1722-1468-ND,GC2000-H,"Davies Molding, LLC",BLACK PG-36 CBL GLAND 19-32MM CB,500,0,"8.11000","0","1","GC2000","Active","Cable Gland","0.98"" ~ 1.26"" (25.0mm ~ 32.0mm)","PG36","-","1.890"" (48.0mm)","Polyamide (PA), Nylon","Locknut, O-Ring, Seal","Black","IP67 - Dust Tight, Waterproof"
http://www.alphawire.com/~/media/ProductSpecs/Cable%20Glands/Metal%20Glands/CMPGV1.pdf,"//media.digikey.com/Photos/Alpha%20Wire%20Photos/MFG_FIT-Series_Brass,NickelPlated.jpg",MPG16NC080-ND,MPG16 NC080,Alpha Wire,CABLE GLAND 10-14MM PG16 BRASS,404,0,"8.26000","0","1","FIT®","Active","Cable Gland","0.39"" ~ 0.55"" (10.0mm ~ 14.0mm)","PG16","-","0.886"" (22.5mm)","Brass, Nickel Plated","O-Ring, Seal","Silver","IP66/68 - Dust Tight, Water Resistant, Waterproof"
http://www.altechcorp.com/PDFS/LTSR_EMI-RFI.pdf,//media.digikey.com/Photos/Altech-Corporation/4264112.jpg,1920-1973-ND,4264112,Altech Corporation,M12 EMI 46.5MM CABLE+SHIELD DIA,799,700,"8.38000","0","1","-","Active","Cable Gland","0.16"" ~ 0.26"" (4.0mm ~ 6.5mm)","M12x1.5","-","0.472"" (12.0mm)","Brass, Nickel Plated","-","Silver","IP68 - Dust Tight, Waterproof"
