Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Accessory Type","For Use With/Related Products","Material","Features"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=D-436-0096/-0098&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/650137-000.jpg,650137-000-ND,650137-000,"TE Connectivity Aerospace, Defense and Marine",SEALING SLEEVE 0.025-0.110"" WIRE,370,0,"2.75000","0","1","-","Active","Sealing Sleeve, Heat Shrinkable","Splices","Polyvinylidene Fluoride (PVDF), Irradiated","Wire Diameter - 0.63mm ~ 2.80mm"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=D-436-0096/-0098&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/650136-000.jpg,650136-000-ND,650136-000,TE Connectivity Raychem Cable Protection,SEALING SLEEVE 0.025-0.085"" WIRE,484,0,"2.79000","0","1","-","Active","Sealing Sleeve, Heat Shrinkable","Splices","Polyvinylidene Fluoride (PVDF), Irradiated","Wire Diameter - 0.63mm ~ 2.16mm"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=D-150-C-1X&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/D-150-C-11.jpg,A105433-ND,D-150-C-11,"TE Connectivity Aerospace, Defense and Marine",REPAIR SLEEVE-SPLIT HEATSHRINK,187,0,"8.30000","0","1","C-Wrap","Active","Cable Repair Sleeve, Split","Cable, Wire Repair","Fluoropolymer","Heat Shrinkable, Meltable Adhesive"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=D-150-C-1X&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/D-150-C-12.jpg,A105432-ND,D-150-C-12,"TE Connectivity Aerospace, Defense and Marine",REPAIR SLEEVE-SPLIT HEATSHRINK,443,0,"9.59000","0","1","C-Wrap","Active","Cable Repair Sleeve, Split","Cable, Wire Repair","Fluoropolymer","Heat Shrinkable, Meltable Adhesive"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=D-150-C-1X&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/D-150-C-13.jpg,A105431-ND,D-150-C-13,"TE Connectivity Aerospace, Defense and Marine",REPAIR SLEEVE-SPLIT HEATSHRINK,368,0,"11.18000","0","1","C-Wrap","Active","Cable Repair Sleeve, Split","Cable, Wire Repair","Fluoropolymer","Heat Shrinkable, Meltable Adhesive"
http://www.panduit.com/heiler/CatalogCutSheets/CR2-M%20Product%20Page.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_CR2-M.jpg,298-14328-ND,CR2-M,Panduit Corp,"RING,CONNECTOR",8090,0,"0.29000","0","1","CR","Active","Connector Ring","M, I, S Ties","Polyamide (PA66), Nylon 6/6","-"
-,-,2081-23050.9-ND,23050.9,Pflitsch,PG 7 LOCKNUT PALG,2000,0,"0.30000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","PG7 Thread"
-,-,2081-23051.9-ND,23051.9,Pflitsch,PG 9 LOCKNUT PALG,2000,0,"0.30000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","PG9 Thread"
-,-,2081-23060.9-ND,23060.9,"Conta-Clip, Inc.",PG 7 LOCKNUT PABK,2000,0,"0.30000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","PG7 Thread"
-,-,2081-23061.9-ND,23061.9,"Conta-Clip, Inc.",PG 9 LOCKNUT PABK,2000,0,"0.30000","0","1","-","Active","Locknut","Cable Glands","Polyamide (PA), Nylon","PG9 Thread"
