Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Shrinkage Ratio","Length","Inner Diameter - Supplied","Inner Diameter - Recovered","Recovered Wall Thickness","Material","Features","Color","Operating Temperature","Shrink Temperature"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=DR-25&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/DR-25-1%5E4-0-SP.JPG,A124388-DS-ND,DR-25-1/4-0-SP,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK 1/4"" SPL BLACK FEET,898,0,"3.97000","0","1","Thermofit DR-25","Active","Tubing, Flexible","2 to 1","Digi-Spool™, Continuous Spool","0.250"" (6.35mm)","0.125"" (3.18mm)","0.035"" (0.89mm)","Elastomer, Irradiated","Abrasion Resistant, Chemical Resistant, Heat Resistant, Fluid Resistant, Flame Retardant, Fuel Resistant, Oil Resistant","Black","-75°C ~ 150°C","150°C"
http://www.alphawire.com/Home/Products/TubingAccessories/FIT-Heat-Shrink-Tubing/Large-Putup-Heat-Shrink-Tubing/FIT221B3_4?device=pdf,//media.digikey.com/Photos/Alpha%20Wire%20Photos/F221B3%5E4-BK.jpg,A034B-4-ND,F221B3/4 BK207,Alpha Wire,HEATSHRINK 3/4 IN X 4FT BLACK,1822,0,"4.00000","0","1","FIT®-221B","Active","Tubing, Flexible","2 to 1","4.00' (1.22m)","0.750"" (19.05mm)","0.375"" (9.53mm)","0.030"" (0.76mm)","Polyolefin (PO), Irradiated","Flame Resistant, Fluid Resistant, UV Resistant","Black","-55°C ~ 135°C","90°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=DR-25&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/DR-25-1%5E2-0-SP.JPG,A124387-DS-ND,DR-25-1/2-0-SP,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK 1/2"" BLACK FEET,5682,0,"4.33000","0","1","Thermofit DR-25","Active","Tubing, Flexible","2 to 1","Digi-Spool™, Continuous Spool","0.500"" (12.70mm)","0.250"" (6.35mm)","0.048"" (1.22mm)","Elastomer, Irradiated","Abrasion Resistant, Chemical Resistant, Heat Resistant, Fluid Resistant, Flame Retardant, Fuel Resistant, Oil Resistant","Black","-75°C ~ 150°C","150°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=DR-25&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/DR-25-18-0-SP.JPG,A124392-DS-ND,DR-25-3/16-0-SP,"TE Connectivity Aerospace, Defense and Marine",HEATSHRINK 3/16"" BK FEET,1586,0,"4.61000","0","1","Thermofit DR-25","Active","Tubing, Flexible","2 to 1","Digi-Spool™, Continuous Spool","0.187"" (4.75mm)","0.093"" (2.36mm)","0.033"" (0.84mm)","Elastomer, Irradiated","Abrasion Resistant, Chemical Resistant, Heat Resistant, Fluid Resistant, Flame Retardant, Fuel Resistant, Oil Resistant","Black","-75°C ~ 150°C","150°C"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=RW-175&DocType=DS&DocLang=English,//media.digikey.com/photos/Tyco%20Raychem%20Photos/RW332C.jpg,RW-175-3/32-X-STK-ND,RW-175-3/32-X-STK,TE Connectivity Raychem Cable Protection,HEATSHRINK 0.093"" X 4' CLEAR,3055,0,"4.78000","0","1","RW-175","Active","Tubing, Semi Rigid","2 to 1","4.00' (1.22m)","0.093"" (2.36mm)","0.047"" (1.19mm)","0.010"" (0.25mm)","Polyvinylidene Fluoride (PVDF)","Abrasion Resistant, Chemical Resistant, Cut-Through Resistant, Flame Retardant, Fluid Resistant","Clear","-55°C ~ 175°C","175°C"
http://www.qualtekusa.com/images/Heatshrink/PDFs/Q53X.pdf,//media.digikey.com/photos/Qualtek%20Photos/q5-3x-3%204-01-qb48in-5.JPG,Q53X034B-ND,Q5-3X-3/4-01-QB48IN-5,Qualtek,HEATSHRINK 3/4"" X 4' BLACK,2193,0,"5.72000","0","1","Q5-3X","Active","Tubing, Flexible","3 to 1","4.00' (1.22m)","0.750"" (19.05mm)","0.236"" (5.99mm)","0.084"" (2.13mm)","Polyolefin (PO)","Adhesive Lined, Flame Retardant","Black","-55°C ~ 125°C","80°C"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/EPS-200%20Tubing.pdf,//media.digikey.com/Renders/3M%20Renders/EPS2018-20-ND.jpg,EPS2018-ND,EPS-200 1/8""BL 48""BX,3M,HEATSHRINK EPS200 1/8""X4' BLACK,319,0,"5.81000","0","1","EPS-200","Active","Tubing, Flexible","2 to 1","4.00' (1.22m)","0.125"" (3.18mm)","0.063"" (1.60mm)","0.027"" (0.69mm)","Polyolefin (PO)","Adhesive Lined, Flame Retardant, Fluid Resistant","Black","-55°C ~ 110°C","121°C"
//media.digikey.com/pdf/Data%20Sheets/3M%20PDFs/EPS-200%20Tubing.pdf,//media.digikey.com/photos/3M%20Photos/EPS2316.jpg,EPS2316-ND,EPS-200 3/16""BL48""BX,3M,HEATSHRINK EPS200 3/16""X4' BLACK,700,0,"6.02000","0","1","EPS-200","Active","Tubing, Flexible","2 to 1","4.00' (1.22m)","0.187"" (4.75mm)","0.093"" (2.36mm)","0.027"" (0.69mm)","Polyolefin (PO)","Adhesive Lined, Flame Retardant, Fluid Resistant","Black","-55°C ~ 110°C","121°C"
http://multimedia.3m.com/mws/media/23078O/3mtm-mfpr-heat-shrink-tubing.pdf,//media.digikey.com/photos/3M%20Photos/KY364C.jpg,KY364C-ND,MFP 3/64"" CR 48""BX,3M,HEATSHRINK MFP 3/64""X 4' CLEAR,463,0,"6.39000","0","1","MFP","Active","Tubing, Semi Rigid","2 to 1","4.00' (1.22m)","0.046"" (1.17mm)","0.023"" (0.58mm)","0.010"" (0.25mm)","Polyvinylidene Fluoride (PVDF), Irradiated","Abrasion and Cut Resistant, Chemical Resistant, Flame Retardant, Fuel Resistant, Solvent Resistant","Clear","-55°C ~ 175°C","-"
http://multimedia.3m.com/mws/media/23078O/3mtm-mfpr-heat-shrink-tubing.pdf,//media.digikey.com/photos/3M%20Photos/KY116C.jpg,KY116C-ND,MFP 1/16"" CR 48""BX,3M,HEATSHRINK MFP 1/16""X 4' CLEAR,173,0,"6.57000","0","1","MFP","Active","Tubing, Semi Rigid","2 to 1","4.00' (1.22m)","0.063"" (1.60mm)","0.031"" (0.79mm)","0.010"" (0.25mm)","Polyvinylidene Fluoride (PVDF), Irradiated","Abrasion and Cut Resistant, Chemical Resistant, Flame Retardant, Fuel Resistant, Solvent Resistant","Clear","-55°C ~ 175°C","-"
