Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Style","Eye Type","Cable Diameter","Material","Mesh Type","Mesh Length","Bale Length","Break Strength"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_WirePulling_Grips.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_KPS.JPG,KPS350-2-ND,KPS350-2,"Klein Tools, Inc.",HVY DUTY GRIP ROTATE 3.50""-3.99"",2,0,"368.79000","0","1","-","Active","Pulling Grip","Heavy Duty","Rotating","3.50"" ~ 3.99"" (88.9mm ~ 101.4mm)","Steel, Galvanized","Closed","32""","-","9600 lbs"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=155,//media.digikey.com/Photos/Molex/1300940489.JPG,WM9744-ND,1300940489,Molex,BUS DROP GRP SGL 0.22-0.32"" 3.5"",5,0,"20.44000","0","1","-","Active","Support Grip","Bus Drop","Single","0.22"" ~ 0.32"" (5.6mm ~ 8.1mm)","Steel, Galvanized","Closed","3.5""","9""","1100 lbs"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1300950128_CABLE_GRIPS.pdf,//media.digikey.com/Photos/Molex/1300950128.JPG,WM16364-ND,1300950128,Molex,HVY DUTY GRIP ROTATE 1.25""-1.49"",1,0,"239.76000","0","1","-","Active","Pulling Grip","Heavy Duty","Rotating","1.25"" ~ 1.49"" (31.7mm ~ 37.8mm)","Steel, Galvanized","Closed","21""","-","16400 lbs"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_WirePulling.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_56108.jpg,56108-ND,56108,"Klein Tools, Inc.",LIGHT DUTY GRIP POLY PULL 500',2,0,"18.64000","0","1","-","Active","Pulling Grip","Light Duty","-","-","Polypropylene (PP)","-","-","-","210 lbs"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=155,-,WM23964-ND,1300940497,Molex,BUS DROP GRIP SGL 0.7-0.85"" 8.5"",5,0,"36.41000","0","1","-","Active","Support Grip","Bus Drop","Single","0.70"" ~ 0.85"" (17.8mm ~ 21.6mm)","Steel, Galvanized","Closed","8.5""","9""","1900 lbs"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-7737.pdf,//media.digikey.com/Photos/Molex/1300940492.JPG,WM26421-ND,1300940499,Molex,BUS DROP GRIP SGL 0.82""-1"" 8.5"",5,0,"37.00000","0","1","-","Active","Support Grip","Bus Drop","Single","0.82"" ~ 1.00"" (20.8mm ~ 25.4mm)","Steel, Galvanized","Closed","8.5""","9""","1900 lbs"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1300940525_CABLE_GRIPS.pdf,//media.digikey.com/Photos/Molex/1300940525.jpg,WM21176-ND,1300940525,Molex,FBR OPTIC GRIP SGL 0.37-0.48"" 4"",2,0,"37.89000","0","1","-","Active","Support Grip","Fiber Optic","Single","0.37"" ~ 0.48"" (9.4mm ~ 12.2mm)","Bronze Wire, Tinned","Closed","4""","5""","300 lbs"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_WirePulling_Grips.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_KPJ50.jpg,KPJ50-ND,KPJ50,"Klein Tools, Inc.",JR DUTY GRIP FLX 0.50-0.61"" 8.5"",2,0,"39.22000","0","1","-","Active","Pulling Grip","Junior Duty","Flexible","0.50"" ~ 0.61"" (12.7mm ~ 15.5mm)","Steel, Galvanized","Closed","8.5""","-","260 lbs"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_WirePulling.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_56110.jpg,1742-1333-ND,56110,"Klein Tools, Inc.",LIGHT DUTY GRIP POLY LINE 6500',5,0,"46.70000","0","1","-","Active","Pulling Grip","Light Duty","-","-","Polypropylene (PP)","-","-","-","210 lbs"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1300950196_CABLE_GRIPS.pdf,-,WM20937-ND,1300950196,Molex,CABLE GRIP,5,0,"48.35000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_WirePulling_Grips.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_KPJ75.JPG,KPJ75-ND,KPJ75,"Klein Tools, Inc.",JR DUTY GRIP FLEX 0.75-0.99"" 10"",2,0,"49.11000","0","1","-","Active","Pulling Grip","Junior Duty","Flexible","0.75"" ~ 0.99"" (19.0mm ~ 25.1mm)","Steel, Galvanized","Closed","10""","-","560 lbs"
https://data.kleintools.com/sites/all/product_assets/documents/brochures/klein/KleinTools_WirePulling_Grips.pdf,//media.digikey.com/Photos/Klein-Tools/MFG_KPJ50.jpg,KPJ100-ND,KPJ100,"Klein Tools, Inc.",JR DUTY GRIP FLEX 1""-1.24"" 11.5"",2,0,"52.00000","0","1","-","Active","Pulling Grip","Junior Duty","Flexible","1.00"" ~ 1.24"" (25.4mm ~ 31.5mm)","Steel, Galvanized","Closed","11.5""","-","780 lbs"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=155,-,WM23962-ND,1300940234,Molex,GRIP SNGL 0.75""-0.99"" 14"",3,0,"61.44000","0","1","-","Active","Support Grip","Standard Duty","Single","0.75"" ~ 0.99"" (19.0mm ~ 25.1mm)","Bronze Wire, Tinned","Closed","14""","8""","1300 lbs"
-,//media.digikey.com/Photos/Klein-Tools/MFG_KSRK075-1.jpg,KSRK075-1-ND,KSRK075-1,"Klein Tools, Inc.",LGHT DUTY GRIP OFFSET 0.75-0.99"",2,0,"65.60000","0","1","-","Active","Pulling Grip","Light Duty","Offset","0.75"" ~ 0.99"" (19.0mm ~ 25.1mm)","Steel, Galvanized","Closed","-","-","-"
-,-,WM24689-ND,1300950200,Molex,PJ75 JUNIOR DUTY,4,0,"66.32000","0","1","*","Active","-","-","-","-","-","-","-","-","-"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=155,//media.digikey.com/photos/Molex/1300960062.JPG,WM24690-ND,1300960062,Molex,I-GRIP 0.70""-0.85"" 8.5"",5,0,"67.49000","0","1","-","Active","Strain Relief","I-Grip","-","0.70"" ~ 0.85"" (17.8mm ~ 21.6mm)","-","Closed","8.5""","-","-"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/987650-7737.pdf,-,WM26424-ND,1300950201,Molex,JR DUTY GRIP FLEX 1.00-1.24"" 12"",3,0,"69.62000","0","1","-","Active","Pulling Grip","Junior Duty","Flexible","1.00"" ~ 1.24"" (25.4mm ~ 31.5mm)","-","Closed","12""","-","4100 lbs"
