Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Style","Eye Type","Cable Diameter","Material","Mesh Type","Mesh Length","Bale Length","Break Strength"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=155,-,1300940514-ND,1300940514,Molex,BUS DROP GRP LCK BALE 0.41-0.56"",0,0,"37.11000","0","1","-","Active","Support Grip","Bus Drop","Locking Bale","0.41"" ~ 0.56"" (10.4mm ~ 14.2mm)","Steel, Galvanized","Closed","5""","12""","1100 lbs"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=155,-,1300940502-ND,1300940502,Molex,BUS DROP GRIP SGL 0.96-1.25"" 11"",0,0,"39.20200","0","5","-","Active","Support Grip","Bus Drop","Single","0.96"" ~ 1.25"" (24.4mm ~ 31.7mm)","Steel, Galvanized","Closed","11""","9""","1900 lbs"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1300950194_CABLE_GRIPS.pdf,-,1300950194-ND,1300950194,Molex,WIRE MESH CABLE GRIP FLEX EYE,0,0,"39.69000","0","1","-","Active","-","-","-","-","-","-","-","-","-"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=155,-,1300940517-ND,1300940517,Molex,BUS DROP GRP LCK BALE 0.53-0.73"",0,0,"40.00000","0","1","-","Active","Support Grip","Bus Drop","Locking Bale","0.53"" ~ 0.73"" (13.5mm ~ 18.5mm)","Steel, Galvanized","Closed","6.5""","15""","1100 lbs"
-,-,1300940529-ND,1300940529,Molex,FIBER OPTIC GRIP .187-.250 SNGL,0,0,"42.57600","0","5","-","Active","Support Grip","-","-","-","-","-","-","-","-"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=155,-,1300940520-ND,1300940520,Molex,BUS DROP GRIP LOCK BALE 0.82""-1"",0,0,"43.93000","0","1","-","Active","Support Grip","Bus Drop","Locking Bale","0.82"" ~ 1.00"" (20.8mm ~ 25.4mm)","Steel, Galvanized","Closed","8.5""","16""","1900 lbs"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1300940509_CABLE_GRIPS.pdf,-,1300940509-ND,1300940509,Molex,BUS DROP GRIP SGL 0.94-1.25"" 11"",0,0,"44.57000","0","1","-","Active","Support Grip","Bus Drop","Single","0.94"" ~ 1.25"" (23.9mm ~ 31.7mm)","Bronze Wire, Tinned","Closed","11""","10""","1020 lbs"
-,-,1300940527-ND,1300940527,Molex,FBR OPTIC GRIP SNGL .56-.71,0,0,"44.72000","0","5","-","Active","Support Grip","Fiber Optic","Single","-","Bronze Wire, Tinned","Closed","-","-","-"
-,-,1300940494-ND,1300940494,Molex,BUS DROP GRIP SNGL 0.40-0.56"" 5"",0,0,"45.17000","0","1","-","Active","Support Grip","Bus Drop","Single","0.40"" ~ 0.56"" (10.2mm ~ 14.2mm)","Stainless Steel","Closed","5""","9""","1100 lbs"
-,-,1300940528-ND,1300940528,Molex,FBR OPTIC GRIP SNGL .69-.88,0,0,"45.17000","0","1","-","Active","Support Grip","Fiber Optic","Single","-","Bronze Wire, Tinned","Closed","-","-","-"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=155,-,1300940519-ND,1300940519,Molex,BUS DROP GRP LOCK BALE 0.7-0.85"",0,0,"45.22000","0","1","-","Active","Support Grip","Bus Drop","Locking Bale","0.70"" ~ 0.85"" (17.8mm ~ 21.6mm)","Steel, Galvanized","Closed","8.5""","16""","1900 lbs"
https://www.molex.com/webdocs/datasheets/pdf/en-us/1300940251_CABLE_GRIPS.pdf,-,1300940251-ND,1300940251,Molex,GRIP OFFSET 0.50""-0.61"" 11"",0,0,"45.22000","0","1","-","Active","Support Grip","Standard Duty","Offset","0.50"" ~ 0.61"" (12.7mm ~ 15.5mm)","Bronze Wire, Tinned","Closed","11""","4""","770 lbs"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=155,-,1300940521-ND,1300940521,Molex,BUS DROP GRP LCK BALE 0.96-1.25"",0,0,"46.95000","0","1","-","Active","Support Grip","Bus Drop","Locking Bale","0.96"" ~ 1.25"" (24.4mm ~ 31.7mm)","Steel, Galvanized","Closed","11""","17""","1900 lbs"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=155,-,1300940230-ND,1300940230,Molex,GRIP SNGL 0.50""-0.61"" 11"",0,0,"47.77000","0","5","-","Active","Support Grip","Standard Duty","Single","0.50"" ~ 0.61"" (12.7mm ~ 15.5mm)","Bronze Wire, Tinned","Closed","11""","7""","770 lbs"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=155,-,1300950197-ND,1300950197,Molex,JR DUTY GRIP FLEX 0.50""-0.61"" 8"",0,0,"49.71000","0","1","-","Active","Pulling Grip","Junior Duty","Flexible","0.50"" ~ 0.61"" (12.7mm ~ 15.5mm)","-","Closed","8""","-","1700 lbs"
http://www.literature.molex.com/SQLImages/kelmscott/Molex/PDF_Images/DW36.PDF#page=155,-,1300940253-ND,1300940253,Molex,GRIP OFFSET 0.62""-0.74"" 11"",0,0,"50.22000","0","1","-","Active","Support Grip","Standard Duty","Offset","0.62"" ~ 0.74"" (15.7mm ~ 18.8mm)","Bronze Wire, Tinned","Closed","11""","4""","960 lbs"
