Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Mounting Type","Size / Dimension","For Use With/Related Products","Material","Color"
http://www.panduit.com/heiler/PartDrawings/TM2R-TM3R_REV9.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_TMXXX-X.jpg,298-15893-ND,TM2R6-M,Panduit Corp,CABLE TIE MNT RIVET/SCREW 3/16"",4840,0,"0.30000","0","1","-","Active","Dual Opening","Rivet or Screw, 3/16"" (M3)","0.63"" L x 0.42"" W x 0.27"" H (16.0mm x 10.8mm x 7.0mm)","M, I, S Ties","Nylon","Natural"
http://www.panduit.com/heiler/PartDrawings/TM1S_R8.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_TM1SX-X0.jpg,298-15889-ND,TM1S6-M0,Panduit Corp,CABLE TIE MOUNT #6 SCREW,3420,0,"0.30000","0","1","-","Active","Dual Opening","Screw, #6 (M3)","0.51"" L x 0.32"" W x 0.23"" H (13.0mm x 8.0mm x 5.8mm)","M Ties","Nylon, Weather Resistant","Black"
http://www.panduit.com/heiler/PartDrawings/TM1S_R8.pdf,-,298-20427-ND,TM1S6-M30,Panduit Corp,CABLE TIE MOUNT #6 SCREW,2975,0,"0.30000","0","1","-","Active","Dual Opening","Screw, #6 (M3)","0.51"" L x 0.32"" W x 0.23"" H (13.0mm x 8.0mm x 5.8mm)","M Ties","Nylon, Heat Stabilized for Temperatures up to 239°F","Black"
http://www.panduit.com/heiler/PartDrawings/TM1S_R8.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_TM1SX-X0.jpg,298-15886-ND,TM1S4-M30,Panduit Corp,CABLE TIE MOUNT #4 SCREW HS,2402,0,"0.31000","0","1","-","Active","Dual Opening","Screw, #4 (M2.5)","0.51"" L x 0.32"" W x 0.23"" H (13.0mm x 8.0mm x 5.8mm)","M Ties","Nylon, Heat Stabilized for Temperatures up to 239°F","Black"
http://www.essentracomponents.com.sg/images-line/pdfs/FTH-5.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_FTH-5-01-C.jpg,RPC2272-ND,FTH-5-01-M,Essentra Components,"TIE HOLD FLAT WIT-18,30 .75""",6000,0,"0.31990","0","1000","FTH","Active","Quad Opening","Screw, #6 (M3.5)","0.75"" L x 0.75"" W x 0.24"" H (19.1mm x 19.1mm x 6.1mm)","WIT-18, 30 and QTE-18 Ties","Nylon, Flame Retardant","Natural"
http://www.essentracomponents.com.sg/images-line/pdfs/FTH-22.pdf,//media.digikey.com/Renders/Essentra%20Components/MFG_FTH-22-01.jpg,RPC3992-ND,FTH-22-01,Essentra Components,TIE HOLD DOWN YELLOW WIT 18-60,15980,0,"0.32000","0","1","FTH","Active","Single Opening","Push In - Push Rivet","0.75"" L x 0.50"" W x 0.32"" H (19.1mm x 12.7mm x 8.1mm)","WIT-18 through -60 and QTE-18 through -50 Ties","Nylon, Flame Retardant","Yellow"
http://www.panduit.com/heiler/PartDrawings/C-WATA1SGB0239EP-R2--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_TA1S8-M30.JPG,298-15880-ND,TA1S8-M30,Panduit Corp,TIE ANCHOR #8 HOL,4070,0,"0.32000","0","1","-","Active","Quad Opening","Screw, #8 (M4)","0.75"" L x 0.37"" W x 0.20"" H (19.0mm x 9.5mm x 5.0mm)","M, I, S Ties","Nylon, Heat Stabilized for Temperatures up to 239°F","Black"
http://www.essentracomponents.com.sg/images-line/pdfs/FTH-5.pdf,//media.digikey.com/Photos/Essentra%20Components%20Photos/MFG_FTH-x-UVB-M.jpg,RPC4001-ND,FTH-5-UVB-M,Essentra Components,CBL TIE HLDR SCREW MNT UV BLACK,2000,0,"0.33519","0","1000","FTH","Active","Quad Opening","Screw, #6 (M3.5)","0.75"" L x 0.75"" W x 0.24"" H (19.1mm x 19.1mm x 6.1mm)","WIT-18, 30 and QTE-18 Ties","Nylon, Flame Retardant, UV Resistant","Black"
http://www.panduit.com/heiler/PartDrawings/C-WATM2S6-GB0239EM-r6--ENG.pdf,//media.digikey.com/Photos/Panduit%20Corp%20Photos/MFG_TMXXX-X0.jpg,298-15897-ND,TM2S8-M0,Panduit Corp,CABLE TIE MOUNT #8 SCREW,6520,0,"0.34000","0","1","-","Active","Dual Opening","Screw, #8 (M4)","0.63"" L x 0.42"" W x 0.27"" H (16.0mm x 10.8mm x 7.0mm)","M, I, S Ties","Nylon, Weather Resistant","Black"
http://www.panduit.com/heiler/PartDrawings/C-WATM2S6-GB0239EM-r6--ENG.pdf,-,298-20433-ND,TM2S8-M30,Panduit Corp,CABLE TIE MOUNT #8 SCREW,3000,0,"0.34000","0","1","-","Active","Dual Opening","Screw, #8 (M4)","0.63"" L x 0.42"" W x 0.27"" H (16.0mm x 10.8mm x 7.0mm)","M, I, S Ties","Nylon, Heat Stabilized for Temperatures up to 239°F","Black"
