Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Frequency","Interface","Standards","Package / Case","Supplier Device Package"
http://omron.com.ru/dynamic/managers/manage_23/files/z127e1-1.pdf,-,V600-CH1D-V2-ND,V600-CH1D-V2,Omron Automation and Safety,RFID READER R/W 530KHZ,0,0,"2197.80000","0","1","-","-","Active","Read/Write","530kHz","-","-","-","-"
http://omron.com.ru/dynamic/managers/manage_23/files/z127e1-1.pdf,-,V600-CH1D-PSI-ND,V600-CH1D-PSI,Omron Automation and Safety,RFID READER R/W 530KHZ,0,8,"2197.80000","0","1","-","-","Active","Read/Write","530kHz","-","-","-","-"
http://omron.com.ru/dynamic/managers/manage_23/files/z127e1-1.pdf,-,V600-CHUD0.8M-ND,V600-CHUD 0.8M,Omron Automation and Safety,RFID READER R/W 530KHZ 0.8M USB,0,0,"2257.74000","0","1","-","-","Active","Read/Write","530kHz","-","-","-","-"
http://omron.com.ru/dynamic/managers/manage_23/files/z127e1-1.pdf,-,V600-CHUD1.9M-ND,V600-CHUD 1.9M,Omron Automation and Safety,RFID READER R/W 530KHZ 1.9M USB,0,6,"2364.30000","0","1","-","-","Active","Read/Write","530kHz","-","-","-","-"
http://www.harting.com/fileadmin/harting/documents/lg/hartingconnectivitynetworks/news/newproducts/2011/ha-visrfidrf-r500reader/0644_ha-vis_rfid_rf_r500_reader_gb.pdf,-,20911041103-ND,20911041103,HARTING,RFID READER READ ONLY 860-960MHZ,0,0,"3204.36000","0","1","Bulk","-","Active","Read Only","860MHz ~ 960MHz","Ethernet, RS 232, RS 485, USB","EPC, ISO 18000-6","-","-"
https://b2b.harting.com/files/download/PRD/PDF_TS/20911041104_100213262DRW016C.pdf,//media.digikey.com/Photos/Harting/20911041104.jpg,1195-3436-ND,20911041104,HARTING,RFID READER READ ONLY 860-960MHZ,0,0,"3379.60000","0","1","Bulk","-","Active","Read Only","860MHz ~ 960MHz","Ethernet, RS 232, RS 485, USB","EPC, ISO 18000-6","-","-"
http://www.harting.com/fileadmin/harting/documents/lg/hartingconnectivitynetworks/news/newproducts/2011/ha-visrfidrf-r500reader/0644_ha-vis_rfid_rf_r500_reader_gb.pdf,-,20911041101-ND,20911041101,HARTING,RFID READER READ ONLY 860-960MHZ,0,0,"4358.96000","0","1","Bulk","-","Active","Read Only","860MHz ~ 960MHz","Ethernet, RS 232, RS 485, USB","EPC, ISO 18000-6","-","-"
http://www.harting.com/fileadmin/harting/documents/lg/hartingconnectivitynetworks/news/newproducts/2011/ha-visrfidrf-r500reader/0644_ha-vis_rfid_rf_r500_reader_gb.pdf,-,20911041102-ND,20911041102,HARTING,RFID READER READ ONLY 860-960MHZ,0,0,"4358.96000","0","1","Bulk","-","Active","Read Only","860MHz ~ 960MHz","Ethernet, RS 232, RS 485, USB","EPC, ISO 18000-6","-","-"
-,-,Z2637-ND,V740-BA50C04A-US,Omron Automation and Safety,RFID READER R/W 902-928MHZ,0,0,"4852.85000","0","1","Bulk","V740","Active","Read/Write","902MHz ~ 928MHz","Ethernet","EPC","308mm x 286mm x 40mm","-"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/V720%20Series.pdf,-,Z2643-ND,V720S-BC5D4A-US,Omron Automation and Safety,RFID READER R/W 13.56MHZ 94X16MM,0,0,"5026.66000","0","1","Bulk","V720","Active","Read/Write","13.56MHz","RS 232, RS 485","ISO 15693","94mm x 16mm","-"
//media.digikey.com/pdf/Data%20Sheets/Omron%20PDFs/V750-BA50C04%20Series.pdf,-,Z2635-ND,V750-BA50C04-US,Omron Automation and Safety,RFID READER R/W 902.75-927.75MHZ,0,0,"6064.74000","0","1","Bulk","V750","Active","Read/Write","902.75MHz ~ 927.75MHz","Ethernet, RS 232","EPC","246mm x 215mm x 43.5mm","-"
http://www.harting.com/uploads/tx_news/Data_sheet_Ha-VIS_RFID_Box.pdf,-,20914211001-ND,20914211001,HARTING,RFID READER READ ONLY,0,0,"9297.47000","0","1","Bulk","-","Active","Read Only","-","-","ISO 18000-6","-","-"
-,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_113990042.jpg,113990042-ND,113990042,"Seeed Technology Co., Ltd",RFID READER R/W 125KHZ MODULE,0,0,"10.09750","0","4","Bulk","-","Active","Read/Write","125kHz","TTL","-","Module","Module"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/125Khz_RFID_Module_UART_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_113990014.jpg,113990014-ND,113990014,"Seeed Technology Co., Ltd",RFID READER R/W 125KHZ MODULE,0,0,"12.75000","0","3","Bulk","-","Active","Read/Write","125kHz","RS 232, TTL, UART","-","Module","Module"
//media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/923_Web.pdf,//media.digikey.com/photos/Adafruit%20Industries%20LLC/MFG_923.JPG,1528-1931-ND,923,Adafruit Industries LLC,RFID READER READ ONLY 13.56MHZ,0,0,"39.95000","0","1","Bulk","-","Active","Read Only","13.56MHz","-","NFC","Finished Unit","-"
"//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/RI-STU-MB2A,6A.pdf","//media.digikey.com/photos/Texas%20Instr%20Photos/RI-STU-MB2A-03,RI-STU-MB6A-02.jpg",481-1026-ND,RI-STU-MB2A-03,Texas Instruments,RFID READER READ ONLY 134.2KHZ,0,0,"Obsolete","0","1","Bulk","2000","Obsolete","Read Only","134.2kHz","RS 232","ISO 11785","92mm x 82mm x 59mm, RS232","-"
"//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/RI-STU-MB2A,6A.pdf","//media.digikey.com/photos/Texas%20Instr%20Photos/RI-STU-MB2A-03,RI-STU-MB6A-02.jpg",481-1027-ND,RI-STU-MB6A-02,Texas Instruments,RFID READER READ ONLY 134.2KHZ,0,0,"Obsolete","0","1","Bulk","2000","Obsolete","Read Only","134.2kHz","RS 422, RS 485","ISO 11785","92mm x 82mm x 59mm, RS422/485","-"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/RI-STU-251B.pdf,//media.digikey.com/photos/Texas%20Instr%20Photos/RI-STU-251B-01.jpg,481-1028-ND,RI-STU-251B-01,Texas Instruments,RFID READER R/W 134.2KHZ RS232,0,0,"Obsolete","0","1","Bulk","2000","Obsolete","Read/Write","134.2kHz","RS 232, RS 422, RS 485","ISO 11785","200mm x 120mm x 120mm, RS232, RS422/485","-"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/RI-STU-MRD1_Gde.pdf,//media.digikey.com/photos/Texas%20Instr%20Photos/RI-STU-MRD1.jpg,481-1029-ND,RI-STU-MRD1-30,Texas Instruments,RFID READER R/W 134.2KHZ,0,0,"Obsolete","0","5","Tube","2000","Obsolete","Read/Write","134.2kHz","TTL","ISO 11785","38.3mm x 29.3mm 13.5mm","-"
http://www.ti.com/lit/pdf/scbu021,//media.digikey.com/photos/Texas%20Instr%20Photos/RI-RFM-003B-00.jpg,481-1030-ND,RI-RFM-003B-00,Texas Instruments,RFID READER R/W 134.2KHZ MODULE,0,0,"Obsolete","0","10","Bulk","2000","Obsolete","Read/Write","134.2kHz","-","ISO 11785","Module","-"
