Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","Features","Size / Dimension"
https://www.tdk-electronics.tdk.com/inf/30/db/ind_2008/b82450a_e.pdf,//media.digikey.com/Renders/Epcos%20Renders/B82450A%20Series.jpg,495-6633-1-ND,B82450A1004E000,EPCOS (TDK),TRANSPONDER COIL 1MH SMD,2342,0,"2.89000","0","1","Cut Tape (CT)","Automotive, AEC-Q200, B82450A","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/db/ind_2008/b82450a_e.pdf,//media.digikey.com/Renders/Epcos%20Renders/B82450A%20Series.jpg,495-6633-6-ND,B82450A1004E000,EPCOS (TDK),TRANSPONDER COIL 1MH SMD,2342,0,"Digi-Reel","0","1","Digi-Reel®","Automotive, AEC-Q200, B82450A","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/db/ind_2008/b82450a_e.pdf,//media.digikey.com/Renders/Epcos%20Renders/B82450A%20Series.jpg,495-6634-2-ND,B82450A2364E000,EPCOS (TDK),TRANSPONDER COIL 2.36MH SMD,0,0,"1.16025","0","2500","Tape & Reel (TR)","Automotive, AEC-Q200, B82450A","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/db/ind_2008/b82450a_e.pdf,//media.digikey.com/Renders/Epcos%20Renders/B82450A%20Series.jpg,495-6634-1-ND,B82450A2364E000,EPCOS (TDK),TRANSPONDER COIL 2.36MH SMD,1932,0,"2.89000","0","1","Cut Tape (CT)","Automotive, AEC-Q200, B82450A","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/db/ind_2008/b82450a_e.pdf,//media.digikey.com/Renders/Epcos%20Renders/B82450A%20Series.jpg,495-6634-6-ND,B82450A2364E000,EPCOS (TDK),TRANSPONDER COIL 2.36MH SMD,1932,0,"Digi-Reel","0","1","Digi-Reel®","Automotive, AEC-Q200, B82450A","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/B82450H2364A000.pdf,//media.digikey.com/Renders/Epcos%20Renders/B82450A%20Series.jpg,495-6636-2-ND,B82450H2364A000,EPCOS (TDK),TRANSPONDER COIL 2.36MH HQ SMD,0,0,"1.43895","0","2500","Tape & Reel (TR)","Automotive, AEC-Q200, B82450H","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/B82450H2364A000.pdf,//media.digikey.com/Renders/Epcos%20Renders/B82450A%20Series.jpg,495-6636-1-ND,B82450H2364A000,EPCOS (TDK),TRANSPONDER COIL 2.36MH HQ SMD,2490,0,"3.31000","0","1","Cut Tape (CT)","Automotive, AEC-Q200, B82450H","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/B82450H2364A000.pdf,//media.digikey.com/Renders/Epcos%20Renders/B82450A%20Series.jpg,495-6636-6-ND,B82450H2364A000,EPCOS (TDK),TRANSPONDER COIL 2.36MH HQ SMD,2490,0,"Digi-Reel","0","1","Digi-Reel®","Automotive, AEC-Q200, B82450H","Active","125kHz","-","-"
https://abracon.com/NFC-antenna/ANFCA-4545-A01.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/ANFCA-4545-A01.JPG,535-12513-ND,ANFCA-4545-A01,Abracon LLC,NFC STAMP FLEX ANTENNA 45X45MM,2864,0,"5.07000","0","1","Bulk","-","Obsolete","13.56MHz","-","-"
https://abracon.com/NFC-antenna/ANFCA-6040-A02.pdf,//media.digikey.com/photos/Abracon%20Corporation%20Photos/ANFCA-6040-A02.JPG,535-12512-ND,ANFCA-6040-A02,Abracon LLC,NFC STAMP FLEX ANTENNA 60X40MM,1414,0,"6.17000","0","1","Bulk","-","Obsolete","13.56MHz","-","-"
http://productfinder.pulseeng.com/products/datasheets/L151.pdf,//media.digikey.com/Photos/Pulse%20Photos/MFG_W3580.jpg,553-2632-ND,W3580,PulseLarsen Antennas,NFC FERRITE LOADED ANTENNA,336,0,"7.13000","0","1","Bulk","-","Active","13.56MHz","50mm x 35mm x 0.45mm","50.00mm L x 35.00mm W x 0.45mm H"
http://productfinder.pulseeng.com/products/datasheets/L153.pdf,//media.digikey.com/Photos/Pulse%20Photos/W7002.JPG,553-2634-ND,W7002,PulseLarsen Antennas,NFC WIRE LOOP ANTENNA,198,0,"7.20000","0","1","Bulk","-","Active","13.56MHz","94.6mm x 56.8mm x 3.65mm","94.60mm L x 56.80mm W x 3.65mm H"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82453c_a.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82453Cxxxx.jpg,495-76077-2-ND,B82453C0285A000,EPCOS (TDK),"3D-TRANSPONDER XY6,30MH Z9,00MH",0,0,"3.63000","0","900","Tape & Reel (TR)","-","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82453c_a.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82453Cxxxx.jpg,495-76077-1-ND,B82453C0285A000,EPCOS (TDK),"3D-TRANSPONDER XY6,30MH Z9,00MH",879,0,"7.65000","0","1","Cut Tape (CT)","-","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82453c_a.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82453Cxxxx.jpg,495-76077-6-ND,B82453C0285A000,EPCOS (TDK),"3D-TRANSPONDER XY6,30MH Z9,00MH",879,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82453c_a.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82453Cxxxx.jpg,495-76078-2-ND,B82453C0300A000,EPCOS (TDK),"3D-TRANSPONDER XY4,75MH Z5,85MH",0,0,"3.63000","0","900","Tape & Reel (TR)","-","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82453c_a.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82453Cxxxx.jpg,495-76078-1-ND,B82453C0300A000,EPCOS (TDK),"3D-TRANSPONDER XY4,75MH Z5,85MH",874,0,"7.65000","0","1","Cut Tape (CT)","-","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82453c_a.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82453Cxxxx.jpg,495-76078-6-ND,B82453C0300A000,EPCOS (TDK),"3D-TRANSPONDER XY4,75MH Z5,85MH",874,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82453c_a.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82453Cxxxx.jpg,495-76079-2-ND,B82453C0301A000,EPCOS (TDK),"3D-TRANSPONDER XY6,3MH Z11,0MH",0,0,"3.63000","0","900","Tape & Reel (TR)","-","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82453c_a.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82453Cxxxx.jpg,495-76079-1-ND,B82453C0301A000,EPCOS (TDK),"3D-TRANSPONDER XY6,3MH Z11,0MH",874,0,"7.65000","0","1","Cut Tape (CT)","-","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82453c_a.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82453Cxxxx.jpg,495-76079-6-ND,B82453C0301A000,EPCOS (TDK),"3D-TRANSPONDER XY6,3MH Z11,0MH",874,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82453c_a.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82453Cxxxx.jpg,495-76076-2-ND,B82453C0275A000,EPCOS (TDK),3D-TRANSPONDER 20MV/MT,0,0,"3.63000","0","900","Tape & Reel (TR)","-","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82453c_a.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82453Cxxxx.jpg,495-76076-1-ND,B82453C0275A000,EPCOS (TDK),3D-TRANSPONDER 20MV/MT,727,0,"7.65000","0","1","Cut Tape (CT)","-","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82453c_a.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82453Cxxxx.jpg,495-76076-6-ND,B82453C0275A000,EPCOS (TDK),3D-TRANSPONDER 20MV/MT,727,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","125kHz","-","-"
https://www.tdk-electronics.tdk.com/inf/30/ds/b82453c_a.pdf,//media.digikey.com/Photos/Epcos%20Photos/MFG_B82453Cxxxx.jpg,495-76081-2-ND,B82453C0270A000,EPCOS (TDK),"3D-TRANSPONDER XY6,75MH Z13,2MH",0,0,"3.63000","0","900","Tape & Reel (TR)","-","Active","125kHz","-","-"
