Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency Range","Impedance - Unbalanced/Balanced","Phase Difference","Insertion Loss (Max)","Return Loss (Min)","Package / Case","Mounting Type"
https://product.tdk.com/info/en/documents/data_sheet/rf_balun_hhm1522b1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/0805-RF.jpg,445-3987-1-ND,HHM1522B1,TDK Corporation,BALUN 880MHZ-960MHZ 50/50 0805,16349,0,"0.65000","0","1","Cut Tape (CT)","HHM","Active","880MHz ~ 960MHz","50 / 50Ohm","180° ±10°","1.3dB","12dB","0805 (2012 Metric)","Surface Mount"
https://product.tdk.com/info/en/documents/data_sheet/rf_balun_hhm1522b1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/0805-RF.jpg,445-3987-6-ND,HHM1522B1,TDK Corporation,BALUN 880MHZ-960MHZ 50/50 0805,16349,0,"Digi-Reel","0","1","Digi-Reel®","HHM","Active","880MHz ~ 960MHz","50 / 50Ohm","180° ±10°","1.3dB","12dB","0805 (2012 Metric)","Surface Mount"
https://product.tdk.com/info/en/documents/data_sheet/rf_balun_hhm1595a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/0805-RF.jpg,445-3387-2-ND,HHM1595A1,TDK Corporation,BALUN 3GHZ-8GHZ 50/100 0805,12000,0,"0.19992","0","2000","Tape & Reel (TR)","HHM","Active","3GHz ~ 8GHz","50 / 100Ohm","180° ±20°","1.5dB","8dB","0805 (2012 Metric)","Surface Mount"
https://product.tdk.com/info/en/documents/data_sheet/rf_balun_hhm1595a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/0805-RF.jpg,445-3387-1-ND,HHM1595A1,TDK Corporation,BALUN 3GHZ-8GHZ 50/100 0805,14921,0,"0.65000","0","1","Cut Tape (CT)","HHM","Active","3GHz ~ 8GHz","50 / 100Ohm","180° ±20°","1.5dB","8dB","0805 (2012 Metric)","Surface Mount"
https://product.tdk.com/info/en/documents/data_sheet/rf_balun_hhm1595a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/0805-RF.jpg,445-3387-6-ND,HHM1595A1,TDK Corporation,BALUN 3GHZ-8GHZ 50/100 0805,14821,0,"Digi-Reel","0","1","Digi-Reel®","HHM","Active","3GHz ~ 8GHz","50 / 100Ohm","180° ±20°","1.5dB","8dB","0805 (2012 Metric)","Surface Mount"
http://www.st.com/content/ccc/resource/technical/document/datasheet/4e/d0/a4/f2/38/65/43/60/DM00109732.pdf/files/DM00109732.pdf/jcr:content/translations/en.DM00109732.pdf,//media.digikey.com/Renders/STMicro%20Renders/5FLIPCHIP%20BALF.jpg,497-14944-2-ND,BALF-NRF01D3,STMicroelectronics,BALUN 2.4GHZ-2.5GHZ 50/50 5UFBGA,25000,0,"0.20010","0","5000","Tape & Reel (TR)","-","Active","2.4GHz ~ 2.5GHz","50 / 50Ohm","5°","1.5dB","-17.5dB","5-UFBGA, FCBGA","Surface Mount"
http://www.st.com/content/ccc/resource/technical/document/datasheet/4e/d0/a4/f2/38/65/43/60/DM00109732.pdf/files/DM00109732.pdf/jcr:content/translations/en.DM00109732.pdf,//media.digikey.com/Renders/STMicro%20Renders/5FLIPCHIP%20BALF.jpg,497-14944-1-ND,BALF-NRF01D3,STMicroelectronics,BALUN 2.4GHZ-2.5GHZ 50/50 5UFBGA,25996,0,"0.62000","0","1","Cut Tape (CT)","-","Active","2.4GHz ~ 2.5GHz","50 / 50Ohm","5°","1.5dB","-17.5dB","5-UFBGA, FCBGA","Surface Mount"
http://www.st.com/content/ccc/resource/technical/document/datasheet/4e/d0/a4/f2/38/65/43/60/DM00109732.pdf/files/DM00109732.pdf/jcr:content/translations/en.DM00109732.pdf,//media.digikey.com/Renders/STMicro%20Renders/5FLIPCHIP%20BALF.jpg,497-14944-6-ND,BALF-NRF01D3,STMicroelectronics,BALUN 2.4GHZ-2.5GHZ 50/50 5UFBGA,25996,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","2.4GHz ~ 2.5GHz","50 / 50Ohm","5°","1.5dB","-17.5dB","5-UFBGA, FCBGA","Surface Mount"
https://www.johansontechnology.com/datasheets/0850BM14E0016/0850BM14E0016.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Coupler%200603(1608)6.jpg,712-1621-2-ND,0850BM14E0016T,Johanson Technology Inc.,BALUN 770MHZ-928MHZ 50/50 0603,196000,0,"0.21000","0","4000","Tape & Reel (TR)","-","Active","770MHz ~ 928MHz","50 / 50Ohm","180° ±15°","1.8dB","9.5dB","0603 (1608 Metric)","Surface Mount"
https://www.johansontechnology.com/datasheets/0850BM14E0016/0850BM14E0016.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/Coupler%200603(1608)6.jpg,712-1621-1-ND,0850BM14E0016T,Johanson Technology Inc.,BALUN 770MHZ-928MHZ 50/50 0603,197490,0,"0.55000","0","1","Cut Tape (CT)","-","Active","770MHz ~ 928MHz","50 / 50Ohm","180° ±15°","1.8dB","9.5dB","0603 (1608 Metric)","Surface Mount"
