Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","RF Type","Frequency","Number of Mixers","Gain","Noise Figure","Secondary Attributes","Current - Supply","Voltage - Supply","Package / Case","Supplier Device Package"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADRF6620.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-48-9;CP;48.jpg,ADRF6620ACPZ-R7TR-ND,ADRF6620ACPZ-R7,Analog Devices Inc.,IC MIXER .7-2700MHZ 48LFCSP,0,750,"17.33033","0","750","Tape & Reel (TR)","-","Active","General Purpose","700MHz ~ 2.7GHz","1","15dB","-","Integrated PLL and VCO","-","4.75V ~ 5.25V","48-WFQFN Exposed Pad, CSP","48-LFCSP-WQ (7x7)"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADRF6620.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-48-9;CP;48.jpg,ADRF6620ACPZ-R7CT-ND,ADRF6620ACPZ-R7,Analog Devices Inc.,IC MIXER .7-2700MHZ 48LFCSP,634,750,"26.27000","0","1","Cut Tape (CT)","-","Active","General Purpose","700MHz ~ 2.7GHz","1","15dB","-","Integrated PLL and VCO","-","4.75V ~ 5.25V","48-WFQFN Exposed Pad, CSP","48-LFCSP-WQ (7x7)"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADRF6620.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-48-9;CP;48.jpg,ADRF6620ACPZ-R7DKR-ND,ADRF6620ACPZ-R7,Analog Devices Inc.,IC MIXER .7-2700MHZ 48LFCSP,634,750,"Digi-Reel","0","1","Digi-Reel®","-","Active","General Purpose","700MHz ~ 2.7GHz","1","15dB","-","Integrated PLL and VCO","-","4.75V ~ 5.25V","48-WFQFN Exposed Pad, CSP","48-LFCSP-WQ (7x7)"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADRF6612.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-48-13;CP;48.jpg,ADRF6612ACPZ-R7TR-ND,ADRF6612ACPZ-R7,Analog Devices Inc.,IC MIXER 700-3000MHZ 48LFCSP,0,1500,"20.06037","0","750","Tape & Reel (TR)","-","Active","-","700MHz ~ 3GHz","1","15dB","10.7dB","-","260mA","3.5V ~ 5.25V","48-WFQFN Exposed Pad","48-LFCSP (7x7)"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADRF6612.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-48-13;CP;48.jpg,ADRF6612ACPZ-R7CT-ND,ADRF6612ACPZ-R7,Analog Devices Inc.,IC MIXER 700-3000MHZ 48LFCSP,704,1500,"30.41000","0","1","Cut Tape (CT)","-","Active","-","700MHz ~ 3GHz","-","15dB","10.7dB","-","260mA","3.5V ~ 5.25V","48-WFQFN Exposed Pad","48-LFCSP (7x7)"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADRF6612.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-48-13;CP;48.jpg,ADRF6612ACPZ-R7DKR-ND,ADRF6612ACPZ-R7,Analog Devices Inc.,IC MIXER 700-3000MHZ 48LFCSP,704,1500,"Digi-Reel","0","1","Digi-Reel®","-","Active","-","700MHz ~ 3GHz","-","15dB","10.7dB","-","260mA","3.5V ~ 5.25V","48-WFQFN Exposed Pad","48-LFCSP (7x7)"
https://www.analog.com/media/en/technical-documentation/data-sheets/HMC1190alp6ne.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/40-QFN.jpg,1127-3661-2-ND,HMC1190ALP6NETR,Analog Devices Inc.,IC DOWNCONVERTER 40-QFN,0,0,"22.06144","0","500","Tape & Reel (TR)","-","Active","LTE, WiMax","700MHz ~ 3.8GHz","2","12dB","9dB","Down Converter","150mA","3.3V, 5V","40-VQFN Exposed Pad","40-QFN (6x6)"
https://www.analog.com/media/en/technical-documentation/data-sheets/HMC1190alp6ne.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/40-QFN.jpg,1127-3661-1-ND,HMC1190ALP6NETR,Analog Devices Inc.,IC DOWNCONVERTER 40-QFN,483,0,"32.82000","0","1","Cut Tape (CT)","-","Active","LTE, WiMax","700MHz ~ 3.8GHz","2","12dB","9dB","Down Converter","150mA","3.3V, 5V","40-VQFN Exposed Pad","40-QFN (6x6)"
https://www.analog.com/media/en/technical-documentation/data-sheets/HMC1190alp6ne.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/40-QFN.jpg,1127-3661-6-ND,HMC1190ALP6NETR,Analog Devices Inc.,IC DOWNCONVERTER 40-QFN,483,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","LTE, WiMax","700MHz ~ 3.8GHz","2","12dB","9dB","Down Converter","150mA","3.3V, 5V","40-VQFN Exposed Pad","40-QFN (6x6)"
http://www.analog.com/media/en/technical-documentation/data-sheets/5552f.pdf,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1985-var-A;-UDB;-12.jpg,LTC5552IUDB#TRMPBFTR-ND,LTC5552IUDB#TRMPBF,Linear Technology/Analog Devices,3GHZ TO 20GHZ MICROWAVE MIXER WI,0,500,"27.23500","0","500","Tape & Reel (TR)","LTC555","Active","-","3GHz ~ 20GHz","1","-","11.7dB","Up/Down Converter","132mA","3V ~ 3.6V","12-WFQFN Exposed Pad","12-QFN (3x2)"
