Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Coupler Type","Frequency","Coupling Factor","Applications","Insertion Loss","Power - Max","Isolation","Return Loss","Package / Case","Supplier Device Package"
https://cdn.anaren.com/product-documents/Xinger/DirectionalCouplers/DC2337J5010AHF/DC2337J5010AHF_DataSheet(Rev_C).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1089-1-ND,DC2337J5010AHF,Anaren,RF DIR COUPLER 2.3-3.7GHZ 0805,9190,0,"0.88000","0","1","Cut Tape (CT)","Xinger®","Active","Standard","2.3GHz ~ 3.7GHz","10dB","General Purpose","0.29dB","2W","-","20dB","0805 (2012 Metric)","0805 (2012 Metric)"
https://cdn.anaren.com/product-documents/Xinger/DirectionalCouplers/DC2337J5010AHF/DC2337J5010AHF_DataSheet(Rev_C).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1089-6-ND,DC2337J5010AHF,Anaren,RF DIR COUPLER 2.3-3.7GHZ 0805,9190,0,"Digi-Reel","0","1","Digi-Reel®","Xinger®","Active","Standard","2.3GHz ~ 3.7GHz","10dB","General Purpose","0.29dB","2W","-","20dB","0805 (2012 Metric)","0805 (2012 Metric)"
https://www.johansontechnology.com/datasheets/0910CF15B0100/0910CF15B0100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/0910CF15B0100E.jpg,712-1534-2-ND,0910CF15B0100E,Johanson Technology Inc.,RF DIR COUPLER 860-960MHZ 0805,20000,0,"0.50400","0","4000","Tape & Reel (TR)","-","Active","Coupler, With Filter","860 ~ 960MHz","10 ± 1dB","General Purpose","1.2dB","-","30dB","20dB","0805 (2012 Metric)","0805"
https://www.johansontechnology.com/datasheets/0910CF15B0100/0910CF15B0100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/0910CF15B0100E.jpg,712-1534-1-ND,0910CF15B0100E,Johanson Technology Inc.,RF DIR COUPLER 860-960MHZ 0805,30902,0,"1.32000","0","1","Cut Tape (CT)","-","Active","Coupler, With Filter","860 ~ 960MHz","10 ± 1dB","General Purpose","1.2dB","-","30dB","20dB","0805 (2012 Metric)","0805"
https://www.johansontechnology.com/datasheets/0910CF15B0100/0910CF15B0100.pdf,//media.digikey.com/Renders/Johanson%20Tech%20Renders/0910CF15B0100E.jpg,712-1534-6-ND,0910CF15B0100E,Johanson Technology Inc.,RF DIR COUPLER 860-960MHZ 0805,30902,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Coupler, With Filter","860 ~ 960MHz","10 ± 1dB","General Purpose","1.2dB","-","30dB","20dB","0805 (2012 Metric)","0805"
https://cdn.anaren.com/product-documents/Xinger/90DegreeHybridCouplers/X3C26P1-03S/X3C26P1-03_DataSheet(Rev_F).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/2520%20(6450%20Metric).JPG",1173-1114-2-ND,X3C26P1-03S,Anaren,RF DIR COUPLER 2.3GHZ-2.9GHZ SMD,8000,0,"1.47500","0","2000","Tape & Reel (TR)","Xinger III®","Active","Standard","2.3GHz ~ 2.9GHz","3dB","LTE, WiMAX","0.2dB","80W","20dB","20.1dB","2520 (6450 Metric)","SMD"
https://cdn.anaren.com/product-documents/Xinger/90DegreeHybridCouplers/X3C26P1-03S/X3C26P1-03_DataSheet(Rev_F).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/2520%20(6450%20Metric).JPG",1173-1114-1-ND,X3C26P1-03S,Anaren,RF DIR COUPLER 2.3GHZ-2.9GHZ SMD,10206,0,"3.47000","0","1","Cut Tape (CT)","Xinger III®","Active","Standard","2.3GHz ~ 2.9GHz","3dB","LTE, WiMAX","0.2dB","80W","20dB","20.1dB","2520 (6450 Metric)","SMD"
https://cdn.anaren.com/product-documents/Xinger/90DegreeHybridCouplers/X3C26P1-03S/X3C26P1-03_DataSheet(Rev_F).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/2520%20(6450%20Metric).JPG",1173-1114-6-ND,X3C26P1-03S,Anaren,RF DIR COUPLER 2.3GHZ-2.9GHZ SMD,10206,0,"Digi-Reel","0","1","Digi-Reel®","Xinger III®","Active","Standard","2.3GHz ~ 2.9GHz","3dB","LTE, WiMAX","0.2dB","80W","20dB","20.1dB","2520 (6450 Metric)","SMD"
https://cdn.anaren.com/product-documents/Xinger/90DegreeHybridCouplers/XC0900A-03S/XC0900A-03S_Datasheet(Rev_D).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/XC0900A-03S.JPG",1173-1122-2-ND,XC0900A-03S,Anaren,RF DIR COUPLER 811MHZ-1GHZ SMD,8000,0,"1.76250","0","2000","Tape & Reel (TR)","Xinger II®","Active","Standard","811MHz ~ 1GHz","3dB","AMPS","0.15dB","175W","23dB","24.9dB","4-SMD, No Lead","SMD"
https://cdn.anaren.com/product-documents/Xinger/90DegreeHybridCouplers/XC0900A-03S/XC0900A-03S_Datasheet(Rev_D).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/XC0900A-03S.JPG",1173-1122-1-ND,XC0900A-03S,Anaren,RF DIR COUPLER 811MHZ-1GHZ SMD,8503,0,"4.15000","0","1","Cut Tape (CT)","Xinger II®","Active","Standard","811MHz ~ 1GHz","3dB","AMPS","0.15dB","175W","23dB","24.9dB","4-SMD, No Lead","SMD"
