Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","RF Type","Input Range","Accuracy","Voltage - Supply","Current - Supply","Package / Case","Supplier Device Package"
https://docs.broadcom.com/docs/AV02-2916EN,//media.digikey.com/Renders/Avago%20Tech%20Renders/0402%20(1005%20Metric)%20VMMK.jpg,VMMK-3313-TR1G-ND,VMMK-3313-TR1G,Broadcom Limited,IC RF DETECT 15GHZ-33GHZ WLP0402,0,0,"Obsolete","0","5000","Tape & Reel (TR)","-","Obsolete","15GHz ~ 33GHz","General Purpose","-5dBm ~ 30dBm","-","-","170µA","0402 (1005 Metric)","WLP0402"
https://docs.broadcom.com/docs/AV02-2917EN,//media.digikey.com/Renders/Avago%20Tech%20Renders/0402%20(1005%20Metric)%20VMMK.jpg,516-2877-ND,VMMK-3413-BLKG,Broadcom Limited,IC RF DETECT 25GHZ-45GHZ WLP0402,0,0,"Obsolete","0","1200","Strip","-","Obsolete","25GHz ~ 45GHz","General Purpose","-5dBm ~ 30dBm","-","-","160µA","0402 (1005 Metric)","WLP0402"
https://docs.broadcom.com/docs/AV02-2917EN,//media.digikey.com/Renders/Avago%20Tech%20Renders/0402%20(1005%20Metric)%20VMMK.jpg,VMMK-3413-TR1G-ND,VMMK-3413-TR1G,Broadcom Limited,IC RF DETECT 25GHZ-45GHZ WLP0402,0,0,"Obsolete","0","5000","Tape & Reel (TR)","-","Obsolete","25GHz ~ 45GHz","General Purpose","-5dBm ~ 30dBm","-","-","160µA","0402 (1005 Metric)","WLP0402"
https://datasheets.maximintegrated.com/en/ds/MAX2209.pdf,//media.digikey.com/Renders/Maxim%20Renders/4-UCSP.jpg,MAX2209EBS+T10G45TR-ND,MAX2209EBS+T10G45,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 4UCSP,0,0,"Obsolete","0","10000","Tape & Reel (TR)","-","Obsolete","800MHz ~ 2GHz","W-CDMA, HSPDA","-25dBm ~ 0dBm","±0.5dB","2.7V ~ 5V","3.6mA","4-WFBGA, CSPBGA","4-UCSP (2x2)"
https://datasheets.maximintegrated.com/en/ds/MAX2209.pdf,//media.digikey.com/Renders/Maxim%20Renders/4-UCSP.jpg,MAX2209EBS+T10G45CT-ND,MAX2209EBS+T10G45,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 4UCSP,0,0,"Obsolete","0","1","Cut Tape (CT)","-","Obsolete","800MHz ~ 2GHz","W-CDMA, HSPDA","-25dBm ~ 0dBm","±0.5dB","2.7V ~ 5V","3.6mA","4-WFBGA, CSPBGA","4-UCSP (2x2)"
https://datasheets.maximintegrated.com/en/ds/MAX2209.pdf,//media.digikey.com/Renders/Maxim%20Renders/4-UCSP.jpg,MAX2209EBS+T10G45DKR-ND,MAX2209EBS+T10G45,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 4UCSP,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Obsolete","800MHz ~ 2GHz","W-CDMA, HSPDA","-25dBm ~ 0dBm","±0.5dB","2.7V ~ 5V","3.6mA","4-WFBGA, CSPBGA","4-UCSP (2x2)"
https://datasheets.maximintegrated.com/en/ds/MAX2209.pdf,//media.digikey.com/Renders/Maxim%20Renders/4-UCSP.jpg,MAX2209EBS+TG45TR-ND,MAX2209EBS+TG45,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 4UCSP,0,0,"Obsolete","0","2500","Tape & Reel (TR)","-","Obsolete","800MHz ~ 2GHz","W-CDMA, HSPDA","-25dBm ~ 0dBm","±0.5dB","2.7V ~ 5V","3.6mA","4-WFBGA, CSPBGA","4-UCSP (2x2)"
https://datasheets.maximintegrated.com/en/ds/MAX2209.pdf,//media.digikey.com/Renders/Maxim%20Renders/4-UCSP.jpg,MAX2209EBS+TG45CT-ND,MAX2209EBS+TG45,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 4UCSP,0,0,"Obsolete","0","1","Cut Tape (CT)","-","Obsolete","800MHz ~ 2GHz","W-CDMA, HSPDA","-25dBm ~ 0dBm","±0.5dB","2.7V ~ 5V","3.6mA","4-WFBGA, CSPBGA","4-UCSP (2x2)"
https://datasheets.maximintegrated.com/en/ds/MAX2209.pdf,//media.digikey.com/Renders/Maxim%20Renders/4-UCSP.jpg,MAX2209EBS+TG45DKR-ND,MAX2209EBS+TG45,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 4UCSP,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Obsolete","800MHz ~ 2GHz","W-CDMA, HSPDA","-25dBm ~ 0dBm","±0.5dB","2.7V ~ 5V","3.6mA","4-WFBGA, CSPBGA","4-UCSP (2x2)"
https://datasheets.maximintegrated.com/en/ds/MAX2203.pdf,//media.digikey.com/Renders/Maxim%20Renders/175;21-0217;EWT;6.jpg,MAX2203EWT+TTR-ND,MAX2203EWT+T,Maxim Integrated,IC RF DETECT 800MHZ-2GHZ 6WLP,0,0,"Obsolete","0","2500","Tape & Reel (TR)","-","Obsolete","800MHz ~ 2GHz","W-CDMA","-24dBm ~ 3dBm","±0.4dB","2.5V ~ 4.2V","5mA","6-WFBGA, WLBGA","6-WLP"
