Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Function","LO Frequency","RF Frequency","P1dB","Gain","Noise Figure","Current - Supply","Voltage - Supply","Package / Case","Supplier Device Package"
https://www.analog.com/media/en/technical-documentation/data-sheets/AD8339.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-40-1;CP;40.jpg,AD8339ACPZ-ND,AD8339ACPZ,Analog Devices Inc.,RF DEMOD IC 0HZ-50MHZ 40LFCSP,124,503,"23.81000","0","1","Tray","-","Active","Demodulator","0Hz ~ 200MHz","0Hz ~ 50MHz","14.8dBm","-1.3dB","11.5dB","35mA","4.5V ~ 5.5V","40-VFQFN Exposed Pad, CSP","40-LFCSP-VQ (6x6)"
https://datasheets.maximintegrated.com/en/ds/MAX2306-MAX2309.pdf,//media.digikey.com/Renders/Maxim%20Renders/175;21-0140;TI;28.jpg,MAX2308ETI+-ND,MAX2308ETI+,Maxim Integrated,RF DEMOD IC 70MHZ-300MHZ 28TQFN,117,0,"9.92000","0","1","Tube","-","Active","Demodulator","-","70MHz ~ 300MHz","-9dBm","-","6.36dB","41.5mA","2.7V","28-WFQFN Exposed Pad","28-TQFN (5x5)"
http://www.linear.com/docs/2402,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1641;GN;24.jpg,LT5502EGN#PBF-ND,LT5502EGN#PBF,Linear Technology/Analog Devices,RF DEMOD IC 70MHZ-400MHZ 24SSOP,117,2585,"12.72000","0","1","Tube","-","Active","Demodulator","140MHz ~ 800MHz","70MHz ~ 400MHz","-","-","4dB","32mA","1.8V ~ 5.25V","24-SSOP (0.154"", 3.90mm Width)","24-SSOP"
https://www.silabs.com/documents/public/data-shorts/Si2180-B60-short.pdf,//media.digikey.com/photos/Silicon%20Labs%20Photos/MFG_48QFN.jpg,336-5390-ND,SI2180-B60-GM,Silicon Labs,RF DEMODULATOR IC 48QFN,520,0,"5.44000","0","1","Tray","-","Active","Demodulator","16MHz ~ 30MHz","-","-","-","-","-","1.14V ~ 1.3V","48-VFQFN Exposed Pad","48-QFN (7x7)"
https://www.silabs.com/documents/public/data-shorts/Si2182-B60-short.pdf,//media.digikey.com/photos/Silicon%20Labs%20Photos/MFG_48QFN.jpg,336-5194-2-ND,SI2182-B60-GMR,Silicon Labs,RF DEMODULATOR IC 48QFN,2500,0,"7.03080","0","2500","Tape & Reel (TR)","-","Active","Demodulator","16MHz ~ 30MHz","-","-","-","-","-","1.14V ~ 1.3V","48-VFQFN Exposed Pad","48-QFN (7x7)"
https://www.silabs.com/documents/public/data-shorts/Si2182-B60-short.pdf,//media.digikey.com/photos/Silicon%20Labs%20Photos/MFG_48QFN.jpg,336-5194-1-ND,SI2182-B60-GMR,Silicon Labs,RF DEMODULATOR IC 48QFN,2500,0,"11.25000","0","1","Cut Tape (CT)","-","Active","Demodulator","16MHz ~ 30MHz","-","-","-","-","-","1.14V ~ 1.3V","48-VFQFN Exposed Pad","48-QFN (7x7)"
https://www.silabs.com/documents/public/data-shorts/Si2182-B60-short.pdf,//media.digikey.com/photos/Silicon%20Labs%20Photos/MFG_48QFN.jpg,336-5194-6-ND,SI2182-B60-GMR,Silicon Labs,RF DEMODULATOR IC 48QFN,2500,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Demodulator","16MHz ~ 30MHz","-","-","-","-","-","1.14V ~ 1.3V","48-VFQFN Exposed Pad","48-QFN (7x7)"
https://www.silabs.com/documents/public/data-shorts/Si2182-B60-short.pdf,//media.digikey.com/photos/Silicon%20Labs%20Photos/MFG_48QFN.jpg,336-4361-ND,SI2182-B60-GM,Silicon Labs,RF DEMODULATOR IC 48QFN,335,0,"9.37000","0","1","Tray","-","Active","Demodulator","16MHz ~ 30MHz","-","-","-","-","-","1.14V ~ 1.3V","48-VFQFN Exposed Pad","48-QFN (7x7)"
https://www.silabs.com/documents/public/data-shorts/Si2183-B60-short.pdf,//media.digikey.com/photos/Silicon%20Labs%20Photos/MFG_48QFN.jpg,336-5391-ND,SI2183-B60-GM,Silicon Labs,RF DEMODULATOR IC 48QFN,180,0,"20.56000","0","1","-","-","Active","Demodulator","16MHz ~ 30MHz","-","-","-","-","-","1.14V ~ 1.3V","48-QFN","48-QFN (7x7)"
http://www.njr.com/semicon/PDF/NJM2211_E.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/14PDIP.jpg,NJM2211D-ND,NJM2211D,NJR Corporation/NJRC,RF DEMODULATOR IC 14DIP,1874,0,"3.02000","0","1","Tube","-","Last Time Buy","Demodulator","-","-","-","-","-","11mA","4.5V ~ 20V","14-DIP (0.300"", 7.62mm)","14-DIP"
