Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Function","Modulation or Protocol","Frequency","Applications","Interface","Sensitivity","Power - Output","Data Rate (Max)","Features"
https://www.digi.com/pdf/ds_xtend.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/XTP9B-PKI-R.jpg,602-1863-ND,XTP9B-PKI-R,Digi International,XTEND-PKG RF,80,0,"278.00000","0","1","XTend®","Active","Transceiver","FSK","902MHz ~ 928MHz","General Purpose","Serial","-110dBm","30dBm","125kbps","-"
http://www.multitech.com/documents/publications/data-sheets/86002164.pdf,//media.digikey.com/Photos/Multi-Tech%20Photos/MFG_MTC-LVW2-B0x.jpg,881-1292-ND,MTC-LVW2-B01-US,Multi-Tech Systems Inc.,"LTE CAT 3 MODEM, RS-232 INTERFAC",61,0,"293.04000","0","1","MultiConnect® Cell","Active","Transceiver, Modem","LTE","700MHz, 850MHz, 1.7GHz, 1.9GHz","General Purpose","RS-232, USB","-","-","100Mbps","-"
http://www.multitech.com/documents/publications/data-sheets/86002164.pdf,//media.digikey.com/Photos/Multi-Tech%20Photos/MFG_MTC-LAT1-B0x.jpg,881-1287-ND,MTC-LAT1-B01-US,Multi-Tech Systems Inc.,"LTE CAT 3 MODEM, RS-232 INTERFAC",39,0,"297.94000","0","1","MultiConnect® Cell","Active","Transceiver, Modem","LTE","700MHz, 850MHz, 1.7GHz, 1.9GHz","General Purpose","RS-232, USB","-","-","100Mbps","-"
https://www.digi.com/pdf/ds_xtend.pdf,//media.digikey.com/Photos/Digi%20Int%27l%20Photos/XTP9B-PKI-RA_primary.jpg,602-1864-ND,XTP9B-PKI-RA,Digi International,XTEND-PKG RF,247,0,"299.00000","0","1","XTend®","Active","Transceiver","FSK","902MHz ~ 928MHz","General Purpose","Serial","-110dBm","30dBm","125kbps","-"
https://www.digi.com/pdf/ds_xtend.pdf,//media.digikey.com/Photos/Digi%20Int%27l%20Photos/XTP9B-PKI-RA_primary.jpg,602-1866-ND,XTP9B-PKI-RA-NA,Digi International,XTEND-PKG RF,90,0,"299.00000","0","1","XTend®","Active","Transceiver","FSK","902MHz ~ 928MHz","General Purpose","Serial","-110dBm","30dBm","125kbps","-"
https://www.digi.com/pdf/ds_xtend.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/XTP9B-PKC-UA.jpg,602-1867-ND,XTP9B-PKC-UA,Digi International,XTEND-PKG RF,54,0,"299.00000","0","1","XTend®","Active","Transceiver","FSK","902MHz ~ 928MHz","General Purpose","USB","-110dBm","30dBm","125kbps","-"
https://www.digi.com/pdf/ds_xtend.pdf,//media.digikey.com/Photos/Digi%20Int'l%20Photos/XTP9B-PKI-RA-NL.jpg,602-1865-ND,XTP9B-PKI-RA-NL,Digi International,XTEND-PKG RF,35,0,"299.00000","0","1","XTend®","Active","Transceiver","FSK","902MHz ~ 928MHz","General Purpose","Serial","-110dBm","30dBm","125kbps","-"
http://assets.lairdtech.com/home/brandworld/files/User%20Guide%20-%20CL4490.pdf,//media.digikey.com/photos/Laird%20Tech%20Photos/CL4490-1000-PRO-SP.JPG,CL4490-1000-PRO-SP-ND,CL4490-1000-PRO-SP,Laird - Wireless & Thermal Systems,TXRX 900MHZ PRO 1W W/ANT'S DB9,30,0,"299.00000","0","1","Connexlink™","Active","Transceiver, FHSS","FHSS, FSK","902MHz ~ 928MHz","General Purpose","RS-232, RS-422/485","-99dBm","1000mW","76.8kbps","450m Range"
https://linxtechnologies.com/wp/wp-content/uploads/otx-fff-hh-kf-ms.pdf,//media.digikey.com/photos/Linx%20Tech%20Photos/XMITTER%20KEYFOB%205%20BUTTON%20OTX.jpg,OTX-433-HH-KF5-MS-ND,OTX-433-HH-KF5-MS,Linx Technologies Inc.,XMITTER KEYFOB 433MHZ 5 BUTTON,217,0,"23.52000","0","1","-","Active","Transmitter","ASK, OOK","433MHz","General Remote Control, Home Automation, RKE","Handheld, 5 Button","-","-","-","5 Buttons, 750 ft. Operating Distance"
https://linxtechnologies.com/wp/wp-content/uploads/otx-fff-hh-kf-ms.pdf,//media.digikey.com/Photos/Linx%20Tech%20Photos/OTX-418-HH-KF1-MS.JPG,OTX-418-HH-KF1-MS-ND,OTX-418-HH-KF1-MS,Linx Technologies Inc.,XMITTER KEYFOB 418MHZ 1 BUTTON,102,0,"23.52000","0","1","-","Active","Transmitter","ASK, OOK","418MHz","General Remote Control, Home Automation, RKE","Handheld, 1 Button","-","-","-","1 Button, 750 ft. Operating Distance"
-,//media.digikey.com/Photos/Dynastream%20Innovations/ANTUSB2-OEM.jpg,1094-1010-ND,ANTUSB2-OEM,Garmin Canada Inc.,MODULE ANT 8CH TYPE A USB PLUG,107,0,"25.41000","0","1","-","Active","Transceiver","ANT™","2.4GHz","General Purpose","USB","-","4dBm","1Mbps","-"
https://linxtechnologies.com/wp/wp-content/uploads/otx-fff-hh-kf-ht.pdf,//media.digikey.com/Photos/Linx%20Tech%20Photos/MFG_OTX-4xx-HH-KF5-HT.jpg,OTX-433-HH-KF5-HT-ND,OTX-433-HH-KF5-HT,Linx Technologies Inc.,XMITTER KEYFOB 433MHZ 5 BUTTON,182,0,"26.66000","0","1","-","Active","Transmitter","ASK, OOK","433MHz","General Remote Control, Home Automation, RKE","Handheld, 5 Button","-","-","-","5 Buttons, 750 ft. Operating Distance"
https://www.enocean.com/en/enocean_modules_902mhz/usb-300u-oem/data-sheet-pdf/,//media.digikey.com/Photos/Enocean%20Photos/MFG_USB300U.jpg,1084-1017-ND,USB300U,Enocean,TRANSCEIVER ENOCEAN USB,103,0,"30.78000","0","1","-","Active","Transceiver","-","902MHz","General Purpose","USB","-","-","-","-"
https://www.cortet.com/docs/default-source/cortet-documents-and-files/z10_product-brief.pdf?sfvrsn=12,//media.digikey.com/Photos/CEL/MFG_CGW-Z-0010-01-00.JPG,CGW-Z-0010-01-00-ND,CGW-Z-0010-01-00,CEL,CORTET RANGE EXTENDER ZIGBEE HA,103,0,"59.00000","0","1","Cortet™","Active","Transceiver","ZigBee®","2.4GHz","General Purpose","-","-","-","-","-"
