Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Function","Modulation or Protocol","Frequency","Applications","Interface","Sensitivity","Power - Output","Data Rate (Max)","Features"
https://linxtechnologies.com/wp/wp-content/uploads/otx-fff-hh-kf-ht.pdf,//media.digikey.com/Photos/Linx%20Tech%20Photos/MFG_OTX-4xx-HH-KF1-HT.jpg,OTX-433-HH-KF1-HT-ND,OTX-433-HH-KF1-HT,Linx Technologies Inc.,XMITTER KEYFOB 433MHZ 1 BUTTON,126,0,"26.66000","0","1","-","Active","Transmitter","ASK, OOK","433MHz","General Remote Control, Home Automation, RKE","Handheld, 1 Button","-","-","-","1 Button, 750 ft. Operating Distance"
https://hubbellcdn.com/specsheet/TCM-RF-WM.pdf,//media.digikey.com/Photos/Thomas%20Research%20Products/MFG_TCM-RF-D.JPG,1121-1417-ND,TCM-RF-D,Thomas Research Products,RF WIRELESS LIGHITNG MODULE,258,0,"37.11000","0","1","-","Active","Wireless Lighting Controller","ZigBee™","2.4GHz","General Purpose","-","-","6dBm","-","-"
https://www.sensit.io/assets/1803-SIGFOX-DATASHEET_SENSIT-WEB.pdf,//media.digikey.com/Photos/Sigfox/MFG_SENS'IT.jpg,1895-1004-ND,SENS'IT DISCOVERY 3.4,Sigfox,SENS'IT RC4 AUSTRALIA SINGAPORE,25,0,"75.00000","0","1","-","Active","Sensor","Sigfox","920MHz ~ 925MHz","General Purpose","USB","-126dBm","22dBm","600bps","IP54, Rechargeable Battery"
https://www.semtech.com/uploads/documents/NorAmMote_User_Guide_3v0.2.pdf,//media.digikey.com/Photos/Semtech%20Photos/MFG_SX1272LM1CEP.jpg,SX1272LM1CEP-ND,SX1272LM1CEP,Semtech Corporation,NAMOTE-72 - 915MHZ W/O SMA,57,0,"330.00000","0","1","-","Active","Transceiver","-","860MHz ~ 1.02GHz","-","SPI","-137dBm","20dBm","300kbps","-"
https://assets.lairdtech.com/home/brandworld/files/Hardware%20Integration%20Guide%20-%20EC25N.pdf,//media.digikey.com/Photos/Laird%20Tech%20Photos/SDC-EC25N.JPG,SDC-EC25N-ND,SDC-EC25N,Laird - Wireless & Thermal Systems,PCI EXPRESS MINI CARD,373,0,"87.00000","0","1","-","Active","Transceiver","802.11 b/g/n","2.4GHz ~ 2.5GHz","-","-","-","-","-","-"
http://update.maestro-wireless.com/M100/M100%20Series%20-%20Product%20Brief%20-%20V2.pdf,//media.digikey.com/Photos/Mechatronics%20Fan%20Group/M100CDMAPLUS-V.JPG,1530-1013-ND,M100CDMAPLUS-V,Maestro Wireless Solutions,MODULE CDMA OPENAT VERIZON,125,0,"122.32000","0","1","M100","Active","Transceiver","CDMA2000","800MHz, 1.9GHz","General Purpose","RS-232","-160dBm","-","-","-"
http://update.maestro-wireless.com/M100/M100%20Series%20-%20Product%20Brief%20-%20V2.pdf,//media.digikey.com/Photos/Maestro%20Wireless/M1003GXT00B.jpg,1530-1001-ND,M1003GXT00B,Maestro Wireless Solutions,MODEM M2M 3G HSDPA RS-232 KIT,49,0,"348.00000","0","1","M100","Active","Transceiver, Modem","GPRS, GSM, EDGE","850MHz, 1.9GHz","AT&T Networks (USA)","Serial","-155dBm","-","3.6Mbps","USB Interface"
http://update.maestro-wireless.com/M100/M100%20485%20Series%20-%20Product%20Brief%20-%20V2.pdf,//media.digikey.com/Photos/Maestro%20Wireless/M1003GXT48500.JPG,1530-1017-ND,M1003GXT48500B,Maestro Wireless Solutions,MODEM 3G FCC/PTCRB AT&T/ROGERS,38,0,"384.75000","0","1","M100","Active","Transceiver","GPRS, GPS, GSM","850MHz, 1.9GHz","-","USB","-155dBm","-","3.6Mbps","-"
https://linxtechnologies.com/wp/wp-content/uploads/man-otx-868-hh-lr8-prc.pdf,-,OTX-868-HH-LR8-PRC-ND,OTX-868-HH-LR8-PRC,Linx Technologies Inc.,HUMPRC 8 BUTTON LONG-RANGE HANDH,183,0,"44.95000","0","1","-","Active","Transmitter","FHSS, FSK","863MHz ~ 870MHz","Access Control System, Home Automation, Keyless Entry, Remote Control","Handheld, 8 Button","-","-","-","8 Buttons, 1.3km Operating Distance, AES 128, EU Cert"
//media.digikey.com/pdf/Data%20Sheets/Linx%20Technologies%20PDFs/HumPRC_900MHz_Long-Range_DG_10-15-18.pdf,//media.digikey.com/Photos/Linx%20Tech%20Photos/OTX-900-HH-LR8-PRC.JPG,OTX-900-HH-LR8-PRC-ND,OTX-900-HH-LR8-PRC,Linx Technologies Inc.,HUMPRC 8 BUTTON LONG-RANGE HANDH,134,0,"44.95000","0","1","-","Active","Transmitter","FHSS, FSK","902MHz ~ 928MHz","Access Control System, Home Automation, Keyless Entry, Remote Control","Handheld, 8 Button","-","-","-","8 Buttons, 1.3km Operating Distance, AES 128, FCC & IC Cert"
//media.digikey.com/pdf/Data%20Sheets/RF%20Solutions%20PDFs/QUANTAFOB_9-10-18.pdf,-,QUANTAFOB-4S2-ND,QUANTAFOB-4S2,RF Solutions,2 CH REMOTE CONTROL SYS 12-30VDC,55,0,"101.66000","0","1","-","Active","Receiver","FM","433MHz","General Purpose","Handheld, 2 Channel","-","10mW","-","100m Range, IP68"
https://www.amber-wireless.de/fileadmin/user_upload/DOWNLOADS/AMB2561_DS.pdf,//media.digikey.com/Photos/Amber-Wireless/AMB2561.JPG,1917-1019-ND,AMB2561,Wurth Electronics Inc.,PROPRIETARY RADIO USB 2.4GHZ,40,0,"108.09000","0","1","-","Active","Transceiver, WLAN","-","2.4GHz","-","USB","-","-","500kbps","-"
https://www.multitech.com/documents/publications/data-sheets/86002164.pdf,-,881-1329-ND,MTC-LNA4-B03,Multi-Tech Systems Inc.,LTE CAT4 MODEM USB W/O ACCESSORI,49,0,"247.68000","0","1","MultiConnect® Cell","Active","Modem","LTE","700MHz, 850MHz, 1.7GHz, 1.9GHz","General Purpose","USB","-","-","150Mbps","-"
//media.digikey.com/pdf/Data%20Sheets/Vicotee%20PDFs/Vicotee_Njord_Series_Nodes.pdf,//media.digikey.com/Photos/Vicotee/MFG_1100837.jpg,1732-1000-ND,1100837,Vicotee,NJORD MAINBRD TEMP AMBIENT ACCEL,50,0,"272.00000","0","1","-","Active","Transceiver","-","2.4GHz","General Purpose","I²C, SPI, UART","-93dBm","8dBm","-","-"
https://www.multitech.com/documents/publications/data-sheets/86002164.pdf,-,881-1332-ND,MTC-LEU4-B03-KIT,Multi-Tech Systems Inc.,LTE CAT4 MODEM USB W/USB ACCESSO,50,0,"293.76000","0","1","MultiConnect® Cell","Active","Modem","LTE","700MHz, 900MHz, 1.8GHz, 2.1GHz, 2.6GHz","General Purpose","USB","-","-","150Mbps","-"
https://www.multitech.com/documents/publications/data-sheets/86002164.pdf,-,881-1330-ND,MTC-LNA4-B03-KIT,Multi-Tech Systems Inc.,LTE CAT4 MODEM USB W/USB ACCESSO,45,0,"293.76000","0","1","MultiConnect® Cell","Active","Modem","LTE","700MHz, 850MHz, 1.7GHz, 1.9GHz","General Purpose","USB","-","-","150Mbps","-"
https://www.multitech.com/documents/publications/data-sheets/86002164.pdf,-,881-1331-ND,MTC-LEU4-B01-EU-GB,Multi-Tech Systems Inc.,LTE CAT4 MODEM RS-232 W/O ACCESS,50,0,"309.89000","0","1","MultiConnect® Cell","Active","Modem","LTE","700MHz, 900MHz, 1.8GHz, 2.1GHz, 2.6GHz","General Purpose","USB","-","-","150Mbps","-"
https://www.multitech.com/documents/publications/data-sheets/86002164.pdf,-,881-1328-ND,MTC-LNA4-B01-US,Multi-Tech Systems Inc.,LTE CAT4 MODEM RS-232 W/ACCESSOR,49,0,"309.89000","0","1","MultiConnect® Cell","Active","Modem","LTE","700MHz, 850MHz, 1.7GHz, 1.9GHz","General Purpose","USB","-","-","150Mbps","-"
https://www.sierrawireless.com/-/media/iot/pdf/datasheets/sierrawireless_airprime_hl_series_datasheet.pdf,-,1645-1037-2-ND,HL7650_1103218,Sierra Wireless,4G LTE CAT-1 3G FB AUS,0,0,"49.44688","0","500","HL","Not For New Designs","Modem","LTE, HSPA+","-","General Purpose","UART, USB","-","-","10Mbps","-"
https://www.sierrawireless.com/-/media/iot/pdf/datasheets/sierrawireless_airprime_hl_series_datasheet.pdf,-,1645-1037-1-ND,HL7650_1103218,Sierra Wireless,4G LTE CAT-1 3G FB AUS,408,0,"72.18000","0","1","HL","Discontinued at Digi-Key","Modem","LTE, HSPA+","-","General Purpose","UART, USB","-","-","10Mbps","-"
