Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","Applications","Modulation or Protocol","Data Rate (Max)","Power - Output","Current - Transmitting","Data Interface","Antenna Connector","Memory Size","Features","Voltage - Supply","Operating Temperature","Package / Case"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/BH1415F.pdf,//media.digikey.com/photos/Rohm%20Photos/511-22-SOP.jpg,BH1415F-E2CT-ND,BH1415F-E2,Rohm Semiconductor,RF XMITTER FM 70-120MHZ 22SOIC,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","70MHz ~ 120MHz","Wireless Audio Link LSI","FM","-","-7dBm","28mA","PCB, Surface Mount","PCB, Surface Mount","-","-","4V ~ 6V","-40°C ~ 85°C","22-SOIC (0.213"", 5.40mm Width)"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/BH1415F.pdf,//media.digikey.com/photos/Rohm%20Photos/511-22-SOP.jpg,BH1415F-E2DKR-ND,BH1415F-E2,Rohm Semiconductor,RF XMITTER FM 70-120MHZ 22SOIC,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Discontinued at Digi-Key","70MHz ~ 120MHz","Wireless Audio Link LSI","FM","-","-7dBm","28mA","PCB, Surface Mount","PCB, Surface Mount","-","-","4V ~ 6V","-40°C ~ 85°C","22-SOIC (0.213"", 5.40mm Width)"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/BH1415FV.pdf,//media.digikey.com/renders/Rohm%20Renders/24-SSOP_SSOP-A24%20Pkg.jpg,BH1415FV-E2-ND,BH1415FV-E2,Rohm Semiconductor,RF XMITTER FM 70-120MHZ 24LSSOP,0,0,"6.28600","0","2000","Tape & Reel (TR)","-","Not For New Designs","70MHz ~ 120MHz","Wireless Audio Link LSI","FM","-","-7dBm","28mA","PCB, Surface Mount","PCB, Surface Mount","-","-","4V ~ 6V","-40°C ~ 85°C","24-LSSOP (0.220"", 5.60mm Width)"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/bh1417fv-e.pdf,//media.digikey.com/renders/Rohm%20Renders/24-SSOP_SSOP-A24%20Pkg.jpg,BH1417FV-E2TR-ND,BH1417FV-E2,Rohm Semiconductor,RF XMITTER FM 76-90MHZ 24LSSOP,0,0,"6.28600","0","2000","Tape & Reel (TR)","-","Not For New Designs","76MHz ~ 90MHz, 87.5MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-7dBm","20mA","PCB, Surface Mount","PCB, Surface Mount","-","-","4V ~ 6V","-40°C ~ 85°C","24-LSSOP (0.220"", 5.60mm Width)"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/bh1417fv-e.pdf,//media.digikey.com/renders/Rohm%20Renders/24-SSOP_SSOP-A24%20Pkg.jpg,BH1417FV-E2CT-ND,BH1417FV-E2,Rohm Semiconductor,RF XMITTER FM 76-90MHZ 24LSSOP,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","76MHz ~ 90MHz, 87.5MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-7dBm","20mA","PCB, Surface Mount","PCB, Surface Mount","-","-","4V ~ 6V","-40°C ~ 85°C","24-LSSOP (0.220"", 5.60mm Width)"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/bh1417fv-e.pdf,//media.digikey.com/renders/Rohm%20Renders/24-SSOP_SSOP-A24%20Pkg.jpg,BH1417FV-E2DKR-ND,BH1417FV-E2,Rohm Semiconductor,RF XMITTER FM 76-90MHZ 24LSSOP,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Discontinued at Digi-Key","76MHz ~ 90MHz, 87.5MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-7dBm","20mA","PCB, Surface Mount","PCB, Surface Mount","-","-","4V ~ 6V","-40°C ~ 85°C","24-LSSOP (0.220"", 5.60mm Width)"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/BH1418KN.pdf,//media.digikey.com/renders/Rohm%20Renders/28-VQFN_VQFN28%20Pkg.jpg,BH1418KN-E2TR-ND,BH1418KN-E2,Rohm Semiconductor,RF XMITTER FM 76-108MHZ 28VFQFN,0,0,"6.52400","0","2500","Tape & Reel (TR)","-","Not For New Designs","76MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-7dBm","18.5mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.7V ~ 4V","-40°C ~ 85°C","28-VFQFN"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/BH1418KN.pdf,//media.digikey.com/renders/Rohm%20Renders/28-VQFN_VQFN28%20Pkg.jpg,BH1418KN-E2CT-ND,BH1418KN-E2,Rohm Semiconductor,RF XMITTER FM 76-108MHZ 28VFQFN,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","76MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-7dBm","18.5mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.7V ~ 4V","-40°C ~ 85°C","28-VFQFN"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/BH1418KN.pdf,//media.digikey.com/renders/Rohm%20Renders/28-VQFN_VQFN28%20Pkg.jpg,BH1418KN-E2DKR-ND,BH1418KN-E2,Rohm Semiconductor,RF XMITTER FM 76-108MHZ 28VFQFN,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Discontinued at Digi-Key","76MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-7dBm","18.5mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.7V ~ 4V","-40°C ~ 85°C","28-VFQFN"
//media.digikey.com/pdf/Data%20Sheets/Rohm%20PDFs/BH1418FV.pdf,//media.digikey.com/renders/Rohm%20Renders/24-SSOP_SSOP-A24%20Pkg.jpg,BH1418FV-E2TR-ND,BH1418FV-E2,Rohm Semiconductor,RF XMITTER FM 76-108MHZ 24LSSOP,0,0,"6.52400","0","2000","Tape & Reel (TR)","-","Not For New Designs","76MHz ~ 108MHz","Wireless Audio Link LSI","FM","-","-7dBm","18.5mA","PCB, Surface Mount","PCB, Surface Mount","-","-","2.7V ~ 4V","-40°C ~ 85°C","24-LSSOP (0.220"", 5.60mm Width)"
