Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Height - Overall","Length - Overall","Width - Overall","Ventilation","Mounting Type"
https://leadertechinc.com/wp-content/uploads/2016/03/SMS-463-REV-A.pdf,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-463C.jpg,1798-1238-ND,SMS-463C,Leader Tech Inc.,RF SHIELD 1.829"" X 4.003"" SMD,1873,0,"1.16000","0","1","Bulk","-","Active","Cover","0.118"" (3.00mm)","4.003"" (101.68mm)","1.829"" (46.46mm)","Non-Vented","Surface Mount"
https://leadertechinc.com/wp-content/uploads/2016/03/SMS-460-REV-A.pdf,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-460F.jpg,1798-1233-2-ND,SMS-460F,Leader Tech Inc.,RF SHIELD 1.07"" X 1.767"" SMD,6440,0,"1.26000","0","230","Tape & Reel (TR)","-","Active","Frame","0.236"" (6.00mm)","1.767"" (44.88mm)","1.070"" (27.18mm)","-","Surface Mount"
https://leadertechinc.com/wp-content/uploads/2016/03/SMS-460-REV-A.pdf,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-460F.jpg,1798-1233-1-ND,SMS-460F,Leader Tech Inc.,RF SHIELD 1.07"" X 1.767"" SMD,6546,0,"2.40000","0","1","Cut Tape (CT)","-","Active","Frame","0.236"" (6.00mm)","1.767"" (44.88mm)","1.070"" (27.18mm)","-","Surface Mount"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2118726&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/MFG_2118726-2.jpg,A126157TR-ND,2118726-2,TE Connectivity AMP Connectors,RF SHIELD 1.747"" X 1.747"" SMD,4770,0,"1.45933","0","90","Tape & Reel (TR)","-","Active","Frame","0.384"" (9.75mm)","1.747"" (44.37mm)","1.747"" (44.37mm)","-","Surface Mount"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2118726&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/MFG_2118726-2.jpg,A126157CT-ND,2118726-2,TE Connectivity AMP Connectors,RF SHIELD 1.747"" X 1.747"" SMD,4819,0,"1.86000","0","1","Cut Tape (CT)","-","Active","Frame","0.384"" (9.75mm)","1.747"" (44.37mm)","1.747"" (44.37mm)","-","Surface Mount"
https://www.leadertechinc.com/assets/files/EngineeringDrawings/SMS-105.PDF,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-105.jpg,1798-1175-2-ND,SMS-105,Leader Tech Inc.,RF SHIELD 1"" X 1.5"" SMD 1PC,1751,0,"1.46004","0","250","Tape & Reel (TR)","-","Active","Cover","0.236"" (6.00mm)","1.500"" (38.10mm)","1.000"" (25.40mm)","Vented","Surface Mount"
https://www.leadertechinc.com/assets/files/EngineeringDrawings/SMS-105.PDF,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-105.jpg,1798-1175-1-ND,SMS-105,Leader Tech Inc.,RF SHIELD 1"" X 1.5"" SMD 1PC,1863,0,"2.78000","0","1","Cut Tape (CT)","-","Active","Cover","0.236"" (6.00mm)","1.500"" (38.10mm)","1.000"" (25.40mm)","Vented","Surface Mount"
https://www.leadertechinc.com/assets/files/EngineeringDrawings/SMS-105.PDF,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-105.jpg,1798-1175-6-ND,SMS-105,Leader Tech Inc.,RF SHIELD 1"" X 1.5"" SMD 1PC,1863,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Cover","0.236"" (6.00mm)","1.500"" (38.10mm)","1.000"" (25.40mm)","Vented","Surface Mount"
https://katalog.we-online.de/pbs/datasheet/36903205S.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_36903205S.jpg,732-11191-2-ND,36903205S,Wurth Electronics Inc.,RF SHIELD 0.787"" SNAP FIT,500,0,"1.73200","0","500","Tape & Reel (TR)","WE-SHC","Active","Cover","-","0.787"" (20.00mm)","-","Non-Vented","Snap Fit"
https://katalog.we-online.de/pbs/datasheet/36903205S.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_36903205S.jpg,732-11191-1-ND,36903205S,Wurth Electronics Inc.,RF SHIELD 0.787"" SNAP FIT,671,0,"2.63000","0","1","Cut Tape (CT)","WE-SHC","Active","Cover","-","0.787"" (20.00mm)","-","Non-Vented","Snap Fit"
https://katalog.we-online.de/pbs/datasheet/36903205S.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_36903205S.jpg,732-11191-6-ND,36903205S,Wurth Electronics Inc.,RF SHIELD 0.787"" SNAP FIT,671,0,"Digi-Reel","0","1","Digi-Reel®","WE-SHC","Active","Cover","-","0.787"" (20.00mm)","-","Non-Vented","Snap Fit"
https://katalog.we-online.de/pbs/datasheet/36903255S.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_36903255S.jpg,732-11192-2-ND,36903255S,Wurth Electronics Inc.,RF SHIELD 0.984"" SNAP FIT,400,0,"1.73200","0","400","Tape & Reel (TR)","WE-SHC","Active","Cover","-","0.984"" (25.00mm)","-","Non-Vented","Snap Fit"
https://katalog.we-online.de/pbs/datasheet/36903255S.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_36903255S.jpg,732-11192-1-ND,36903255S,Wurth Electronics Inc.,RF SHIELD 0.984"" SNAP FIT,464,0,"2.63000","0","1","Cut Tape (CT)","WE-SHC","Active","Cover","-","0.984"" (25.00mm)","-","Non-Vented","Snap Fit"
https://katalog.we-online.de/pbs/datasheet/36903255S.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_36903255S.jpg,732-11192-6-ND,36903255S,Wurth Electronics Inc.,RF SHIELD 0.984"" SNAP FIT,464,0,"Digi-Reel","0","1","Digi-Reel®","WE-SHC","Active","Cover","-","0.984"" (25.00mm)","-","Non-Vented","Snap Fit"
https://katalog.we-online.de/pbs/datasheet/36903305S.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_36903305S.jpg,732-11193-2-ND,36903305S,Wurth Electronics Inc.,RF SHIELD 1.181"" SNAP FIT,1050,0,"1.89700","0","350","Tape & Reel (TR)","WE-SHC","Active","Cover","-","1.181"" (30.00mm)","-","Non-Vented","Snap Fit"
https://katalog.we-online.de/pbs/datasheet/36903305S.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_36903305S.jpg,732-11193-1-ND,36903305S,Wurth Electronics Inc.,RF SHIELD 1.181"" SNAP FIT,1295,0,"2.88000","0","1","Cut Tape (CT)","WE-SHC","Active","Cover","-","1.181"" (30.00mm)","-","Non-Vented","Snap Fit"
https://katalog.we-online.de/pbs/datasheet/36903305S.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_36903305S.jpg,732-11193-6-ND,36903305S,Wurth Electronics Inc.,RF SHIELD 1.181"" SNAP FIT,1295,0,"Digi-Reel","0","1","Digi-Reel®","WE-SHC","Active","Cover","-","1.181"" (30.00mm)","-","Non-Vented","Snap Fit"
https://leadertechinc.com/wp-content/uploads/2016/03/SMS-462-REV-A.pdf,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-462F.jpg,1798-1237-2-ND,SMS-462F,Leader Tech Inc.,RF SHIELD 1.07"" X 2.758"" SMD,500,0,"1.92400","0","250","Tape & Reel (TR)","-","Active","Frame","0.236"" (6.00mm)","2.758"" (70.05mm)","1.070"" (27.18mm)","-","Surface Mount"
https://leadertechinc.com/wp-content/uploads/2016/03/SMS-462-REV-A.pdf,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-462F.jpg,1798-1237-1-ND,SMS-462F,Leader Tech Inc.,RF SHIELD 1.07"" X 2.758"" SMD,600,0,"3.00000","0","1","Cut Tape (CT)","-","Active","Frame","0.236"" (6.00mm)","2.758"" (70.05mm)","1.070"" (27.18mm)","-","Surface Mount"
https://leadertechinc.com/wp-content/uploads/2016/03/SMS-463-REV-A.pdf,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-463F.jpg,1798-1239-2-ND,SMS-463F,Leader Tech Inc.,RF SHIELD 1.805"" X 3.979"" SMD,1300,0,"2.13754","0","130","Tape & Reel (TR)","-","Active","Frame","0.236"" (6.00mm)","3.979"" (101.07mm)","1.805"" (45.85mm)","-","Surface Mount"
https://leadertechinc.com/wp-content/uploads/2016/03/SMS-463-REV-A.pdf,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-463F.jpg,1798-1239-1-ND,SMS-463F,Leader Tech Inc.,RF SHIELD 1.805"" X 3.979"" SMD,1385,0,"3.03000","0","1","Cut Tape (CT)","-","Active","Frame","0.236"" (6.00mm)","3.979"" (101.07mm)","1.805"" (45.85mm)","-","Surface Mount"
https://www.leadertechinc.com/assets/files/EngineeringDrawings/SMS-404.PDF,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-404F.jpg,1798-1213-2-ND,SMS-404F,Leader Tech Inc.,RF SHIELD 1.282"" X 1.282"" SMD,450,0,"2.17302","0","225","Tape & Reel (TR)","-","Active","Frame","0.236"" (6.00mm)","1.282"" (32.56mm)","1.282"" (32.56mm)","-","Surface Mount"
https://www.leadertechinc.com/assets/files/EngineeringDrawings/SMS-404.PDF,//media.digikey.com/Photos/Leader-Tech-Inc/MFG_SMS-404F.jpg,1798-1213-1-ND,SMS-404F,Leader Tech Inc.,RF SHIELD 1.282"" X 1.282"" SMD,457,0,"2.91000","0","1","Cut Tape (CT)","-","Active","Frame","0.236"" (6.00mm)","1.282"" (32.56mm)","1.282"" (32.56mm)","-","Surface Mount"
