Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Frequency","For Use With/Related Products","Supplied Contents"
http://ww1.microchip.com/downloads/en/DeviceDoc/at88ck201stk%20quick%20start%20guide.pdf,-,AT88CK201BK-ND,AT88CK201BK,Microchip Technology,BRD CRYPTORF READER AT88RF1354,0,0,"Obsolete","0","7","CryptoRF®","Obsolete","RFID Reader","13.56MHz","AT88RF1354","Board(s)"
https://datasheets.maximintegrated.com/en/ds/MAX66901EVKIT.pdf,-,MAX66901-K00#-ND,MAX66901-K00#,Maxim Integrated,KIT DEV ISO 14443B/15693 RFID,0,0,"Obsolete","0","1","-","Obsolete","RFID Keys","13.56MHz","Sirit Infinity 110","Board(s), Cable(s), Power Supply, Accessories"
http://www.st.com/content/ccc/resource/technical/document/user_manual/d3/5a/a1/0c/34/0e/44/5a/CD00254727.pdf/files/CD00254727.pdf/jcr:content/translations/en.CD00254727.pdf,//media.digikey.com/photos/STMicro%20Photos/DEMOKIT-M24LR-A.jpg,497-10482-ND,DEMOKIT-M24LR-A,STMicroelectronics,DEMO KIT M24LR-64-R,0,0,"Obsolete","0","1","-","Obsolete","RFID Reader","13.56MHz","M24LR-64-R","Board(s), Cable(s), Accessories"
//media.digikey.com/pdf/Data%20Sheets/ST%20Microelectronics%20PDFS/STARTKIT-M24LR-A_Br.pdf,//media.digikey.com/Photos/STMicro%20Photos/STARTKIT-M24LR-A.jpg,497-10480-ND,STARTKIT-M24LR-A,STMicroelectronics,STARTER KIT M24LR-64-R,0,0,"Obsolete","0","1","-","Obsolete","RFID Reader","13.56MHz","M24LR-64-R","Board(s)"
"//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3990,91.pdf",-,AS3990-EBFRANKEU-ND,AS3990-EB FRANK EU,ams,BOARD EVAL AS3990 EUROPE,0,0,"Obsolete","0","1","-","Obsolete","RFID Reader","840MHz ~ 960MHz","AS3990","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Austriamicrosystems%20PDFs/AS3910%20Demo%20Board.pdf,//media.digikey.com/Photos/Austria%20Microsystems/AS3910%20DB.jpg,AS3910-DB-ND,AS3910-DB,ams,BOARD DEMO AS3910,0,0,"Active","0","1","-","Active","RFID Reader","13.56MHz","AS3910","Board(s)"
http://www.ti.com/lit/pdf/spmt210,//media.digikey.com/Photos/Texas%20Instr%20Photos/DK-EM2-7960R.jpg,296-27790-ND,DK-EM2-7960R,Texas Instruments,KIT STELLARIS/RFID MIFARE,0,0,"Obsolete","0","1","Stellaris®","Obsolete","RFID Reader","13.56MHz","DK-LM3S9x96","Board(s)"
-,//media.digikey.com/Photos/Melexis%20Photos/DVK90129.jpg,DVK90129-ND,DVK90129,Melexis Technologies NV,DEVELOPMENT KIT MLX90129,0,0,"Obsolete","0","1","-","Obsolete","RFID Reader","13.56MHz","MLX90129","Board(s)"
"//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TRF7960,61_Rev2017.pdf",-,TRF7960TB-ND,TRF7960TB,Texas Instruments,TARGET BOARD FOR TRF7960,0,0,"Discontinued at Digi-Key","0","1","-","Discontinued at Digi-Key","RFID Reader","13.56MHz","TRF7960","Board(s)"
//media.digikey.com/pdf/Data%20Sheets/Texas%20Instruments%20PDFs/TRF7970AEVM_UG.pdf,//media.digikey.com/Photos/Texas%20Instr%20Photos/TRF7970AEVM.jpg,296-29475-ND,TRF7970AEVM,Texas Instruments,EVAL MODULE FOR TRF7970A,0,0,"Obsolete","0","1","-","Obsolete","Near Field Communication (NFC)","13.56MHz","TRF7970A","Board(s), Accessories"
