Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Frequency","P1dB","Gain","Noise Figure","RF Type","Voltage - Supply","Current - Supply","Test Frequency","Package / Case","Supplier Device Package"
https://www.nxp.com/docs/en/data-sheet/BGA2817.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,568-9446-2-ND,"BGA2817,115",NXP USA Inc.,IC RF AMP GP 0HZ-2.2GHZ 6TSSOP,24000,0,"0.09058","0","3000","Tape & Reel (TR)","-","Active","0Hz ~ 2.2GHz","5dBm","25.1dB","3.8dB","General Purpose","3V ~ 3.6V","20mA","2.15GHz","6-TSSOP, SC-88, SOT-363","6-TSSOP"
https://www.nxp.com/docs/en/data-sheet/BGA2817.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,568-9446-1-ND,"BGA2817,115",NXP USA Inc.,IC RF AMP GP 0HZ-2.2GHZ 6TSSOP,27112,0,"0.24000","0","1","Cut Tape (CT)","-","Active","0Hz ~ 2.2GHz","5dBm","25.1dB","3.8dB","General Purpose","3V ~ 3.6V","20mA","2.15GHz","6-TSSOP, SC-88, SOT-363","6-TSSOP"
https://www.nxp.com/docs/en/data-sheet/BGA2817.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,568-9446-6-ND,"BGA2817,115",NXP USA Inc.,IC RF AMP GP 0HZ-2.2GHZ 6TSSOP,27112,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","0Hz ~ 2.2GHz","5dBm","25.1dB","3.8dB","General Purpose","3V ~ 3.6V","20mA","2.15GHz","6-TSSOP, SC-88, SOT-363","6-TSSOP"
https://www.nxp.com/docs/en/data-sheet/BGA2803.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,568-8483-2-ND,"BGA2803,115",NXP USA Inc.,IC RF AMP GP 0HZ-2.2GHZ 6TSSOP,12000,0,"0.10461","0","3000","Tape & Reel (TR)","-","Active","0Hz ~ 2.2GHz","-8dBm","23dB","3.4dB","General Purpose","2.7V ~ 3.3V","5.8mA","2.15GHz","6-TSSOP, SC-88, SOT-363","6-TSSOP"
https://www.nxp.com/docs/en/data-sheet/BGA2803.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,568-8483-1-ND,"BGA2803,115",NXP USA Inc.,IC RF AMP GP 0HZ-2.2GHZ 6TSSOP,13465,0,"0.28000","0","1","Cut Tape (CT)","-","Active","0Hz ~ 2.2GHz","-8dBm","23dB","3.4dB","General Purpose","2.7V ~ 3.3V","5.8mA","2.15GHz","6-TSSOP, SC-88, SOT-363","6-TSSOP"
https://www.nxp.com/docs/en/data-sheet/BGA2803.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,568-8483-6-ND,"BGA2803,115",NXP USA Inc.,IC RF AMP GP 0HZ-2.2GHZ 6TSSOP,13465,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","0Hz ~ 2.2GHz","-8dBm","23dB","3.4dB","General Purpose","2.7V ~ 3.3V","5.8mA","2.15GHz","6-TSSOP, SC-88, SOT-363","6-TSSOP"
https://www.nxp.com/docs/en/data-sheet/BGA2851.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,568-8504-2-ND,"BGA2851,115",NXP USA Inc.,IC RF AMP GP 0HZ-2.2GHZ 6TSSOP,12000,0,"0.10780","0","3000","Tape & Reel (TR)","-","Active","0Hz ~ 2.2GHz","-5dBm","25.2dB","3dB","General Purpose","4.5V ~ 5.5V","7mA","2.15GHz","6-TSSOP, SC-88, SOT-363","6-TSSOP"
https://www.nxp.com/docs/en/data-sheet/BGA2851.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,568-8504-1-ND,"BGA2851,115",NXP USA Inc.,IC RF AMP GP 0HZ-2.2GHZ 6TSSOP,15437,0,"0.28000","0","1","Cut Tape (CT)","-","Active","0Hz ~ 2.2GHz","-5dBm","25.2dB","3dB","General Purpose","4.5V ~ 5.5V","7mA","2.15GHz","6-TSSOP, SC-88, SOT-363","6-TSSOP"
https://www.nxp.com/docs/en/data-sheet/BGA2851.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,568-8504-6-ND,"BGA2851,115",NXP USA Inc.,IC RF AMP GP 0HZ-2.2GHZ 6TSSOP,15437,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","0Hz ~ 2.2GHz","-5dBm","25.2dB","3dB","General Purpose","4.5V ~ 5.5V","7mA","2.15GHz","6-TSSOP, SC-88, SOT-363","6-TSSOP"
https://www.nxp.com/docs/en/data-sheet/BGA2818.pdf,//media.digikey.com/Renders/~~Pkg.Case%20or%20Series/SOT-363%20PKG.jpg,568-12531-2-ND,"BGA2818,115",NXP USA Inc.,IC RF AMP GP 0HZ-2.2GHZ 6TSSOP,15000,0,"0.10965","0","3000","Tape & Reel (TR)","-","Active","0Hz ~ 2.2GHz","4dBm","30dB","3.3dB","General Purpose","3V ~ 3.6V","16.9mA","2.15GHz","6-TSSOP, SC-88, SOT-363","6-TSSOP"
