Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Function","LO Frequency","RF Frequency","P1dB","Noise Floor","Output Power","Current - Supply","Voltage - Supply","Test Frequency","Package / Case"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADL5590_5591.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-36-1;CP;36.jpg,ADL5590ACPZ-R7TR-ND,ADL5590ACPZ-R7,Analog Devices Inc.,RF MODULATOR 869MHZ-960MHZ 36QFN,0,0,"7.29321","0","750","Tape & Reel (TR)","-","Active","Modulator","-","869MHz ~ 960MHz","16dBm","-156.6dBm/Hz","5.7dBm","170mA","4.75V ~ 5.25V","940MHz","36-VFQFN Exposed Pad, CSP"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADL5590_5591.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-36-1;CP;36.jpg,ADL5590ACPZ-R7CT-ND,ADL5590ACPZ-R7,Analog Devices Inc.,RF MODULATOR 869MHZ-960MHZ 36QFN,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","Modulator","-","869MHz ~ 960MHz","16dBm","-156.6dBm/Hz","5.7dBm","170mA","4.75V ~ 5.25V","940MHz","36-VFQFN Exposed Pad, CSP"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADL5590_5591.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-36-1;CP;36.jpg,ADL5590ACPZ-R7DKR-ND,ADL5590ACPZ-R7,Analog Devices Inc.,RF MODULATOR 869MHZ-960MHZ 36QFN,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Discontinued at Digi-Key","Modulator","-","869MHz ~ 960MHz","16dBm","-156.6dBm/Hz","5.7dBm","170mA","4.75V ~ 5.25V","940MHz","36-VFQFN Exposed Pad, CSP"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADL5590_5591.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-36-1;CP;36.jpg,ADL5591ACPZ-R7TR-ND,ADL5591ACPZ-R7,Analog Devices Inc.,RF MODULATOR 1.805-1.99GHZ 36QFN,0,750,"7.29321","0","750","Tape & Reel (TR)","-","Active","Modulator","-","1.805GHz ~ 1.99GHz","16dBm","-157dBM/Hz","4.7dBm","170mA","4.75V ~ 5.25V","1.96GHz","36-VFQFN Exposed Pad, CSP"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADL5590_5591.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-36-1;CP;36.jpg,ADL5591ACPZ-R7CT-ND,ADL5591ACPZ-R7,Analog Devices Inc.,RF MODULATOR 1.805-1.99GHZ 36QFN,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","-","Discontinued at Digi-Key","Modulator","-","1.805GHz ~ 1.99GHz","16dBm","-157dBM/Hz","4.7dBm","170mA","4.75V ~ 5.25V","1.96GHz","36-VFQFN Exposed Pad, CSP"
https://www.analog.com/media/en/technical-documentation/data-sheets/ADL5590_5591.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-36-1;CP;36.jpg,ADL5591ACPZ-R7DKR-ND,ADL5591ACPZ-R7,Analog Devices Inc.,RF MODULATOR 1.805-1.99GHZ 36QFN,0,0,"Digi-Reel","0","1","Digi-Reel®","-","Discontinued at Digi-Key","Modulator","-","1.805GHz ~ 1.99GHz","16dBm","-157dBM/Hz","4.7dBm","170mA","4.75V ~ 5.25V","1.96GHz","36-VFQFN Exposed Pad, CSP"
http://www.linear.com/docs/3794,//media.digikey.com/Renders/Linear%20Tech%20Renders/161;05-08-1663varCB;FE;20.jpg,LT5503EFE#PBF-ND,LT5503EFE#PBF,Linear Technology/Analog Devices,RF MODULATOR 1.7-2.7GHZ 20TSSOP,23,0,"8.46000","0","1","Tube","-","Obsolete","Modulator/Mixer","1.4GHz ~ 2.4GHz","1.7GHz ~ 2.7GHz","-15dBm","-152dBm/Hz","12.7dBm","38mA","1.8V ~ 5.25V","2.4GHz","20-TSSOP (0.173"", 4.40mm Width) Exposed Pad"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrf37t05,//media.digikey.com/Renders/Texas%20Instr%20Renders/RGE-24-VQFN%20Pkg.jpg,296-36411-2-ND,TRF37T05IRGET,Texas Instruments,RF MODULATOR 300MHZ-4GHZ 24VFQFN,0,250,"8.80500","0","250","Tape & Reel (TR)","-","Active","Modulator","300MHz ~ 4GHz","300MHz ~ 4GHz","13.7dBm","-160dBm/Hz","7.1dBm","306mA","3.15V ~ 3.6V","900MHz","24-VFQFN Exposed Pad"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrf3722,//media.digikey.com/Renders/Texas%20Instr%20Renders/48-VQFN-Exposed-Pad-RGZ.jpg,TRF3722IRGZR-ND,TRF3722IRGZR,Texas Instruments,RF MODULATOR 400MHZ-4.2GHZ 48QFN,0,10000,"8.94285","0","2500","-","-","Active","Modulator","750MHz ~ 3.6GHz","400MHz ~ 4.2GHz","13dBm","-156dBm/Hz","1dBm","374mA","3V ~ 5.5V","1.8GHz","48-VFQFN Exposed Pad"
http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftrf370333,//media.digikey.com/Renders/Texas%20Instr%20Renders/RGE-24-VQFN%20Pkg.jpg,TRF370333IRGETG4-ND,TRF370333IRGETG4,Texas Instruments,RF MODULATOR 400MHZ-4GHZ 24VFQFN,0,10000,"9.29252","0","250","Tape & Reel (TR)","-","Active","Modulator","400MHz ~ 4GHz","400MHz ~ 4GHz","9.5dBm","-163dBm/Hz","-4.5dBm","235mA","4.5V ~ 5.5V","2.14GHz","24-VFQFN Exposed Pad"
https://www.analog.com/media/en/technical-documentation/evaluation-documentation/ADRF6702.pdf,//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-40-1;CP;40.jpg,ADRF6702ACPZ-R7TR-ND,ADRF6702ACPZ-R7,Analog Devices Inc.,RF MODULATOR 1.2GHZ-2.4GHZ 40QFN,0,1500,"9.54451","0","750","Tape & Reel (TR)","-","Active","Modulator","1.55GHz ~ 2.15GHz","1.2GHz ~ 2.4GHz","13.5dBm","-158dBm/Hz","4dBm","240mA","4.75V ~ 5.25V","1.85GHz","40-VFQFN Exposed Pad, CSP"
