Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Frequency Bands (Low / High)","Low Band Attenuation (min / max dB)","High Band Attenuation (min / max dB)","Return Loss (Low Band / High Band)","Mounting Type","Package / Case"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx165950dt-8126a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX162690DT-8022B2.jpg,445-9312-1-ND,DPX165950DT-8126A1,TDK Corporation,RF DIPLEXER 2.45/5.425GHZ 0603,7183,0,"0.82000","0","1","Cut Tape (CT)","DPX","Active","Diplexer","2.4GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","-","-","21.5dB / 16.6dB","Surface Mount","0603 (1608 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx165950dt-8126a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX162690DT-8022B2.jpg,445-9312-6-ND,DPX165950DT-8126A1,TDK Corporation,RF DIPLEXER 2.45/5.425GHZ 0603,7183,0,"Digi-Reel","0","1","Digi-Reel®","DPX","Active","Diplexer","2.4GHz ~ 2.5GHz / 4.9GHz ~ 5.95GHz","-","-","21.5dB / 16.6dB","Surface Mount","0603 (1608 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx202700dt-4062a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX20.jpg,445-174293-2-ND,DPX202700DT-4062A1,TDK Corporation,RF DIPLEXER 829MHZ/2.3GHZ 0805,12000,0,"0.35000","0","2000","Tape & Reel (TR)","-","Active","Diplexer","698MHz ~ 960MHz / 1.9GHz ~ 2.7GHz","25.00dB / 30.00dB","30.00dB / 39.00dB","26.0dB / 15.0dB","Surface Mount","0805 (2012 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx202700dt-4062a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX20.jpg,445-174293-1-ND,DPX202700DT-4062A1,TDK Corporation,RF DIPLEXER 829MHZ/2.3GHZ 0805,12893,0,"0.92000","0","1","Cut Tape (CT)","-","Active","Diplexer","698MHz ~ 960MHz / 1.9GHz ~ 2.7GHz","25.00dB / 30.00dB","30.00dB / 39.00dB","26.0dB / 15.0dB","Surface Mount","0805 (2012 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx202700dt-4062a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX20.jpg,445-174293-6-ND,DPX202700DT-4062A1,TDK Corporation,RF DIPLEXER 829MHZ/2.3GHZ 0805,12893,0,"Digi-Reel","0","1","Digi-Reel®","-","Active","Diplexer","698MHz ~ 960MHz / 1.9GHz ~ 2.7GHz","25.00dB / 30.00dB","30.00dB / 39.00dB","26.0dB / 15.0dB","Surface Mount","0805 (2012 Metric), 6 PC Pad"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/DPX205850DT-4055A1.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_DPX205850DT-4055A1.jpg,445-175376-2-ND,DPX205850DT-4055A1,TDK Corporation,RF DIPLEXER 1345MZ/4.125GHZ 0805,2000,0,"0.35000","0","2000","Tape & Reel (TR)","DPX","Active","Diplexer","700MHz ~ 1.99GHz / 2.4GHz ~ 5.85GHz","13.00dB / 28.00dB","15.00dB / 21.00dB","9.5dB / 9.5dB","Surface Mount","0805 (2012 Metric), 6 PC Pad"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/DPX205850DT-4055A1.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_DPX205850DT-4055A1.jpg,445-175376-1-ND,DPX205850DT-4055A1,TDK Corporation,RF DIPLEXER 1345MZ/4.125GHZ 0805,2299,0,"0.92000","0","1","Cut Tape (CT)","DPX","Active","Diplexer","700MHz ~ 1.99GHz / 2.4GHz ~ 5.85GHz","13.00dB / 28.00dB","15.00dB / 21.00dB","9.5dB / 9.5dB","Surface Mount","0805 (2012 Metric), 6 PC Pad"
//media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/DPX205850DT-4055A1.pdf,//media.digikey.com/Photos/TDK%20Photos/MFG_DPX205850DT-4055A1.jpg,445-175376-6-ND,DPX205850DT-4055A1,TDK Corporation,RF DIPLEXER 1345MZ/4.125GHZ 0805,2299,0,"Digi-Reel","0","1","Digi-Reel®","DPX","Active","Diplexer","700MHz ~ 1.99GHz / 2.4GHz ~ 5.85GHz","13.00dB / 28.00dB","15.00dB / 21.00dB","9.5dB / 9.5dB","Surface Mount","0805 (2012 Metric), 6 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx252690dt-5031a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX252690DT-5xxxx1.jpg,445-174203-2-ND,DPX252690DT-5031A1,TDK Corporation,RF DIPLEXER 829MHZ/2.2GHZ 0402,2000,0,"0.38920","0","2000","Tape & Reel (TR)","-","Active","Diplexer","698MHz ~ 960MHz / 1.71GHz ~ 2.69GHz","12.00dB / 36.00dB","10.00dB / 48.00dB","20.0dB / 16.0dB","Surface Mount","0402 (1005 Metric), 8 PC Pad"
https://product.tdk.com/info/en/documents/data_sheet/rf_dpx_dpx252690dt-5031a1_en.pdf,//media.digikey.com/Renders/TDK%20Renders/DPX252690DT-5xxxx1.jpg,445-174203-1-ND,DPX252690DT-5031A1,TDK Corporation,RF DIPLEXER 829MHZ/2.2GHZ 0402,3240,0,"1.02000","0","1","Cut Tape (CT)","-","Active","Diplexer","698MHz ~ 960MHz / 1.71GHz ~ 2.69GHz","12.00dB / 36.00dB","10.00dB / 48.00dB","20.0dB / 16.0dB","Surface Mount","0402 (1005 Metric), 8 PC Pad"
