Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Insertion Loss","Frequency","Specifications","Size / Dimension","Package / Case"
http://www.susumu.co.jp/common/pdf/n_catalog_partition31_en.pdf,//media.digikey.com/Renders/Susumu%20Renders/PS2012.JPG,408-2050-1-ND,PS2012GT2-R50-T1,Susumu,RF POWER DIVIDER 0HZ-20GHZ 0805,1275,0,"3.88000","0","1","Cut Tape (CT)","PS","Active","6dB","0Hz ~ 20GHz","-","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0805 (2012 Metric)"
http://www.susumu.co.jp/common/pdf/n_catalog_partition31_en.pdf,//media.digikey.com/Renders/Susumu%20Renders/PS2012.JPG,408-2050-6-ND,PS2012GT2-R50-T1,Susumu,RF POWER DIVIDER 0HZ-20GHZ 0805,1525,0,"Digi-Reel","0","1","Digi-Reel®","PS","Active","6dB","0Hz ~ 20GHz","-","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0805 (2012 Metric)"
https://www.knowlescapacitors.com/getattachment/Products/Microwave-Products/Power-Dividers/PDW05758_DataSheet.pdf.aspx,//media.digikey.com/Photos/Knowles-Dielectric-Labs/PDW05758.jpg,1761-1062-ND,PDW05758,Knowles Dielectric Labs,RF PWR DIVIDER 6GHZ-18GHZ MODULE,986,0,"43.75000","0","1","Bulk","-","Active","0.7dB","6GHz ~ 18GHz","Isolation (Typ) 20dB, 20dB Return Loss, 3° Imbalance (Max)","0.185"" L x 0.160"" W x 0.020"" H (4.70mm x 4.06mm x 0.51mm)","Module"
https://www.knowlescapacitors.com/getattachment/Products/Microwave-Products/Power-Dividers/PDW06038-Datasheet.pdf.aspx,//media.digikey.com/Photos/Knowles-Dielectric-Labs/PDW06038.jpg,1761-1064-ND,PDW06038,Knowles Dielectric Labs,RF PWR DIVIDER 2GHZ-10GHZ MODULE,150,0,"62.34000","0","1","Bulk","-","Active","0.8dB","2GHz ~ 10GHz","Isolation (Typ) 20dB, 20dB Return Loss, 3° Imbalance (Max)","0.400"" L x 0.250"" W x 0.020"" H (10.16mm x 6.35mm x 0.51mm)","Module"
https://www.knowlescapacitors.com/getattachment/Products/Microwave-Products/Power-Dividers/PDW06089-6-18-GHz-4-way-Datasheet.pdf.aspx,//media.digikey.com/Photos/Knowles-Dielectric-Labs/PDW06089.JPG,1761-1066-ND,PDW06089,Knowles Dielectric Labs,RF PWR DIVIDER 6GHZ-18GHZ MODULE,429,0,"98.80000","0","1","Bulk","-","Active","1dB","6GHz ~ 18GHz","Isolation (Min) 14dB, 14dB Return Loss, 3° Imbalance (Max)","0.300"" L x 0.250"" W x 0.020"" H (7.62mm x 6.35mm x 0.51mm)","Module"
https://cdn.anaren.com/product-documents/Xinger/PowerDividers/PD3150J5050S2HF/PD3150J5050S2HF_Datasheet(Rev_F).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1100-2-ND,PD3150J5050S2HF,Anaren,RF PWR DIVIDER 3.1GHZ-5GHZ 0805,4000,0,"0.36000","0","4000","Tape & Reel (TR)","Xinger®","Active","1dB","3.1GHz ~ 5GHz","Isolation (Min) 13dB, 8.6dB Return Loss","0.079"" L x 0.050"" W (2.00mm x 1.27mm)","0805 (2012 Metric)"
https://cdn.anaren.com/product-documents/Xinger/PowerDividers/PD3150J5050S2HF/PD3150J5050S2HF_Datasheet(Rev_F).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1100-1-ND,PD3150J5050S2HF,Anaren,RF PWR DIVIDER 3.1GHZ-5GHZ 0805,4746,0,"0.74000","0","1","Cut Tape (CT)","Xinger®","Active","1dB","3.1GHz ~ 5GHz","Isolation (Min) 13dB, 8.6dB Return Loss","0.079"" L x 0.050"" W (2.00mm x 1.27mm)","0805 (2012 Metric)"
https://cdn.anaren.com/product-documents/Xinger/PowerDividers/PD3150J5050S2HF/PD3150J5050S2HF_Datasheet(Rev_F).pdf,//media.digikey.com/Renders/Anaren%20Renders/0805%20(2012%20Metric).jpg,1173-1100-6-ND,PD3150J5050S2HF,Anaren,RF PWR DIVIDER 3.1GHZ-5GHZ 0805,4746,0,"Digi-Reel","0","1","Digi-Reel®","Xinger®","Active","1dB","3.1GHz ~ 5GHz","Isolation (Min) 13dB, 8.6dB Return Loss","0.079"" L x 0.050"" W (2.00mm x 1.27mm)","0805 (2012 Metric)"
https://cdn.anaren.com/product-documents/Xinger/RFCrossovers/X2AS/X2AS_DataSheet(Rev_C).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/X2AS.jpg",1173-1143-2-ND,X2AS,Anaren,RF POWER DIVIDER 0HZ-6GHZ 6SMD,2000,0,"0.67200","0","2000","Tape & Reel (TR)","Xinger®","Active","0.15dB","0Hz ~ 6GHz","-","0.200"" L x 0.200"" W (5.08mm x 5.08mm)","6-SMD, No Lead"
https://cdn.anaren.com/product-documents/Xinger/RFCrossovers/X2AS/X2AS_DataSheet(Rev_C).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/X2AS.jpg",1173-1143-1-ND,X2AS,Anaren,RF POWER DIVIDER 0HZ-6GHZ 6SMD,2139,0,"1.56000","0","1","Cut Tape (CT)","Xinger®","Active","0.15dB","0Hz ~ 6GHz","-","0.200"" L x 0.200"" W (5.08mm x 5.08mm)","6-SMD, No Lead"
https://cdn.anaren.com/product-documents/Xinger/RFCrossovers/X2AS/X2AS_DataSheet(Rev_C).pdf,"//media.digikey.com/Photos/Anaren,%20Inc/X2AS.jpg",1173-1143-6-ND,X2AS,Anaren,RF POWER DIVIDER 0HZ-6GHZ 6SMD,2139,0,"Digi-Reel","0","1","Digi-Reel®","Xinger®","Active","0.15dB","0Hz ~ 6GHz","-","0.200"" L x 0.200"" W (5.08mm x 5.08mm)","6-SMD, No Lead"
