Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","RF Type","Frequency","Features","Package / Case","Supplier Device Package"
http://www.linear.com/docs/3066,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1660;-MS,-MS8;-8.jpg",LTC4400-2EMS8#TRPBF-ND,LTC4400-2EMS8#TRPBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2GHZ DUAL 8MSOP,0,0,"2.05400","0","2500","Tape & Reel (TR)","-","Active","Cellular, GSM, GPRS, PCS, Wireless Modem, TDMA","300MHz ~ 2GHz","Dual Output","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
http://www.linear.com/docs/1418,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1660;-MS,-MS8;-8.jpg",LTC4401-2EMS8#TRPBF-ND,LTC4401-2EMS8#TRPBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2GHZ DUAL 8MSOP,0,0,"2.05400","0","2500","Tape & Reel (TR)","-","Active","Cellular, GSM, GPRS, PCS, Wireless Modem, TDMA","300MHz ~ 2GHz","Dual Output","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
http://www.linear.com/docs/3632,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1660;-MS,-MS8;-8.jpg",LTC4402-1EMS8#TRPBF-ND,LTC4402-1EMS8#TRPBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2.7GHZ SGL 8MSOP,0,0,"2.05400","0","2500","Tape & Reel (TR)","-","Active","Cellular, GSM, GPRS, PCS, Wireless Modem, TDMA","300MHz ~ 2.7GHz","Single Output","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
http://www.linear.com/docs/2003,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1660;-MS,-MS8;-8.jpg",LTC4403-1EMS8#TRPBF-ND,LTC4403-1EMS8#TRPBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2.4GHZ SGL 8MSOP,0,0,"2.05400","0","2500","Tape & Reel (TR)","-","Active","Cellular, GSM, GPRS, PCS, Wireless Modem, TDMA","300MHz ~ 2.4GHz","Single Output","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
http://www.linear.com/docs/3774,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1660;-MS,-MS8;-8.jpg",LTC1957-1EMS8#PBF-ND,LTC1957-1EMS8#PBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2GHZ SGL 8MSOP,0,0,"2.08811","0","350","Tube","-","Active","Cellular, GSM, GPRS, PCS, Wireless Modem, TDMA","850MHz ~ 2GHz","Single Output","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
http://www.linear.com/docs/2518,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1660;-MS,-MS8;-8.jpg",LTC1758-1EMS8#PBF-ND,LTC1758-1EMS8#PBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2GHZ SGL 8MSOP,0,0,"2.08811","0","350","Tube","-","Active","Cellular, GSM, GPRS, PCS, Wireless Modem, TDMA","850MHz ~ 2GHz","Single Output","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
http://www.linear.com/docs/2518,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1660;-MS,-MS8;-8.jpg",LTC1758-1EMS8#TRPBF-ND,LTC1758-1EMS8#TRPBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2GHZ SGL 8MSOP,0,0,"2.10600","0","2500","Tape & Reel (TR)","-","Active","Cellular, GSM, GPRS, PCS, Wireless Modem, TDMA","850MHz ~ 2GHz","Single Output","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
http://www.linear.com/docs/3774,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1660;-MS,-MS8;-8.jpg",LTC1957-1EMS8#TRPBF-ND,LTC1957-1EMS8#TRPBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2GHZ SGL 8MSOP,0,0,"2.10600","0","2500","Tape & Reel (TR)","-","Active","Cellular, GSM, GPRS, PCS, Wireless Modem, TDMA","850MHz ~ 2GHz","Single Output","8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)","8-MSOP"
http://www.linear.com/docs/3774,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1661;-MS,-MS10;-10.jpg",LTC1957-2EMS#PBF-ND,LTC1957-2EMS#PBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2GHZ DUAL 10MSOP,0,0,"2.15460","0","350","Tube","-","Active","Cellular, GSM, GPRS, PCS, Wireless Modem, TDMA","850MHz ~ 2GHz","Dual Output","10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-MSOP"
http://www.linear.com/docs/2518,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1661;-MS,-MS10;-10.jpg",LTC1758-2EMS#PBF-ND,LTC1758-2EMS#PBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2GHZ DUAL 10MSOP,0,0,"2.15460","0","350","Tube","-","Active","Cellular, GSM, GPRS, PCS, Wireless Modem, TDMA","850MHz ~ 2GHz","Dual Output","10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-MSOP"
http://www.linear.com/docs/3774,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1661;-MS,-MS10;-10.jpg",LTC1957-2EMS#TRPBF-ND,LTC1957-2EMS#TRPBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2GHZ DUAL 10MSOP,0,0,"2.15800","0","2500","Tape & Reel (TR)","-","Active","Cellular, GSM, GPRS, PCS, Wireless Modem, TDMA","850MHz ~ 2GHz","Dual Output","10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-MSOP"
http://www.linear.com/docs/2518,"//media.digikey.com/Renders/Linear%20Tech%20Renders/161;-05-08-1661;-MS,-MS10;-10.jpg",LTC1758-2EMS#TRPBF-ND,LTC1758-2EMS#TRPBF,Linear Technology/Analog Devices,IC RF PWR CNTRL 2GHZ DUAL 10MSOP,0,0,"2.15800","0","2500","Tape & Reel (TR)","-","Active","Cellular, GSM, GPRS, PCS, Wireless Modem, TDMA","850MHz ~ 2GHz","Dual Output","10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-MSOP"
