Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
http://www.caddock.com/Online_catalog/Mrktg_Lit/MP9000_Series.pdf,//media.digikey.com/Photos/Caddock%20Elect%20Photos/MP9000%20SERIES.JPG,MP9100-25.0F-ND,MP9100-25.0-1%,Caddock Electronics Inc.,RES 25 OHM 100W 1% TO247,1576,0,"11.94000","0","1","Tube","Kool-Pak®MP9000","Active","25 Ohms","±1%","100W","Thick Film","Moisture Resistant, Non-Inductive","-20/ +80ppm/°C","-55°C ~ 175°C","TO-247-2","TO-247","0.620"" L x 0.195"" W (15.75mm x 4.95mm)","0.825"" (20.96mm)","2","-"
http://www.caddock.com/Online_catalog/Mrktg_Lit/MP9000_Series.pdf,//media.digikey.com/Photos/Caddock%20Elect%20Photos/MP9000%20SERIES.JPG,MP9100-40.0-F-ND,MP9100-40.0-1%,Caddock Electronics Inc.,RES 40 OHM 100W 1% TO247,670,0,"11.94000","0","1","Tube","Kool-Pak®MP9000","Active","40 Ohms","±1%","100W","Thick Film","Moisture Resistant, Non-Inductive","-20/ +80ppm/°C","-55°C ~ 175°C","TO-247-2","TO-247","0.620"" L x 0.195"" W (15.75mm x 4.95mm)","0.825"" (20.96mm)","2","-"
http://www.caddock.com/Online_catalog/Mrktg_Lit/MP2060.pdf,//media.digikey.com/Renders/Caddock%20Elect%20Renders/MP850.jpg,MP2060-0.020F-ND,MP2060-0.020-1%,Caddock Electronics Inc.,RES 0.02 OHM 60W 1% TO220,650,0,"11.97000","0","1","Tube","Kool-Pak®MP2060","Active","20 mOhms","±1%","60W","Thick Film","Current Sense, Moisture Resistant, Non-Inductive, Pulse Withstanding","0/ +200ppm/°C","-55°C ~ 150°C","TO-220-2 Full Pack","TO-220","0.410"" L x 0.175"" W (10.41mm x 4.45mm)","0.650"" (16.52mm)","2","-"
http://www.caddock.com/Online_catalog/Mrktg_Lit/MP2060.pdf,//media.digikey.com/Renders/Caddock%20Elect%20Renders/MP850.jpg,MP2060-0.010G-ND,MP2060-0.010-2%,Caddock Electronics Inc.,RES 0.01 OHM 36W 2% TO220,184,0,"11.97000","0","1","Tube","Kool-Pak®MP2060","Active","10 mOhms","±2%","36W","Thick Film","Current Sense, Moisture Resistant, Non-Inductive, Pulse Withstanding","0/ +300ppm/°C","-55°C ~ 150°C","TO-220-2 Full Pack","TO-220","0.410"" L x 0.175"" W (10.41mm x 4.45mm)","0.650"" (16.52mm)","2","-"
http://www.caddock.com/Online_catalog/Mrktg_Lit/MP800_Series.pdf,//media.digikey.com/Renders/Caddock%20Elect%20Renders/TO-220-2-MP820-MP821-Metal-Tab-1%25.jpg,MP821-0.020F-ND,MP821-0.020-1%,Caddock Electronics Inc.,RES 0.02 OHM 20W 1% TO220,297,0,"12.00000","0","1","Tube","Kool-Pak®MP800","Active","20 mOhms","±1%","20W","Thick Film","Moisture Resistant, Non-Inductive","0/ +300ppm/°C","-55°C ~ 175°C","TO-220-2 Full Pack","TO-220","0.400"" L x 0.175"" W (10.16mm x 4.45mm)","0.590"" (14.99mm)","2","-"
http://www.caddock.com/Online_catalog/Mrktg_Lit/MP9000_Series.pdf,//media.digikey.com/Photos/Caddock%20Elect%20Photos/MP9000%20SERIES.JPG,MP9100-20.0F-ND,MP9100-20.0-1%,Caddock Electronics Inc.,RES 20 OHM 100W 1% TO247,1071,0,"12.04000","0","1","Tube","Kool-Pak®MP9000","Active","20 Ohms","±1%","100W","Thick Film","Moisture Resistant, Non-Inductive","-20/ +80ppm/°C","-55°C ~ 175°C","TO-247-2","TO-247","0.620"" L x 0.195"" W (15.75mm x 4.95mm)","0.825"" (20.96mm)","2","-"
http://www.caddock.com/Online_catalog/Mrktg_Lit/MP9000_Series.pdf,//media.digikey.com/Photos/Caddock%20Elect%20Photos/MP9000%20SERIES.JPG,MP9100-10.0F-ND,MP9100-10.0-1%,Caddock Electronics Inc.,RES 10 OHM 100W 1% TO247,843,0,"12.04000","0","1","Tube","Kool-Pak®MP9000","Active","10 Ohms","±1%","100W","Thick Film","Moisture Resistant, Non-Inductive","-20/ +80ppm/°C","-55°C ~ 175°C","TO-247-2","TO-247","0.620"" L x 0.195"" W (15.75mm x 4.95mm)","0.825"" (20.96mm)","2","-"
http://www.vishay.com/docs/50051/lto100.pdf,"//media.digikey.com/Renders/Vishay%20Renders/Vishay,%20Sfernice%20-%20TO-247.jpg",LT100J-4.7-ND,LTO100F4R700JTE3,Vishay Sfernice,RES 4.7 OHM 100W 5% TO247,1257,0,"12.43000","0","1","Tube","LTO 100","Active","4.7 Ohms","±5%","100W","Thick Film","Automotive AEC-Q200, Non-Inductive","±350ppm/°C","-55°C ~ 175°C","TO-247-2","TO-247","0.620"" L x 0.197"" W (15.76mm x 5.00mm)","0.827"" (21.00mm)","2","-"
http://www.caddock.com/Online_catalog/Mrktg_Lit/MP9000_Series.pdf,//media.digikey.com/Photos/Caddock%20Elect%20Photos/MP9000%20SERIES.JPG,MP9100-4.00F-ND,MP9100-4.00-1%,Caddock Electronics Inc.,RES 4 OHM 100W 1% TO247,687,0,"12.52000","0","1","Tube","Kool-Pak®MP9000","Active","4 Ohms","±1%","100W","Thick Film","Moisture Resistant, Non-Inductive","-20/ +80ppm/°C","-55°C ~ 175°C","TO-247-2","TO-247","0.620"" L x 0.195"" W (15.75mm x 4.95mm)","0.825"" (20.96mm)","2","-"
http://www.caddock.com/Online_catalog/Mrktg_Lit/MP9000_Series.pdf,//media.digikey.com/Photos/Caddock%20Elect%20Photos/MP9000%20SERIES.JPG,MP9100-2.00F-ND,MP9100-2.00-1%,Caddock Electronics Inc.,RES 2 OHM 100W 1% TO247,579,0,"13.14000","0","1","Tube","Kool-Pak®MP9000","Active","2 Ohms","±1%","100W","Thick Film","Moisture Resistant, Non-Inductive","-20/ +80ppm/°C","-55°C ~ 175°C","TO-247-2","TO-247","0.620"" L x 0.195"" W (15.75mm x 4.95mm)","0.825"" (20.96mm)","2","-"
