Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Tolerance","Power (Watts)","Composition","Temperature Coefficient","Operating Temperature","Features","Coating, Housing Type","Mounting Feature","Size / Dimension","Height - Seated (Max)","Lead Style","Package / Case","Failure Rate"
http://www.vishay.com/docs/31806/tmc.pdf,//media.digikey.com/photos/Vishay%20Dale%20Photos/TMC%20SERIES%2049.99mm.JPG,TMC50-500-ND,TMC050500R0FE02,Vishay Dale,RES CHAS MNT 500 OHM 1% 50W,125,0,"12.54000","0","1","Bulk","TMC","Active","500 Ohms","±1%","50W","Wirewound","±20ppm/°C","-55°C ~ 250°C","Moisture Resistant","Aluminum","Flanges","1.968"" L x 1.140"" W (49.99mm x 28.96mm)","0.625"" (15.87mm)","Solder Lugs","Axial, Box","-"
http://www.vishay.com/docs/31806/tmc.pdf,//media.digikey.com/photos/Vishay%20Dale%20Photos/TMC%20SERIES%2049.99mm.JPG,TMC50-.25-ND,TMC050R2500FE02,Vishay Dale,RES CHAS MNT 0.25 OHM 1% 50W,387,0,"13.20000","0","1","Bulk","TMC","Active","250 mOhms","±1%","50W","Wirewound","-","-55°C ~ 250°C","Moisture Resistant","Aluminum","Flanges","1.968"" L x 1.140"" W (49.99mm x 28.96mm)","0.625"" (15.87mm)","Solder Lugs","Axial, Box","-"
http://www.vishay.com/docs/31806/tmc.pdf,//media.digikey.com/Photos/Vishay%20Dale%20Photos/TMC050R1000FE02.jpg,TMC5-.10-ND,TMC050R1000FE02,Vishay Dale,RES CHAS MNT 0.1 OHM 1% 50W,183,0,"13.20000","0","1","Bulk","TMC","Active","100 mOhms","±1%","50W","Wirewound","-","-55°C ~ 250°C","Moisture Resistant","Aluminum","Flanges","1.968"" L x 1.140"" W (49.99mm x 28.96mm)","0.625"" (15.87mm)","Solder Lugs","Axial, Box","-"
http://www.vishay.com/docs/31806/tmc.pdf,//media.digikey.com/photos/Vishay%20Dale%20Photos/TMC%20SERIES%2049.99mm.JPG,TMC50-.15-ND,TMC050R1500FE02,Vishay Dale,RES CHAS MNT 0.15 OHM 1% 50W,140,0,"13.20000","0","1","Bulk","TMC","Active","150 mOhms","±1%","50W","Wirewound","-","-55°C ~ 250°C","Moisture Resistant","Aluminum","Flanges","1.968"" L x 1.140"" W (49.99mm x 28.96mm)","0.625"" (15.87mm)","Solder Lugs","Axial, Box","-"
http://www.ohmite.com/assets/docs/acl_hs1.pdf?r=false,//media.digikey.com/Photos/Ohmite%20Photos/HS150-Watt-Type.jpg,HS1502R2F-ND,HS150 2R2 F,Ohmite,RES CHAS MNT 2.2 OHM 1% 150W,614,0,"14.63000","0","1","Bulk","ARCOL, HS","Active","2.2 Ohms","±1%","150W","Wirewound","±100ppm/°C","-","-","Aluminum","Flanges","3.846"" L x 1.075"" W (97.70mm x 27.30mm)","0.949"" (24.10mm)","Solder Lugs","Axial, Box","-"
http://www.ohmite.com/assets/docs/acl_hs1.pdf?r=false,//media.digikey.com/Photos/Ohmite%20Photos/HS150-Watt-Type.jpg,HS1504R7F-ND,HS150 4R7 F,Ohmite,RES CHAS MNT 4.7 OHM 1% 150W,354,0,"14.63000","0","1","Bulk","ARCOL, HS","Active","4.7 Ohms","±1%","150W","Wirewound","±100ppm/°C","-","-","Aluminum","Flanges","3.846"" L x 1.075"" W (97.70mm x 27.30mm)","0.949"" (24.10mm)","Solder Lugs","Axial, Box","-"
http://www.ohmite.com/assets/docs/res_270.pdf?r=false,//media.digikey.com/Photos/Ohmite%20Photos/270-Series-L100J.jpg,L100J25RE-ND,L100J25RE,Ohmite,RES CHAS MNT 25 OHM 5% 100W,243,0,"15.64000","0","1","Bulk","270","Active","25 Ohms","±5%","100W","Wirewound","±260ppm/°C","-55°C ~ 350°C","Flame Retardant Coating, Safety","Vitreous Enamel Coated","Brackets (not included)","0.752"" Dia x 6.500"" L (19.10mm x 165.10mm)","-","Solder Lugs","Radial, Tubular","-"
http://www.ohmite.com/assets/docs/res_270.pdf?r=false,//media.digikey.com/Photos/Ohmite%20Photos/270-Series-L100J.jpg,L100J10RE-ND,L100J10RE,Ohmite,RES CHAS MNT 10 OHM 5% 100W,217,0,"15.64000","0","1","Bulk","270","Active","10 Ohms","±5%","100W","Wirewound","±400ppm/°C","-55°C ~ 350°C","Flame Retardant Coating, Safety","Vitreous Enamel Coated","Brackets (not included)","0.752"" Dia x 6.500"" L (19.10mm x 165.10mm)","-","Solder Lugs","Radial, Tubular","-"
http://www.ohmite.com/assets/docs/res_250.pdf?r=false,//media.digikey.com/Photos/Ohmite%20Photos/STACKOHM-31.jpg,F30J1R0E-ND,F30J1R0E,Ohmite,RES CHAS MNT 1 OHM 5% 30W,328,0,"15.88000","0","1","Bulk","Stackohm® 250","Active","1 Ohms","±5%","30W","Wirewound","±400ppm/°C","-55°C ~ 350°C","-","Vitreous Enamel Coated","Flange Braces, Right Angle","1.250"" L x 1.000"" W (31.75mm x 25.40mm)","0.563"" (14.29mm)","Solder Lugs","Radial, Flat Oval","-"
https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1630012&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/Photos/TE%20Connectivity/1630012-2.JPG,A103831-ND,HSC150150RJ,TE Connectivity Passive Product,RES CHAS MNT 150 OHM 5% 150W,627,0,"15.99000","0","1","Bulk","HS, CGS","Active","150 Ohms","±5%","150W","Wirewound","±30ppm/°C","-55°C ~ 200°C","-","Aluminum","Flanges","3.858"" L x 1.870"" W (98.00mm x 47.50mm)","1.024"" (26.00mm)","Solder Lugs","Axial, Box","-"
