Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Power (Watts)","Tolerance","Temperature Coefficient","Number of Turns","Adjustment Type","Resistive Material","Mounting Type","Termination Style","Size / Dimension"
https://www.bourns.com/docs/Product-Datasheets/TC33.pdf,//media.digikey.com/photos/Bourns%20Photos/TC33X%20SERIES.jpg,TC33X-102ECT-ND,TC33X-2-102E,Bourns Inc.,TRIMMER 1K OHM 0.1W J LEAD TOP,13401,0,"0.28000","0","1","Cut Tape (CT)","Trimpot® TC33 - Open Frame","Active","1 kOhms","0.1W, 1/10W","±25%","±250ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Rectangular - 0.150"" x 0.142"" Face x 0.047"" H (3.80mm x 3.60mm x 1.20mm)"
https://www.bourns.com/docs/Product-Datasheets/TC33.pdf,//media.digikey.com/photos/Bourns%20Photos/TC33X%20SERIES.jpg,TC33X-102EDKR-ND,TC33X-2-102E,Bourns Inc.,TRIMMER 1K OHM 0.1W J LEAD TOP,13401,0,"Digi-Reel","0","1","Digi-Reel®","Trimpot® TC33 - Open Frame","Active","1 kOhms","0.1W, 1/10W","±25%","±250ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Rectangular - 0.150"" x 0.142"" Face x 0.047"" H (3.80mm x 3.60mm x 1.20mm)"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/23.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/23BR.jpg,987-1014-2-ND,23BR10KLFTR,TT Electronics/BI,TRIMMER 10K OHM 0.25W GW TOP ADJ,18500,0,"0.68000","0","500","Tape & Reel (TR)","23","Active","10 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","Gull Wing","Rectangular - 0.197"" x 0.177"" Face x 0.106"" H (5.00mm x 4.50mm x 2.70mm)"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/23.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/23BR.jpg,987-1014-1-ND,23BR10KLFTR,TT Electronics/BI,TRIMMER 10K OHM 0.25W GW TOP ADJ,19047,0,"1.27000","0","1","Cut Tape (CT)","23","Active","10 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","Gull Wing","Rectangular - 0.197"" x 0.177"" Face x 0.106"" H (5.00mm x 4.50mm x 2.70mm)"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/23.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/23BR.jpg,987-1014-6-ND,23BR10KLFTR,TT Electronics/BI,TRIMMER 10K OHM 0.25W GW TOP ADJ,19047,0,"Digi-Reel","0","1","Digi-Reel®","23","Active","10 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","Gull Wing","Rectangular - 0.197"" x 0.177"" Face x 0.106"" H (5.00mm x 4.50mm x 2.70mm)"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/23.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/23AR.jpg,987-1008-2-ND,23AR10KLFTR,TT Electronics/BI,TRIMMER 10K OHM 0.25W J LEAD TOP,5500,0,"0.68000","0","500","Tape & Reel (TR)","23","Active","10 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Rectangular - 0.197"" x 0.177"" Face x 0.106"" H (5.00mm x 4.50mm x 2.70mm)"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/23.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/23AR.jpg,987-1008-1-ND,23AR10KLFTR,TT Electronics/BI,TRIMMER 10K OHM 0.25W J LEAD TOP,5696,0,"1.27000","0","1","Cut Tape (CT)","23","Active","10 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Rectangular - 0.197"" x 0.177"" Face x 0.106"" H (5.00mm x 4.50mm x 2.70mm)"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/23.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/23AR.jpg,987-1008-6-ND,23AR10KLFTR,TT Electronics/BI,TRIMMER 10K OHM 0.25W J LEAD TOP,5696,0,"Digi-Reel","0","1","Digi-Reel®","23","Active","10 kOhms","0.25W, 1/4W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Rectangular - 0.197"" x 0.177"" Face x 0.106"" H (5.00mm x 4.50mm x 2.70mm)"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/22.pdf,//media.digikey.com/Photos/TT%20Electronics-Optek%20Photos/MFG_22AR.jpg,987-1003-2-ND,22AR100KLFTR,TT Electronics/BI,TRIMMER 100K OHM 0.125W J LEAD,11000,0,"0.68450","0","1000","Tape & Reel (TR)","22","Active","100 kOhms","0.125W, 1/8W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Rectangular - 0.138"" x 0.126"" Face x 0.087"" H (3.51mm x 3.20mm x 2.21mm)"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/22.pdf,//media.digikey.com/Photos/TT%20Electronics-Optek%20Photos/MFG_22AR.jpg,987-1003-1-ND,22AR100KLFTR,TT Electronics/BI,TRIMMER 100K OHM 0.125W J LEAD,12130,0,"1.38000","0","1","Cut Tape (CT)","22","Active","100 kOhms","0.125W, 1/8W","±20%","±100ppm/°C","1","Top Adjustment","Cermet","Surface Mount","J Lead","Rectangular - 0.138"" x 0.126"" Face x 0.087"" H (3.51mm x 3.20mm x 2.21mm)"
