Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance","Power (Watts)","Tolerance","Number of Turns","Adjustment Type","Size / Dimension","Termination","Mounting Type"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352W%20SERIES.jpg,3352W-103LF-ND,3352W-1-103LF,Bourns Inc.,POT 10K OHM THUMBWHEEL CERM ST,628,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","10 kOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352W%20SERIES.jpg,3352W-501LF-ND,3352W-1-501LF,Bourns Inc.,POT 500 OHM THUMBWHEEL CERM ST,527,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","500 Ohms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352T%20SERIES.jpg,3352T-102LF-ND,3352T-1-102LF,Bourns Inc.,POT 1.0K OHM THUMBWHEEL CERM ST,364,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","1 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.150"" H (8.89mm x 3.81mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352H%20SERIES.jpg,3352H-103LF-ND,3352H-1-103LF,Bourns Inc.,POT 10K OHM THUMBWHEEL CERM ST,315,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","10 kOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.350"" H (8.89mm x 8.89mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352W%20SERIES.jpg,3352W-102LF-ND,3352W-1-102LF,Bourns Inc.,POT 1.0K OHM THUMBWHEEL CERM ST,314,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","1 kOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352T%20SERIES.jpg,3352T-501LF-ND,3352T-1-501LF,Bourns Inc.,POT 500 OHM THUMBWHEEL CERM ST,276,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","500 Ohms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.150"" H (8.89mm x 3.81mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352W%20SERIES.jpg,3352W-502LF-ND,3352W-1-502LF,Bourns Inc.,POT 5.0K OHM THUMBWHEEL CERM ST,161,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","5 kOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352W%20SERIES.jpg,3352W-203LF-ND,3352W-1-203LF,Bourns Inc.,POT 20K OHM THUMBWHEEL CERM ST,153,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","20 kOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/91.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/91AR1MEGLF.jpg,987-1705-ND,91AR200LF,TT Electronics/BI,TRIMMER 200 OHM 3/8"" CERMET TH,576,0,"1.50000","0","1","Bulk","91","Active","200 Ohms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.375"" Dia x 0.200"" H (9.53mm x 5.08mm)","PC Pins","Through Hole"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/91.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/91AR1MEGLF.jpg,987-1625-ND,91AR50KLF,TT Electronics/BI,TRIMMER 50K OHM 3/8"" CERMET TH,555,0,"1.50000","0","1","Bulk","91","Active","50 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.375"" Dia x 0.200"" H (9.53mm x 5.08mm)","PC Pins","Through Hole"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/91.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/91AR1MEGLF.jpg,987-1169-ND,91AR1MEGLF,TT Electronics/BI,TRIMMER 1M OHM 3/8"" CERMET TH,501,0,"1.50000","0","1","Bulk","91","Active","1 MOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.375"" Dia x 0.200"" H (9.53mm x 5.08mm)","PC Pins","Through Hole"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/91.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/91AR1MEGLF.jpg,987-1564-ND,91AR500LF,TT Electronics/BI,TRIMMER 500 OHM 3/8"" CERMET TH,175,0,"1.50000","0","1","Bulk","91","Active","500 Ohms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.375"" Dia x 0.200"" H (9.53mm x 5.08mm)","PC Pins","Through Hole"
https://www.ttelectronics.com/TTElectronics/media/ProductFiles/Trimmers/Datasheets/91.pdf,//media.digikey.com/Photos/TT%20Electronics%20BI/91AR1MEGLF.jpg,987-1624-ND,91AR2KLF,TT Electronics/BI,TRIMMER 2K OHM 3/8"" CERMET TH,126,0,"1.50000","0","1","Bulk","91","Active","2 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.375"" Dia x 0.200"" H (9.53mm x 5.08mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352T%20SERIES.jpg,3352T-253LF-ND,3352T-1-253LF,Bourns Inc.,POT 25K OHM THUMBWHEEL CERM ST,916,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","25 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.150"" H (8.89mm x 3.81mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352E%20SERIES.jpg,3352E-104LF-ND,3352E-1-104LF,Bourns Inc.,POT 100K OHM THUMBWHEEL CERM ST,764,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","100 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352P%20SERIES.jpg,3352P-502LF-ND,3352P-1-502LF,Bourns Inc.,POT 5.0K OHM THUMBWHEEL CERM ST,749,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","5 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352H%20SERIES.jpg,3352H-502LF-ND,3352H-1-502LF,Bourns Inc.,POT 5.0K OHM THUMBWHEEL CERM ST,535,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","5 kOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.350"" H (8.89mm x 8.89mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352P%20SERIES.jpg,3352P-102LF-ND,3352P-1-102LF,Bourns Inc.,POT 1.0K OHM THUMBWHEEL CERM ST,517,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","1 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352P%20SERIES.jpg,3352P-202LF-ND,3352P-1-202LF,Bourns Inc.,POT 2.0K OHM THUMBWHEEL CERM ST,494,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","2 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352E%20SERIES.jpg,3352E-503LF-ND,3352E-1-503LF,Bourns Inc.,POT 50K OHM THUMBWHEEL CERM ST,486,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","50 kOhms","0.5W, 1/2W","±20%","1","Top Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
https://www.bourns.com/docs/Product-Datasheets/3352.pdf,//media.digikey.com/photos/Bourns%20Photos/3352W%20SERIES.jpg,3352W-503LF-ND,3352W-1-503LF,Bourns Inc.,POT 50K OHM THUMBWHEEL CERM ST,466,0,"1.85000","0","1","Bulk","Trimpot® 3352 - Open Frame","Active","50 kOhms","0.5W, 1/2W","±20%","1","Side Adjustment","Round - 0.350"" Dia x 0.210"" H (8.89mm x 5.33mm)","PC Pins","Through Hole"
