Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Shaft Size","Number of Turns"
//media.digikey.com/pdf/Data%20Sheets/Precision%20Electronic%20Components%20Ltd%20PDFs/E15-1-11.pdf,//media.digikey.com/photos/Precision%20Elec%20Comp%20Photos/E15-1-11.jpg,E15-1-11-ND,E15-1-11,Precision Electronics Corporation,DIAL DIGITAL WITH KEY,7,0,"36.41000","0","1","15","Active","0.250"" (6.35mm)","10"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb799de4bb23fd59c447/1471396738983/400_PNB_fv1-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/411.jpg,411KL-ND,411,Kilo International,DIAL SCALE 10 TURN CONCENTRIC,17,0,"37.04000","0","1","400","Active","0.250"" (6.35mm)","10"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bb799de4bb23fd59c447/1471396738983/400_PNB_fv1-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/462.jpg,462KL-ND,462,Kilo International,DIAL SCALE 10 TURN CONCENTRIC,72,0,"37.87000","0","1","400","Active","0.250"" (6.35mm)","10"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bc111b631b812c37780d/1471396881758/3400_PNB_fv1-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/316-11.JPG,3462KL-ND,3462,Kilo International,DIAL 20 TURN POS BRAKE CLR ALUM,89,0,"40.23000","0","1","3400","Active","0.250"" (6.35mm)","20"
//media.digikey.com/pdf/Data%20Sheets/Precision%20Electronic%20Components%20Ltd%20PDFs/E15-1-11.pdf,//media.digikey.com/photos/Precision%20Elec%20Comp%20Photos/E15-2-11.jpg,E15-2-11-ND,E15-2-11,Precision Electronics Corporation,DIAL DIGITAL READOUT,39,0,"43.65000","0","1","15","Active","0.250"" (6.35mm)","100"
https://www.bourns.com/docs/Product-Datasheets/H-516.pdf,//media.digikey.com/Photos/Bourns%20Photos/H-516-6M.JPG,H-516-6M-ND,H-516-6M,Bourns Inc.,DIAL COUNTING 0-15 TURNS,40,0,"6.38000","0","1","H-516","Active","0.236"" (6.00mm)","15"
https://www.bourns.com/docs/Product-Datasheets/H23.pdf,"//media.digikey.com/photos/Bourns%20Photos/H-23-6A,%20H-23-6M.jpg",H-23-6A-ND,H-23-6A,Bourns Inc.,DIAL SCALE 15 TURN CONCENTRIC,56,0,"12.28000","0","1","H-23","Active","0.250"" (6.35mm)","15"
https://www.bourns.com/docs/Product-Datasheets/H22.pdf,//media.digikey.com/Photos/Bourns%20Photos/H-22-6A-SB.jpg,H-22-6A-SB-ND,H-22-6A-SB,Bourns Inc.,DIAL SCALE 15 TURN CONCENTRIC,47,0,"12.28000","0","1","H-22","Active","0.250"" (6.35mm)","15"
https://www.bourns.com/docs/Product-Datasheets/H46.pdf,//media.digikey.com/photos/Bourns%20Photos/H-46-6A.jpg,H-46-6A-1-ND,H-46-6A-1,Bourns Inc.,DIAL COUNTING 0-20 TURNS,7,0,"21.60000","0","1","H-46","Active","0.250"" (6.35mm)","20"
https://static1.squarespace.com/static/54efb6f4e4b0d7862a93d7f5/t/57b3bbbd9de4bb23fd59c6cb/1471396798013/600_PNB_fv1-01.png,//media.digikey.com/photos/Kilo%20International%20Photos/612.jpg,612KL-ND,612,Kilo International,DIAL SCALE 1TURN UNCALIBRTD ALUM,56,0,"32.54000","0","1","600","Active","0.250"" (6.35mm)","1"
