Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Series","Part Status","Type","Arm Length","Base Size"
-,//media.digikey.com/Photos/OC-White-Co/MFG_80000.JPG,1844-1000-ND,80000,O.C. White Co.,STAND MICROSCOPE HEAVY DUTY,3,0,"595.00000","0","1","-","Active","Stand","-","-"
http://www.avenconnect.com/product_sheets/26700-410.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-410.jpg,243-1384-ND,26700-410,Aven Tools,ARTICULATING ARM 16""H 17""V,14,0,"69.25000","0","1","512","Active","Arm, Articulating","16.0"" (406.4mm) Horizontal, 17.0"" (431.8mm) Vertical","-"
http://www.avenconnect.com/product_sheets/18-inch_Flex_Arms_Product_Sheet.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26800B-557.jpg,243-1320-ND,26800B-557,Aven Tools,FLEXIBLE ARM 18"",8,0,"69.25000","0","1","Cyclops","Active","Arm, Flexible","18.0"" (457.2mm)","-"
http://www.avenconnect.com/product_sheets/18-inch_Flex_Arms_Product_Sheet.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26800B-558.jpg,243-1321-ND,26800B-558,Aven Tools,FLEXIBLE ARM 18"",8,0,"69.25000","0","1","Cyclops","Active","Arm, Flexible","18.0"" (457.2mm)","3.00"" Dia (76.2mm)"
http://www.aventools.com/wp-content/uploads/2016/02/2016-product-catalog.pdf,//media.digikey.com/Photos/Aven%20Photos/26800B-511.jpg,243-1504-ND,26800B-511,Aven Tools,STAND FOCUS MOUNT 9.8"",2,0,"289.47000","0","1","-","Active","Stand, Focus Mount","9.8"" (250.0mm)","8.66"" x 11.18"" (220.00mm x 284.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26700-413.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-413.jpg,243-1567-ND,26700-413,Aven Tools,ARM MOUNT VIDEO INS SYS ZEN,4,0,"297.21000","0","1","ZEN","Active","Arm, Telescoping","16.0"" (406.4mm)","-"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26800B-520.pdf,-,243-1511-ND,26800B-520,Aven Tools,BOOM STAND 16""H 16""V,2,0,"335.19000","0","1","-","Active","Stand, Boom","16.0"" (406.4mm) Horizontal, 16.0"" (406.4mm) Vertical","10.00"" x 10.00"" (254.00mm x 254.00mm)"
//media.digikey.com/pdf/Data%20Sheets/Aven%20PDFs/26700-215_Web.pdf,//media.digikey.com/Photos/Aven%20Photos/MFG_26700-215.jpg,243-1144-ND,26700-215,Aven Tools,DUAL ARM BOOM STAND 6.7""H 11.8""V,2,0,"411.29000","0","1","Mighty Scope","Active","Stand, Dual Arm Boom","6.7"" (170.0mm) Horizontal, 11.8"" (300.0mm) Vertical","11.81"" x 7.87"" (300.00mm x 200.00mm)"
-,//media.digikey.com/Photos/Aven%20Photos/26700-311.jpg,243-1116-ND,26700-311,Aven Tools,STAND FOCUS MOUNT 7.1"",4,0,"49.32000","0","1","-","Active","Stand, Focus Mount","7.1"" (180.0mm)","4.72"" x 4.33"" (120.00mm x 110.00mm)"
//media.digikey.com/pdf/Data%20Sheets/O.C._White/11440-1B.pdf,//media.digikey.com/Photos/OC-White-Co/MFG_11440-1B.jpg,1844-1002-ND,11440-1B,O.C. White Co.,EDGE MOUNT BRACKET,5,0,"32.00000","0","1","-","Active","Mount, Edge Bracket","-","-"
